Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,142516.124168,1396.73355,0.0,-15194.2518159
2,142516.124168,1396.73355,0.0,-16404.7538827
3,142516.124168,1396.73355,0.0,-12064.8778011
4,142516.124168,1396.73355,0.0,-3566.52421974
5,149724.465426,1396.73355,0.0,0.0
6,159964.927665,1396.73355,0.0,0.0
7,170479.517811,1396.73355,0.0,0.0
8,176489.557845,5799.7087797,0.0,0.0
9,176489.557845,19971.5405057,0.0,0.0
10,176489.557845,11395.2713094,17671.4940426,0.0
11,176489.557845,23673.45,960.185874376,0.0
12,176489.557845,20645.9549087,0.0,0.0
13,176489.557845,1396.73355,17327.7742133,0.0
14,176489.557845,21796.484915,0.0,0.0
15,176489.557845,20969.7661263,0.0,0.0
16,176489.557845,1396.73355,15003.5503168,0.0
17,176489.557845,1396.73355,10075.5784844,0.0
18,176489.557845,13461.2983811,0.0,0.0
19,176489.557845,4176.18722403,0.0,0.0
20,159496.093798,1396.73355,0.0,0.0
21,144346.093484,1396.73355,0.0,0.0
22,142516.124168,1396.73355,0.0,-6286.78741888
23,142516.124168,1396.73355,0.0,-10045.3956189
24,142516.124168,1396.73355,0.0,-8247.50680938
25,172615.731172,1361.223375,0.0,-35132.4193948
26,172615.731172,1361.223375,0.0,-32127.804154
27,172615.731172,1361.223375,0.0,-28636.3902402
28,172615.731172,1361.223375,0.0,-18759.7282189
29,172615.731172,1361.223375,0.0,-6840.93331697
30,177592.087996,1361.223375,0.0,0.0
31,190008.234142,1361.223375,0.0,0.0
32,202998.843271,1361.223375,0.0,0.0
33,211900.860202,8896.35707364,0.0,0.0
34,211900.860202,15152.2692034,5539.16296506,0.0
35,211900.860202,20957.441748,0.0,0.0
36,211900.860202,1361.223375,23650.2462894,0.0
37,211900.860202,23673.45,5329.7296798,0.0
38,211900.860202,1361.223375,29244.0642247,0.0
39,211900.860202,23673.45,7150.69613882,0.0
40,211900.860202,23673.45,5830.39952343,0.0
41,211900.860202,23673.45,5165.42048684,0.0
42,211900.860202,1361.223375,24984.8175963,0.0
43,211900.860202,1361.223375,10937.1527757,0.0
44,201091.64079,1361.223375,0.0,0.0
45,181785.633728,1361.223375,0.0,0.0
46,172615.731172,1361.223375,0.0,-1658.72537378
47,172615.731172,1361.223375,0.0,-6978.68973478
48,172615.731172,1361.223375,0.0,-8490.82683731
49,191581.696571,1427.509035,0.0,-26387.3525562
50,191581.696571,1427.509035,0.0,-25607.4874119
51,191581.696571,1427.509035,0.0,-23234.9730583
52,191581.696571,1427.509035,0.0,-17442.7454616
53,191581.696571,1427.509035,0.0,-6759.25518276
54,197151.241855,1427.509035,0.0,0.0
55,210184.481196,1427.509035,0.0,0.0
56,224178.284963,1427.509035,0.0,0.0
57,234213.760672,7891.28613488,0.0,0.0
58,234213.760672,20266.8304465,0.0,0.0
59,234213.760672,7262.44382317,12815.3205078,0.0
60,234213.760672,20889.4351008,0.0,0.0
61,234213.760672,1427.509035,20109.0549026,0.0
62,234213.760672,21152.0019059,0.0,0.0
63,234213.760672,1427.509035,18577.1504987,0.0
64,234213.760672,19659.9545044,0.0,0.0
65,234213.760672,21840.111649,0.0,0.0
66,234213.760672,1427.509035,22228.6916972,0.0
67,234213.760672,20791.2680564,0.0,0.0
68,234213.760672,1427.509035,10786.8240139,0.0
69,234213.760672,1674.69825395,0.0,0.0
70,227293.81189,1427.509035,0.0,0.0
71,221491.558622,1427.509035,0.0,0.0
72,216660.628785,1427.509035,0.0,0.0
73,212707.503053,1581.38646,0.0,0.0
74,210656.60332,1581.38646,0.0,0.0
75,210591.681291,1581.38646,0.0,0.0
76,214602.57431,1581.38646,0.0,0.0
77,219211.020057,1581.38646,0.0,0.0
78,223226.544795,3118.73700963,0.0,0.0
79,223226.544795,8765.50836526,0.0,0.0
80,223226.544795,14027.4658121,0.0,0.0
81,223226.544795,19410.8476929,2246.47099782,0.0
82,223226.544795,23673.45,3189.88403324,0.0
83,223226.544795,20940.1619857,0.0,0.0
84,223226.544795,17972.7696165,0.0,0.0
85,223226.544795,14854.2385201,0.0,0.0
86,223226.544795,10978.2982716,0.0,0.0
87,223226.544795,1581.38646,6169.24184279,0.0
88,223226.544795,5383.97968557,0.0,0.0
89,223226.544795,2920.66445783,0.0,0.0
90,223226.544795,1817.90646278,0.0,0.0
91,217486.736601,1581.38646,0.0,0.0
92,206296.689373,1581.38646,0.0,0.0
93,195008.973474,1581.38646,0.0,0.0
94,183160.38881,1581.38646,0.0,0.0
95,182242.563076,1581.38646,0.0,-6111.9902551
96,182242.563076,1581.38646,0.0,-7541.65312591
97,184284.426325,1676.08026,0.0,-6836.48952201
98,184284.426325,1676.08026,0.0,-3198.08632304
99,187214.409376,1676.08026,0.0,0.0
100,194519.762965,1676.08026,0.0,0.0
101,200611.475421,1676.08026,0.0,0.0
102,207561.496431,1676.08026,0.0,0.0
103,215175.522888,1676.08026,0.0,0.0
104,223147.012079,1676.08026,0.0,0.0
105,225628.736853,7571.63312792,0.0,0.0
106,225628.736853,14671.888015,0.0,0.0
107,225628.736853,18476.183213,0.0,0.0
108,225628.736853,18195.3532288,0.0,0.0
109,225628.736853,17357.4669462,0.0,0.0
110,225628.736853,11859.6973824,4318.59913843,0.0
111,225628.736853,14812.0153368,0.0,0.0
112,225628.736853,14039.1776843,0.0,0.0
113,225628.736853,15079.8674148,0.0,0.0
114,225628.736853,16012.4025088,0.0,0.0
115,225628.736853,13217.2758618,0.0,0.0
116,225628.736853,1676.08026,4210.79032986,0.0
117,221005.785965,1676.08026,0.0,0.0
118,212199.265234,1676.08026,0.0,0.0
119,203841.80433,1676.08026,0.0,0.0
120,198304.960656,1676.08026,0.0,0.0
121,193920.190955,1784.97813,0.0,0.0
122,190152.888027,1784.97813,0.0,0.0
123,188658.803475,1784.97813,0.0,0.0
124,192890.275215,1784.97813,0.0,0.0
125,199854.965373,1784.97813,0.0,0.0
126,208787.306491,1784.97813,0.0,0.0
127,219003.316297,1784.97813,0.0,0.0
128,227083.860861,4395.74841972,0.0,0.0
129,227083.860861,16196.2818733,0.0,0.0
130,227083.860861,23515.8268346,0.0,0.0
131,227083.860861,23673.45,188.211504026,0.0
132,227083.860861,12628.9873507,7392.47933311,0.0
133,227083.860861,17275.8131784,0.0,0.0
134,227083.860861,14106.459187,0.0,0.0
135,227083.860861,1784.97813,9829.93177457,0.0
136,227083.860861,10618.0901865,0.0,0.0
137,227083.860861,13076.1037779,0.0,0.0
138,227083.860861,14917.6529493,0.0,0.0
139,227083.860861,9472.87465257,0.0,0.0
140,220222.54955,1784.97813,0.0,0.0
141,206966.347697,1784.97813,0.0,0.0
142,192365.240427,1784.97813,0.0,0.0
143,185521.281732,1784.97813,0.0,-5910.60501938
144,185521.281732,1784.97813,0.0,-14572.4804062
145,178066.799134,1825.222995,0.0,-13268.8732156
146,178066.799134,1825.222995,0.0,-17010.2202741
147,178066.799134,1825.222995,0.0,-16480.7764915
148,178066.799134,1825.222995,0.0,-11537.0165754
149,178066.799134,1825.222995,0.0,-2311.49544199
150,187645.396889,1825.222995,0.0,0.0
151,200610.256565,1825.222995,0.0,0.0
152,213876.546479,1825.222995,0.0,0.0
153,218313.881335,12414.8372145,0.0,0.0
154,218313.881335,23673.45,2546.92709812,0.0
155,218313.881335,23673.45,2860.23275087,0.0
156,218313.881335,4438.45297338,18137.0637306,0.0
157,218313.881335,19921.5452742,0.0,0.0
158,218313.881335,17645.1418708,0.0,0.0
159,218313.881335,1825.222995,14059.9760475,0.0
160,218313.881335,1825.222995,12983.231311,0.0
