Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,207795.772075,1396.73355,0.0,0.0
2,203674.377467,1396.73355,0.0,0.0
3,204981.302412,1396.73355,0.0,0.0
4,208088.398679,1396.73355,0.0,0.0
5,214422.874737,1396.73355,0.0,0.0
6,215788.856366,8065.54713448,0.0,0.0
7,215788.856366,17512.5036399,0.0,0.0
8,213933.11872,23673.45,0.0,0.0
9,218820.293176,1396.73355,0.0,0.0
10,197414.212592,1396.73355,0.0,0.0
11,173486.918299,1396.73355,0.0,0.0
12,155676.632982,1396.73355,0.0,0.0
13,145993.381639,1396.73355,0.0,0.0
14,146698.09234,1396.73355,0.0,0.0
15,150532.512087,1396.73355,0.0,0.0
16,165376.139087,1396.73355,0.0,0.0
17,194854.810393,1396.73355,0.0,0.0
18,212946.638383,23673.45,0.0,0.0
19,217635.188724,23673.45,0.0,0.0
20,212778.669468,23673.45,0.0,0.0
21,215788.856366,14111.3100049,0.0,0.0
22,215788.856366,6109.7678207,0.0,0.0
23,212612.549958,1396.73355,0.0,0.0
24,207336.369837,1396.73355,0.0,0.0
25,204027.724912,1361.223375,0.0,0.0
26,201661.122807,1361.223375,0.0,0.0
27,201387.774249,1361.223375,0.0,0.0
28,205144.727267,1361.223375,0.0,0.0
29,212071.879339,1361.223375,0.0,0.0
30,220963.805551,1361.223375,0.0,0.0
31,222733.404112,9847.2215535,0.0,0.0
32,222733.404112,15481.7661462,0.0,0.0
33,220093.393445,1361.223375,0.0,0.0
34,199034.722538,1361.223375,0.0,0.0
35,176634.770163,1361.223375,0.0,0.0
36,159384.553061,1361.223375,0.0,0.0
37,153959.755479,1361.223375,0.0,0.0
38,154092.286915,1361.223375,0.0,0.0
39,159021.706373,1361.223375,0.0,0.0
40,177374.828494,1361.223375,0.0,0.0
41,209755.089865,1361.223375,0.0,0.0
42,231144.977409,23673.45,0.0,0.0
43,235911.085432,23673.45,0.0,0.0
44,230627.996589,23673.45,0.0,0.0
45,222722.061383,23673.45,0.0,0.0
46,222733.404112,14545.3755701,0.0,0.0
47,222733.404112,6492.92813023,0.0,0.0
48,222273.641546,1361.223375,0.0,0.0
49,217622.310785,1427.509035,0.0,0.0
50,214286.697109,1427.509035,0.0,0.0
51,213909.210986,1427.509035,0.0,0.0
52,216643.389517,1427.509035,0.0,0.0
53,223201.181921,1427.509035,0.0,0.0
54,232531.357304,1427.509035,0.0,0.0
55,237125.405731,7935.23030751,0.0,0.0
56,237125.405731,14344.1141189,0.0,0.0
57,233166.70351,1427.509035,0.0,0.0
58,211355.013017,1427.509035,0.0,0.0
59,186547.21632,1427.509035,0.0,0.0
60,169592.069693,1427.509035,0.0,0.0
61,160182.897282,1427.509035,0.0,0.0
62,157924.610799,1427.509035,0.0,0.0
63,165237.733958,1427.509035,0.0,0.0
64,184714.475191,1427.509035,0.0,0.0
65,217199.341296,1427.509035,0.0,0.0
66,238184.364828,23673.45,0.0,0.0
67,245971.626699,23673.45,0.0,0.0
68,243739.970803,23673.45,0.0,0.0
69,237832.452853,23673.45,0.0,0.0
70,237125.405731,16130.5022266,0.0,0.0
71,237125.405731,6896.87418697,0.0,0.0
72,235104.08982,1427.509035,0.0,0.0
73,229062.778239,1581.38646,0.0,0.0
74,224796.210385,1581.38646,0.0,0.0
75,222992.439267,1581.38646,0.0,0.0
76,225219.178997,1581.38646,0.0,0.0
77,229480.215545,1581.38646,0.0,0.0
78,227041.608118,10226.3717873,0.0,0.0
79,227041.608118,17258.9890635,0.0,0.0
80,227041.608118,19404.6183683,0.0,0.0
81,222614.263794,1581.38646,0.0,0.0
82,197712.309172,1581.38646,0.0,0.0
83,173422.655831,1581.38646,0.0,0.0
84,156785.570663,1581.38646,0.0,0.0
85,143660.190966,1581.38646,0.0,0.0
86,143149.089696,1581.38646,0.0,0.0
87,150446.267079,1581.38646,0.0,0.0
88,169990.247845,1581.38646,0.0,0.0
89,201768.679434,1581.38646,0.0,0.0
90,227041.608118,17008.104209,0.0,0.0
91,227357.010871,23673.45,0.0,0.0
92,225654.103649,23673.45,0.0,0.0
93,227041.608118,17438.9781305,0.0,0.0
94,227041.608118,8854.52048131,0.0,0.0
95,227477.329602,1581.38646,0.0,0.0
96,223167.360118,1581.38646,0.0,0.0
97,220228.887488,1676.08026,0.0,0.0
98,218360.108254,1676.08026,0.0,0.0
99,219457.903984,1676.08026,0.0,0.0
100,222405.843814,1676.08026,0.0,0.0
101,227189.028143,1676.08026,0.0,0.0
102,225701.489692,9803.66844974,0.0,0.0
103,225701.489692,17201.99832,0.0,0.0
104,225701.489692,19883.0150932,0.0,0.0
105,220982.541912,1676.08026,0.0,0.0
106,195483.033535,1676.08026,0.0,0.0
107,171388.634495,1676.08026,0.0,0.0
108,153118.788722,1676.08026,0.0,0.0
109,142039.198364,1676.08026,0.0,0.0
110,140727.927689,1676.08026,0.0,0.0
111,148210.16022,1676.08026,0.0,0.0
112,167959.470157,1676.08026,0.0,0.0
113,200973.755863,1676.08026,0.0,0.0
114,222537.652918,23673.45,0.0,0.0
115,230324.339783,23673.45,0.0,0.0
116,228924.161645,23673.45,0.0,0.0
117,224381.793896,23673.45,0.0,0.0
118,225701.489692,14682.2380771,0.0,0.0
119,230310.416908,1676.08026,0.0,0.0
120,224094.477833,1676.08026,0.0,0.0
121,218614.573802,1784.97813,0.0,0.0
122,214069.044312,1784.97813,0.0,0.0
123,212171.175714,1784.97813,0.0,0.0
124,214667.623515,1784.97813,0.0,0.0
125,220101.298638,1784.97813,0.0,0.0
126,228329.075781,1784.97813,0.0,0.0
127,226870.103797,12666.3577911,0.0,0.0
128,226870.103797,18144.2651277,0.0,0.0
129,223621.356581,1784.97813,0.0,0.0
130,200179.295717,1784.97813,0.0,0.0
131,177474.707072,1784.97813,0.0,0.0
132,159905.800529,1784.97813,0.0,0.0
133,149857.09879,1784.97813,0.0,0.0
134,147629.204063,1784.97813,0.0,0.0
135,154405.611591,1784.97813,0.0,0.0
136,173882.490081,1784.97813,0.0,0.0
137,208047.217093,1784.97813,0.0,0.0
138,232824.493863,23673.45,0.0,0.0
139,241927.76604,23673.45,0.0,0.0
140,239204.252722,23673.45,0.0,0.0
141,233216.983036,23673.45,0.0,0.0
142,226870.103797,19861.6703903,0.0,0.0
143,226870.103797,9156.26071093,0.0,0.0
144,225872.680911,1784.97813,0.0,0.0
145,219695.015527,1825.222995,0.0,0.0
146,215371.325359,1825.222995,0.0,0.0
147,213855.397466,1825.222995,0.0,0.0
148,216551.209334,1825.222995,0.0,0.0
149,222678.202839,1825.222995,0.0,0.0
150,231963.622606,1825.222995,0.0,0.0
151,231313.075742,13087.3298456,0.0,0.0
152,231313.075742,19046.1625144,0.0,0.0
153,229465.450926,1825.222995,0.0,0.0
154,204844.556572,1825.222995,0.0,0.0
155,179483.958276,1825.222995,0.0,0.0
156,160102.942915,1825.222995,0.0,0.0
157,149431.553475,1825.222995,0.0,0.0
158,147570.001978,1825.222995,0.0,0.0
159,155868.9819,1825.222995,0.0,0.0
160,175429.524639,1825.222995,0.0,0.0
161,209416.739561,1825.222995,0.0,0.0
162,233623.017456,23673.45,0.0,0.0
163,243374.759081,23673.45,0.0,0.0
164,239803.42509,23673.45,0.0,0.0
165,234280.996602,23673.45,0.0,0.0
166,231313.075742,17927.5754483,0.0,0.0
167,231313.075742,9123.56837168,0.0,0.0
168,232587.477299,1825.222995,0.0,0.0
169,228060.435589,1879.67193,0.0,0.0
170,223923.515048,1879.67193,0.0,0.0
171,223131.708518,1879.67193,0.0,0.0
172,226309.306873,1879.67193,0.0,0.0
