Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,217867.76832,1396.73355,8930.75,0.0
2,217867.76832,1396.73355,4388.75,0.0
3,217867.76832,1396.73355,4850.75,0.0
4,220033.46972,5980.78215,0.0,0.0
5,217867.76832,1396.73355,11829.75,0.0
6,220033.46972,18603.78215,0.0,0.0
7,216514.51832,1396.73355,30000.0,0.0
8,218881.173751,23673.45,0.0,0.0
9,177992.773677,1396.73355,0.0,0.0
10,111955.496531,1396.73355,0.0,0.0
11,71988.4274765,1396.73355,0.0,-18037.3538203
12,47879.2413593,1396.73355,0.0,-30000.0
13,31693.0609711,1396.73355,0.0,-30000.0
14,38088.2091766,1396.73355,0.0,-30000.0
15,54865.5948033,1396.73355,0.0,-30000.0
16,71988.4274765,1396.73355,0.0,-3139.11676794
17,146087.68203,1396.73355,0.0,0.0
18,218982.810811,23673.45,0.0,0.0
19,224386.51832,1396.73355,30000.0,0.0
20,223103.51832,1396.73355,30000.0,0.0
21,226374.80187,23673.45,0.0,0.0
22,218593.80187,23673.45,0.0,0.0
23,220033.46972,13880.78215,0.0,0.0
24,220033.46972,7333.78215,0.0,0.0
25,221240.464565,1361.223375,0.0,0.0
26,217677.464565,1361.223375,0.0,0.0
27,216522.464565,1361.223375,0.0,0.0
28,218829.464565,1361.223375,0.0,0.0
29,219934.853879,1361.223375,4714.61068625,0.0
30,219934.853879,1361.223375,13178.6106863,0.0
31,219934.853879,1361.223375,23145.6106863,0.0
32,219934.853879,1361.223375,18961.1679412,0.0
33,176250.85066,1361.223375,0.0,0.0
34,111768.95444,1361.223375,0.0,0.0
35,70165.0865021,1361.223375,0.0,-15627.8189516
36,46248.1955394,1361.223375,0.0,-30000.0
37,29872.6825887,1361.223375,0.0,-30000.0
38,30832.5379074,1361.223375,0.0,-30000.0
39,46722.9019591,1361.223375,0.0,-30000.0
40,70165.0865021,1361.223375,0.0,-5548.65163659
41,148890.205582,1361.223375,0.0,0.0
42,229520.224933,23673.45,0.0,0.0
43,227838.73794,23673.45,15557.5,0.0
44,227838.73794,23673.45,14442.5,0.0
45,223728.378928,7533.3090125,30000.0,0.0
46,228955.23794,23673.45,0.0,0.0
47,220269.23794,23673.45,0.0,0.0
48,223728.378927,13799.3090125,0.0,0.0
49,230626.742835,1427.509035,0.0,0.0
50,226681.742835,1427.509035,0.0,0.0
51,225854.742835,1427.509035,0.0,0.0
52,228162.742835,1427.509035,0.0,0.0
53,230464.954507,1427.509035,3607.78832759,0.0
54,230464.954507,1427.509035,12680.7883276,0.0
55,230464.954507,1427.509035,23380.7883276,0.0
56,230464.954507,1427.509035,20330.6350172,0.0
57,187956.224961,1427.509035,0.0,0.0
58,122588.30999,1427.509035,0.0,0.0
59,74853.4525305,1427.509035,0.0,-14910.9563526
60,47542.8627828,1427.509035,0.0,-30000.0
61,23072.2388742,1427.509035,0.0,-30000.0
62,21436.5235987,1427.509035,0.0,-30000.0
63,45822.7779941,1427.509035,0.0,-30000.0
64,74853.4525305,1427.509035,0.0,-6265.51423561
65,154267.842785,1427.509035,0.0,0.0
66,231002.628871,15741.9658073,10460.4810035,0.0
67,231002.628871,23673.45,18541.1729988,0.0
68,231002.628871,23673.45,17816.1729988,0.0
69,231002.628871,23673.45,13182.1729988,0.0
70,235624.80187,23673.45,0.0,0.0
71,231002.628871,18227.6229988,0.0,0.0
72,231002.628871,9909.62299884,0.0,0.0
73,220831.032077,1581.38646,12150.8333333,0.0
74,220831.032077,1581.38646,7349.83333333,0.0
75,220831.032077,1581.38646,5151.83333333,0.0
76,220831.032077,1581.38646,6851.83333333,0.0
77,220831.032077,1581.38646,11016.8333333,0.0
78,220831.032077,1581.38646,17478.8333333,0.0
79,223640.80187,23673.45,0.0,0.0
80,225060.803633,15603.8624909,0.0,0.0
81,171168.827622,1581.38646,0.0,0.0
82,101502.696828,1581.38646,0.0,0.0
83,65303.4827091,1581.38646,0.0,-21176.4705882
84,37142.3442852,1581.38646,0.0,-30000.0
85,17271.1561247,1581.38646,0.0,-30000.0
86,21314.2286798,1581.38646,0.0,-30000.0
87,46435.7116318,1581.38646,0.0,-30000.0
88,68881.5035198,1581.38646,0.0,0.0
89,146180.14882,1581.38646,0.0,0.0
90,225060.803633,16541.9266013,0.0,0.0
91,225060.803633,8420.44647391,24031.001763,0.0
92,226270.86541,1581.38646,30000.0,0.0
93,225060.803633,23673.45,5968.99823696,0.0
94,223709.80187,23673.45,0.0,0.0
95,225060.803633,15536.448237,0.0,0.0
96,225060.803633,10415.448237,0.0,0.0
97,220402.554647,1676.08026,9126.90996286,0.0
98,220402.554647,1676.08026,5830.90996286,0.0
99,220402.554647,1676.08026,5479.90996286,0.0
100,220402.554647,1676.08026,7179.90996286,0.0
101,220402.554647,1676.08026,11344.9099629,0.0
102,220402.554647,1676.08026,17805.9099629,0.0
103,220402.554647,23673.45,3231.54022286,0.0
104,217330.002123,23673.45,0.0,0.0
105,171714.649691,1676.08026,0.0,0.0
106,102264.423331,1676.08026,0.0,0.0
107,57171.6704806,1676.08026,0.0,-16267.2705462
108,28087.6475585,1676.08026,0.0,-30000.0
109,4913.86902872,1676.08026,0.0,-30000.0
110,4801.77482031,1676.08026,0.0,-30000.0
111,29760.7337384,1676.08026,0.0,-30000.0
112,57171.6704806,1676.08026,0.0,-4909.20004207
113,135378.176967,1676.08026,0.0,0.0
114,221889.458076,18694.0227643,0.0,0.0
115,221889.458076,14746.7235879,20868.3632061,0.0
116,226168.46461,1676.08026,30000.0,0.0
117,221889.458076,23673.45,9131.63679393,0.0
118,223703.09487,23673.45,0.0,0.0
119,221889.458076,17254.0867939,0.0,0.0
120,221889.458076,10876.0867939,0.0,0.0
121,225479.00281,1784.97813,0.0,0.0
122,220770.00281,1784.97813,0.0,0.0
123,218991.00281,1784.97813,0.0,0.0
124,221095.00281,1784.97813,0.0,0.0
125,220566.434312,1784.97813,5553.56849783,0.0
