Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,170356.826036,2164.415,0.0,0.0
2,167468.721765,2164.415,0.0,0.0
3,169871.043854,2164.415,0.0,0.0
4,175210.000956,2164.415,0.0,0.0
5,183570.924768,2164.415,0.0,0.0
6,184755.162703,10052.8819056,0.0,0.0
7,184755.162703,19550.9772223,0.0,0.0
8,184755.162703,27435.4522594,0.0,0.0
9,184755.162703,29134.7331196,0.0,0.0
10,184755.162703,27267.6364625,0.0,0.0
11,184755.162703,17053.1553029,0.0,0.0
12,184755.162703,7886.05757834,0.0,0.0
13,185639.454116,2164.415,0.0,0.0
14,186544.129046,2164.415,0.0,0.0
15,186553.19408,2164.415,0.0,0.0
16,188999.211054,2164.415,0.0,0.0
17,184755.162703,13976.6395297,0.0,0.0
18,184755.162703,29108.8986898,0.0,0.0
19,184755.162703,26809.6420345,0.0,0.0
20,184755.162703,15928.6598953,0.0,0.0
21,188298.094836,2164.415,0.0,0.0
22,179894.109803,2164.415,0.0,0.0
23,173754.29223,2164.415,0.0,0.0
24,171341.032459,2164.415,0.0,0.0
25,171230.489688,2109.3875,0.0,0.0
26,171104.431607,2109.3875,0.0,0.0
27,172802.936267,2109.3875,0.0,0.0
28,179150.783228,2109.3875,0.0,0.0
29,188057.334053,2109.3875,0.0,0.0
30,198212.043572,2109.3875,0.0,0.0
31,206457.778172,5053.41429764,0.0,0.0
32,206457.778172,14531.3287732,0.0,0.0
33,206457.778172,18660.6627062,0.0,0.0
34,206457.778172,18358.8977705,0.0,0.0
35,206457.778172,11228.3518219,0.0,0.0
36,206457.778172,7614.77843738,0.0,0.0
37,211232.256354,2109.3875,0.0,0.0
38,210293.686974,2109.3875,0.0,0.0
39,206457.778172,7901.32779723,0.0,0.0
40,206457.778172,13758.2581582,0.0,0.0
41,206457.778172,25311.792334,0.0,0.0
42,209623.655666,36685.0,0.0,0.0
43,205265.084142,36685.0,0.0,0.0
44,206457.778172,23242.5846309,0.0,0.0
45,206457.778172,10107.4697729,0.0,0.0
46,204154.640398,2109.3875,0.0,0.0
47,197455.55162,2109.3875,0.0,0.0
48,193388.863973,2109.3875,0.0,0.0
49,190767.800281,2212.1055,0.0,0.0
50,188950.999594,2212.1055,0.0,0.0
51,189865.647821,2212.1055,0.0,0.0
52,193726.146231,2212.1055,0.0,0.0
53,202065.51922,2212.1055,0.0,0.0
54,212660.290006,2212.1055,0.0,0.0
55,224498.539488,2212.1055,0.0,0.0
56,224144.784697,13166.8227728,0.0,0.0
57,224144.784697,17000.8455202,0.0,0.0
58,224144.784697,16417.673056,0.0,0.0
59,224144.784697,7933.63027776,0.0,0.0
60,223824.235582,2212.1055,0.0,0.0
61,221063.179675,2212.1055,0.0,0.0
62,219054.193388,2212.1055,0.0,0.0
63,220615.01904,2212.1055,0.0,0.0
64,227923.718449,2212.1055,0.0,0.0
65,224144.784697,18316.8728226,0.0,0.0
66,222095.904502,36685.0,0.0,0.0
67,223960.742818,36685.0,0.0,0.0
68,224144.784697,31335.5922478,0.0,0.0
69,224144.784697,23197.7961115,0.0,0.0
70,224144.784697,15417.4753469,0.0,0.0
71,224144.784697,7428.0493444,0.0,0.0
72,223060.571587,2212.1055,0.0,0.0
73,212608.819182,7551.64652262,0.0,0.0
74,214409.476012,2450.558,0.0,0.0
75,213499.978034,2450.558,0.0,0.0
76,212608.819182,6484.86368772,0.0,0.0
77,212608.819182,10964.0452886,0.0,0.0
78,212608.819182,16948.709722,0.0,0.0
79,212608.819182,23557.2482858,0.0,0.0
80,212608.819182,27991.8345047,0.0,0.0
81,212608.819182,25408.0061088,0.0,0.0
82,212608.819182,20392.412434,0.0,0.0
83,212608.819182,9625.79134178,0.0,0.0
84,212136.855608,2450.558,0.0,0.0
85,205251.600654,2450.558,0.0,0.0
86,202412.758459,2450.558,0.0,0.0
87,202208.636556,2450.558,0.0,0.0
88,208496.708826,2450.558,0.0,0.0
89,212608.819182,8521.76846509,0.0,0.0
90,212608.819182,22487.5626469,0.0,0.0
91,212608.819182,22288.7624463,0.0,0.0
92,212608.819182,16708.9636448,0.0,0.0
93,212608.819182,8904.93390089,0.0,0.0
94,208981.923795,2450.558,0.0,0.0
95,201853.762954,2450.558,0.0,0.0
96,199306.696215,2450.558,0.0,0.0
97,198671.003959,2597.298,0.0,0.0
98,199670.587061,2597.298,0.0,0.0
99,203168.970618,2597.298,0.0,0.0
100,207819.89502,2597.298,0.0,0.0
101,211638.207983,4250.59535494,0.0,0.0
