Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,178891.163938,2164.415,0.0,0.0
2,175359.377146,2164.415,0.0,0.0
3,177198.319477,2164.415,0.0,0.0
4,181346.849982,2164.415,0.0,0.0
5,183991.815249,6890.31511918,0.0,0.0
6,183991.815249,15546.3399778,0.0,0.0
7,183991.815249,25025.4615781,0.0,0.0
8,183991.815249,30876.5633886,0.0,0.0
9,183991.815249,23089.5360424,0.0,0.0
10,183991.815249,11468.2922347,0.0,0.0
11,176086.101118,2164.415,0.0,0.0
12,162310.655429,2164.415,0.0,0.0
13,154867.625729,2164.415,0.0,0.0
14,155974.238466,2164.415,0.0,0.0
15,157550.029572,2164.415,0.0,0.0
16,166363.168713,2164.415,0.0,0.0
17,184958.416838,2164.415,0.0,0.0
18,183991.815249,31027.942078,0.0,0.0
19,183991.815249,32301.6603679,0.0,0.0
20,183991.815249,24301.2030352,0.0,0.0
21,183991.815249,15924.1607442,0.0,0.0
22,183991.815249,7753.25943395,0.0,0.0
23,182648.263792,2164.415,0.0,0.0
24,178854.783453,2164.415,0.0,0.0
25,177242.723615,2109.3875,0.0,0.0
26,175997.200088,2109.3875,0.0,0.0
27,176980.713048,2109.3875,0.0,0.0
28,181950.570953,2109.3875,0.0,0.0
29,189874.28293,2109.3875,0.0,0.0
30,199326.820249,2109.3875,0.0,0.0
31,197458.763906,14608.1466205,0.0,0.0
32,197458.763906,22202.0034144,0.0,0.0
33,197458.763906,15962.4035563,0.0,0.0
34,200855.519093,2109.3875,0.0,0.0
35,186072.664397,2109.3875,0.0,0.0
36,175387.515961,2109.3875,0.0,0.0
37,172513.736681,2109.3875,0.0,0.0
38,172477.067707,2109.3875,0.0,0.0
39,175485.062253,2109.3875,0.0,0.0
40,187509.237708,2109.3875,0.0,0.0
41,197458.763906,14540.9295141,0.0,0.0
42,204533.295896,36685.0,0.0,0.0
43,204760.736543,36685.0,0.0,0.0
44,195691.840311,36685.0,0.0,0.0
45,197458.763906,24087.2537909,0.0,0.0
46,197458.763906,14317.9910436,0.0,0.0
47,197458.763906,7036.97606026,0.0,0.0
48,197560.120893,2109.3875,0.0,0.0
49,193877.822902,2212.1055,0.0,0.0
50,191366.535605,2212.1055,0.0,0.0
51,191612.994583,2212.1055,0.0,0.0
52,194932.64389,2212.1055,0.0,0.0
53,202260.113101,2212.1055,0.0,0.0
54,212288.132637,2212.1055,0.0,0.0
55,214986.949054,10894.5624514,0.0,0.0
56,214986.949054,19387.1931427,0.0,0.0
57,214986.949054,13063.8510999,0.0,0.0
58,214767.172756,2212.1055,0.0,0.0
59,198173.916029,2212.1055,0.0,0.0
60,186234.131389,2212.1055,0.0,0.0
61,180559.198149,2212.1055,0.0,0.0
62,178332.493659,2212.1055,0.0,0.0
63,182923.85285,2212.1055,0.0,0.0
64,196508.292092,2212.1055,0.0,0.0
65,219128.753865,2212.1055,0.0,0.0
66,214478.423571,36685.0,0.0,0.0
67,219344.732369,36685.0,0.0,0.0
68,215607.370534,36685.0,0.0,0.0
69,214986.949054,30155.3277044,0.0,0.0
70,214986.949054,22064.943276,0.0,0.0
71,214986.949054,13539.6688256,0.0,0.0
72,219461.231867,2212.1055,0.0,0.0
73,205735.233275,10482.8409576,0.0,0.0
74,209930.441363,2450.558,0.0,0.0
75,208698.068294,2450.558,0.0,0.0
76,205735.233275,8080.50524871,0.0,0.0
77,205735.233275,12450.1758492,0.0,0.0
78,205735.233275,18546.9205268,0.0,0.0
79,205735.233275,25381.7191129,0.0,0.0
80,205735.233275,28503.6806766,0.0,0.0
81,205735.233275,16210.9557249,0.0,0.0
82,204490.238081,2450.558,0.0,0.0
83,186915.426827,2450.558,0.0,0.0
84,174927.766723,2450.558,0.0,0.0
85,164356.827259,2450.558,0.0,0.0
86,162888.54604,2450.558,0.0,0.0
87,166037.057478,2450.558,0.0,0.0
88,179105.020706,2450.558,0.0,0.0
89,200453.83058,2450.558,0.0,0.0
90,205735.233275,24563.8947428,0.0,0.0
91,205735.233275,27936.9276303,0.0,0.0
92,205735.233275,24349.4641406,0.0,0.0
93,205735.233275,17921.6339354,0.0,0.0
94,205735.233275,8506.71445427,0.0,0.0
95,204710.042473,2450.558,0.0,0.0
96,201472.638256,2450.558,0.0,0.0
97,199547.723235,2597.298,0.0,0.0
98,199227.414588,2597.298,0.0,0.0
99,201635.680046,2597.298,0.0,0.0
100,205517.892185,2597.298,0.0,0.0
101,204476.808315,8951.47461091,0.0,0.0
102,204476.808315,15799.9033225,0.0,0.0
103,204476.808315,23091.3526865,0.0,0.0
104,204476.808315,27120.9957547,0.0,0.0
105,204476.808315,14176.6542401,0.0,0.0
106,200569.684639,2597.298,0.0,0.0
107,184971.250296,2597.298,0.0,0.0
108,172238.300666,2597.298,0.0,0.0
109,164161.497418,2597.298,0.0,0.0
110,162884.52381,2597.298,0.0,0.0
111,167339.105563,2597.298,0.0,0.0
112,180261.227245,2597.298,0.0,0.0
113,202679.752352,2597.298,0.0,0.0
114,204476.808315,30613.4675129,0.0,0.0
115,203260.403941,36685.0,0.0,0.0
116,200470.876064,36685.0,0.0,0.0
117,204476.808315,27207.1491775,0.0,0.0
118,204476.808315,19065.865478,0.0,0.0
119,204476.808315,10546.896917,0.0,0.0
120,206151.233882,2597.298,0.0,0.0
121,200930.275434,2766.049,0.0,0.0
122,196744.330079,2766.049,0.0,0.0
123,194872.390025,2766.049,0.0,0.0
124,197707.935869,2766.049,0.0,0.0
125,203509.718591,2766.049,0.0,0.0
126,204416.055463,10242.6071943,0.0,0.0
127,204416.055463,19886.4233325,0.0,0.0
128,204416.055463,27081.9079811,0.0,0.0
129,204416.055463,17856.9227766,0.0,0.0
130,205968.851382,2766.049,0.0,0.0
131,190847.041413,2766.049,0.0,0.0
132,177931.843581,2766.049,0.0,0.0
133,170213.990882,2766.049,0.0,0.0
134,167556.46895,2766.049,0.0,0.0
135,171533.013779,2766.049,0.0,0.0
136,184603.994109,2766.049,0.0,0.0
137,208648.095373,2766.049,0.0,0.0
138,207255.465602,36685.0,0.0,0.0
139,212328.422885,36685.0,0.0,0.0
140,207002.252931,36685.0,0.0,0.0
141,204416.055463,31261.8843821,0.0,0.0
142,204416.055463,19980.50331,0.0,0.0
143,204416.055463,8618.69872337,0.0,0.0
144,201825.542053,2766.049,0.0,0.0
145,195618.699025,2828.4135,0.0,0.0
146,191654.396176,2828.4135,0.0,0.0
147,190463.109627,2828.4135,0.0,0.0
148,193686.076663,2828.4135,0.0,0.0
149,200450.352263,2828.4135,0.0,0.0
150,206024.002522,7209.30285443,0.0,0.0
151,206024.002522,18396.0162544,0.0,0.0
152,206024.002522,26468.752618,0.0,0.0
153,206024.002522,18312.3043396,0.0,0.0
154,208349.118893,2828.4135,0.0,0.0
155,191348.708567,2828.4135,0.0,0.0
156,176922.788456,2828.4135,0.0,0.0
157,168692.731542,2828.4135,0.0,0.0
158,166765.731548,2828.4135,0.0,0.0
159,171903.231772,2828.4135,0.0,0.0
160,184839.790027,2828.4135,0.0,0.0
161,208466.788424,2828.4135,0.0,0.0
162,206826.668379,36685.0,0.0,0.0
163,212750.438037,36685.0,0.0,0.0
164,206805.20495,36685.0,0.0,0.0
165,206024.002522,30448.411398,0.0,0.0
166,206024.002522,21153.5345509,0.0,0.0
167,206024.002522,12067.5226847,0.0,0.0
168,209488.163167,2828.4135,0.0,0.0
169,205384.652106,2912.789,0.0,0.0
170,201632.315299,2912.789,0.0,0.0
171,201403.748538,2912.789,0.0,0.0
172,205309.328553,2912.789,0.0,0.0
173,211691.847585,2912.789,0.0,0.0
174,207622.592541,16139.4106111,0.0,0.0
175,207622.592541,22269.2065925,0.0,0.0
176,207622.592541,27602.0115504,0.0,0.0
177,207622.592541,16963.9850894,0.0,0.0
178,204612.735431,2912.789,0.0,0.0
179,181429.825811,2912.789,0.0,0.0
180,164704.854747,2912.789,0.0,0.0
181,156831.482712,2912.789,0.0,0.0
182,156192.255029,2912.789,0.0,0.0
183,161867.577959,2912.789,0.0,0.0
184,175614.241175,2912.789,0.0,0.0
185,200184.243642,2912.789,0.0,0.0
186,207622.592541,29949.2819548,0.0,0.0
187,208032.041933,36685.0,0.0,0.0
188,207622.592541,33468.9431011,0.0,0.0
189,207622.592541,28027.1667684,0.0,0.0
190,207622.592541,19947.7391127,0.0,0.0
191,207622.592541,11876.8429197,0.0,0.0
192,210658.572494,2912.789,0.0,0.0
193,204560.783453,3220.943,0.0,0.0
194,199977.585301,3220.943,0.0,0.0
195,198653.530702,3220.943,0.0,0.0
196,200978.766372,3220.943,0.0,0.0
197,206170.343783,3220.943,0.0,0.0
198,209234.347355,8566.47620552,0.0,0.0
199,209234.347355,18506.4412974,0.0,0.0
200,209234.347355,25104.9124767,0.0,0.0
201,209234.347355,14128.1716637,0.0,0.0
202,204625.602409,3220.943,0.0,0.0
203,186433.573658,3220.943,0.0,0.0
204,168732.666538,3220.943,0.0,0.0
205,161648.777499,3220.943,0.0,0.0
206,162505.291965,3220.943,0.0,0.0
207,170763.822307,3220.943,0.0,0.0
208,185237.438935,3220.943,0.0,0.0
209,209487.725273,3220.943,0.0,0.0
210,208415.634535,36685.0,0.0,0.0
211,213987.526383,36685.0,0.0,0.0
212,208491.679681,36685.0,0.0,0.0
213,209234.347355,29580.8590632,0.0,0.0
214,209234.347355,20578.188775,0.0,0.0
215,209234.347355,12095.3822186,0.0,0.0
216,212716.102077,3220.943,0.0,0.0
217,207226.162252,3257.628,0.0,0.0
218,203154.929014,3257.628,0.0,0.0
219,202039.617797,3257.628,0.0,0.0
220,206209.451994,3257.628,0.0,0.0
221,212708.368482,3257.628,0.0,0.0
222,213549.9872,12410.6332498,0.0,0.0
