Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,94312.8724958,1396.73355,0.0,0.0
2,83369.3704233,1396.73355,0.0,0.0
3,82063.2464593,1396.73355,0.0,0.0
4,87409.5999641,1396.73355,0.0,0.0
5,100761.465406,1396.73355,0.0,0.0
6,119616.927532,1396.73355,0.0,0.0
7,148132.5179,1396.73355,0.0,0.0
8,152616.421352,22718.3873575,0.0,0.0
9,164013.309607,23673.45,0.0,0.0
10,162733.399055,23673.45,0.0,0.0
11,152616.421352,22271.9740802,0.0,0.0
12,152616.421352,6527.57602335,0.0,0.0
13,132545.312791,1396.73355,0.0,0.0
14,133538.17838,1396.73355,0.0,0.0
15,137231.318629,1396.73355,0.0,0.0
16,140505.695781,1396.73355,0.0,0.0
17,151401.898344,1396.73355,0.0,0.0
18,152616.421352,21442.0339587,0.0,0.0
19,152616.421352,18789.3236302,0.0,0.0
20,150996.093726,1396.73355,0.0,0.0
21,133472.093607,1396.73355,0.0,0.0
22,122480.3367,1396.73355,0.0,0.0
23,108293.728443,1396.73355,0.0,0.0
24,101105.617323,1396.73355,0.0,0.0
25,90889.3117938,1361.223375,0.0,0.0
26,87831.9268735,1361.223375,0.0,0.0
27,89407.3407936,1361.223375,0.0,0.0
28,97618.0030054,1361.223375,0.0,0.0
29,110522.797993,1361.223375,0.0,0.0
30,129674.088069,1361.223375,0.0,0.0
31,154008.234281,1361.223375,0.0,0.0
32,181281.959676,4620.02940003,0.0,0.0
33,181281.959676,18464.3073306,0.0,0.0
34,181281.959676,19540.3632075,0.0,0.0
35,181281.959676,9981.29858901,0.0,0.0
36,180348.018377,1361.223375,0.0,0.0
37,177557.090995,1361.223375,0.0,0.0
38,172214.227585,1361.223375,0.0,0.0
39,175497.820773,1361.223375,0.0,0.0
40,181281.959676,2437.92300265,0.0,0.0
41,181281.959676,19672.5886189,0.0,0.0
42,200244.42464,23673.45,0.0,0.0
43,198927.786248,23673.45,0.0,0.0
44,181281.959676,20358.9046263,0.0,0.0
45,176712.63386,1361.223375,0.0,0.0
46,160068.005849,1361.223375,0.0,0.0
47,145971.041494,1361.223375,0.0,0.0
48,131090.904308,1361.223375,0.0,0.0
49,118880.34396,1427.509035,0.0,0.0
50,113277.209295,1427.509035,0.0,0.0
51,113083.723634,1427.509035,0.0,0.0
52,116488.951,1427.509035,0.0,0.0
53,127352.44152,1427.509035,0.0,0.0
54,148353.241926,1427.509035,0.0,0.0
55,176776.481112,1427.509035,0.0,0.0
56,209047.361156,1427.509035,0.0,0.0
57,212915.626158,12436.9887366,0.0,0.0
58,212915.626158,10602.4278213,0.0,0.0
59,212915.626158,5519.36041563,0.0,0.0
60,205263.46272,1427.509035,0.0,0.0
61,198532.566612,1427.509035,0.0,0.0
62,182131.491206,1427.509035,0.0,0.0
63,181530.651599,1427.509035,0.0,0.0
64,191304.315969,1427.509035,0.0,0.0
65,212915.626158,3026.75813267,0.0,0.0
