Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,138725.260486,1396.73355,0.0,0.0
2,136518.456215,1396.73355,0.0,0.0
3,138851.478304,1396.73355,0.0,0.0
4,143905.585406,1396.73355,0.0,0.0
5,144633.925469,8267.31729901,0.0,0.0
6,144634.475469,16208.0221396,0.0,0.0
7,145276.042926,23673.45,0.0,0.0
8,144634.475469,15635.2858209,0.0,0.0
9,88333.8851678,1396.73355,0.0,0.0
10,15178.4253958,1396.73355,0.0,0.0
11,0.25,1396.73355,0.0,0.0
12,0.0499999999884,1396.73355,0.0,0.0
13,0.200000000012,1396.73355,0.0,0.0
14,0.0499999999884,1396.73355,0.0,0.0
15,0.0,1396.73355,0.0,0.0
16,-0.399999999732,1396.73355,0.0,0.0
17,58503.4841754,1396.73355,0.0,0.0
18,141358.258908,23673.45,0.0,0.0
19,150424.123882,23673.45,0.0,0.0
20,144634.025469,19210.4659744,0.0,0.0
21,144633.825469,10151.4873661,0.0,0.0
22,146151.744253,1396.73355,0.0,0.0
23,141264.87668,1396.73355,0.0,0.0
24,139833.666909,1396.73355,0.0,0.0
25,140420.606813,1361.223375,0.0,0.0
26,140828.998732,1361.223375,0.0,0.0
27,142700.753392,1361.223375,0.0,0.0
28,148702.550353,1361.223375,0.0,0.0
29,156736.101178,1361.223375,0.0,0.0
30,159484.909903,7497.52416856,0.0,0.0
31,159484.859903,17192.2855667,0.0,0.0
32,159484.609903,10960.36067,0.0,0.0
33,100595.966192,1361.223375,0.0,0.0
34,31143.8799449,1361.223375,0.0,0.0
35,-0.200000000012,1361.223375,0.0,0.0
36,-0.100000000006,1361.223375,0.0,0.0
37,0.200000000012,1361.223375,0.0,0.0
38,-0.399999999994,1361.223375,0.0,0.0
39,0.100000000006,1361.223375,0.0,0.0
40,0.250000000087,1361.223375,0.0,0.0
41,84914.145267,1361.223375,0.0,0.0
42,172185.330051,23673.45,0.0,0.0
43,179145.838126,23673.45,0.0,0.0
44,167483.203261,23673.45,0.0,0.0
45,155534.750945,23673.45,0.0,0.0
46,159484.809903,10717.1209947,0.0,0.0
47,163444.518745,1361.223375,0.0,0.0
48,160340.081098,1361.223375,0.0,0.0
49,158574.299746,1427.509035,0.0,0.0
50,157349.249059,1427.509035,0.0,0.0
51,158387.947286,1427.509035,0.0,0.0
52,161902.245696,1427.509035,0.0,0.0
53,169355.118685,1427.509035,0.0,0.0
54,178588.939471,1427.509035,0.0,0.0
55,183605.97683,6643.72115779,0.0,0.0
56,184013.630236,1427.509035,0.0,0.0
57,115044.408903,1427.509035,0.0,0.0
58,45138.6482882,1427.509035,0.0,0.0
59,0.0499999999884,1427.509035,0.0,0.0
60,0.0499999999884,1427.509035,0.0,0.0
61,0.450000000012,1427.509035,0.0,0.0
62,0.299999999988,1427.509035,0.0,0.0
63,0.299999999988,1427.509035,0.0,0.0
64,-0.399999999849,1427.509035,0.0,0.0
65,93643.2208649,1427.509035,0.0,0.0
66,182309.564684,23673.45,0.0,0.0
67,196911.344675,23673.45,0.0,0.0
68,192270.632507,23673.45,0.0,0.0
69,185320.433809,23673.45,0.0,0.0
70,183606.22683,18891.336214,0.0,0.0
71,183606.42683,12411.9102115,0.0,0.0
72,183606.12683,7359.75325674,0.0,0.0
73,177915.725268,8890.29343621,0.0,0.0
74,182644.350552,1581.38646,0.0,0.0
75,177915.575268,5730.36376518,0.0,0.0
76,177915.575268,8618.51060131,0.0,0.0
77,177914.825268,12473.6922022,0.0,0.0
78,177915.525268,17488.3566356,0.0,0.0
79,177225.520468,23673.45,0.0,0.0
80,177915.575268,12133.2453789,0.0,0.0
81,111862.135678,1581.38646,0.0,0.0
82,34414.986933,1581.38646,0.0,0.0
83,-0.350000000006,1581.38646,0.0,0.0
84,-0.399999999994,1581.38646,0.0,0.0
85,0.0499999999884,1581.38646,0.0,0.0
86,-0.299999999988,1581.38646,0.0,0.0
87,-0.449999999983,1581.38646,0.0,0.0
88,-0.500000000407,1581.38646,0.0,0.0
89,84004.6575138,1581.38646,0.0,0.0
90,177915.075268,7824.0880278,0.0,0.0
91,174427.334628,23673.45,0.0,0.0
92,177915.375268,14554.6105584,0.0,0.0
93,177915.725268,7222.58081448,0.0,0.0
94,174573.648335,1581.38646,0.0,0.0
95,168463.387494,1581.38646,0.0,0.0
96,166684.470755,1581.38646,0.0,0.0
97,166758.341699,1676.08026,0.0,0.0
98,168252.324801,1676.08026,0.0,0.0
99,171803.358358,1676.08026,0.0,0.0
100,176199.28276,1676.08026,0.0,0.0
101,175870.098267,6852.12507134,0.0,0.0
102,175869.948267,12828.1457997,0.0,0.0
103,175870.498267,18995.6907097,0.0,0.0
104,175870.148267,9992.92885093,0.0,0.0
105,108695.133836,1676.08026,0.0,0.0
106,33904.9400946,1676.08026,0.0,0.0
107,0.399999999994,1676.08026,0.0,0.0
108,0.350000000006,1676.08026,0.0,0.0
109,-0.200000000012,1676.08026,0.0,0.0
110,0.450000000012,1676.08026,0.0,0.0
111,0.0,1676.08026,0.0,0.0
112,-0.200000000012,1676.08026,0.0,0.0
113,79609.5116683,1676.08026,0.0,0.0
114,175870.498267,17068.7412527,0.0,0.0
115,184421.249959,23673.45,0.0,0.0
116,180424.930798,23673.45,0.0,0.0
117,174465.70619,23673.45,0.0,0.0
