Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,218783.87832,1396.73355,0.0,0.0
2,214241.87832,1396.73355,0.0,0.0
3,214703.87832,1396.73355,0.0,0.0
4,216602.87832,1396.73355,0.0,0.0
5,221682.87832,1396.73355,0.0,0.0
6,220896.172314,9726.43955562,0.0,0.0
7,220896.172314,19000.4395556,0.0,0.0
8,220896.172314,13643.8114368,0.0,0.0
9,169978.133677,1396.73355,0.0,0.0
10,103940.856531,1396.73355,0.0,0.0
11,45936.4336562,1396.73355,0.0,0.0
12,9864.60135932,1396.73355,0.0,0.0
13,0.0,1396.73355,0.0,0.0
14,73.569176568,1396.73355,0.0,0.0
15,16850.9548033,1396.73355,0.0,0.0
16,60834.6707086,1396.73355,0.0,0.0
17,138073.04203,1396.73355,0.0,0.0
18,220896.172314,13745.4484964,0.0,0.0
19,224095.16187,23673.45,0.0,0.0
20,222812.16187,23673.45,0.0,0.0
21,218360.16187,23673.45,0.0,0.0
22,220896.172314,13356.4395556,0.0,0.0
23,224502.87832,1396.73355,0.0,0.0
24,217955.87832,1396.73355,0.0,0.0
25,213225.824565,1361.223375,0.0,0.0
26,209662.824565,1361.223375,0.0,0.0
27,208507.824565,1361.223375,0.0,0.0
28,210814.824565,1361.223375,0.0,0.0
29,216634.824565,1361.223375,0.0,0.0
30,225098.824565,1361.223375,0.0,0.0
31,226199.256436,10227.791504,0.0,0.0
32,226199.256436,6043.348759,0.0,0.0
33,168236.21066,1361.223375,0.0,0.0
34,103754.31444,1361.223375,0.0,0.0
35,46522.6275504,1361.223375,0.0,0.0
36,8233.55553936,1361.223375,0.0,0.0
37,0.0,1361.223375,0.0,0.0
38,0.0,1361.223375,0.0,0.0
39,8708.26195912,1361.223375,0.0,0.0
40,56601.7948655,1361.223375,0.0,0.0
41,140875.565582,1361.223375,0.0,0.0
42,221505.584933,23673.45,0.0,0.0
43,235381.59794,23673.45,0.0,0.0
44,234266.59794,23673.45,0.0,0.0
45,229573.59794,23673.45,0.0,0.0
46,226199.256436,18414.791504,0.0,0.0
47,226199.256436,9728.791504,0.0,0.0
48,226199.256436,3313.791504,0.0,0.0
49,222612.102835,1427.509035,0.0,0.0
50,218667.102835,1427.509035,0.0,0.0
51,217840.102835,1427.509035,0.0,0.0
52,220148.102835,1427.509035,0.0,0.0
53,226058.102835,1427.509035,0.0,0.0
54,235131.102835,1427.509035,0.0,0.0
55,232835.311802,14423.3000677,0.0,0.0
56,232835.311802,11373.1467573,0.0,0.0
57,179941.584961,1427.509035,0.0,0.0
58,114573.66999,1427.509035,0.0,0.0
59,51927.8561778,1427.509035,0.0,0.0
