Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,226798.51832,1396.73355,0.0,0.0
2,222256.51832,1396.73355,0.0,0.0
3,222718.51832,1396.73355,0.0,0.0
4,224617.51832,1396.73355,0.0,0.0
5,229697.51832,1396.73355,0.0,0.0
6,229662.216989,8975.03488148,0.0,0.0
7,229662.216989,18249.0348815,0.0,0.0
8,229662.216989,13527.5939385,0.0,0.0
9,183304.542793,1396.73355,0.0,0.0
10,156705.637307,1396.73355,0.0,0.0
11,140533.389349,1396.73355,0.0,0.0
12,131727.944082,1396.73355,0.0,0.0
13,126846.209267,1396.73355,0.0,0.0
14,127079.921719,1396.73355,0.0,0.0
15,127780.327585,1396.73355,0.0,0.0
16,139011.411482,1396.73355,0.0,0.0
17,173629.305527,1396.73355,0.0,0.0
18,229662.216989,16547.9938041,0.0,0.0
19,232109.80187,23673.45,0.0,0.0
20,230826.80187,23673.45,0.0,0.0
21,229662.216989,20386.0348815,0.0,0.0
22,229662.216989,12605.0348815,0.0,0.0
23,229662.216989,4252.03488148,0.0,0.0
24,225970.51832,1396.73355,0.0,0.0
25,221240.464565,1361.223375,0.0,0.0
26,217677.464565,1361.223375,0.0,0.0
27,216522.464565,1361.223375,0.0,0.0
28,218829.464565,1361.223375,0.0,0.0
29,224649.464565,1361.223375,0.0,0.0
30,233113.464565,1361.223375,0.0,0.0
31,233847.122722,10594.5652184,0.0,0.0
32,233847.122722,6895.59574466,0.0,0.0
33,179759.109271,1361.223375,0.0,0.0
34,153264.305828,1361.223375,0.0,0.0
35,138772.925925,1361.223375,0.0,0.0
36,128001.583981,1361.223375,0.0,0.0
37,125820.532399,1361.223375,0.0,0.0
38,125625.752623,1361.223375,0.0,0.0
39,125915.016607,1361.223375,0.0,0.0
40,139088.787898,1361.223375,0.0,0.0
41,174931.305116,1361.223375,0.0,0.0
42,231960.51553,23673.45,0.0,0.0
43,243396.23794,23673.45,0.0,0.0
44,242281.23794,23673.45,0.0,0.0
45,237588.23794,23673.45,0.0,0.0
46,233847.122722,18781.5652184,0.0,0.0
47,233847.122722,10095.5652184,0.0,0.0
48,236166.464565,1361.223375,0.0,0.0
49,230626.742835,1427.509035,0.0,0.0
50,226681.742835,1427.509035,0.0,0.0
51,225854.742835,1427.509035,0.0,0.0
52,228162.742835,1427.509035,0.0,0.0
53,234072.742835,1427.509035,0.0,0.0
54,243145.742835,1427.509035,0.0,0.0
55,241509.214356,13764.0375141,0.0,0.0
56,241509.214356,10860.0138792,0.0,0.0
57,190106.220058,1427.509035,0.0,0.0
58,162608.16447,1427.509035,0.0,0.0
59,143507.094195,1427.509035,0.0,0.0
60,134301.407884,1427.509035,0.0,0.0
61,128902.606628,1427.509035,0.0,0.0
62,126565.613468,1427.509035,0.0,0.0
63,130257.186496,1427.509035,0.0,0.0
64,145688.574758,1427.509035,0.0,0.0
65,181864.118976,1427.509035,0.0,0.0
66,241509.214356,18846.0444185,0.0,0.0
67,249543.80187,23673.45,0.0,0.0
68,248818.80187,23673.45,0.0,0.0
69,244184.80187,23673.45,0.0,0.0
70,241509.214356,17789.0375141,0.0,0.0
71,241509.214356,7721.03751408,0.0,0.0
72,239484.742835,1427.509035,0.0,0.0
73,232981.86541,1581.38646,0.0,0.0
74,228180.86541,1581.38646,0.0,0.0
75,225982.86541,1581.38646,0.0,0.0
76,227682.86541,1581.38646,0.0,0.0
77,231847.86541,1581.38646,0.0,0.0
78,232414.27449,7476.97737963,0.0,0.0
79,232414.27449,14899.9773796,0.0,0.0
80,232414.27449,9962.05142607,0.0,0.0
81,172387.63864,1581.38646,0.0,0.0
82,141870.125163,1581.38646,0.0,0.0
83,126611.437415,1581.38646,0.0,0.0
84,119204.60354,1581.38646,0.0,0.0
85,112242.420358,1581.38646,0.0,0.0
86,113236.777663,1581.38646,0.0,0.0
87,117558.574476,1581.38646,0.0,0.0
88,133800.568569,1581.38646,0.0,0.0
89,171207.159727,1581.38646,0.0,0.0
90,232414.27449,12608.5575554,0.0,0.0
91,233838.80187,23673.45,0.0,0.0
92,234178.80187,23673.45,0.0,0.0
93,231029.80187,23673.45,0.0,0.0
94,232414.27449,14968.9773796,0.0,0.0
95,232414.27449,8182.97737963,0.0,0.0
96,233894.86541,1581.38646,0.0,0.0
97,229529.46461,1676.08026,0.0,0.0
98,226233.46461,1676.08026,0.0,0.0
99,225882.46461,1676.08026,0.0,0.0
100,227582.46461,1676.08026,0.0,0.0
101,231747.46461,1676.08026,0.0,0.0
102,228953.722427,10930.8224434,0.0,0.0
103,228953.722427,18353.8224434,0.0,0.0
104,228953.722427,13604.9926917,0.0,0.0
105,171842.800811,1676.08026,0.0,0.0
106,141305.251574,1676.08026,0.0,0.0
107,124402.693329,1676.08026,0.0,0.0
108,115004.57683,1676.08026,0.0,0.0
109,108834.912897,1676.08026,0.0,0.0
110,108073.790093,1676.08026,0.0,0.0
111,112246.982894,1676.08026,0.0,0.0
112,127387.834745,1676.08026,0.0,0.0
113,164786.77275,1676.08026,0.0,0.0
114,228953.722427,15418.1677347,0.0,0.0
115,233831.09487,23673.45,0.0,0.0
116,234171.09487,23673.45,0.0,0.0
117,231021.09487,23673.45,0.0,0.0
118,228953.722427,18422.8224434,0.0,0.0
119,228953.722427,10189.8224434,0.0,0.0
120,231089.46461,1676.08026,0.0,0.0
121,225479.00281,1784.97813,0.0,0.0
122,220770.00281,1784.97813,0.0,0.0
123,218991.00281,1784.97813,0.0,0.0
124,221095.00281,1784.97813,0.0,0.0
125,226120.00281,1784.97813,0.0,0.0
126,234023.00281,1784.97813,0.0,0.0
127,234466.821471,10241.1594691,0.0,0.0
128,234466.821471,7873.60374276,0.0,0.0
129,173445.7883,1784.97813,0.0,0.0
130,144964.951817,1784.97813,0.0,0.0
131,130806.978663,1784.97813,0.0,0.0
132,122158.594398,1784.97813,0.0,0.0
133,117705.012007,1784.97813,0.0,0.0
134,116678.230951,1784.97813,0.0,0.0
135,119543.323411,1784.97813,0.0,0.0
136,133582.844516,1784.97813,0.0,0.0
137,171029.20489,1784.97813,0.0,0.0
138,231661.842211,23673.45,0.0,0.0
139,247779.53094,23673.45,0.0,0.0
140,247893.53094,23673.45,0.0,0.0
141,244025.53094,23673.45,0.0,0.0
142,234857.53094,23673.45,0.0,0.0
143,234466.821471,13963.1594691,0.0,0.0
144,234466.821471,5862.15946908,0.0,0.0
145,232586.487015,1825.222995,0.0,0.0
146,228110.487015,1825.222995,0.0,0.0
147,226613.487015,1825.222995,0.0,0.0
148,228676.487015,1825.222995,0.0,0.0
149,234000.487015,1825.222995,0.0,0.0
150,242543.487015,1825.222995,0.0,0.0
151,240126.560622,14195.1493884,0.0,0.0
152,240126.560622,11753.034011,0.0,0.0
153,183126.0068,1825.222995,0.0,0.0
154,150028.585146,1825.222995,0.0,0.0
155,132220.45297,1825.222995,0.0,0.0
156,122305.921062,1825.222995,0.0,0.0
157,117765.484794,1825.222995,0.0,0.0
158,116860.804939,1825.222995,0.0,0.0
159,121624.531471,1825.222995,0.0,0.0
160,136304.417423,1825.222995,0.0,0.0
161,173657.348449,1825.222995,0.0,0.0
162,240126.560622,16630.3769987,0.0,0.0
163,250237.26001,23673.45,0.0,0.0
164,249460.26001,23673.45,0.0,0.0
165,245874.26001,23673.45,0.0,0.0
166,237716.26001,23673.45,0.0,0.0
167,240126.560622,12452.1493884,0.0,0.0
168,240126.560622,5979.14938843,0.0,0.0
169,239176.91022,1879.67193,0.0,0.0
170,234588.91022,1879.67193,0.0,0.0
171,233410.91022,1879.67193,0.0,0.0
172,235908.91022,1879.67193,0.0,0.0
173,241535.91022,1879.67193,0.0,0.0
174,250624.91022,1879.67193,0.0,0.0
175,246276.59875,17253.9833999,0.0,0.0
176,246276.59875,16537.3826124,0.0,0.0
177,194095.954815,1879.67193,0.0,0.0
178,160985.129693,1879.67193,0.0,0.0
179,141684.936196,1879.67193,0.0,0.0
180,131229.678313,1879.67193,0.0,0.0
181,124551.788936,1879.67193,0.0,0.0
182,123704.088421,1879.67193,0.0,0.0
183,127273.596449,1879.67193,0.0,0.0
184,141665.386179,1879.67193,0.0,0.0
185,177231.514148,1879.67193,0.0,0.0
186,246276.59875,14315.1038078,0.0,0.0
187,253035.13215,23673.45,0.0,0.0
188,253336.13215,23673.45,0.0,0.0
189,250294.13215,23673.45,0.0,0.0
190,242100.13215,23673.45,0.0,0.0
191,246276.59875,10206.9833999,0.0,0.0
192,247099.91022,1879.67193,0.0,0.0
193,239588.05324,2078.52891,0.0,0.0
194,233868.05324,2078.52891,0.0,0.0
195,231725.05324,2078.52891,0.0,0.0
196,233578.05324,2078.52891,0.0,0.0
197,238586.05324,2078.52891,0.0,0.0
198,246948.05324,2078.52891,0.0,0.0
199,244940.353797,14215.2283531,0.0,0.0
200,244940.353797,13422.2358976,0.0,0.0
201,187190.860471,2078.52891,0.0,0.0
202,153245.159271,2078.52891,0.0,0.0
203,134378.612227,2078.52891,0.0,0.0
204,123695.776293,2078.52891,0.0,0.0
205,118897.10082,2078.52891,0.0,0.0
206,118577.975916,2078.52891,0.0,0.0
207,124783.758769,2078.52891,0.0,0.0
208,139298.05185,2078.52891,0.0,0.0
209,175880.054257,2078.52891,0.0,0.0
210,244940.353797,13890.0489361,0.0,0.0
211,253543.13215,23673.45,0.0,0.0
212,253799.13215,23673.45,0.0,0.0
213,251009.13215,23673.45,0.0,0.0
214,243470.13215,23673.45,0.0,0.0
215,244940.353797,13604.2283531,0.0,0.0
216,249847.05324,2078.52891,0.0,0.0
217,242507.18572,2102.20236,0.0,0.0
218,236302.18572,2102.20236,0.0,0.0
219,233918.18572,2102.20236,0.0,0.0
220,235820.18572,2102.20236,0.0,0.0
221,240856.18572,2102.20236,0.0,0.0
222,249755.18572,2102.20236,0.0,0.0
223,246445.915743,15484.4723369,0.0,0.0
224,246445.915743,15523.1364544,0.0,0.0
225,193426.708884,2102.20236,0.0,0.0
226,163385.853281,2102.20236,0.0,0.0
227,145693.792186,2102.20236,0.0,0.0
228,134592.992994,2102.20236,0.0,0.0
229,128296.089197,2102.20236,0.0,0.0
230,126940.814331,2102.20236,0.0,0.0
231,129902.541803,2102.20236,0.0,0.0
232,142518.716801,2102.20236,0.0,0.0
233,178426.227498,2102.20236,0.0,0.0
234,246445.915743,13165.8852118,0.0,0.0
235,253183.93808,23673.45,0.0,0.0
236,254010.93808,23673.45,0.0,0.0
237,250869.93808,23673.45,0.0,0.0
238,242741.93808,23673.45,0.0,0.0
239,246445.915743,10579.4723369,0.0,0.0
240,247891.18572,2102.20236,0.0,0.0
241,240682.336035,2052.488115,0.0,0.0
242,234954.336035,2052.488115,0.0,0.0
243,232770.336035,2052.488115,0.0,0.0
244,234264.336035,2052.488115,0.0,0.0
