Timepoint,net_load_final,hydro_dispatch_final
1.0,127322.0,1396.73355
2.0,126111.0,1396.73355
3.0,130451.0,1396.73355
4.0,138950.0,1396.73355
5.0,149724.0,1396.73355
6.0,153977.514854,7384.21869587
7.0,153977.514854,17899.2186959
8.0,154901.28355,23673.45
9.0,153977.514854,21273.2186959
10.0,153977.514854,12223.2186959
11.0,145616.0,1396.73355
12.0,132839.0,1396.73355
13.0,127822.0,1396.73355
14.0,133478.0,1396.73355
15.0,137011.0,1396.73355
16.0,143675.0,1396.73355
17.0,153977.514854,5174.21869587
18.0,162311.28355,23673.45
19.0,156992.28355,23673.45
20.0,153977.514854,6915.21869587
21.0,144346.0,1396.73355
22.0,136229.0,1396.73355
23.0,132471.0,1396.73355
24.0,134269.0,1396.73355
25.0,137483.0,1361.223375
26.0,140488.0,1361.223375
27.0,143979.0,1361.223375
28.0,153856.0,1361.223375
29.0,165775.0,1361.223375
30.0,177592.0,1361.223375
31.0,184177.229242,7191.99413337
32.0,184177.229242,16538.9941334
33.0,184177.229242,15047.9941334
34.0,184177.229242,8250.99413337
35.0,177385.0,1361.223375
36.0,171581.0,1361.223375
37.0,173098.0,1361.223375
38.0,175516.0,1361.223375
39.0,178989.0,1361.223375
40.0,184177.229242,6095.99413337
41.0,185247.773375,23673.45
42.0,209817.773375,23673.45
43.0,200525.773375,23673.45
44.0,184177.229242,18275.9941334
45.0,181786.0,1361.223375
46.0,170957.0,1361.223375
47.0,165637.0,1361.223375
48.0,164125.0,1361.223375
49.0,165194.0,1427.509035
50.0,165974.0,1427.509035
51.0,168347.0,1427.509035
52.0,174139.0,1427.509035
53.0,184822.0,1427.509035
54.0,197151.0,1427.509035
55.0,210184.0,1427.509035
56.0,214461.339187,7519.16984789
57.0,214461.339187,5970.16984789
58.0,212616.0,1427.509035
59.0,196689.0,1427.509035
60.0,187626.0,1427.509035
61.0,184709.0,1427.509035
62.0,184294.0,1427.509035
63.0,189650.0,1427.509035
64.0,202369.0,1427.509035
65.0,214461.339187,10573.1698479
66.0,229637.059035,23673.45
67.0,231332.059035,23673.45
68.0,222755.059035,23673.45
69.0,214461.339187,21427.1698479
70.0,214461.339187,14260.1698479
71.0,214461.339187,8458.16984789
72.0,214461.339187,3627.16984789
73.0,207742.273669,6547.11279052
74.0,207742.273669,4496.11279052
75.0,207742.273669,4431.11279052
76.0,207742.273669,8442.11279052
77.0,207742.273669,13050.1127905
78.0,207742.273669,18603.1127905
79.0,208318.93646,23673.45
80.0,210162.93646,23673.45
81.0,207742.273669,15273.1127905
82.0,207742.273669,1617.11279052
83.0,185962.0,1581.38646
84.0,173961.0,1581.38646
85.0,164235.0,1581.38646
86.0,162594.0,1581.38646
87.0,165730.0,1581.38646
88.0,176909.0,1581.38646
89.0,194667.0,1581.38646
90.0,207742.273669,12731.1127905
91.0,207742.273669,11326.1127905
92.0,206297.0,1581.38646
93.0,195009.0,1581.38646
94.0,183160.0,1581.38646
95.0,176131.0,1581.38646
96.0,174701.0,1581.38646
97.0,177448.0,1676.08026
98.0,181086.0,1676.08026
99.0,187214.0,1676.08026
100.0,194520.0,1676.08026
101.0,200611.0,1676.08026
102.0,202391.628922,6845.45133796
103.0,202391.628922,14460.451338
104.0,202391.628922,19016.451338
105.0,202391.628922,8700.45133796
106.0,197122.0,1676.08026
107.0,184527.0,1676.08026
108.0,173728.0,1676.08026
109.0,168017.0,1676.08026
110.0,168245.0,1676.08026
111.0,173529.0,1676.08026
112.0,185862.0,1676.08026
113.0,202391.628922,6349.45133796
114.0,213042.63026,23673.45
115.0,215172.63026,23673.45
116.0,207842.63026,23673.45
117.0,202391.628922,20290.451338
118.0,202391.628922,11483.451338
119.0,202391.628922,3126.45133796
120.0,198305.0,1676.08026
121.0,193920.0,1784.97813
122.0,190153.0,1784.97813
123.0,188659.0,1784.97813
124.0,192890.0,1784.97813
125.0,199855.0,1784.97813
126.0,201718.983807,8852.99432339
127.0,201718.983807,19068.9943234
128.0,204462.52813,23673.45
129.0,201718.983807,19418.9943234
130.0,201718.983807,7411.99432339
131.0,192239.0,1784.97813
132.0,178161.0,1784.97813
133.0,170763.0,1784.97813
134.0,168018.0,1784.97813
135.0,171457.0,1784.97813
136.0,182890.0,1784.97813
137.0,201718.983807,4997.99432339
138.0,212904.52813,23673.45
139.0,212883.52813,23673.45
140.0,201718.983807,20288.9943234
141.0,201718.983807,7031.99432339
142.0,192365.0,1784.97813
143.0,179611.0,1784.97813
144.0,170949.0,1784.97813
145.0,164798.0,1825.222995
146.0,161057.0,1825.222995
147.0,161586.0,1825.222995
148.0,166530.0,1825.222995
149.0,175755.0,1825.222995
150.0,187645.0,1825.222995
151.0,192550.432687,9884.79030767
152.0,192550.432687,19801.7903077
153.0,192550.432687,16280.7903077
154.0,192550.432687,10065.7903077
155.0,185124.0,1825.222995
156.0,170633.0,1825.222995
157.0,162947.0,1825.222995
