Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,158555.246605,1378.9784625,0.0,0.0
2,156294.144997,1378.9784625,0.0,0.0
3,159404.058036,1378.9784625,0.0,0.0
4,165654.602009,1378.9784625,0.0,0.0
5,174893.917531,1378.9784625,0.0,0.0
6,178772.648418,1378.9784625,5694.60528811,0.0
7,178772.648418,6757.36809696,10000.0,0.0
8,178772.648418,15993.1513859,4305.39471189,0.0
9,173778.103112,1378.9784625,0.0,0.0
10,145015.768117,1378.9784625,0.0,0.0
11,117195.141854,1378.9784625,0.0,-5318.01560045
12,99355.4944919,1378.9784625,0.0,-10000.0
13,89270.1565898,1378.9784625,0.0,-10000.0
14,94937.4067082,1378.9784625,0.0,-10000.0
15,103683.190182,1378.9784625,0.0,-10000.0
16,117195.141854,1378.9784625,0.0,-4681.98439955
17,148567.224048,1378.9784625,0.0,0.0
18,178772.648418,23331.7133935,0.0,0.0
19,178772.648418,23673.45,806.394044955,0.0
20,178772.648418,10699.5289267,0.0,0.0
21,176137.235944,1378.9784625,0.0,0.0
22,167634.636323,1378.9784625,0.0,0.0
23,162188.369459,1378.9784625,0.0,0.0
24,161222.880471,1378.9784625,0.0,0.0
25,162293.864877,1394.366205,0.0,0.0
26,163122.724057,1394.366205,0.0,0.0
27,165626.841942,1394.366205,0.0,0.0
28,172794.021232,1394.366205,0.0,0.0
29,182778.171742,1394.366205,0.0,0.0
30,184044.862195,1394.366205,9495.01339994,0.0
31,195067.887463,1394.366205,10000.0,0.0
32,195106.815767,7043.73731901,10000.0,0.0
33,184044.862195,1394.366205,4781.67152494,0.0
34,162231.425394,1394.366205,0.0,0.0
35,137235.889756,1394.366205,0.0,-3853.8487123
36,125867.590631,1394.366205,0.0,-10000.0
37,122462.388696,1394.366205,0.0,-10000.0
38,125308.214511,1394.366205,0.0,-10000.0
39,133327.874612,1394.366205,0.0,-10000.0
40,145810.056833,1394.366205,0.0,0.0
41,185112.687792,1394.366205,0.0,0.0
42,205415.96647,23673.45,10000.0,0.0
43,204214.113496,23673.45,10000.0,0.0
44,197446.927454,23673.45,1423.91955142,0.0
45,195106.815767,12069.4862798,0.0,0.0
46,195106.815767,1528.71281927,0.0,0.0
47,189149.000145,1394.366205,0.0,0.0
