gen_capacity,generator,type,var_cost
660.0,COAL-NEW-1,coal,2000.0
660.0,COAL-NEW-2,coal,2000.5
660.0,COAL-NEW-3,coal,2001.0
660.0,COAL-NEW-4,coal,2001.5
660.0,COAL-NEW-5,coal,2002.0
660.0,COAL-NEW-6,coal,2002.5
660.0,COAL-NEW-7,coal,2003.0
660.0,COAL-NEW-8,coal,2003.5
660.0,COAL-NEW-9,coal,2004.0
660.0,COAL-NEW-10,coal,2004.5
660.0,COAL-NEW-11,coal,2005.0
660.0,COAL-NEW-12,coal,2005.5
660.0,COAL-NEW-13,coal,2006.0
660.0,COAL-NEW-14,coal,2006.5
660.0,COAL-NEW-15,coal,2007.0
660.0,COAL-NEW-16,coal,2007.5
660.0,COAL-NEW-17,coal,2008.0
660.0,COAL-NEW-18,coal,2008.5
660.0,COAL-NEW-19,coal,2009.0
660.0,COAL-NEW-20,coal,2009.5
660.0,COAL-NEW-21,coal,2010.0
660.0,COAL-NEW-22,coal,2010.5
660.0,COAL-NEW-23,coal,2011.0
660.0,COAL-NEW-24,coal,2011.5
660.0,COAL-NEW-25,coal,2012.0
660.0,COAL-NEW-26,coal,2012.5
660.0,COAL-NEW-27,coal,2013.0
660.0,COAL-NEW-28,coal,2013.5
660.0,COAL-NEW-29,coal,2014.0
660.0,COAL-NEW-30,coal,2014.5
660.0,COAL-NEW-31,coal,2015.0
660.0,COAL-NEW-32,coal,2015.5
660.0,COAL-NEW-33,coal,2016.0
660.0,COAL-NEW-34,coal,2016.5
660.0,COAL-NEW-35,coal,2017.0
660.0,COAL-NEW-36,coal,2017.5
660.0,COAL-NEW-37,coal,2018.0
660.0,COAL-NEW-38,coal,2018.5
660.0,COAL-NEW-39,coal,2019.0
660.0,COAL-NEW-40,coal,2019.5
660.0,COAL-NEW-41,coal,2020.0
660.0,COAL-NEW-42,coal,2020.5
660.0,COAL-NEW-43,coal,2021.0
660.0,COAL-NEW-44,coal,2021.5
660.0,COAL-NEW-45,coal,2022.0
660.0,COAL-NEW-46,coal,2022.5
660.0,COAL-NEW-47,coal,2023.0
660.0,COAL-NEW-48,coal,2023.5
660.0,COAL-NEW-49,coal,2024.0
660.0,COAL-NEW-50,coal,2024.5
660.0,COAL-NEW-51,coal,2025.0
660.0,COAL-NEW-52,coal,2025.5
660.0,COAL-NEW-53,coal,2026.0
660.0,COAL-NEW-54,coal,2026.5
660.0,COAL-NEW-55,coal,2027.0
660.0,COAL-NEW-56,coal,2027.5
660.0,COAL-NEW-57,coal,2028.0
660.0,COAL-NEW-58,coal,2028.5
660.0,COAL-NEW-59,coal,2029.0
660.0,COAL-NEW-60,coal,2029.5
660.0,COAL-NEW-61,coal,2030.0
660.0,COAL-NEW-62,coal,2030.5
660.0,COAL-NEW-63,coal,2031.0
660.0,COAL-NEW-64,coal,2031.5
660.0,COAL-NEW-65,coal,2032.0
660.0,COAL-NEW-66,coal,2032.5
660.0,COAL-NEW-67,coal,2033.0
660.0,COAL-NEW-68,coal,2033.5
660.0,COAL-NEW-69,coal,2034.0
660.0,COAL-NEW-70,coal,2034.5
660.0,COAL-NEW-71,coal,2035.0
660.0,COAL-NEW-72,coal,2035.5
660.0,COAL-NEW-73,coal,2036.0
660.0,COAL-NEW-74,coal,2036.5
660.0,COAL-NEW-75,coal,2037.0
660.0,COAL-NEW-76,coal,2037.5
660.0,COAL-NEW-77,coal,2038.0
660.0,COAL-NEW-78,coal,2038.5
660.0,COAL-NEW-79,coal,2039.0
660.0,COAL-NEW-80,coal,2039.5
660.0,COAL-NEW-81,coal,2040.0
660.0,COAL-NEW-82,coal,2040.5
660.0,COAL-NEW-83,coal,2041.0
660.0,COAL-NEW-84,coal,2041.5
660.0,COAL-NEW-85,coal,2042.0
660.0,COAL-NEW-86,coal,2042.5
660.0,COAL-NEW-87,coal,2043.0
660.0,COAL-NEW-88,coal,2043.5
660.0,COAL-NEW-89,coal,2044.0
660.0,COAL-NEW-90,coal,2044.5
660.0,COAL-NEW-91,coal,2045.0
660.0,COAL-NEW-92,coal,2045.5
660.0,COAL-NEW-93,coal,2046.0
660.0,COAL-NEW-94,coal,2046.5
660.0,COAL-NEW-95,coal,2047.0
660.0,COAL-NEW-96,coal,2047.5
660.0,COAL-NEW-97,coal,2048.0
660.0,COAL-NEW-98,coal,2048.5
660.0,COAL-NEW-99,coal,2049.0
660.0,COAL-NEW-100,coal,2049.5
660.0,COAL-NEW-101,coal,2050.0
660.0,COAL-NEW-102,coal,2050.5
660.0,COAL-NEW-103,coal,2051.0
660.0,COAL-NEW-104,coal,2051.5
660.0,COAL-NEW-105,coal,2052.0
660.0,COAL-NEW-106,coal,2052.5
660.0,COAL-NEW-107,coal,2053.0
660.0,COAL-NEW-108,coal,2053.5
660.0,COAL-NEW-109,coal,2054.0
660.0,COAL-NEW-110,coal,2054.5
660.0,COAL-NEW-111,coal,2055.0
660.0,COAL-NEW-112,coal,2055.5
660.0,COAL-NEW-113,coal,2056.0
660.0,COAL-NEW-114,coal,2056.5
660.0,COAL-NEW-115,coal,2057.0
660.0,COAL-NEW-116,coal,2057.5
660.0,COAL-NEW-117,coal,2058.0
660.0,COAL-NEW-118,coal,2058.5
660.0,COAL-NEW-119,coal,2059.0
660.0,COAL-NEW-120,coal,2059.5
660.0,COAL-NEW-121,coal,2060.0
660.0,COAL-NEW-122,coal,2060.5
660.0,COAL-NEW-123,coal,2061.0
660.0,COAL-NEW-124,coal,2061.5
660.0,COAL-NEW-125,coal,2062.0
660.0,COAL-NEW-126,coal,2062.5
660.0,COAL-NEW-127,coal,2063.0
660.0,COAL-NEW-128,coal,2063.5
660.0,COAL-NEW-129,coal,2064.0
660.0,COAL-NEW-130,coal,2064.5
660.0,COAL-NEW-131,coal,2065.0
660.0,COAL-NEW-132,coal,2065.5
660.0,COAL-NEW-133,coal,2066.0
660.0,COAL-NEW-134,coal,2066.5
660.0,COAL-NEW-135,coal,2067.0
660.0,COAL-NEW-136,coal,2067.5
660.0,COAL-NEW-137,coal,2068.0
660.0,COAL-NEW-138,coal,2068.5
660.0,COAL-NEW-139,coal,2069.0
660.0,COAL-NEW-140,coal,2069.5
660.0,COAL-NEW-141,coal,2070.0
660.0,COAL-NEW-142,coal,2070.5
660.0,COAL-NEW-143,coal,2071.0
660.0,COAL-NEW-144,coal,2071.5
660.0,COAL-NEW-145,coal,2072.0
660.0,COAL-NEW-146,coal,2072.5
660.0,COAL-NEW-147,coal,2073.0
660.0,COAL-NEW-148,coal,2073.5
660.0,COAL-NEW-149,coal,2074.0
660.0,COAL-NEW-150,coal,2074.5
660.0,COAL-NEW-151,coal,2075.0
660.0,COAL-NEW-152,coal,2075.5
660.0,COAL-NEW-153,coal,2076.0
660.0,COAL-NEW-154,coal,2076.5
660.0,COAL-NEW-155,coal,2077.0
660.0,COAL-NEW-156,coal,2077.5
660.0,COAL-NEW-157,coal,2078.0
660.0,COAL-NEW-158,coal,2078.5
660.0,COAL-NEW-159,coal,2079.0
660.0,COAL-NEW-160,coal,2079.5
660.0,COAL-NEW-161,coal,2080.0
660.0,COAL-NEW-162,coal,2080.5
660.0,COAL-NEW-163,coal,2081.0
660.0,COAL-NEW-164,coal,2081.5
660.0,COAL-NEW-165,coal,2082.0
660.0,COAL-NEW-166,coal,2082.5
660.0,COAL-NEW-167,coal,2083.0
660.0,COAL-NEW-168,coal,2083.5
660.0,COAL-NEW-169,coal,2084.0
660.0,COAL-NEW-170,coal,2084.5
660.0,COAL-NEW-171,coal,2085.0
660.0,COAL-NEW-172,coal,2085.5
660.0,COAL-NEW-173,coal,2086.0
660.0,COAL-NEW-174,coal,2086.5
660.0,COAL-NEW-175,coal,2087.0
660.0,COAL-NEW-176,coal,2087.5
660.0,COAL-NEW-177,coal,2088.0
660.0,COAL-NEW-178,coal,2088.5
660.0,COAL-NEW-179,coal,2089.0
660.0,COAL-NEW-180,coal,2089.5
660.0,COAL-NEW-181,coal,2090.0
660.0,COAL-NEW-182,coal,2090.5
660.0,COAL-NEW-183,coal,2091.0
660.0,COAL-NEW-184,coal,2091.5
660.0,COAL-NEW-185,coal,2092.0
660.0,COAL-NEW-186,coal,2092.5
660.0,COAL-NEW-187,coal,2093.0
660.0,COAL-NEW-188,coal,2093.5
660.0,COAL-NEW-189,coal,2094.0
660.0,COAL-NEW-190,coal,2094.5
660.0,COAL-NEW-191,coal,2095.0
660.0,COAL-NEW-192,coal,2095.5
660.0,COAL-NEW-193,coal,2096.0
660.0,COAL-NEW-194,coal,2096.5
660.0,COAL-NEW-195,coal,2097.0
660.0,COAL-NEW-196,coal,2097.5
660.0,COAL-NEW-197,coal,2098.0
660.0,COAL-NEW-198,coal,2098.5
660.0,COAL-NEW-199,coal,2099.0
660.0,COAL-NEW-200,coal,2099.5
660.0,COAL-NEW-201,coal,2100.0
660.0,COAL-NEW-202,coal,2100.5
660.0,COAL-NEW-203,coal,2101.0
660.0,COAL-NEW-204,coal,2101.5
660.0,COAL-NEW-205,coal,2102.0
660.0,COAL-NEW-206,coal,2102.5
660.0,COAL-NEW-207,coal,2103.0
660.0,COAL-NEW-208,coal,2103.5
660.0,COAL-NEW-209,coal,2104.0
660.0,COAL-NEW-210,coal,2104.5
660.0,COAL-NEW-211,coal,2105.0
660.0,COAL-NEW-212,coal,2105.5
660.0,COAL-NEW-213,coal,2106.0
660.0,COAL-NEW-214,coal,2106.5
660.0,COAL-NEW-215,coal,2107.0
660.0,COAL-NEW-216,coal,2107.5
660.0,COAL-NEW-217,coal,2108.0
660.0,COAL-NEW-218,coal,2108.5
660.0,COAL-NEW-219,coal,2109.0
660.0,COAL-NEW-220,coal,2109.5
660.0,COAL-NEW-221,coal,2110.0
660.0,COAL-NEW-222,coal,2110.5
660.0,COAL-NEW-223,coal,2111.0
660.0,COAL-NEW-224,coal,2111.5
660.0,COAL-NEW-225,coal,2112.0
