,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,76034.4493128,147194.385205,5213.664,176.4,19.2,0.0,0.0,-1839.58019788,0.0,234669,121563.643168
2,1396.73355,2295.33513,3430.0,748.413,0.0,73452.6754595,147024.153,5213.664,176.4,19.2,0.0,0.0,-3629.57413947,0.0,230127,124648.781187
3,1396.73355,2295.33513,3430.0,748.413,0.0,70522.6189463,146786.635374,5213.664,176.4,19.2,0.0,0.0,0.0,0.0,230589,124648.781187
4,1396.73355,2295.33513,3430.0,748.413,0.0,65671.4799651,152750.444355,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,232488,124648.781187
5,1396.73355,2295.33513,3430.0,748.413,0.0,61068.2533278,162433.670992,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,237568,124648.781187
6,5635.07529965,2295.33513,3430.0,748.413,0.0,58814.9945703,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,245111,124648.781187
7,15400.3587964,2295.33513,3430.0,748.413,0.0,58323.7110736,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,254385,124648.781187
8,22644.3867498,2295.33513,3430.0,748.413,2938.84635372,57946.8367664,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,264191,124648.781187
9,21740.8723211,2295.33513,3430.0,748.413,16105.1373469,53576.0602021,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,272083,124648.781187
10,15911.9822292,2295.33513,3430.0,748.413,29706.7917338,50799.295907,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,277079,124648.781187
11,1396.73355,2295.33513,3430.0,748.413,40698.6661831,54025.3753759,167504.232761,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,276365,124648.781187
12,1396.73355,2295.33513,3430.0,748.413,47032.11369,55128.9428472,156585.867783,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,272813,124648.781187
13,1396.73355,2295.33513,3430.0,748.413,48822.2750931,52920.8956065,152122.75362,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,267932,124648.781187
14,1396.73355,2295.33513,3430.0,748.413,47056.0364611,46103.5814399,155607.306419,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,262833,124648.781187
15,1396.73355,2295.33513,3430.0,748.413,43897.6352606,43082.7962936,157333.492766,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,258380,124648.781187
16,1396.73355,2295.33513,3430.0,748.413,35617.1196021,45464.0972157,161948.707502,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,257096,124648.781187
17,6427.93853705,2295.33513,3430.0,748.413,21552.3906422,50209.7406908,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,258851,124648.781187
18,22567.9849355,2295.33513,3430.0,748.413,3034.6353273,50465.6684204,167920.938,5876.244,370.8,19.2,0.0,4648.78118674,0.0,0.0,261378,120000.0
19,23380.9610968,2295.33513,3430.0,748.413,0.0,58215.1087732,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,262257,120000.0
20,8180.10218436,2295.33513,3430.0,748.413,0.0,72132.9676856,167920.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,260974,120000.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,80583.3951498,161872.52917,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,256522,120000.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,81151.2833058,153523.641014,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,248741,120000.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,77918.2750495,149114.379271,5213.664,252.0,19.2,0.0,0.0,0.0,0.0,240388,120000.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,71507.3745357,148978.279784,5213.664,252.0,19.2,0.0,0.0,0.0,0.0,233841,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,65088.1680373,163376.838,5548.374,252.0,19.2,0.0,0.0,-13044.1154723,0.0,229061,131087.498151
26,1361.223375,2280.89906,3430.0,748.413,0.0,60213.147,163431.628614,5548.374,252.0,19.2,0.0,0.0,-11786.8850487,0.0,225498,141106.350443
27,1361.223375,2280.89906,3430.0,748.413,0.0,56239.6741051,163579.338,5548.374,252.0,19.2,0.0,0.0,-9116.12154008,0.0,224343,148855.053752
28,1361.223375,2280.89906,3430.0,748.413,0.0,50820.6317679,163579.338,5548.374,252.0,19.2,0.0,0.0,-1390.07920289,0.0,226650,150036.621074
29,1361.223375,2280.89906,3430.0,748.413,0.0,46050.3121379,172403.558427,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,232470,150036.621074
30,1361.223375,2280.89906,3430.0,748.413,0.0,43547.664739,183299.555826,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,240934,150036.621074
31,4013.62073849,2280.89906,3430.0,748.413,0.0,41827.4852015,192334.338,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,250901,150036.621074
32,13293.4070482,2280.89906,3430.0,748.413,2942.21998433,39920.4789075,192334.338,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,261216,150036.621074
33,14942.183411,2280.89906,3430.0,748.413,16432.9194093,34013.6770669,192131.664053,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,270246,150036.621074
34,11175.4202474,2280.89906,3430.0,748.413,30299.712049,28858.9736436,192334.338,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,275394,150036.621074
35,1361.223375,2280.89906,3430.0,748.413,40505.8390017,28072.0678902,191723.313673,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,274388,150036.621074
36,1361.223375,2280.89906,3430.0,748.413,47445.7011627,21942.685159,187238.834243,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,270714,150036.621074
37,1361.223375,2280.89906,3430.0,748.413,49353.6323145,15220.8703169,187750.717934,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,266412,150036.621074
38,1361.223375,2280.89906,3430.0,748.413,49670.399951,11295.7618331,188143.058781,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,263196,150036.621074
39,1361.223375,2280.89906,3430.0,748.413,46930.4569915,9772.52613351,190956.23744,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,261746,150036.621074
40,8172.60754305,2280.89906,3430.0,748.413,38440.4989264,11819.2994706,192067.038,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,263225,150036.621074
41,23275.3991976,2280.89906,3430.0,748.413,24074.7158779,15793.2908645,192067.038,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,267936,150036.621074
42,23673.45,2280.89906,3430.0,748.413,3712.86367994,20907.8556615,192868.938,5876.244,370.8,19.2,0.0,18485.3365985,0.0,0.0,272374,131551.284476
43,23673.45,2280.89906,3430.0,748.413,0.0,32709.7714641,192868.938,5876.244,370.8,19.2,0.0,11551.2844759,0.0,0.0,273529,120000.0
44,18947.2849345,2280.89906,3430.0,748.413,0.0,48406.8210055,192334.338,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,272414,120000.0
45,2616.71502976,2280.89906,3430.0,748.413,0.0,60044.3909102,192334.338,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,267721,120000.0
46,1361.223375,2280.89906,3430.0,748.413,0.0,62071.133884,182930.086681,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,259088,120000.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,59225.7602151,177160.11035,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,250402,120000.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,55498.3987679,174472.471797,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,243987,120000.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,50946.9080356,179702.08223,5760.594,252.0,19.2,0.0,0.0,-6054.04143045,0.0,238528,125145.935216
50,1427.509035,2295.33513,3430.0,748.413,0.0,47286.8576644,179607.033,5760.594,252.0,19.2,0.0,0.0,-6243.94182942,0.0,234583,130453.285771
51,1427.509035,2295.33513,3430.0,748.413,0.0,45085.1900123,179696.133,5760.594,252.0,19.2,0.0,0.0,-4958.37417732,0.0,233756,134667.903822
52,1427.509035,2295.33513,3430.0,748.413,0.0,42637.0085132,179607.033,5760.594,252.0,19.2,0.0,0.0,-113.092678222,0.0,236064,134764.032598
53,1427.509035,2295.33513,3430.0,748.413,0.0,38915.497255,188813.15158,5954.094,370.8,19.2,0.0,0.0,0.0,0.0,241974,134764.032598
54,1427.509035,2295.33513,3430.0,748.413,0.0,36638.5604411,200092.438394,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,251047,134764.032598
55,1427.509035,2295.33513,3430.0,748.413,0.0,34846.8730351,212584.1258,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,261747,134764.032598
56,7859.97881421,2295.33513,3430.0,748.413,2875.1718805,32672.5087327,216548.848443,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,272845,134764.032598
57,8750.65149535,2295.33513,3430.0,748.413,16423.1181179,26893.7002567,216592.038,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,281548,134764.032598
58,5616.84296442,2295.33513,3430.0,748.413,30552.3780507,20367.5488549,216324.738,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,285750,134764.032598
