Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,99476.6459676,127037.472352,284.4,0.0,0.0,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,95269.05722,126703.0611,284.4,0.0,0.0,0.0,0.0,0.0,876.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,92267.2719528,130166.846367,284.4,0.0,0.0,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,85667.9183715,138637.899949,284.4,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,79973.0528944,149412.765426,284.4,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,77275.590655,159526.327665,411.3,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,1396.73355,2295.33513,3430.0,748.413,0.0,76035.0005086,170040.917811,411.3,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,1396.73355,2295.33513,3430.0,748.413,0.0,75427.9852453,180453.933075,411.3,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,14497.9253507,2295.33513,3430.0,748.413,0.0,69148.1535193,181004.373,568.8,370.8,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,23673.45,2295.33513,3430.0,748.413,0.0,65048.9286729,181004.373,568.8,290.500197079,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,19160.0207194,2295.33513,3430.0,748.413,0.0,68768.0581506,181004.373,568.8,370.8,19.2,0.0,0.0,0.0,0.0,276365,0.0
12,15259.2374726,2295.33513,3430.0,748.413,0.0,69203.7391162,181004.373,568.8,283.902281175,19.2,0.0,0.0,0.0,0.0,272813,0.0
13,13369.6926084,2295.33513,3430.0,748.413,0.0,66244.1862616,181004.373,568.8,252.0,19.2,0.0,0.0,0.0,0.0,267932,0.0
