Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,207206.838,6173.244,370.8,19.2,0.0,13028.43632,0.0,0.0,234669,106971.56368
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,207206.838,6173.244,370.8,19.2,0.0,8486.43632,0.0,0.0,230127,98485.12736
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,207206.838,6173.244,370.8,19.2,0.0,8948.43632,0.0,0.0,230589,89536.69104
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,207206.838,6173.244,370.8,19.2,0.0,10847.43632,0.0,0.0,232488,78689.25472
5,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,207206.838,6173.244,370.8,19.2,0.0,15927.43632,0.0,0.0,237568,62761.8184
6,23042.1754602,2295.33513,3430.0,748.413,0.0,0.0,207206.838,6173.244,370.8,19.2,0.0,1824.99440984,0.0,0.0,245111,60936.8239902
7,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,207206.838,6173.244,370.8,19.2,0.0,32744.43632,0.0,0.0,254385,28192.3876702
8,23673.45,2295.33513,3430.0,748.413,6480.28500311,0.0,207206.838,6173.244,370.8,19.2,0.0,13793.4348669,0.0,0.0,264191,14398.9528033
9,1396.73355,2295.33513,3430.0,748.413,42048.6519562,0.0,207206.838,6173.244,370.8,19.2,0.0,8393.78436378,0.0,0.0,272083,6005.16843949
10,1396.73355,2295.33513,3430.0,748.413,78283.6108409,0.0,184645.368,5954.094,306.245479096,19.2,0.0,0.0,0.0,0.0,277079,6005.16843949
11,1396.73355,2295.33513,3430.0,748.413,107681.118579,0.0,180562.02082,5263.164,176.4,19.2,0.0,0.0,-25207.385079,0.0,276365,27431.4457567
