Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,15847.35887,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,570.411,19.2,0.0,0.0,0.0,0.0,234669,120000.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,570.411,19.2,0.0,9908.62532,0.0,0.0,230127,110091.37468
3,11672.85887,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,664.911,19.2,0.0,0.0,0.0,0.0,230589,110091.37468
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,664.911,19.2,0.0,12175.12532,0.0,0.0,232488,97916.24936
5,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,664.911,19.2,0.0,17255.12532,0.0,0.0,237568,80661.12404
6,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,664.911,19.2,0.0,24798.12532,0.0,0.0,245111,55862.99872
7,13335.3594798,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,664.911,19.2,0.0,22133.4993902,0.0,0.0,254385,33729.4993298
8,1396.73355,2295.33513,3430.0,748.413,10243.1259902,0.0,203642.838,8115.444,570.411,19.2,0.0,33729.4993298,0.0,0.0,264191,0.0
9,1396.73355,2295.33513,3430.0,748.413,63646.5798351,0.0,193180.094485,6995.844,370.8,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,1396.73355,2295.33513,3430.0,748.413,117301.003791,0.0,147830.592529,4057.722,0.0,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,1396.73355,2295.33513,3430.0,748.413,160078.68029,0.0,142549.9866,4057.722,0.0,0.0,0.0,0.0,-38191.8705698,0.0,276365,32463.0899843
12,1396.73355,2295.33513,3430.0,748.413,178334.80972,0.0,142549.9866,4057.722,0.0,0.0,0.0,0.0,-60000.0,7396.0,272813,83463.0899843
13,1396.73355,2295.33513,3430.0,748.413,173453.80972,0.0,142549.9866,4057.722,0.0,0.0,0.0,0.0,-60000.0,21320.0,267932,134463.089984
14,1396.73355,2295.33513,3430.0,748.413,168354.80972,0.0,142549.9866,4057.722,0.0,0.0,0.0,0.0,-60000.0,18253.0,262833,185463.089984
15,1396.73355,2295.33513,3430.0,748.413,163901.80972,0.0,142549.9866,4057.722,0.0,0.0,0.0,0.0,-60000.0,7815.0,258380,236463.089984
16,1396.73355,2295.33513,3430.0,748.413,106778.880327,0.0,142549.9866,4057.722,0.0,0.0,0.0,0.0,-4161.07060666,32551.0,257096,240000.0
17,1396.73355,2295.33513,3430.0,748.413,81916.5053919,0.0,164978.990928,4057.722,8.1,19.2,0.0,0.0,0.0,0.0,258851,240000.0
18,1396.73355,2295.33513,3430.0,748.413,9845.98995809,0.0,203642.838,8115.444,570.411,19.2,0.0,31313.6353619,0.0,0.0,261378,208686.364638
19,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,570.411,19.2,0.0,42038.62532,0.0,0.0,262257,166647.739318
20,23673.45,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,570.411,19.2,0.0,18478.90887,0.0,0.0,260974,148168.830448
21,15777.4372919,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,570.411,19.2,0.0,21922.9215781,0.0,0.0,256522,126245.90887
22,23673.45,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,570.411,19.2,0.0,6245.90887,0.0,0.0,248741,120000.0
23,21566.35887,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,570.411,19.2,0.0,0.0,0.0,0.0,240388,120000.0
24,14946.6552183,2295.33513,3430.0,748.413,0.0,0.0,203642.838,8115.444,643.114651668,19.2,0.0,0.0,0.0,0.0,233841,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,204687.468,7184.529,370.8,19.2,0.0,8978.467565,0.0,0.0,229061,111021.532435
26,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,204687.468,7184.529,370.8,19.2,0.0,5415.467565,0.0,0.0,225498,105606.06487
27,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,204865.668,7184.529,370.8,19.2,0.0,4082.267565,0.0,0.0,224343,101523.797305
28,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,204865.668,7184.529,370.8,19.2,0.0,6389.267565,0.0,0.0,226650,95134.52974
29,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,204865.668,7184.529,370.8,19.2,0.0,12209.267565,0.0,0.0,232470,82925.262175
30,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,204687.468,7184.529,370.8,19.2,0.0,20851.467565,0.0,0.0,240934,62073.79461
31,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,204792.150547,7184.529,370.8,19.2,0.0,30713.7850184,0.0,0.0,250901,31360.0095916
32,1361.223375,2280.89906,3430.0,748.413,9773.45797342,0.0,204687.468,7184.529,370.8,19.2,0.0,31360.0095916,0.0,0.0,261216,0.0
33,1361.223375,2280.89906,3430.0,748.413,63682.4348083,0.0,191239.150757,7113.879,370.8,19.2,0.0,0.0,0.0,0.0,270246,0.0
34,1361.223375,2280.89906,3430.0,748.413,116509.301347,0.0,146817.756218,4246.407,0.0,0.0,0.0,0.0,0.0,0.0,275394,0.0
35,1361.223375,2280.89906,3430.0,748.413,159189.582801,0.0,145044.7866,4246.407,0.0,0.0,0.0,0.0,-41913.3118355,0.0,274388,35626.3150602
36,1361.223375,2280.89906,3430.0,748.413,173602.270965,0.0,145044.7866,4246.407,0.0,0.0,0.0,0.0,-60000.0,13083.0,270714,86626.3150602
37,1361.223375,2280.89906,3430.0,748.413,169300.270965,0.0,145044.7866,4246.407,0.0,0.0,0.0,0.0,-60000.0,25517.0,266412,137626.31506
38,1361.223375,2280.89906,3430.0,748.413,128146.478887,0.0,145044.7866,4246.407,0.0,0.0,0.0,0.0,-22062.2079216,64117.0,263196,156379.191794
39,1361.223375,2280.89906,3430.0,748.413,164634.270965,0.0,145044.7866,4246.407,0.0,0.0,0.0,0.0,-60000.0,14955.0,261746,207379.191794
40,1361.223375,2280.89906,3430.0,748.413,144490.692384,0.0,145044.7866,4246.407,0.0,0.0,0.0,0.0,-38377.4214193,0.0,263225,240000.0
41,1361.223375,2280.89906,3430.0,748.413,86482.7358727,0.0,169232.121692,4373.307,8.1,19.2,0.0,0.0,0.0,0.0,267936,240000.0
42,23673.45,2280.89906,3430.0,748.413,10625.2661226,0.0,207206.838,8492.814,967.293,1103.688,0.0,13845.3388174,0.0,0.0,272374,226154.661183
43,23673.45,2280.89906,3430.0,748.413,0.0,0.0,207206.838,8492.814,962.523,1027.78843238,0.0,25706.2745076,0.0,0.0,273529,200448.386675
44,23673.45,2280.89906,3430.0,748.413,0.0,0.0,207206.838,8492.814,967.293,1103.688,0.0,24510.60494,0.0,0.0,272414,175937.781735
45,1490.793085,2280.89906,3430.0,748.413,0.0,0.0,207206.838,8492.814,962.523,1023.688,0.0,42085.031855,0.0,0.0,267721,133852.74988
46,23673.45,2280.89906,3430.0,748.413,0.0,0.0,207206.838,8492.814,962.523,1023.688,0.0,11269.37494,0.0,0.0,259088,122583.37494
47,23673.45,2280.89906,3430.0,748.413,0.0,0.0,207206.838,8492.814,962.523,1023.688,0.0,2583.37494,0.0,0.0,250402,120000.0
48,19841.82494,2280.89906,3430.0,748.413,0.0,0.0,207206.838,8492.814,962.523,1023.688,0.0,0.0,0.0,0.0,243987,120000.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8304.129,370.8,19.2,0.0,8191.775835,0.0,0.0,238528,111808.224165
50,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8304.129,370.8,19.2,0.0,4246.775835,0.0,0.0,234583,107561.44833
51,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8304.129,370.8,19.2,0.0,3419.775835,0.0,0.0,233756,104141.672495
52,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8304.129,370.8,19.2,0.0,5727.775835,0.0,0.0,236064,98413.89666
53,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8046.84498494,370.8,19.2,0.0,11895.0598501,0.0,0.0,241974,86518.8368099
54,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,213740.838,7659.729,370.8,19.2,0.0,21355.175835,0.0,0.0,251047,65163.6609749
55,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,213740.838,7659.729,370.8,19.2,0.0,32055.175835,0.0,0.0,261747,33108.4851399
56,1427.509035,2295.33513,3430.0,748.413,9722.49069506,0.0,213740.838,7981.929,370.8,19.2,0.0,33108.4851399,0.0,0.0,272845,0.0
57,1427.509035,2295.33513,3430.0,748.413,63760.3142425,0.0,202311.899593,7184.529,370.8,19.2,0.0,0.0,0.0,0.0,281548,0.0
58,1427.509035,2295.33513,3430.0,748.413,116865.998792,0.0,156709.037043,4246.407,8.1,19.2,0.0,0.0,0.0,0.0,285750,0.0
59,1427.509035,2295.33513,3430.0,748.413,163647.858044,0.0,149618.5866,4246.407,0.0,0.0,0.0,0.0,-41001.1088087,0.0,284413,34850.9424874
60,1427.509035,2295.33513,3430.0,748.413,178886.749235,0.0,149618.5866,4246.407,0.0,0.0,0.0,0.0,-60000.0,13861.0,280653,85850.9424874
61,1427.509035,2295.33513,3430.0,748.413,174350.749235,0.0,149618.5866,4246.407,0.0,0.0,0.0,0.0,-60000.0,32275.0,276117,136850.942487
62,1427.509035,2295.33513,3430.0,748.413,170431.749235,0.0,149618.5866,4246.407,0.0,0.0,0.0,0.0,-60000.0,34699.0,272198,187850.942487
63,1427.509035,2295.33513,3430.0,748.413,167671.749235,0.0,149618.5866,4246.407,0.0,0.0,0.0,0.0,-60000.0,17954.0,269438,238850.942487
64,1427.509035,2295.33513,3430.0,748.413,109481.581603,0.0,149618.5866,4246.407,0.0,0.0,0.0,0.0,-1351.8323678,37371.0,269896,240000.0
65,1427.509035,2295.33513,3430.0,748.413,86856.2428022,0.0,174591.893033,4373.307,8.1,19.2,0.0,0.0,0.0,0.0,273750,240000.0
66,23673.45,2295.33513,3430.0,748.413,11392.5918295,0.0,213740.838,8492.814,736.911,627.04,0.0,12486.6070405,0.0,0.0,277624,227513.392959
67,23673.45,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8492.814,736.911,627.04,0.0,25946.19887,0.0,0.0,279691,201567.194089
68,23673.45,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8492.814,736.911,627.04,0.0,25221.19887,0.0,0.0,278966,176345.995219
69,2891.112935,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8492.814,736.911,627.04,0.0,41369.535935,0.0,0.0,274332,134976.459284
70,23673.45,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8492.814,736.911,19.2,0.0,12635.03887,0.0,0.0,265772,122341.420414
71,23673.45,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8492.814,736.911,244.818455522,0.0,2341.42041448,0.0,0.0,255704,120000.0
72,17314.64887,2295.33513,3430.0,748.413,0.0,0.0,213740.838,8492.814,736.911,627.04,0.0,0.0,0.0,0.0,247386,120000.0
73,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,17269.58341,0.0,0.0,241037,102730.41659
74,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,12468.58341,0.0,0.0,236236,90261.83318
75,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,380.674693314,19.2,0.0,10260.7087167,0.0,0.0,234038,80001.1244633
76,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,484.911,19.2,0.0,11856.47241,0.0,0.0,235738,68144.6520533
77,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,484.911,19.2,0.0,16021.47241,0.0,0.0,239903,52123.1796433
78,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,484.911,19.2,0.0,22483.47241,0.0,0.0,246365,29639.7072333
79,7780.19849185,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,484.911,19.2,0.0,23707.6603782,0.0,0.0,253788,5932.04685516
80,23673.45,2295.33513,3430.0,748.413,9446.47301484,0.0,207206.838,8115.444,370.8,19.2,0.0,5932.04685516,0.0,0.0,261238,0.0
81,1581.38646,2295.33513,3430.0,748.413,65131.8105427,0.0,186000.860867,6925.194,370.8,19.2,0.0,0.0,0.0,0.0,266503,0.0
82,1581.38646,2295.33513,3430.0,748.413,112372.35681,0.0,145044.7866,4057.722,0.0,0.0,0.0,0.0,0.0,8622.0,269530,0.0
83,1581.38646,2295.33513,3430.0,748.413,114363.359577,0.0,145044.7866,4057.722,0.0,0.0,0.0,0.0,-2152.00276723,50717.0,269369,1829.20235214
84,1581.38646,2295.33513,3430.0,748.413,169178.35681,0.0,145044.7866,4057.722,0.0,0.0,0.0,0.0,-60000.0,21843.0,266336,52829.2023521
85,1581.38646,2295.33513,3430.0,748.413,164795.35681,0.0,145044.7866,4057.722,0.0,0.0,0.0,0.0,-60000.0,39637.0,261953,103829.202352
86,1581.38646,2295.33513,3430.0,748.413,161084.35681,0.0,145044.7866,4057.722,0.0,0.0,0.0,0.0,-60000.0,36979.0,258242,154829.202352
87,1581.38646,2295.33513,3430.0,748.413,158185.35681,0.0,145044.7866,4057.722,0.0,0.0,0.0,0.0,-60000.0,19252.0,255343,205829.202352
88,1581.38646,2295.33513,3430.0,748.413,138313.295219,0.0,145044.7866,4057.722,0.0,0.0,0.0,0.0,-40200.9384092,0.0,255270,240000.0
89,1581.38646,2295.33513,3430.0,748.413,81755.8673958,0.0,164311.976014,4057.722,8.1,19.2,0.0,0.0,0.0,0.0,258208,240000.0
90,23673.45,2295.33513,3430.0,748.413,11346.5690818,0.0,207206.838,8115.444,370.8,19.2,0.0,4741.95078815,0.0,0.0,261948,235258.049212
91,23673.45,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,18126.51987,0.0,0.0,263986,217131.529342
92,13719.1272182,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,28420.8426518,0.0,0.0,264326,188710.68669
93,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,37409.58341,0.0,0.0,261177,151301.10328
94,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,30089.58341,0.0,0.0,253857,121211.51987
95,23673.45,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,1211.51987,0.0,0.0,247071,120000.0
96,19763.96987,2295.33513,3430.0,748.413,0.0,0.0,207206.838,8115.444,370.8,19.2,0.0,0.0,0.0,0.0,241950,120000.0
97,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,627.04,0.0,15219.23161,0.0,0.0,237684,104780.76839
98,14207.15187,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,0.0,0.0,0.0,234388,104780.76839
99,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,12180.07161,0.0,0.0,234037,92600.69678
100,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,13880.07161,0.0,0.0,235737,78720.62517
101,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,81.2333898254,0.0,17983.0382202,0.0,0.0,239902,60737.5869498
102,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,24506.07161,0.0,0.0,246363,36231.5153398
103,5519.6659689,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,28085.4859011,0.0,0.0,253786,8146.02943873
104,23673.45,2295.33513,3430.0,753.12,9234.67243127,0.0,204830.838,8115.444,736.911,19.2,0.0,8146.02943873,0.0,0.0,261235,0.0
105,1676.08026,2295.33513,3430.0,753.12,64766.3856903,0.0,186262.88492,6925.194,370.8,19.2,0.0,0.0,0.0,0.0,266499,0.0
106,1676.08026,2295.33513,3430.0,753.12,113930.15601,0.0,143381.5866,4057.722,0.0,0.0,0.0,0.0,0.0,6251.0,269524,0.0
107,1676.08026,2295.33513,3430.0,753.12,166713.448198,0.0,143381.5866,4057.722,0.0,0.0,0.0,0.0,-52943.2921879,0.0,269364,45001.7983597
108,1676.08026,2295.33513,3430.0,753.12,170737.15601,0.0,143381.5866,4057.722,0.0,0.0,0.0,0.0,-60000.0,26380.0,266331,96001.7983597
109,1676.08026,2295.33513,3430.0,753.12,166354.15601,0.0,143381.5866,4057.722,0.0,0.0,0.0,0.0,-60000.0,45785.0,261948,147001.79836
110,1676.08026,2295.33513,3430.0,753.12,162594.403714,0.0,143381.5866,4057.722,0.0,0.0,0.0,0.0,-59951.247704,46907.0,258237,197960.358908
111,1676.08026,2295.33513,3430.0,753.12,99746.15601,0.0,143381.5866,4057.722,0.0,0.0,0.0,0.0,0.0,89057.0,255340,197960.358908
112,1676.08026,2295.33513,3430.0,753.12,149132.557295,0.0,143381.5866,4057.722,0.0,0.0,0.0,0.0,-49458.4012846,0.0,255268,240000.0
113,1676.08026,2295.33513,3430.0,753.12,88993.8527527,0.0,156972.589857,4057.722,8.1,19.2,0.0,0.0,0.0,0.0,258206,240000.0
114,23673.45,2295.33513,3430.0,753.12,12055.6104689,0.0,204830.838,8115.444,736.911,19.2,0.0,6036.0914011,0.0,0.0,261946,233963.908599
115,22780.9502311,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,627.04,0.0,20413.3616389,0.0,0.0,263983,213550.54696
116,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,42466.07161,0.0,0.0,264323,171084.47535
117,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,39316.07161,0.0,0.0,261173,131768.40374
118,23673.45,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,10000.70187,0.0,0.0,253855,121767.70187
119,23673.45,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,1767.70187,0.0,0.0,245622,120000.0
120,19063.15187,2295.33513,3430.0,753.12,0.0,0.0,204830.838,8115.444,736.911,19.2,0.0,0.0,0.0,0.0,239244,120000.0
121,1784.97813,2280.89906,3430.0,753.12,0.0,0.0,206469.468,7184.529,370.8,19.2,0.0,11435.00581,0.0,0.0,233728,108564.99419
122,1784.97813,2280.89906,3430.0,753.12,0.0,0.0,206469.468,7184.529,370.8,19.2,0.0,6726.00581,0.0,0.0,229019,101838.98838
123,1784.97813,2280.89906,3430.0,753.12,0.0,0.0,206469.468,7184.529,370.8,19.2,0.0,4947.00581,0.0,0.0,227240,96891.98257
124,1784.97813,2280.89906,3430.0,753.12,0.0,0.0,206469.468,7184.529,370.8,19.2,0.0,7051.00581,0.0,0.0,229344,89840.97676
125,1784.97813,2280.89906,3430.0,753.12,0.0,0.0,206469.468,7184.529,370.8,19.2,0.0,12076.00581,0.0,0.0,234369,77764.97095
126,1784.97813,2280.89906,3430.0,753.12,0.0,0.0,206672.238,7184.529,370.8,19.2,0.0,19776.23581,0.0,0.0,242272,57988.73514
127,1784.97813,2280.89906,3430.0,753.12,0.0,0.0,206577.511536,7184.529,370.8,19.2,0.0,28770.9622735,0.0,0.0,251172,29217.7728665
