Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,52872.9078343,168516.346486,5213.664,176.4,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,51219.012105,165841.488215,5000.418,176.4,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,49278.6900157,168030.564304,5213.664,176.4,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,45838.732914,172583.191406,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,42557.8091016,180944.115218,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,2810.16560898,2295.33513,3430.0,748.413,0.0,41028.104261,188532.738,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,12308.2609257,2295.33513,3430.0,748.413,0.0,40804.0089443,188532.738,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,20192.7359628,2295.33513,3430.0,748.413,1977.11944452,40748.4144627,188532.738,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,21892.016823,2295.33513,3430.0,748.413,10782.9082211,38135.3448258,188532.738,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,20024.9201659,2295.33513,3430.0,748.413,19814.299362,35967.0503421,188532.738,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,9810.43900628,2295.33513,3430.0,748.413,26951.0285571,38330.8023067,188532.738,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,276365,0.0
12,1396.73355,2295.33513,3430.0,748.413,31195.3292312,39701.5993571,187779.345732,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,272813,0.0
13,1396.73355,2295.33513,3430.0,748.413,32204.2984691,38648.9812846,182941.994566,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,267932,0.0
14,1396.73355,2295.33513,3430.0,748.413,31206.3071757,33643.2976486,183846.669496,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,262833,0.0
15,1396.73355,2295.33513,3430.0,748.413,29054.0933141,31333.4464755,183855.73453,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,258380,0.0
16,1396.73355,2295.33513,3430.0,748.413,23471.0157517,33186.5070644,186301.751504,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,257096,0.0
17,6663.40547755,2295.33513,3430.0,748.413,14479.7678711,36364.5787658,188603.255755,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,21687.9823932,2295.33513,3430.0,748.413,2059.87944953,36179.2080273,188710.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,19388.7257379,2295.33513,3430.0,748.413,0.0,41417.3441321,188710.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,262257,0.0
20,8507.74359872,2295.33513,3430.0,748.413,0.0,51015.3262713,188710.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,56784.6390345,185600.635286,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,256522,0.0
