Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,36323.9299324,189820.348388,626.94,8.1,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,35313.7167238,186288.561596,626.94,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,33936.7743935,188127.503927,626.94,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,31687.2438876,192276.034432,626.94,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,29396.3785019,199646.899818,626.94,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,8231.98522671,2295.33513,3430.0,748.413,0.0,28283.3536433,201145.473,949.14,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,17711.1068269,2295.33513,3430.0,748.413,0.0,28078.2320431,201145.473,949.14,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,23540.0097176,2295.33513,3430.0,748.413,3714.45790638,28318.6723261,201167.67192,949.14,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,15673.9312912,2295.33513,3430.0,748.413,21210.3386689,26501.8189098,201246.723,949.14,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,4052.68748355,2295.33513,3430.0,748.413,39355.4741335,24973.927253,201246.723,949.14,8.1,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,1396.73355,2295.33513,3430.0,748.413,54110.7983455,26714.1944065,187015.285568,626.94,8.1,19.2,0.0,0.0,0.0,0.0,276365,0.0
12,1396.73355,2295.33513,3430.0,748.413,62899.5152318,28148.9232087,173239.839879,626.94,8.1,19.2,0.0,0.0,0.0,0.0,272813,0.0
13,1396.73355,2295.33513,3430.0,748.413,65995.0193725,27615.4487681,165796.810179,626.94,8.1,19.2,0.0,0.0,0.0,0.0,267932,0.0
14,1396.73355,2295.33513,3430.0,748.413,63411.1307742,23993.7246297,166903.422916,626.94,8.1,19.2,0.0,0.0,0.0,0.0,262833,0.0
15,1396.73355,2295.33513,3430.0,748.413,59051.2717565,22324.7925415,168479.214022,626.94,8.1,19.2,0.0,0.0,0.0,0.0,258380,0.0
16,1396.73355,2295.33513,3430.0,748.413,47818.4124675,23460.512689,177292.353163,626.94,8.1,19.2,0.0,0.0,0.0,0.0,257096,0.0
17,1396.73355,2295.33513,3430.0,748.413,28810.2378973,25628.4391346,195887.601288,626.94,8.1,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,23612.3373269,2295.33513,3430.0,748.413,3966.40105263,25102.3504905,201246.723,949.14,8.1,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,28674.0332532,201846.123,1000.08,570.365616759,19.2,0.0,0.0,0.0,0.0,262257,0.0
20,16885.598284,2295.33513,3430.0,748.413,0.0,35391.490586,201246.723,949.14,8.1,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,8508.5559931,2295.33513,3430.0,748.413,0.0,39316.5328769,201246.723,949.14,8.1,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,39706.4341872,200352.344133,784.44,8.1,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,38285.8300782,193577.448242,626.94,8.1,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,35532.3104175,189783.967903,626.94,8.1,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,32433.8338245,186376.88874,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,229061,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,30116.3573517,185131.365213,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,225498,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,27977.8443918,186114.878173,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,224343,0.0
