,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,139367.663632,92801.7704836,126.9,8.1,19.2,0.0,0.0,-5525.11579507,0.0,234669,124696.348426
2,1396.73355,2295.33513,3430.0,748.413,0.0,133092.473457,92785.563,126.9,8.1,19.2,0.0,0.0,-3775.7181366,0.0,230127,127905.708842
3,1396.73355,2295.33513,3430.0,748.413,0.0,127305.495341,95258.8229787,126.9,8.1,19.2,0.0,0.0,0.0,0.0,230589,127905.708842
4,1396.73355,2295.33513,3430.0,748.413,0.0,118497.353579,105965.964741,126.9,8.1,19.2,0.0,0.0,0.0,0.0,232488,127905.708842
5,5653.9267133,2295.33513,3430.0,748.413,0.0,112787.052157,112372.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,237568,127905.708842
6,16056.7966736,2295.33513,3430.0,748.413,0.0,109927.182196,112372.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,245111,127905.708842
7,22590.8850828,2295.33513,3430.0,748.413,0.0,108994.394875,112372.173,253.8,8.1,19.2,0.0,3672.69891265,0.0,0.0,254385,124233.009929
8,1396.73355,2295.33513,3430.0,748.413,5100.10268116,107845.76947,112372.173,253.8,8.1,19.2,0.0,30721.3731684,0.0,0.0,264191,93511.6367609
9,23673.45,2295.33513,3430.0,748.413,31461.7835694,97519.2889353,112372.173,253.8,8.1,19.2,0.0,301.456365276,0.0,0.0,272083,93210.1803956
10,4893.80329614,2295.33513,3430.0,748.413,58613.4603811,94444.7151928,112372.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,277079,93210.1803956
11,1396.73355,2295.33513,3430.0,748.413,80811.2496943,104986.31071,92785.563,126.9,8.1,19.2,0.0,0.0,-10242.8050841,0.0,276365,101916.564717
