Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,139367.663632,97338.933,126.9,8.1,19.2,0.0,0.0,-10062.2783115,0.0,234669,68552.9365648
2,1396.73355,2295.33513,3430.0,748.413,0.0,133092.473457,97338.933,126.9,8.1,19.2,0.0,0.0,-8329.0881366,0.0,230127,75632.6614809
3,1396.73355,2295.33513,3430.0,748.413,0.0,127305.495341,97338.933,126.9,8.1,19.2,0.0,0.0,-2080.11002132,0.0,230589,77400.754999
4,1396.73355,2295.33513,3430.0,748.413,0.0,118497.353579,105965.964741,126.9,8.1,19.2,0.0,0.0,0.0,0.0,232488,77400.754999
5,8938.9267133,2295.33513,3430.0,748.413,0.0,112787.052157,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,237568,77400.754999
6,19341.7966736,2295.33513,3430.0,748.413,0.0,109927.182196,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,245111,77400.754999
7,14931.0901239,2295.33513,3430.0,748.413,0.0,108994.394875,109087.173,253.8,8.1,19.2,0.0,14617.4938716,0.0,0.0,254385,62783.2611274
8,5403.1067184,2295.33513,3430.0,748.413,5100.10268116,107845.76947,109087.173,253.8,8.1,19.2,0.0,30000.0,0.0,0.0,264191,32783.2611274
9,23673.45,2295.33513,3430.0,748.413,31461.7835694,97519.2889353,109087.173,253.8,8.1,19.2,0.0,3586.45636528,0.0,0.0,272083,29196.8047621
10,8178.80329614,2295.33513,3430.0,748.413,58613.4603811,94444.7151928,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,277079,29196.8047621
11,1396.73355,2295.33513,3430.0,748.413,80811.2496943,104986.31071,97077.1042485,126.9,8.1,19.2,0.0,0.0,-14534.3463327,0.0,276365,41550.9991449
12,1396.73355,2295.33513,3430.0,748.413,94959.5080229,103077.21487,96751.5954271,126.9,8.1,19.2,0.0,0.0,-30000.0,0.0,272813,67050.9991449
13,1396.73355,2295.33513,3430.0,748.413,100400.525212,92812.2191291,96694.5739787,126.9,8.1,19.2,0.0,0.0,-30000.0,0.0,267932,92550.9991449
14,1396.73355,2295.33513,3430.0,748.413,96902.5356166,78482.2511292,97338.933,126.9,8.1,19.2,0.0,0.0,-17915.4014257,0.0,262833,107779.090357
15,1396.73355,2295.33513,3430.0,748.413,89671.5275333,71519.306912,97338.933,126.9,8.1,19.2,0.0,0.0,-8174.44912534,0.0,258380,114727.372113
16,1396.73355,2295.33513,3430.0,748.413,73292.4905341,76406.6041028,99372.2236831,126.9,8.1,19.2,0.0,0.0,0.0,0.0,257096,114727.372113
17,12218.5758209,2295.33513,3430.0,748.413,44665.2351598,86125.1678893,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,258851,114727.372113
18,21081.4992986,2295.33513,3430.0,748.413,6811.15920943,87643.3203619,109087.173,253.8,8.1,19.2,0.0,30000.0,0.0,0.0,261378,84727.3721133
19,13493.8224919,2295.33513,3430.0,748.413,929.783517306,101991.372861,109087.173,253.8,8.1,19.2,0.0,30000.0,0.0,0.0,262257,54727.3721133
20,16025.3245632,2295.33513,3430.0,748.413,494.333974839,128612.320332,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,260974,54727.3721133
21,1396.73355,2295.33513,3430.0,748.413,0.0,144591.292994,103906.025326,126.9,8.1,19.2,0.0,0.0,0.0,0.0,256522,54727.3721133
22,1396.73355,2295.33513,3430.0,748.413,0.0,145296.932435,97338.933,126.9,8.1,19.2,0.0,0.0,-1919.54711496,0.0,248741,56358.987161
