Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,3430.0,3549.516,0.0,136894.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,38877.0,234669,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,132352.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,36479.0,230127,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,132814.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,29092.0,230589,0.0
4,2164.415,2295.33513,3430.0,3549.516,0.0,134713.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,15548.0,232488,0.0
5,2164.415,2295.33513,3430.0,3549.516,0.0,139793.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,2967.0,237568,0.0
6,2164.415,2295.33513,3430.0,3549.516,0.0,139005.631118,94189.702752,449.1,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,2164.415,2295.33513,3430.0,3549.516,0.0,137265.493516,105203.840354,449.1,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,2164.415,2295.33513,3430.0,3549.516,0.0,136559.310685,115716.023185,449.1,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,16638.5536897,2295.33513,3430.0,3549.516,0.0,122305.02218,122695.173,898.2,252.0,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,24862.4453645,2295.33513,3430.0,3549.516,0.0,119077.130505,122695.173,898.2,252.0,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,11825.596364,2295.33513,3430.0,3549.516,0.0,131399.979506,122695.173,898.2,252.0,19.2,0.0,0.0,0.0,0.0,276365,0.0
12,12063.6802302,2295.33513,3430.0,3549.516,0.0,127609.89564,122695.173,898.2,252.0,19.2,0.0,0.0,0.0,0.0,272813,0.0
13,20595.2968904,2295.33513,3430.0,3549.516,0.0,114197.27898,122695.173,898.2,252.0,19.2,0.0,0.0,0.0,0.0,267932,0.0
14,32739.1948888,2295.33513,3430.0,3549.516,0.0,96954.3809812,122695.173,898.2,252.0,19.2,0.0,0.0,0.0,0.0,262833,0.0
15,36685.0,2295.33513,3430.0,3549.516,0.0,88521.1717016,122695.173,898.2,286.404168368,19.2,0.0,0.0,0.0,0.0,258380,0.0
16,28754.3864053,2295.33513,3430.0,3549.516,0.0,95191.5591739,122695.173,898.2,262.630290816,19.2,0.0,0.0,0.0,0.0,257096,0.0
17,18191.6117153,2295.33513,3430.0,3549.516,0.0,107401.164155,122695.173,898.2,370.8,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,19555.4500985,2295.33513,3430.0,3549.516,0.0,108564.325771,122695.173,898.2,370.8,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,2293.51835323,2295.33513,3430.0,3549.516,0.0,126705.257517,122695.173,898.2,370.8,19.2,0.0,0.0,0.0,0.0,262257,0.0
20,2164.415,2295.33513,3430.0,3549.516,0.0,159606.539661,89479.0942091,449.1,0.0,0.0,0.0,0.0,0.0,0.0,260974,0.0
21,2164.415,2295.33513,3430.0,3549.516,0.0,158747.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,19873.0,256522,0.0
22,2164.415,2295.33513,3430.0,3549.516,0.0,150966.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,27781.0,248741,0.0
23,2164.415,2295.33513,3430.0,3549.516,0.0,142613.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,28131.0,240388,0.0
24,2164.415,2295.33513,3430.0,3549.516,0.0,136066.01277,85886.6211,449.1,0.0,0.0,0.0,0.0,0.0,20835.0,233841,0.0
25,2109.3875,2280.89906,3430.0,3549.516,0.0,86335.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,57610.0,229061,0.0
26,2109.3875,2280.89906,3430.0,3549.516,0.0,82772.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,51666.0,225498,0.0
27,2109.3875,2280.89906,3430.0,3549.516,0.0,81617.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,45844.0,224343,0.0
28,2109.3875,2280.89906,3430.0,3549.516,0.0,83924.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,31185.0,226650,0.0
29,2109.3875,2280.89906,3430.0,3549.516,0.0,89744.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,15257.0,232470,0.0
30,2109.3875,2280.89906,3430.0,3549.516,0.0,98208.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,1358.0,240934,0.0
31,2109.3875,2280.89906,3430.0,3549.516,0.0,95201.4660381,141692.179402,2610.252,8.1,19.2,0.0,0.0,0.0,0.0,250901,0.0
32,2109.3875,2280.89906,3430.0,3549.516,0.0,90505.7120213,156702.933419,2610.252,8.1,19.2,0.0,0.0,0.0,0.0,261216,0.0
33,2109.3875,2280.89906,3430.0,3549.516,0.0,73477.0275352,182214.558,3059.352,106.059904848,19.2,0.0,0.0,0.0,0.0,270246,0.0
34,13253.3638799,2280.89906,3430.0,3549.516,0.0,62981.4330601,183922.173,5220.504,736.911,19.2,0.0,0.0,0.0,0.0,275394,0.0
35,10303.1932367,2280.89906,3430.0,3549.516,0.0,64925.6037033,183922.173,5220.504,736.911,19.2,0.0,0.0,0.0,0.0,274388,0.0
36,21938.0692625,2280.89906,3430.0,3549.516,0.0,49616.7276775,183922.173,5220.504,736.911,19.2,0.0,0.0,0.0,0.0,270714,0.0
37,32602.8893671,2280.89906,3430.0,3549.516,0.0,34649.9075729,183922.173,5220.504,736.911,19.2,0.0,0.0,0.0,0.0,266412,0.0
38,36076.0161477,2280.89906,3430.0,3549.516,0.0,27352.9407923,183922.173,5220.504,736.911,627.04,0.0,0.0,0.0,0.0,263196,0.0
39,36611.5156843,2280.89906,3430.0,3549.516,0.0,25975.2812557,183922.173,5220.504,736.911,19.2,0.0,0.0,0.0,0.0,261746,0.0
40,31412.4876083,2280.89906,3430.0,3549.516,0.0,32653.3093317,183922.173,5220.504,736.911,19.2,0.0,0.0,0.0,0.0,263225,0.0
41,24095.5968731,2280.89906,3430.0,3549.516,0.0,44681.2000669,183922.173,5220.504,736.911,19.2,0.0,0.0,0.0,0.0,267936,0.0
42,14408.1844403,2280.89906,3430.0,3549.516,0.0,58754.2771389,183922.173,5220.504,736.911,71.5353607516,0.0,0.0,0.0,0.0,272374,0.0
43,2109.3875,2280.89906,3430.0,3549.516,0.0,85775.2608793,173619.484561,2737.152,8.1,19.2,0.0,0.0,0.0,0.0,273529,0.0
44,2109.3875,2280.89906,3430.0,3549.516,0.0,123501.252479,134905.392961,2610.252,8.1,19.2,0.0,0.0,0.0,0.0,272414,0.0
45,2109.3875,2280.89906,3430.0,3549.516,0.0,124995.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,24688.0,267721,0.0
46,2109.3875,2280.89906,3430.0,3549.516,0.0,116362.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,34596.0,259088,0.0
47,2109.3875,2280.89906,3430.0,3549.516,0.0,107676.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,35053.0,250402,0.0
48,2109.3875,2280.89906,3430.0,3549.516,0.0,101261.42434,128745.5211,2610.252,0.0,0.0,0.0,0.0,0.0,31165.0,243987,0.0
49,2212.1055,2295.33513,3430.0,3549.516,0.0,75060.96477,148893.4566,3086.622,0.0,0.0,0.0,0.0,0.0,44903.0,238528,0.0
50,2212.1055,2295.33513,3430.0,3549.516,0.0,71115.96477,148893.4566,3086.622,0.0,0.0,0.0,0.0,0.0,39118.0,234583,0.0
51,2212.1055,2295.33513,3430.0,3549.516,0.0,70288.96477,148893.4566,3086.622,0.0,0.0,0.0,0.0,0.0,32852.0,233756,0.0
52,2212.1055,2295.33513,3430.0,3549.516,0.0,72596.96477,148893.4566,3086.622,0.0,0.0,0.0,0.0,0.0,24313.0,236064,0.0
53,2212.1055,2295.33513,3430.0,3549.516,0.0,78506.96477,148893.4566,3086.622,0.0,0.0,0.0,0.0,0.0,10437.0,241974,0.0
54,2212.1055,2295.33513,3430.0,3549.516,0.0,82465.2096136,153989.011756,3086.622,0.0,19.2,0.0,0.0,0.0,0.0,251047,0.0
55,2212.1055,2295.33513,3430.0,3549.516,0.0,77929.8314734,169216.289897,3086.622,8.1,19.2,0.0,0.0,0.0,0.0,261747,0.0
56,2212.1055,2295.33513,3430.0,3549.516,0.0,72493.6271118,185623.594258,3213.522,8.1,19.2,0.0,0.0,0.0,0.0,272845,0.0
57,2212.1055,2295.33513,3430.0,3549.516,0.0,56795.3119013,207904.167469,5165.964,176.4,19.2,0.0,0.0,0.0,0.0,281548,0.0
58,15528.8144051,2295.33513,3430.0,3549.516,0.0,41478.5414649,212704.938,6173.244,570.411,19.2,0.0,0.0,0.0,0.0,285750,0.0
59,14532.697295,2295.33513,3430.0,3549.516,0.0,41137.658575,212704.938,6173.244,570.411,19.2,0.0,0.0,0.0,0.0,284413,0.0
60,19744.324332,2295.33513,3430.0,3549.516,0.0,32166.031538,212704.938,6173.244,570.411,19.2,0.0,0.0,0.0,0.0,280653,0.0
61,23821.7094162,2295.33513,3430.0,3549.516,0.0,23552.6464538,212704.938,6173.244,570.411,19.2,0.0,0.0,0.0,0.0,276117,0.0
62,25658.8663096,2295.33513,3430.0,3549.516,0.0,17796.4895604,212704.938,6173.244,570.411,19.2,0.0,0.0,0.0,0.0,272198,0.0
63,25226.1680043,2295.33513,3430.0,3549.516,0.0,15452.5774577,212704.938,6173.244,587.02140795,19.2,0.0,0.0,0.0,0.0,269438,0.0
64,24463.4531377,2295.33513,3430.0,3549.516,0.0,16595.4027323,212704.938,6173.244,664.911,19.2,0.0,0.0,0.0,0.0,269896,0.0
65,24801.2237741,2295.33513,3430.0,3549.516,0.0,20111.6320959,212704.938,6173.244,664.911,19.2,0.0,0.0,0.0,0.0,273750,0.0
