,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,3430.0,3549.516,0.0,99476.6458242,123276.688046,449.1,8.1,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,96145.1478967,122066.185973,449.1,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,92267.2718607,126279.162009,576.0,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,3673.55751415,2295.33513,3430.0,3549.516,0.0,85667.9183559,133268.373,576.0,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,14448.4229564,2295.33513,3430.0,3549.516,0.0,79973.0529136,133268.373,576.0,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,24688.8850821,2295.33513,3430.0,3549.516,0.0,77275.5907879,133268.373,576.0,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,35203.4754502,2295.33513,3430.0,3549.516,0.0,76035.0004198,133268.373,576.0,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,35841.1808444,2295.33513,3430.0,3549.516,9775.30977135,75427.9852543,133268.373,576.0,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,2164.415,2295.33513,3430.0,3549.516,63092.775029,69148.1535943,127799.505247,576.0,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,2164.415,2295.33513,3430.0,3549.516,105107.484089,65048.928681,95034.2211,449.1,0.0,0.0,0.0,0.0,0.0,11370.0,277079,0.0
11,2164.415,2295.33513,3430.0,3549.516,100674.354678,68768.0580924,95034.2211,449.1,0.0,0.0,0.0,0.0,0.0,58674.0,276365,0.0
12,2164.415,2295.33513,3430.0,3549.516,165890.41277,0.0,95034.2211,449.1,0.0,0.0,0.0,0.0,0.0,89037.0,272813,0.0
13,2164.415,2295.33513,3430.0,3549.516,94765.2266134,66244.1861566,95034.2211,449.1,0.0,0.0,0.0,0.0,0.0,101135.0,267932,0.0
14,2164.415,2295.33513,3430.0,3549.516,155910.41277,0.0,95034.2211,449.1,0.0,0.0,0.0,0.0,0.0,90444.0,262833,0.0
15,2164.415,2295.33513,3430.0,3549.516,97010.484835,54446.927935,95034.2211,449.1,0.0,0.0,0.0,0.0,0.0,76354.0,258380,0.0
16,2164.415,2295.33513,3430.0,3549.516,140879.097429,9294.3153409,95034.2211,449.1,0.0,0.0,0.0,0.0,0.0,48438.0,257096,0.0
17,2164.415,2295.33513,3430.0,3549.516,83530.9975599,64415.3820784,99016.2542317,449.1,0.0,0.0,0.0,0.0,0.0,0.0,258851,0.0
18,36685.0,2295.33513,3430.0,3549.516,11016.2574316,64953.3955068,135763.173,898.2,1281.303,1505.81993168,0.0,0.0,0.0,0.0,261378,0.0
19,36685.0,2295.33513,3430.0,3549.516,929.785164449,75117.5068879,135763.173,898.2,1819.28381762,1769.2,0.0,0.0,0.0,0.0,262257,0.0
20,23725.7164258,2295.33513,3430.0,3549.516,494.334850568,93607.4245937,133268.373,576.0,8.1,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,8924.66572703,2295.33513,3430.0,3549.516,0.0,104305.424713,133413.75843,576.0,8.1,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,2164.415,2295.33513,3430.0,3549.516,0.0,104641.18162,132057.25225,576.0,8.1,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,2164.415,2295.33513,3430.0,3549.516,0.0,100046.789877,128298.643993,576.0,8.1,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,2164.415,2295.33513,3430.0,3549.516,0.0,91701.9009968,130096.532873,576.0,8.1,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,2109.3875,2280.89906,3430.0,3549.516,0.0,83757.1527712,133336.459669,570.285,8.1,19.2,0.0,0.0,0.0,0.0,229061,0.0
26,2109.3875,2280.89906,3430.0,3549.516,0.0,77189.5376915,136341.074749,570.285,8.1,19.2,0.0,0.0,0.0,0.0,225498,0.0
27,2109.3875,2280.89906,3430.0,3549.516,0.0,72543.1237714,139832.488669,570.285,8.1,19.2,0.0,0.0,0.0,0.0,224343,0.0
