,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,11444.64,3549.516,0.0,99476.6458242,115262.048046,449.1,8.1,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,2164.415,2295.33513,11444.64,3549.516,0.0,96145.1478967,114051.545973,449.1,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,2164.415,2295.33513,11444.64,3549.516,0.0,92267.2718607,118391.422009,449.1,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,3796.71751415,2295.33513,11444.64,3549.516,0.0,85667.9183559,125130.573,576.0,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,14455.0775266,2295.33513,11444.64,3549.516,0.0,79973.0529136,125247.07843,576.0,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,24633.8450821,2295.33513,11444.64,3549.516,0.0,77275.5907879,125308.773,576.0,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,35148.4354502,2295.33513,11444.64,3549.516,0.0,76035.0004198,125308.773,576.0,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,35786.1408444,2295.33513,11444.64,3549.516,9775.30977135,75427.9852543,125308.773,576.0,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,2164.415,2295.33513,11444.64,3549.516,63092.775029,69148.1535943,119784.865247,576.0,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,2164.415,2295.33513,11444.64,3549.516,116477.487303,51485.4854669,89213.0211,449.1,0.0,0.0,0.0,0.0,0.0,13563.0,277079,0.0
11,2164.415,2295.33513,11444.64,3549.516,159348.673134,7900.29963602,89213.0211,449.1,0.0,0.0,0.0,0.0,0.0,60868.0,276365,0.0
12,2164.415,2295.33513,11444.64,3549.516,163696.97277,0.0,89213.0211,449.1,0.0,0.0,0.0,0.0,0.0,91231.0,272813,0.0
13,2164.415,2295.33513,11444.64,3549.516,158815.97277,0.0,89213.0211,449.1,0.0,0.0,0.0,0.0,0.0,103328.0,267932,0.0
