Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,27785.0210083,181988.012312,697.185,8.1,19.2,0.0,0.0,0.0,0.0,218368,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,27079.5322036,173447.501116,697.185,8.1,19.2,0.0,0.0,0.0,0.0,209122,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,25938.3824223,171642.550898,570.285,8.1,19.2,0.0,0.0,0.0,0.0,206049,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,24219.4307657,173299.602554,697.185,8.1,19.2,0.0,0.0,0.0,0.0,206114,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,22428.5666616,181164.466658,697.185,8.1,19.2,0.0,0.0,0.0,0.0,212188,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,21672.9489631,196255.084357,697.185,8.1,19.2,0.0,0.0,0.0,0.0,226523,0.0
7,20274.2214519,2295.33513,3430.0,748.413,0.0,21462.3211096,199403.224309,697.185,8.1,19.2,0.0,0.0,0.0,0.0,248338,0.0
8,23673.45,2295.33513,3430.0,748.413,6930.65844283,21749.5331009,203376.123,1140.57,3700.71732632,1769.2,0.0,0.0,0.0,0.0,268814,0.0
9,9966.79645507,2295.33513,3430.0,748.413,46956.7142611,20261.9581538,199340.298,697.185,8.1,19.2,0.0,0.0,0.0,0.0,283724,0.0
10,1396.73355,2295.33513,3430.0,748.413,87386.9244275,19102.2090119,180085.899881,697.185,8.1,19.2,0.0,0.0,0.0,0.0,295170,0.0
11,1396.73355,2295.33513,3430.0,748.413,120228.239683,20532.7798798,150357.913757,570.285,8.1,19.2,0.0,0.0,0.0,0.0,299587,0.0
12,1396.73355,2295.33513,3430.0,748.413,140023.543001,4508.4042188,142363.2861,570.285,0.0,0.0,0.0,0.0,0.0,17341.0,295336,0.0
13,1396.73355,2295.33513,3430.0,748.413,109072.355893,21312.5913269,142363.2861,570.285,0.0,0.0,0.0,0.0,0.0,38762.0,281189,0.0
14,1396.73355,2295.33513,3430.0,748.413,122287.94722,0.0,142363.2861,570.285,0.0,0.0,0.0,0.0,0.0,39152.0,273092,0.0
15,1396.73355,2295.33513,3430.0,748.413,100672.574261,17098.3729592,142363.2861,570.285,0.0,0.0,0.0,0.0,0.0,30762.0,268575,0.0
16,1396.73355,2295.33513,3430.0,748.413,106464.614816,8701.33240431,142363.2861,570.285,0.0,0.0,0.0,0.0,0.0,9203.0,265970,0.0
17,1396.73355,2295.33513,3430.0,748.413,63358.1634929,19385.8286108,171403.941216,570.285,8.1,19.2,0.0,0.0,0.0,0.0,262616,0.0
18,21641.38952,2295.33513,3430.0,748.413,7935.50014,18961.57921,199340.298,697.185,8.1,19.2,0.0,0.0,0.0,0.0,255077,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,21687.2256329,203376.123,1140.57,1208.6512371,1496.232,0.0,0.0,0.0,0.0,259056,0.0
20,23673.45,2295.33513,3430.0,748.413,0.0,26850.8399884,201053.476882,697.185,8.1,19.2,0.0,0.0,0.0,0.0,258776,0.0
21,14718.7385545,2295.33513,3430.0,748.413,0.0,29904.7303155,199340.298,697.185,8.1,19.2,0.0,0.0,0.0,0.0,251162,0.0
22,2871.43261855,2295.33513,3430.0,748.413,0.0,30218.0362515,199340.298,697.185,8.1,19.2,0.0,0.0,0.0,0.0,239628,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,29266.4727683,188377.560552,697.185,8.1,19.2,0.0,0.0,0.0,0.0,226239,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,27185.3446794,181703.688641,697.185,8.1,19.2,0.0,0.0,0.0,0.0,217484,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,25033.7398398,170128.682725,2516.742,8.1,19.2,0.0,0.0,0.0,0.0,205527,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,23135.9081623,165791.514403,2516.742,8.1,19.2,0.0,0.0,0.0,0.0,199292,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,21713.128778,166643.293787,2516.742,8.1,19.2,0.0,0.0,0.0,0.0,198721,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,19545.5708722,169529.851693,2516.742,8.1,19.2,0.0,0.0,0.0,0.0,199440,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,18007.6816318,176798.740933,2516.742,8.1,19.2,0.0,0.0,0.0,0.0,205171,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,17257.2816224,191585.240943,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,219334,0.0
31,6594.37541465,2280.89906,3430.0,748.413,0.0,16878.4375253,205680.933,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,238284,0.0
32,23673.45,2280.89906,3430.0,748.413,6647.43299006,16206.9485486,205676.914401,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,261335,0.0
33,3428.69983356,2280.89906,3430.0,748.413,47374.1019489,14221.2111575,205502.733,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,279657,0.0
34,1361.223375,2280.89906,3430.0,748.413,87696.3589351,11731.8229339,178901.240696,2516.742,8.1,19.2,0.0,0.0,0.0,0.0,288694,0.0
35,1361.223375,2280.89906,3430.0,748.413,119645.622823,11737.1513226,149975.948419,2516.742,0.0,0.0,0.0,0.0,0.0,0.0,291696,0.0
36,1361.223375,2280.89906,3430.0,748.413,127167.401465,0.0,149951.3211,2516.742,0.0,0.0,0.0,0.0,0.0,23352.0,287456,0.0
37,1361.223375,2280.89906,3430.0,748.413,115180.635764,6368.76570109,149951.3211,2516.742,0.0,0.0,0.0,0.0,0.0,32205.0,281838,0.0
38,1361.223375,2280.89906,3430.0,748.413,115178.401465,0.0,149951.3211,2516.742,0.0,0.0,0.0,0.0,0.0,34072.0,275467,0.0
39,1361.223375,2280.89906,3430.0,748.413,109975.32394,3338.07752479,149951.3211,2516.742,0.0,0.0,0.0,0.0,0.0,26028.0,273602,0.0
40,1361.223375,2280.89906,3430.0,748.413,110311.677803,2215.72366216,149951.3211,2516.742,0.0,0.0,0.0,0.0,0.0,1561.0,272816,0.0
41,1361.223375,2280.89906,3430.0,748.413,67329.1842028,5010.18438067,188996.153982,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,271827,0.0
42,23673.45,2280.89906,3430.0,748.413,8905.84042726,6661.77548005,214216.173,5033.484,967.293,1121.67203269,0.0,0.0,0.0,0.0,267039,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,10979.230229,214216.173,5033.484,8714.15071103,1769.2,0.0,0.0,0.0,0.0,270845,0.0
44,23673.45,2280.89906,3430.0,748.413,0.0,17080.5543969,214216.173,5033.484,2101.82654305,1769.2,0.0,0.0,0.0,0.0,270334,0.0
45,23673.45,2280.89906,3430.0,748.413,0.0,21833.9926218,208494.303318,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,263132,0.0
46,12670.7661518,2280.89906,3430.0,748.413,0.0,22660.5473699,205545.432418,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,250007,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,21650.2607113,204465.261854,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,236607,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,20498.9150516,194700.607513,2643.642,8.1,19.2,0.0,0.0,0.0,0.0,225691,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,19032.2176603,184312.753175,2867.472,8.1,19.2,0.0,0.0,0.0,0.0,214141,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,18075.5992879,178415.371547,2867.472,8.1,19.2,0.0,0.0,0.0,0.0,207287,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,17333.6788604,177648.291975,2867.472,8.1,19.2,0.0,0.0,0.0,0.0,205778,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,16579.6787586,179449.292076,2867.472,8.1,19.2,0.0,0.0,0.0,0.0,206825,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,15636.332458,185744.638377,2867.472,8.1,19.2,0.0,0.0,0.0,0.0,212177,0.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,15010.7105841,200830.360251,2994.372,8.1,19.2,0.0,0.0,0.0,0.0,226764,0.0
55,2081.12235809,2295.33513,3430.0,748.413,0.0,14477.7298138,222372.042698,3437.757,176.4,19.2,0.0,0.0,0.0,0.0,249038,0.0
56,20386.7127291,2295.33513,3430.0,748.413,6687.48925295,13735.0198879,222212.673,3437.757,176.4,19.2,0.0,0.0,0.0,0.0,273129,0.0
57,1427.509035,2295.33513,3430.0,748.413,47581.9316924,11386.1997664,219675.499376,3367.512,176.4,19.2,0.0,0.0,0.0,0.0,290108,0.0
