Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,189168.77632,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,199468.65,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,185307.77632,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,195607.95,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,185700.77632,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,196000.65,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,187314.77632,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,197614.8,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,191632.77632,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,201932.8,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,197432.09132,2845.827,176.4,19.2,0.0,0.0,0.0,0.0,208344.35,0.0
7,1626.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,216227.25,0.0
8,9961.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,224562.35,0.0
9,16789.32987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,252.0,19.2,0.0,0.0,0.0,0.0,231270.55,0.0
10,20932.64527,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,354.6846,19.2,0.0,0.0,0.0,0.0,235517.15,0.0
11,20309.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,234910.25,0.0
12,17290.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,231891.05,0.0
13,13141.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,227742.2,0.0
14,8926.32987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,252.0,19.2,0.0,0.0,0.0,0.0,223408.05,0.0
15,5022.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,219623.0,0.0
16,4050.32987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,252.0,19.2,0.0,0.0,0.0,0.0,218531.6,0.0
17,5422.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,220023.35,0.0
18,7570.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,222171.3,0.0
19,8317.52987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,222918.45,0.0
20,7346.32987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,252.0,19.2,0.0,0.0,0.0,0.0,221827.9,0.0
21,3562.32987,2295.33513,3430.0,748.413,0.0,0.0,203185.638,4551.084,252.0,19.2,0.0,0.0,0.0,0.0,218043.7,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,199103.03032,4260.888,176.4,19.2,0.0,0.0,0.0,0.0,211429.85,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,194029.77632,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,204329.8,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,188464.77632,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,198764.85,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,184451.722565,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,194701.85,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,181422.722565,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,191673.3,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,180441.722565,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,190691.55,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,182401.722565,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,192652.5,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,187349.722565,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,197599.5,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,194543.722565,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,204793.9,0.0
31,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,201102.8985,4146.966065,176.4,19.2,0.0,0.0,0.0,0.0,213265.85,0.0
32,4288.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,222033.6,0.0
33,11963.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,229709.1,0.0
34,16339.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,234084.9,0.0
35,15589.131865,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,266.634075,19.2,0.0,0.0,0.0,0.0,233229.8,0.0
36,12361.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,230106.9,0.0
37,8704.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,226450.2,0.0
38,5971.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,223716.6,0.0
39,4738.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,222484.1,0.0
40,5995.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,223741.25,0.0
41,10000.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,227745.6,0.0
42,13772.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,231517.9,0.0
43,14754.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,232499.65,0.0
44,13806.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,231551.9,0.0
45,9817.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,227562.85,0.0
46,2479.96594,2280.89906,3430.0,748.413,0.0,0.0,206344.638,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,220224.8,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,201210.8985,3614.966065,176.4,19.2,0.0,0.0,0.0,0.0,212841.7,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,196981.222565,2559.942,8.1,19.2,0.0,0.0,0.0,0.0,207388.95,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,191826.070835,2994.372,8.1,19.2,0.0,0.0,0.0,0.0,202748.8,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,188473.070835,2994.372,8.1,19.2,0.0,0.0,0.0,0.0,199395.55,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,187770.070835,2994.372,8.1,19.2,0.0,0.0,0.0,0.0,198692.6,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,189731.070835,2994.372,8.1,19.2,0.0,0.0,0.0,0.0,200654.4,0.0
