,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,36323.9299324,153135.042388,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,199468.65,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,35313.7167238,150284.255596,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,195607.95,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,33936.7743935,152054.197927,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,196000.65,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,31687.2438876,155760.228432,2269.746,8.1,19.2,0.0,0.0,0.0,0.0,197614.8,0.0
5,2769.40836806,2295.33513,3430.0,748.413,0.0,29396.3785019,159127.173,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,201932.8,0.0
6,10293.4332267,2295.33513,3430.0,748.413,0.0,28283.3536433,159127.173,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,208344.35,0.0
7,18381.5548269,2295.33513,3430.0,748.413,0.0,28078.2320431,159127.173,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,216227.25,0.0
8,23036.3297667,2295.33513,3430.0,748.413,3714.45790638,28318.6723261,159127.173,3696.01887082,176.4,19.2,0.0,0.0,0.0,0.0,224562.35,0.0
9,13899.6292912,2295.33513,3430.0,748.413,21210.3386689,26501.8189098,159127.173,3862.692,176.4,19.2,0.0,0.0,0.0,0.0,231270.55,0.0
10,1420.38548355,2295.33513,3430.0,748.413,39355.4741335,24973.927253,159127.173,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,235517.15,0.0
11,1396.73355,2295.33513,3430.0,748.413,54110.7983455,26714.1944065,144074.979568,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,234910.25,0.0
12,1396.73355,2295.33513,3430.0,748.413,62899.5152318,28148.9232087,130959.433879,1985.346,8.1,19.2,0.0,0.0,0.0,0.0,231891.05,0.0
13,1396.73355,2295.33513,3430.0,748.413,65995.0193725,27615.4487681,124248.404179,1985.346,8.1,19.2,0.0,0.0,0.0,0.0,227742.2,0.0
14,1396.73355,2295.33513,3430.0,748.413,63411.1307742,23993.7246297,126120.016916,1985.346,8.1,19.2,0.0,0.0,0.0,0.0,223408.05,0.0
15,1396.73355,2295.33513,3430.0,748.413,59051.2717565,22324.7925415,128363.808022,1985.346,8.1,19.2,0.0,0.0,0.0,0.0,219623.0,0.0
16,1396.73355,2295.33513,3430.0,748.413,47818.4124675,23460.512689,137369.947163,1985.346,8.1,19.2,0.0,0.0,0.0,0.0,218531.6,0.0
17,1396.73355,2295.33513,3430.0,748.413,28810.2378973,25628.4391346,155574.295288,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,220023.35,0.0
18,23335.0353269,2295.33513,3430.0,748.413,3966.40105263,25102.3504905,159127.173,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,222171.3,0.0
