,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3305.15532,176.4,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,11444.64,748.413,0.0,0.0,212102.33232,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,11444.64,748.413,0.0,0.0,212564.33232,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,11444.64,748.413,0.0,0.0,214305.83232,2269.746,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,3554.59687,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3970.692,252.0,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,11097.59687,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3970.692,252.0,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,20447.19687,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,6919.51527564,2295.33513,11444.64,748.413,23333.6815944,0.0,215283.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,1396.73355,2295.33513,11444.64,748.413,103514.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,26660.0,272083,0.0
10,1396.73355,2295.33513,11444.64,748.413,108510.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,125830.0,277079,0.0
11,1396.73355,2295.33513,11444.64,748.413,107796.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,210448.0,276365,0.0
12,1396.73355,2295.33513,11444.64,748.413,104244.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,264519.0,272813,0.0
13,1396.73355,2295.33513,11444.64,748.413,99363.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,288589.0,267932,0.0
14,1396.73355,2295.33513,11444.64,748.413,94264.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,277623.0,262833,0.0
15,1396.73355,2295.33513,11444.64,748.413,89811.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,247748.0,258380,0.0
16,1396.73355,2295.33513,11444.64,748.413,88527.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,176231.0,257096,0.0
17,1396.73355,2295.33513,11444.64,748.413,90282.34622,0.0,150698.1861,1985.346,0.0,0.0,0.0,0.0,0.0,57446.0,258851,0.0
18,10130.4044627,2295.33513,11444.64,748.413,17309.7924073,0.0,215283.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,23673.45,2295.33513,11444.64,748.413,929.785625061,0.0,215283.123,3970.692,2142.36124494,1769.2,0.0,0.0,0.0,0.0,262257,0.0
20,23673.45,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3970.692,1789.14687,1769.2,0.0,0.0,0.0,0.0,260974,0.0
21,22584.19687,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,14803.19687,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,6402.79161167,2295.33513,11444.64,748.413,0.0,0.0,215283.123,3970.692,223.805258334,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,1396.73355,2295.33513,11444.64,748.413,0.0,0.0,215283.123,2477.15532,176.4,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,1361.223375,2280.89906,11444.64,748.413,0.0,0.0,210397.652565,2800.872,8.1,19.2,0.0,0.0,0.0,0.0,229061,0.0
26,1361.223375,2280.89906,11444.64,748.413,0.0,0.0,206834.652565,2800.872,8.1,19.2,0.0,0.0,0.0,0.0,225498,0.0
27,1361.223375,2280.89906,11444.64,748.413,0.0,0.0,205679.652565,2800.872,8.1,19.2,0.0,0.0,0.0,0.0,224343,0.0
28,1361.223375,2280.89906,11444.64,748.413,0.0,0.0,207986.652565,2800.872,8.1,19.2,0.0,0.0,0.0,0.0,226650,0.0
29,1361.223375,2280.89906,11444.64,748.413,0.0,0.0,213806.652565,2800.872,8.1,19.2,0.0,0.0,0.0,0.0,232470,0.0
30,2996.85794,2280.89906,11444.64,748.413,0.0,0.0,220023.333,3244.257,176.4,19.2,0.0,0.0,0.0,0.0,240934,0.0
31,12801.85794,2280.89906,11444.64,748.413,0.0,0.0,220185.333,3244.257,176.4,19.2,0.0,0.0,0.0,0.0,250901,0.0
