Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,66871.7792726,159645.639047,253.8,8.1,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,65296.9939903,156778.32433,153.9,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,62693.2434002,159744.17492,253.8,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,58741.9582264,165594.460094,253.8,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,55376.6317972,174039.786523,253.8,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,5514.13844385,2295.33513,3430.0,748.413,0.0,53485.5404261,179356.473,253.8,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,14841.2456397,2295.33513,3430.0,748.413,0.0,53432.4332303,179356.473,253.8,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,20424.0278318,2295.33513,3430.0,748.413,4486.53120013,53169.1198381,179356.473,253.8,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,15175.683898,2295.33513,3430.0,748.413,20872.2916497,49923.7033223,179356.473,253.8,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,15063.3010657,2295.33513,3430.0,748.413,28536.3078074,47496.6269205,179227.916076,253.8,8.1,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,8127.90748669,2295.33513,3430.0,748.413,32040.6043061,50263.3670772,179178.273,253.8,8.1,19.2,0.0,0.0,0.0,0.0,276365,0.0
12,2082.59831006,2295.33513,3430.0,748.413,33140.5269615,51656.7535984,179178.273,253.8,8.1,19.2,0.0,0.0,0.0,0.0,272813,0.0
13,1396.73355,2295.33513,3430.0,748.413,32377.1968117,50247.6029675,177155.618541,253.8,8.1,19.2,0.0,0.0,0.0,0.0,267932,0.0
14,1654.35327288,2295.33513,3430.0,748.413,31149.1472058,44096.3783913,179178.273,253.8,8.1,19.2,0.0,0.0,0.0,0.0,262833,0.0
15,1396.73355,2295.33513,3430.0,748.413,30220.4895193,41251.2139836,178756.714817,253.8,8.1,19.2,0.0,0.0,0.0,0.0,258380,0.0
16,1396.73355,2295.33513,3430.0,748.413,26910.9905115,42913.8469628,179119.580846,253.8,8.1,19.2,0.0,0.0,0.0,0.0,257096,0.0
17,6079.59466012,2295.33513,3430.0,748.413,19636.160203,47202.1240068,179178.273,253.8,8.1,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,23673.45,2295.33513,3430.0,748.413,2488.68993642,47196.4963391,180887.373,253.8,385.242594488,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,22874.0009396,2295.33513,3430.0,748.413,0.0,53449.8779304,179178.273,253.8,8.1,19.2,0.0,0.0,0.0,0.0,262257,0.0
20,10569.5612516,2295.33513,3430.0,748.413,0.0,64471.3176184,179178.273,253.8,8.1,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,70276.5250761,178093.893244,253.8,8.1,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,70770.1796492,169819.238671,253.8,8.1,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,68322.4759655,163913.942354,253.8,8.1,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,63942.1289486,161747.289371,253.8,8.1,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,59110.7366147,159826.88595,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,229061,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,55035.8862485,160338.736317,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,225498,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,52450.5319529,161769.090612,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,224343,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,47582.092431,168944.530134,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,226650,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,43726.4800094,178493.242556,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,232470,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,41607.8366414,189075.885924,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,240934,0.0
31,1361.223375,2280.89906,3430.0,748.413,0.0,39910.7242595,200739.998306,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,250901,0.0
32,7319.65447713,2280.89906,3430.0,748.413,4539.60673835,38329.5447139,202138.140011,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,261216,0.0
33,4338.6328596,2280.89906,3430.0,748.413,21623.7308022,33603.2242782,201791.358,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,270246,0.0
34,6678.52401504,2280.89906,3430.0,748.413,29346.3033643,28332.3605607,202147.758,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,275394,0.0
35,4820.82481374,2280.89906,3430.0,748.413,31632.94791,27432.0152163,201613.158,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,274388,0.0
36,4836.43793306,2280.89906,3430.0,748.413,32875.3626076,22143.5873993,201969.558,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,270714,0.0
37,7498.99850419,2280.89906,3430.0,748.413,32575.5824925,15657.0069433,201791.358,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,266412,0.0
38,7631.76536527,2280.89906,3430.0,748.413,33168.091942,11537.5306327,201969.558,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,263196,0.0
39,8235.24133662,2280.89906,3430.0,748.413,32791.2123904,10039.134213,201791.358,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,261746,0.0
40,10678.7278971,2280.89906,3430.0,748.413,30083.4353716,11426.0246712,202147.758,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,263225,0.0
41,19699.2840002,2280.89906,3430.0,748.413,22892.0108526,15020.6930872,201434.958,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,267936,0.0
42,23673.45,2280.89906,3430.0,748.413,3488.44849387,20001.8013639,208240.173,4551.084,4190.53108224,1769.2,0.0,0.0,0.0,0.0,272374,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,29816.2104637,208240.173,4551.084,736.911,51.8594762933,0.0,0.0,0.0,0.0,273529,0.0
44,17823.907,2280.89906,3430.0,748.413,0.0,44087.88094,201613.158,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,272414,0.0
