,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,68268.2448375,158249.173483,253.8,8.1,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,65987.346445,155988.071875,253.8,8.1,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,63339.4334068,159097.984913,253.8,8.1,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,58987.8894332,165348.528887,253.8,8.1,19.2,0.0
4,4785.34495812,2295.33513,3430.0,748.413,0.0,54828.5739119,171199.233,253.8,8.1,19.2,0.0
5,14625.9811335,2295.33513,3430.0,748.413,0.0,52798.2377365,170931.933,253.8,8.1,19.2,0.0
6,23673.45,2295.33513,3430.0,748.413,0.0,52388.4533902,171568.24848,253.8,8.1,19.2,0.0
7,23673.45,2295.33513,3430.0,748.413,6480.28499777,52172.9903916,175109.426481,253.8,8.1,19.2,0.0
8,3771.2464028,2295.33513,3430.0,748.413,42048.6518836,48410.7364466,171097.517137,253.8,8.1,19.2,0.0
9,1396.73355,2295.33513,3430.0,748.413,78283.6108153,45934.1125097,144836.594995,126.9,8.1,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,107681.118523,48961.2466654,111697.953131,126.9,8.1,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,117357.251448,50182.9617225,97275.40515,126.9,0.0,0.0,0.0
12,1396.73355,2295.33513,3430.0,748.413,114418.889427,48240.3237431,97275.40515,126.9,0.0,0.0,0.0
13,1396.73355,2295.33513,3430.0,748.413,128066.866631,29493.3465393,97275.40515,126.9,0.0,0.0,0.0
14,1396.73355,2295.33513,3430.0,748.413,117725.138108,35382.0750619,97275.40515,126.9,0.0,0.0,0.0
15,1396.73355,2295.33513,3430.0,748.413,95467.4826243,41269.8513635,112333.984332,126.9,8.1,19.2,0.0
16,1396.73355,2295.33513,3430.0,748.413,56956.990331,45481.2770635,148388.050925,126.9,8.1,19.2,0.0
17,23673.45,2295.33513,3430.0,748.413,7220.15247602,45586.9556176,176864.373,253.8,736.911,568.609776379,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,52537.9774422,176864.373,253.8,967.293,1486.3584278,0.0
19,17984.6263095,2295.33513,3430.0,748.413,0.0,65035.2925605,171199.233,253.8,8.1,19.2,0.0
20,6028.66337135,2295.33513,3430.0,748.413,0.0,72539.2554987,171199.233,253.8,8.1,19.2,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,73260.8551194,167328.563201,253.8,8.1,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,70354.1219835,161882.296337,253.8,8.1,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,64772.6109718,160916.807348,253.8,8.1,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,58906.2388232,160031.383742,2275.542,8.1,19.2,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,54514.379643,160860.242922,2275.542,8.1,19.2,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,50855.261758,163364.360807,2275.542,8.1,19.2,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,45995.0824677,170404.640097,2402.442,8.1,19.2,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,41830.931958,180388.790607,2402.442,8.1,19.2,0.0
29,5431.8948352,2280.89906,3430.0,748.413,0.0,39533.2281048,187079.823,2402.442,8.1,19.2,0.0
30,16959.9067027,2280.89906,3430.0,748.413,0.0,37972.2162373,187079.823,2402.442,8.1,19.2,0.0
31,22841.8031843,2280.89906,3430.0,748.413,6238.5955307,36360.3212883,186886.225937,2402.442,8.1,19.2,0.0
32,1361.223375,2280.89906,3430.0,748.413,42518.6878107,31039.8821691,186437.152585,2402.442,8.1,19.2,0.0
33,1361.223375,2280.89906,3430.0,748.413,78935.83786,26365.8404457,159968.944259,2275.542,8.1,19.2,0.0
34,1361.223375,2280.89906,3430.0,748.413,107413.846534,25731.2161225,131119.559909,2275.542,8.1,19.2,0.0
35,1361.223375,2280.89906,3430.0,748.413,126809.120731,20118.2066842,113690.59515,2275.542,0.0,0.0,0.0
36,1361.223375,2280.89906,3430.0,748.413,128704.26261,13921.0648052,113690.59515,2275.542,0.0,0.0,0.0
37,1361.223375,2280.89906,3430.0,748.413,129745.652014,9663.67540085,113690.59515,2275.542,0.0,0.0,0.0
38,1361.223375,2280.89906,3430.0,748.413,121795.061478,8762.16761013,121073.493477,2275.542,0.0,19.2,0.0
39,1361.223375,2280.89906,3430.0,748.413,99033.3779485,10520.668918,143547.575698,2275.542,8.1,19.2,0.0
40,1361.223375,2280.89906,3430.0,748.413,60931.4494584,14030.9664494,182723.306657,2402.442,8.1,19.2,0.0
41,23673.45,2280.89906,3430.0,748.413,8212.90062995,18605.1528052,206710.173,4551.084,2392.7275049,1769.2,0.0
42,23673.45,2280.89906,3430.0,748.413,0.0,29174.906409,206710.173,4551.084,1312.803,1647.27153097,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,43403.1728992,196448.323041,2402.442,8.1,19.2,0.0
44,17673.9550818,2280.89906,3430.0,748.413,0.0,54078.1678582,187079.823,2402.442,8.1,19.2,0.0
