,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,68268.2448375,254982.153483,619.72,7.2,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,65987.346445,249333.051875,619.72,7.2,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,63339.4334068,252622.964913,619.72,7.2,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,58987.8894332,259444.508887,759.72,7.2,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,54828.5739119,270840.424408,906.12,7.2,19.2,0.0
5,6513.94492474,2295.33513,3430.0,748.413,0.0,52798.2377365,279373.949209,906.12,156.8,19.2,0.0
6,21432.4024798,2295.33513,3430.0,748.413,0.0,52388.4533902,279524.276,906.12,156.8,19.2,0.0
7,23673.45,2295.33513,3430.0,748.413,6480.28499777,52172.9903916,286824.686481,1013.84,156.8,19.2,0.0
8,13596.0675398,2295.33513,3430.0,748.413,42048.6518836,48410.7364466,279286.676,906.12,156.8,19.2,0.0
9,1396.73355,2295.33513,3430.0,748.413,78283.6108153,45934.1125097,267416.274995,906.12,7.2,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,107681.118523,48961.2466654,234325.033131,619.72,7.2,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,125429.035228,50182.9617225,209477.401369,619.72,7.2,19.2,0.0
12,1396.73355,2295.33513,3430.0,748.413,132576.01111,48240.3237431,196407.863467,506.92,7.2,19.2,0.0
13,1396.73355,2295.33513,3430.0,748.413,128066.866631,41983.2181036,199170.113586,506.92,7.2,19.2,0.0
14,1396.73355,2295.33513,3430.0,748.413,117725.138108,39126.163152,205068.09706,619.72,7.2,19.2,0.0
15,1396.73355,2295.33513,3430.0,748.413,95467.4826243,41269.8513635,222936.064332,619.72,7.2,19.2,0.0
16,1396.73355,2295.33513,3430.0,748.413,56956.990331,45481.2770635,259247.130925,759.72,7.2,19.2,0.0
17,23673.45,2295.33513,3430.0,748.413,7220.15247602,45586.9556176,289793.853776,1013.84,156.8,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,52537.9774422,291012.776,1013.84,342.008427799,19.2,0.0
19,21000.5633095,2295.33513,3430.0,748.413,0.0,65035.2925605,279524.276,906.12,156.8,19.2,0.0
20,6929.60037135,2295.33513,3430.0,748.413,0.0,72539.2554987,279524.276,906.12,156.8,19.2,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,73260.8551194,272910.143201,906.12,7.2,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,70354.1219835,263078.276337,759.72,7.2,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,64772.6109718,258180.787348,759.72,7.2,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,58906.2388232,256401.105742,619.72,7.2,19.2,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,54514.379643,254747.964922,619.72,7.2,19.2,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,50855.261758,256200.082807,619.72,7.2,19.2,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,45995.0824677,263985.262097,619.72,7.2,19.2,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,41830.931958,276510.412607,619.72,7.2,19.2,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,39533.2281048,291388.71646,906.12,7.2,19.2,0.0
30,10800.5957027,2280.89906,3430.0,748.413,0.0,37972.2162373,298494.356,906.12,7.2,19.2,0.0
31,22091.8164021,2280.89906,3430.0,748.413,6238.5955307,36360.3212883,298329.434719,906.12,7.2,19.2,0.0
32,6508.8419602,2280.89906,3430.0,748.413,42518.6878107,31039.8821691,298256.756,906.12,7.2,19.2,0.0
33,1361.223375,2280.89906,3430.0,748.413,78935.83786,26365.8404457,281333.666259,759.72,7.2,19.2,0.0
34,1361.223375,2280.89906,3430.0,748.413,107413.846534,25731.2161225,251885.281909,619.72,7.2,19.2,0.0
35,1361.223375,2280.89906,3430.0,748.413,126867.306385,20118.2066842,232112.831496,619.72,7.2,19.2,0.0
36,1361.223375,2280.89906,3430.0,748.413,132167.650198,13921.0648052,226222.629561,619.72,7.2,19.2,0.0
37,1361.223375,2280.89906,3430.0,748.413,129745.652014,10281.2371752,227461.455376,619.72,7.2,19.2,0.0
38,1361.223375,2280.89906,3430.0,748.413,121795.061478,8762.16761013,235251.115477,619.72,7.2,19.2,0.0
39,1361.223375,2280.89906,3430.0,748.413,99033.3779485,10520.668918,258989.297698,619.72,7.2,19.2,0.0
40,3599.99603215,2280.89906,3430.0,748.413,60931.4494584,14030.9664494,298256.756,906.12,7.2,19.2,0.0
41,23673.45,2280.89906,3430.0,748.413,8212.90062995,18605.1528052,330478.376,1013.84,859.816,1125.1525049,0.0
42,23673.45,2280.89906,3430.0,748.413,0.0,29174.906409,330478.376,1013.84,286.915530973,19.2,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,43403.1728992,313759.225041,1013.84,156.8,19.2,0.0
44,21529.2440818,2280.89906,3430.0,748.413,0.0,54078.1678582,298256.756,906.12,7.2,19.2,0.0
45,6871.47062126,2280.89906,3430.0,748.413,0.0,55985.9413187,298256.756,906.12,7.2,19.2,0.0
46,1361.223375,2280.89906,3430.0,748.413,0.0,53392.1035546,293436.84101,906.12,7.2,19.2,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,50096.6133234,286944.331242,906.12,7.2,19.2,0.0
48,1427.509035,2295.33513,3430.0,748.413,0.0,46108.8781029,281281.912732,1877.552,7.2,19.2,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,42961.2539277,277875.536907,1877.552,7.2,19.2,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,40927.7488597,278172.041975,1877.552,7.2,19.2,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,38844.1164084,283247.674427,1877.552,7.2,19.2,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,35582.4856983,294988.305137,2017.552,7.2,19.2,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,33573.5035732,311166.887262,2163.952,7.2,19.2,0.0
54,2372.10513196,2295.33513,3430.0,748.413,0.0,32041.618738,328506.856,2271.672,156.8,19.2,0.0
55,16466.1138084,2295.33513,3430.0,748.413,6289.57496348,30082.0350981,328506.856,2271.672,156.8,19.2,0.0
56,1427.509035,2295.33513,3430.0,748.413,42685.7579727,24840.8695944,328259.443268,2271.672,156.8,19.2,0.0
57,1427.509035,2295.33513,3430.0,748.413,79335.6584002,18830.0416818,305765.690753,2163.952,7.2,19.2,0.0
