ann_gen_coal_MWh,ann_gen_diesel_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_gen_other_MWh,ann_gen_solarPV_MWh,ann_gen_total_MWh,ann_gen_vre_MWh,ann_gen_vre_nocurt_MWh,ann_gen_wind_MWh,capacity_solarPV_MW,capacity_vre_MW,capacity_wind_MW,date_time,dispatch_cost,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,scenario
2665741992,1746965.87,35664568.5,3549588.54,128787887.3,30046800,17365.44,617349313.1,3482904481,617349313.1,1026500345,0,600051,600051,0,11/12/2016 4:43,5.91E+12,324720,34250,53800,S600W0
2360165784,2073257.81,43139370.34,5752836.97,128787887.3,30046800,535103.14,575570892.6,3482904481,912403442,1142202955,336832549.6,450047,600057,150010,11/12/2016 10:42,5.24E+12,265980,44250,90550,S450W150
2117282096,2449096.81,60107050.81,8080999.34,128787887.3,30046800,1522174.94,485492400.2,3482904481,1134628376,1207988452,649135975.9,300012,600019,300007,11/12/2016 16:46,4.81E+12,225720,59500,107650,S300W300
2031250015,1839597.71,55973641.6,5871352.61,128787887.3,30046800,1372004.96,247382018,3482904481,1227763181,1267252346,980381163.2,150088,600096,450008,11/13/2016 0:01,4.55E+12,218460,52500,120200,S150W450
2059247689,1672716.72,50053078.03,3047022.6,128787887.3,30046800,1105806.8,0,3482904481,1208943481,1286680246,1208943481,0,600016,600016,11/13/2016 4:35,4.58E+12,244860,55500,101100,S0W600
3295897980,210849.53,26391115.21,1569848.8,128787887.3,30046800,0,0,3482904481,0,0,0,0,0,0,11/12/2016 0:53,7.20E+12,368280,8750,42250,S0W0
2819788393,341506.05,25085019.34,1576990.23,128787887.3,30046800,111060.96,0,3482904481,477166824.6,477166824.6,477166824.6,0,200005,200005,11/12/2016 3:16,6.05E+12,312180,20750,76750,S0W200
2841978340,430887.62,25035410.73,1733041.07,128787887.3,30046800,70346.76,87844246.67,3482904481,454821767.9,454821768,366977521.2,50015,200025,150010,11/12/2016 5:36,6.10E+12,306900,19250,74600,S50W150
2865384046,587429.29,28880519.62,1926862.58,128787887.3,30046800,73094.45,175038224,3482904481,427217841.4,427217841.3,252179617.3,100079,200102,100023,11/12/2016 8:01,6.18E+12,305580,22500,75800,S100W100
2898538015,658215.51,30067173.57,1833998.68,128787887.3,30046800,26830.67,261665558.2,3482904481,392945560.4,392945560.5,131280002.5,150010,200039,50029,11/12/2016 10:17,6.28E+12,316140,23750,68150,S150W50
2942559881,827920.02,30855541.15,1800755.96,128787887.3,30046800,18146.64,348007549.4,3482904481,348007549.4,348007549.4,0,200004,200004,0,11/12/2016 12:26,6.41E+12,333300,28500,51650,S200W0
2400429416,950462.83,33390957.8,1974887.48,128787887.3,30046800,507253.34,0,3482904481,886816815.7,888594834.6,886816815.7,0,400031,400031,11/12/2016 17:15,5.17E+12,277200,35750,91550,S0W400
2423377779,940630.18,34932819.71,2936245.23,128787887.3,30046800,482534.64,174284144.2,3482904481,861399785.3,862515831,687115641.2,100079,400086,300007,11/12/2016 20:00,5.22E+12,261360,34000,97500,S100W300
2455297352,1298215.96,42381338.18,3835196.94,128787887.3,30046800,577742.41,345445689.3,3482904481,820679948.6,825174374,475234259.4,200004,400009,200005,11/12/2016 22:50,5.37E+12,262020,41500,94500,S200W200
2547046979,1371075.25,36457314.61,3623738.48,128787887.3,30046800,236632.08,497398474.6,3482904481,735334053.9,771532273.4,237935579.3,300014,400037,100023,11/13/2016 1:46,5.58E+12,288420,34500,80850,S300W100
2725565354,1545256.41,34591286.54,2951597.43,128787887.3,30046800,16258.72,559400040.4,3482904481,559400040.4,689271559.2,0,400003,400003,0,11/13/2016 4:15,6.01E+12,327360,32750,52900,S400W0
