ann_gen_coal_MWh,ann_gen_diesel_MWh,ann_gen_gas_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_gen_other_MWh,ann_gen_solarPV_MWh,ann_gen_total_MWh,ann_gen_vre_MWh,ann_gen_vre_nocurt_MWh,ann_gen_wind_MWh,capacity_solarPV_MW,capacity_vre_MW,capacity_wind_MW,date_time,dispatch_cost,new_capacity_coal_MW,new_capacity_gas_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,scenario
2833928021.75,,12827620.75,,,,,147168.0,0.0,3482904322.41,477166824.57,477166824.564,477166824.57,0,200005,200005,2016-11-02 03:27:12,6.02611273053e+12,412500.0,0.0,,,S0W200
2857035665.07,,12064944.19,,,,,147168.0,87844246.67,3482904232.61,454821767.92,454821767.967,366977521.2,50015,200025,150010,2016-11-02 06:33:02,6.07411319642e+12,394020.0,0.0,,,S50W150
2882437187.01,,14267282.82,,,,,147168.0,175038224.01,3482904166.44,427217841.44,427217841.337,252179617.28,100079,200102,100023,2016-11-02 09:42:23,6.14532423711e+12,393360.0,0.0,,,S100W100
2914235238.49,,16741432.47,,,,,147191.96,261665558.16,3482904110.71,392945560.43,392945560.504,131280002.53,150010,200039,50029,2016-11-02 13:18:47,6.24351012641e+12,397320.0,0.0,,,S150W50
2957364570.85,,18550240.97,,,,,147162.96,348007549.39,3482904211.41,348007549.39,348007549.414,0.0,200004,200004,0,2016-11-02 17:08:55,6.37903237771e+12,413160.0,0.0,,,S200W0
2427226826.17,,10161542.97,,,,,145968.48,0.0,3482904235.1,886535210.12,888594834.626,886535210.12,0,400031,400031,2016-11-03 10:15:11,5.09293537884e+12,407880.0,0.0,,,S0W400
2453177699.72,,9527159.76,,,,,146296.08,174118521.54,3482904243.14,861218400.2,862515830.985,687099878.68,100079,400086,300007,2016-11-03 13:15:33,5.13006880772e+12,382800.0,0.0,,,S100W300
2491316241.54,,12318607.87,,,,,145383.84,344223372.42,3482904132.48,820289211.89,825174373.967,476065839.52,200004,400009,200005,2016-11-03 16:52:00,5.24583259655e+12,386100.0,0.0,,,S200W200
2573525222.13,,18362653.33,,,,,138660.48,485873242.79,3482903960.3,732042736.89,771532273.397,246169494.16,300014,400037,100023,2016-11-04 06:54:45,5.51029312633e+12,392040.0,0.0,,,S300W100
20662173.24,0.0,,0.0,0.0,82320.0,0.0,1118.88,4613982.6,26506104.0,4613982.6,689271559.155,0.0,400003,400003,0,2016-11-09 22:51:27,44517382807.7,342540.0,,20000.0,50250.0,S400W0
