,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,321448.84632,2271.672,156.8,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,313518.84632,2271.672,156.8,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,314160.84632,2271.672,156.8,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,316770.84632,2271.672,156.8,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,324153.84632,2271.672,156.8,19.2,0.0
5,5553.40387,2295.33513,3430.0,748.413,0.0,0.0,331767.176,2271.672,156.8,19.2,0.0
6,20212.40387,2295.33513,3430.0,748.413,0.0,0.0,331767.176,2271.672,156.8,19.2,0.0
7,12792.7222756,2295.33513,3430.0,748.413,23333.6815944,0.0,331767.176,2271.672,156.8,19.2,0.0
8,1396.73355,2295.33513,3430.0,748.413,130174.00665,0.0,250949.55967,1877.552,7.2,19.2,0.0
9,1396.73355,2295.33513,3430.0,748.413,205157.85952,0.0,185643.9068,1764.752,0.0,0.0,0.0
10,1396.73355,2295.33513,3430.0,748.413,204204.85952,0.0,185643.9068,1764.752,0.0,0.0,0.0
11,1396.73355,2295.33513,3430.0,748.413,198326.85952,0.0,185643.9068,1764.752,0.0,0.0,0.0
12,1396.73355,2295.33513,3430.0,748.413,190348.85952,0.0,185643.9068,1764.752,0.0,0.0,0.0
13,1396.73355,2295.33513,3430.0,748.413,182344.85952,0.0,185643.9068,1764.752,0.0,0.0,0.0
14,1396.73355,2295.33513,3430.0,748.413,175156.85952,0.0,185643.9068,1764.752,0.0,0.0,0.0
15,1396.73355,2295.33513,3430.0,748.413,172910.85952,0.0,185643.9068,1764.752,0.0,0.0,0.0
16,1396.73355,2295.33513,3430.0,748.413,147728.169827,0.0,212952.196493,1764.752,7.2,19.2,0.0
17,16149.7744196,2295.33513,3430.0,748.413,17309.7924073,0.0,331557.013043,2271.672,156.8,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,929.785625061,0.0,337534.376,3529.504,1166.936,1765.20024494,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,0.0,337534.376,3529.504,859.816,1045.10587,0.0
20,23673.45,2295.33513,3430.0,748.413,0.0,0.0,333954.12987,2271.672,156.8,19.2,0.0
21,14523.00387,2295.33513,3430.0,748.413,0.0,0.0,331529.576,2271.672,156.8,19.2,0.0
