,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,68268.2448635,158218.573457,284.4,8.1,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,65987.3464424,155957.471878,284.4,8.1,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,63339.4334462,159067.384874,284.4,8.1,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,58987.8894604,165317.92886,284.4,8.1,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,54828.5738801,174557.24444,284.4,8.1,19.2,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,52798.2377229,184003.680597,411.3,8.1,19.2,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,52388.4534786,193687.464841,411.3,8.1,19.2,0.0
7,5066.28857785,2295.33513,3430.0,748.413,0.0,52172.9902921,200039.373,411.3,8.1,19.2,0.0
8,16720.5424318,2295.33513,3430.0,748.413,0.0,48410.7364382,200039.373,411.3,8.1,19.2,0.0
9,23673.45,2295.33513,3430.0,748.413,0.0,45934.1125241,200039.373,568.8,370.316345895,19.2,0.0
10,20362.079046,2295.33513,3430.0,748.413,0.0,48961.2466006,200039.373,501.253223424,8.1,19.2,0.0
11,15520.8171273,2295.33513,3430.0,748.413,0.0,50182.9617427,200039.373,568.8,8.1,19.2,0.0
12,12582.4550921,2295.33513,3430.0,748.413,0.0,48240.3237779,200039.373,568.8,8.1,19.2,0.0
13,13740.5607158,2295.33513,3430.0,748.413,0.0,41983.2181542,200039.373,568.8,8.1,19.2,0.0
14,12144.6157404,2295.33513,3430.0,748.413,0.0,39126.1631296,200039.373,568.8,8.1,19.2,0.0
15,8716.92754951,2295.33513,3430.0,748.413,0.0,41269.8513205,200039.373,568.8,8.1,19.2,0.0
16,6260.5018665,2295.33513,3430.0,748.413,0.0,45481.2770035,200039.373,568.8,8.1,19.2,0.0
17,8681.8232246,2295.33513,3430.0,748.413,0.0,45586.9556454,200039.373,568.8,8.1,19.2,0.0
18,2609.8014534,2295.33513,3430.0,748.413,0.0,52537.9774166,200039.373,568.8,8.1,19.2,0.0
19,1396.73355,2295.33513,3430.0,748.413,0.0,65035.2926417,187629.625678,411.3,8.1,19.2,0.0
20,1396.73355,2295.33513,3430.0,748.413,0.0,72539.255436,175800.562884,284.4,8.1,19.2,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,73260.8550756,167297.963244,284.4,8.1,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,70354.1220091,161851.696311,284.4,8.1,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,64772.6108748,160886.207445,284.4,8.1,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,58906.2388192,160058.683746,2275.542,0.0,0.0,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,54514.3796254,160887.54294,2275.542,0.0,0.0,0.0
