,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,52872.9078343,173644.510486,253.8,8.1,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,51219.012105,170756.406215,253.8,8.1,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,49278.6900157,173158.728304,253.8,8.1,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,45838.732914,178497.685406,253.8,8.1,19.2,0.0
4,2841.30726841,2295.33513,3430.0,748.413,0.0,42557.8091016,185414.0355,253.8,8.1,19.2,0.0
5,11573.812109,2295.33513,3430.0,748.413,0.0,41028.104261,185754.2355,253.8,8.1,19.2,0.0
6,21071.9074257,2295.33513,3430.0,748.413,0.0,40804.0089443,185754.2355,253.8,8.1,19.2,0.0
7,23673.45,2295.33513,3430.0,748.413,5251.38181767,40748.4144627,187762.90559,253.8,8.1,19.2,0.0
8,9742.83853738,2295.33513,3430.0,748.413,31647.1330068,38135.3448258,185802.8355,253.8,8.1,19.2,0.0
9,1396.73355,2295.33513,3430.0,748.413,58872.0949769,35967.0503421,174088.273001,253.8,8.1,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,81000.4942534,38330.8023067,149009.02176,126.9,8.1,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,94356.7096518,39701.5993571,130730.009311,126.9,8.1,19.2,0.0
12,1396.73355,2295.33513,3430.0,748.413,99603.6050245,38648.9812846,121654.732011,126.9,8.1,19.2,0.0
13,1396.73355,2295.33513,3430.0,748.413,95853.1798316,33643.2976486,125311.84084,126.9,8.1,19.2,0.0
14,1396.73355,2295.33513,3430.0,748.413,88476.1509124,31333.4464755,130545.720932,126.9,8.1,19.2,0.0
15,1396.73355,2295.33513,3430.0,748.413,71946.5956152,33186.5070644,143938.21564,126.9,8.1,19.2,0.0
16,1396.73355,2295.33513,3430.0,748.413,43278.8086509,36364.5787658,171056.030903,253.8,8.1,19.2,0.0
17,23673.45,2295.33513,3430.0,748.413,5651.22676754,36179.2080273,189119.267075,253.8,8.1,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,41417.3441321,189714.123,253.8,705.334737889,19.2,0.0
19,17584.9694992,2295.33513,3430.0,748.413,0.0,51015.3262713,185618.856099,253.8,8.1,19.2,0.0
20,8054.47733551,2295.33513,3430.0,748.413,0.0,56784.6390345,184928.0355,253.8,8.1,19.2,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,57407.6240671,183181.794253,253.8,8.1,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,55194.4416405,177041.97668,253.8,8.1,19.2,0.0
