,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,27785.0210083,198289.012312,697.185,8.1,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,27079.5322036,194452.501116,697.185,8.1,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,25938.3824223,196055.650898,697.185,8.1,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,24219.4307657,199673.602554,697.185,8.1,19.2,0.0
4,2311.79220842,2295.33513,3430.0,748.413,0.0,22428.5666616,204942.123,1140.57,252.0,19.2,0.0
5,10610.4099069,2295.33513,3430.0,748.413,0.0,21672.9489631,204942.123,1140.57,252.0,19.2,0.0
6,20101.493159,2295.33513,3430.0,748.413,0.0,21462.3211096,204942.123,1140.57,245.544601402,19.2,0.0
7,22683.1673263,2295.33513,3430.0,748.413,6930.65844283,21749.5331009,204942.123,1140.57,252.0,19.2,0.0
8,1396.73355,2295.33513,3430.0,748.413,46956.7142611,20261.9581538,196269.360905,697.185,8.1,19.2,0.0
9,1396.73355,2295.33513,3430.0,748.413,87386.9244275,19102.2090119,162121.799881,570.285,8.1,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,120228.239683,20532.7798798,127135.913757,570.285,8.1,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,129804.98618,21849.0794898,112718.16765,570.285,0.0,0.0,0.0
12,1396.73355,2295.33513,3430.0,748.413,125460.474343,21312.5913269,112718.16765,570.285,0.0,0.0,0.0
13,1396.73355,2295.33513,3430.0,748.413,123198.782629,18475.2830408,112718.16765,570.285,0.0,0.0,0.0
14,1396.73355,2295.33513,3430.0,748.413,131434.890422,5786.17524821,112718.16765,570.285,0.0,0.0,0.0
15,1396.73355,2295.33513,3430.0,748.413,106464.614816,17904.2259511,124259.092553,570.285,8.1,19.2,0.0
16,1396.73355,2295.33513,3430.0,748.413,63358.1634929,19385.8286108,167638.941216,570.285,8.1,19.2,0.0
17,21653.27952,2295.33513,3430.0,748.413,7935.50014,18961.57921,204942.123,1140.57,252.0,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,21687.2256329,204942.123,1140.57,2570.6832371,1769.2,0.0
19,21295.5188816,2295.33513,3430.0,748.413,0.0,26850.8399884,204942.123,1140.57,252.0,19.2,0.0
20,13789.6285545,2295.33513,3430.0,748.413,0.0,29904.7303155,204942.123,1140.57,252.0,19.2,0.0
21,5770.92261855,2295.33513,3430.0,748.413,0.0,30218.0362515,204942.123,1140.57,176.4,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,29266.4727683,202526.560552,697.185,8.1,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,27185.3446794,198060.688641,697.185,8.1,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,25033.7398398,193776.982725,2402.442,8.1,19.2,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,23135.9081623,192111.814403,2402.442,8.1,19.2,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,21713.128778,192379.593787,2402.442,8.1,19.2,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,19545.5708722,196854.151693,2402.442,8.1,19.2,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,18007.6816318,204212.040933,2402.442,8.1,19.2,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,17257.2816224,212901.7005,2758.88244262,176.4,19.2,0.0
