,scenario,scenario_main,dispatch_cost,ann_gen_total_MWh,ann_gen_vre_nocurt_MWh,ann_gen_vre_MWh,ann_curt_vre_MWh,ann_gen_solarPV_MWh,ann_gen_wind_MWh,ann_gen_coal_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_diesel_MWh,ann_gen_other_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_discharge_bat_storage_MWh,ann_charge_bat_storage_MWh,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,capacity_vre_MW,capacity_solarPV_MW,capacity_wind_MW,capacity_bat_storage_MW,energy_bat_storage_MWh,scenario_build,scenario_split,rank,date_time,scenario_econ_dispatch,scenario_sensitivity,ann_cap_cost_coal_mil,ann_cap_cost_ccgt_mil,ann_cap_cost_ct_mil,ann_cap_cost_solar_mil,ann_cap_cost_wind_mil,ann_cap_cost_battery_mil,total_cost_new_conv,total_cost_vre,total_cost_capacity,total_cost_energy,total_cost,system_cost_vre,cost_vre_pMWh,cost_vre_nocurt_pMWh,cost_battery_pMWh,cost_battery_nocurt_pMWh,capacity_value_pMWh,energy_value_pMWh,system_cost_vre_pMWh,system_cost_add_pMWh_load,system_cost_add_perc,vre_share_after_curt,vre_curt,vre_share_nocurt,total_emissions_co2_milTonnes,grid_emissions_factor_kg_kWh,total_emissions_reduced_milTonnes,emissions_reduction,cost_emissions_reduction_pTonneCO2_avg,avoided_conv_cap_mw_perVREmw
1,S0W0,base,4.60764E+12,2424553182,0,0,0,0,0,2226209347,37431382.02,1890048.44,187717.24,0,128787887.3,30046800,0,0,151140,0,13400,0,0,0,0,0,0 GW,0-0,1,1/17/18 0:22,ClcC70m,ClcC70m,19006.01593,0,873.4057111,0,0,0,19879.42165,0,19879.42165,70886.84181,90766.26345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.178438,0.851776919,NA,NA,NA,NA
2,S0W200,base,3.53212E+12,2424553182,477166828,477093308.1,73516,0,477093308.1,1763116977,23986377.7,1291599.33,229093.08,1139.25,128787887.3,30046800,0,0,126720,0,28800,200005,0,200005,0,0,200 GW,0-100,2,1/17/18 14:02,ClcC70m,ClcC70m,15935.17493,0,1877.170483,0,21878.86075,0,17812.34542,21878.86075,39691.20616,54340.35784,94031.56401,3265.300554,45.85866198,45.85159626,0,0,4.332645617,34.68186135,6.844155008,1.34676384,0.035974826,0.196775765,0.000154076,0.196806088,1633.143461,0.673585333,432.0349768,0.209199829,7.557954169,0.045098873
3,S50W150,base,3.58386E+12,2424553182,454821772,454776174.2,45593,87798652.91,366977521.2,1783235771,25922219,1358091.26,426239.21,0,128787887.3,30046800,0,0,118800,0,25000,200025,50015,150010,0,0,200 GW,25-75,3,1/17/18 16:51,ClcC70m,ClcC70m,14939.2265,0,1629.488267,3933.600415,16409.82926,0,16568.71477,20343.42967,36912.14444,55136.34945,92048.49389,1282.230432,44.73283964,44.72835498,0,0,7.279860002,34.63350381,2.819475833,0.528852261,0.014126729,0.187571128,0.000100254,0.187589934,1652.669355,0.681638731,412.5090834,0.199745008,3.108368964,0.103687039
4,S100W100,base,3.66952E+12,2424553182,427217839,426206259.7,1011581,174521298.3,251684961.3,1807136233,30079657.89,1711103.81,585240.61,0,128787887.3,30046800,0,0,119460,0,27400,200102,100079,100023,0,0,200 GW,50-50,4,1/17/18 18:07,ClcC70m,ClcC70m,15022.2222,0,1785.919141,7871.054602,10941.6729,0,16808.14134,18812.7275,35620.86885,56454.16798,92075.03683,1308.773376,44.13996058,44.03544465,0,0,7.20608915,33.86312025,3.070751182,0.539799822,0.014419161,0.175787548,0.00236783,0.176204771,1676.756683,0.691573481,388.4217552,0.18808145,3.369464656,0.088354939
5,S150W50,base,3.81778E+12,2424553182,392945562,375118489.1,17827089,246842981.5,128275507.5,1849931247,37249321.8,2553020.61,866416.04,0,128787887.3,30046800,0,0,126720,0,24200,200039,150010,50029,0,0,200 GW,75-25,5,1/17/18 19:30,ClcC70m,ClcC70m,15935.17493,0,1577.344642,11798.04855,5472.750803,0,17512.51957,17270.79935,34783.31893,58735.03008,93518.34901,2752.085557,46.04091735,43.95214254,0,0,6.30974516,32.39459551,7.336576674,1.135089788,0.030320578,0.154716544,0.045367793,0.162069269,1719.900327,0.709367953,345.2781115,0.16719045,7.970634295,0.068086723
6,S200W0,base,4.03705E+12,2424553182,348007539,278446346.9,69561203,278446346.9,0,1945090909,38237835.62,2808020.62,1135382.27,0,128787887.3,30046800,0,0,144540,0,11000,200004,200004,0,0,0,200 GW,100-0,6,1/17/18 20:59,ClcC70m,ClcC70m,18176.05891,0,716.9748374,15729.99735,0,0,18893.03374,15729.99735,34623.03109,62108.47808,96731.50918,5965.245724,56.49202271,45.2001626,0,0,3.542470255,31.52623054,21.42332191,2.460348475,0.065720957,0.114844396,0.199884153,0.14353471,1808.243594,0.74580488,256.9348444,0.124412903,23.2169589,0.0449991
7,S0W300,base,3.11488E+12,2424553182,687477610,681932644.1,5544966,0,681932644.1,1559361151,22579295.48,1477765.66,366499.76,1139.25,128787887.3,30046800,0,0,119460,0,33000,300007,0,300007,0,0,300 GW,0-100,7,1/17/18 22:17,ClcC70m,ClcC70m,15022.2222,0,2150.924512,0,32818.23642,0,17173.14671,32818.23642,49991.38314,47921.29168,97912.67482,7146.411364,48.12533423,47.73717129,0,0,3.968537003,33.6771532,10.47964403,2.947516853,0.078734225,0.281261162,0.008065668,0.283548167,1445.327085,0.596121007,619.8513535,0.300144211,11.5292341,0.040265727
8,S75W225,base,3.16163E+12,2424553182,662279339,656065595.6,6213742,128867976.5,527197619.2,1583444785,23963424.42,1574651.78,670037.57,0,128787887.3,30046800,0,0,109560,0,31400,300060,75025,225035,0,0,300 GW,25-75,8,1/17/18 23:35,ClcC70m,ClcC70m,13777.28666,0,2046.637263,5900.597244,24616.93172,0,15823.92392,30517.52896,46341.45288,48640.48836,94981.94124,4215.677791,46.51597213,46.07954252,0,0,6.181543049,33.90873351,6.42569557,1.738744204,0.046445426,0.270592372,0.00938236,0.273155212,1468.375302,0.605627178,596.8031363,0.288983811,7.063766148,0.078584283
9,S150W150,base,3.31771E+12,2424553182,628643078,598136798.9,30506301,238494192.5,359642606.4,1633822537,30167129.67,2689828.3,902200.88,0,128787887.3,30046800,0,0,112860,0,31000,300020,150010,150010,0,0,300 GW,50-50,9,1/18/18 1:01,ClcC70m,ClcC70m,14192.26517,0,2020.565451,11798.04855,16409.82926,0,16212.83063,28207.87781,44420.70843,51041.66224,95462.37067,4696.107217,47.15957597,44.87105449,0,0,6.130020804,33.17832912,7.85122605,1.936895941,0.051738466,0.246699806,0.048527185,0.259282033,1518.221325,0.626186027,546.9571133,0.264847387,8.585878312,0.068928738
10,S225W75,base,3.62386E+12,2424553182,583353677,469369489.9,113984181,287636914.7,181732575.2,1754955851,36988651.58,3269001.93,1135500.19,0,128787887.3,30046800,0,0,121440,0,27200,300020,225017,75003,0,0,300 GW,75-25,10,1/18/18 2:30,ClcC70m,ClcC70m,15271.20931,0,1772.883234,17697.23012,8204.695845,0,17044.09254,25901.92597,42946.01851,55751.73217,98697.75068,7931.487228,55.1845114,44.40175315,0,0,6.040718799,32.24561878,16.89817382,3.271319139,0.087383648,0.193590099,0.195394649,0.24060255,1633.085198,0.673561302,432.0932401,0.209228042,18.35596231,0.052996467
