,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,99476.6459676,127194.972352,126.9,0.0,0.0,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,95078.79722,127050.8211,126.9,0.0,0.0,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,92267.2719528,130324.346367,126.9,0.0,0.0,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,85667.9183715,138795.399949,126.9,8.1,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,79973.0528944,149570.265426,126.9,8.1,19.2,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,77275.590655,159810.727665,126.9,8.1,19.2,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,76035.0005086,170198.417811,253.8,8.1,19.2,0.0
7,1396.73355,2295.33513,3430.0,748.413,0.0,75427.9852453,180611.433075,253.8,8.1,19.2,0.0
8,14678.8253507,2295.33513,3430.0,748.413,0.0,69148.1535193,181501.173,253.8,8.1,19.2,0.0
9,23673.45,2295.33513,3430.0,748.413,0.0,65048.9286729,181501.173,253.8,108.700197079,19.2,0.0
10,19340.9207194,2295.33513,3430.0,748.413,0.0,68768.0581506,181501.173,253.8,8.1,19.2,0.0
11,15353.2397538,2295.33513,3430.0,748.413,0.0,69203.7391162,181501.173,253.8,8.1,19.2,0.0
12,13431.7926084,2295.33513,3430.0,748.413,0.0,66244.1862616,181501.173,253.8,8.1,19.2,0.0
13,16348.5675041,2295.33513,3430.0,748.413,0.0,58073.2091099,181501.173,253.8,163.302255925,19.2,0.0
14,15508.7509713,2295.33513,3430.0,748.413,0.0,54446.9278987,181501.173,253.8,176.4,19.2,0.0
15,10939.2687119,2295.33513,3430.0,748.413,0.0,57732.4101581,181501.173,253.8,176.4,19.2,0.0
16,6011.29687949,2295.33513,3430.0,748.413,0.0,64415.3819905,181501.173,253.8,176.4,19.2,0.0
17,8000.28322613,2295.33513,3430.0,748.413,0.0,64953.3956439,181501.173,253.8,176.4,19.2,0.0
18,1396.73355,2295.33513,3430.0,748.413,0.0,75117.5068009,178987.911519,253.8,8.1,19.2,0.0
19,1396.73355,2295.33513,3430.0,748.413,0.0,93607.4245223,159341.893798,126.9,8.1,19.2,0.0
20,1396.73355,2295.33513,3430.0,748.413,0.0,104305.424836,144191.893484,126.9,8.1,19.2,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,104641.181571,136075.136749,126.9,8.1,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,100046.789771,132324.628549,126.9,0.0,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,91701.9009611,134114.417359,126.9,8.1,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,66637.691465,151992.5211,2610.252,0.0,0.0,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,63074.691465,151992.5211,2610.252,0.0,0.0,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,61919.691465,151992.5211,2610.252,0.0,0.0,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,64226.691465,151992.5211,2610.252,0.0,0.0,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,58874.6667102,163137.245855,2610.252,8.1,19.2,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,55521.3765686,174954.535996,2610.252,8.1,19.2,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,53072.2304231,187370.682142,2610.252,8.1,19.2,0.0
31,1361.223375,2280.89906,3430.0,748.413,0.0,50396.6212937,200234.391271,2737.152,8.1,19.2,0.0
32,1361.223375,2280.89906,3430.0,748.413,0.0,42989.4706642,215685.231901,3555.162,176.4,19.2,0.0
33,9663.45137111,2280.89906,3430.0,748.413,0.0,36342.3955694,217132.173,5220.504,556.963999449,19.2,0.0
34,9916.01395009,2280.89906,3430.0,748.413,0.0,35070.3859899,217132.173,5220.504,570.411,19.2,0.0
35,13970.0418665,2280.89906,3430.0,748.413,0.0,27342.3580735,217132.173,5220.504,570.411,19.2,0.0
36,17961.7518819,2280.89906,3430.0,748.413,0.0,19048.6480581,217132.173,5220.504,570.411,19.2,0.0
37,19563.8598018,2280.89906,3430.0,748.413,0.0,14230.5401382,217132.173,5220.504,570.411,19.2,0.0
38,19782.7183409,2280.89906,3430.0,748.413,0.0,12561.6815991,217132.173,5220.504,570.411,19.2,0.0
39,18462.4217255,2280.89906,3430.0,748.413,0.0,15360.9782145,217132.173,5220.504,570.411,19.2,0.0
40,17797.442689,2280.89906,3430.0,748.413,0.0,20736.957251,217132.173,5220.504,570.411,19.2,0.0
41,15304.6131734,2280.89906,3430.0,748.413,0.0,27667.7867666,217132.173,5220.504,570.411,19.2,0.0
42,1361.223375,2280.89906,3430.0,748.413,0.0,42870.4515872,217132.173,5220.504,466.135977803,19.2,0.0
43,1361.223375,2280.89906,3430.0,748.413,0.0,63501.8237746,198327.18879,2737.152,8.1,19.2,0.0
