,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,225916.53332,854.685,8.1,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,221532.03332,697.185,8.1,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,221994.03332,697.185,8.1,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,223893.03332,697.185,8.1,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,228361.34832,1140.57,176.4,19.2,0.0
5,7640.90887,2295.33513,3430.0,748.413,0.0,0.0,229660.173,1140.57,176.4,19.2,0.0
6,16914.90887,2295.33513,3430.0,748.413,0.0,0.0,229660.173,1140.57,176.4,19.2,0.0
7,20240.6238669,2295.33513,3430.0,748.413,6480.28500311,0.0,229660.173,1140.57,176.4,19.2,0.0
8,1396.73355,2295.33513,3430.0,748.413,42048.6519562,0.0,221439.381364,697.185,8.1,19.2,0.0
9,1396.73355,2295.33513,3430.0,748.413,78283.6108409,0.0,190200.422479,697.185,8.1,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,107681.118579,0.0,160215.814741,570.285,8.1,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,125429.035131,0.0,138915.898189,570.285,8.1,19.2,0.0
12,1396.73355,2295.33513,3430.0,748.413,132576.011067,0.0,126915.222253,570.285,0.0,0.0,0.0
13,1396.73355,2295.33513,3430.0,748.413,128066.866686,0.0,126325.366634,570.285,0.0,0.0,0.0
14,1396.73355,2295.33513,3430.0,748.413,117725.138056,0.0,132214.095264,570.285,0.0,0.0,0.0
15,1396.73355,2295.33513,3430.0,748.413,95467.4827115,0.0,153160.450609,570.285,8.1,19.2,0.0
16,1396.73355,2295.33513,3430.0,748.413,56956.990317,0.0,193299.043003,697.185,8.1,19.2,0.0
17,16687.7564698,2295.33513,3430.0,748.413,7220.15240016,0.0,229660.173,1140.57,176.4,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,0.0,229660.173,1140.57,736.911,572.14787,0.0
19,23503.90887,2295.33513,3430.0,748.413,0.0,0.0,229660.173,1140.57,176.4,19.2,0.0
20,19051.90887,2295.33513,3430.0,748.413,0.0,0.0,229660.173,1140.57,176.4,19.2,0.0
21,11270.90887,2295.33513,3430.0,748.413,0.0,0.0,229660.173,1140.57,176.4,19.2,0.0
22,2905.28748852,2295.33513,3430.0,748.413,0.0,0.0,229660.173,1140.57,189.021381482,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,225246.03332,697.185,8.1,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,219100.918565,2112.246,8.1,19.2,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,215537.918565,2112.246,8.1,19.2,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,214382.918565,2112.246,8.1,19.2,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,216689.918565,2112.246,8.1,19.2,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,222509.918565,2112.246,8.1,19.2,0.0
