,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh,,
1,1396.73355,2295.33513,3430,748.413,0,36323.92993,0,0,0,234669,198345.0701,190474.5884,0,,
2,1396.73355,2295.33513,3430,748.413,0,35313.71672,0,0,0,230127,194813.2833,186942.8016,0,,
3,1396.73355,2295.33513,3430,748.413,0,33936.77439,0,0,0,230589,196652.2256,188781.7439,0,,
4,1396.73355,2295.33513,3430,748.413,0,31687.24389,0,0,0,232488,200800.7561,192930.2744,0,,
5,1396.73355,2295.33513,3430,748.413,0,29396.3785,0,0,0,237568,208171.6215,200301.1398,0,,
6,10175.56214,2295.33513,3430,748.413,0,28283.35364,0,0,0,245111,216827.6464,200178.3361,0,,
7,23673.45,2295.33513,3430,748.413,0,28078.23204,0,0,0,254385,226306.768,196159.5698,0,,
8,23673.45,2295.33513,3430,748.413,10243.12609,28318.67233,0,0,0,264191,225629.2016,195482.0035,0,,
9,1396.73355,2295.33513,3430,748.413,63646.57977,26501.81891,0,0,0,272083,181934.6013,174064.1196,0,,
10,1396.73355,2295.33513,3430,748.413,117301.0039,24973.92725,0,0,0,277079,134804.0688,126933.5872,0,,
11,1396.73355,2295.33513,3430,748.413,160078.6803,26714.19441,0,0,0,276365,89572.12532,81701.64364,0,,
12,1396.73355,2295.33513,3430,748.413,185730.5151,28148.92321,0,0,0,272813,58933.56174,51063.08006,0,,
13,1396.73355,2295.33513,3430,748.413,194773.8942,27615.44877,0,0,0,267932,45542.65701,37672.17533,0,,
14,1396.73355,2295.33513,3430,748.413,186607.3699,23993.72463,0,0,0,262833,52231.90547,44361.42379,0,,
15,1396.73355,2295.33513,3430,748.413,171716.7111,22324.79254,0,0,0,258380,64338.49637,56468.01469,0,,
16,1396.73355,2295.33513,3430,748.413,139329.97,23460.51269,0,0,0,257096,94305.51735,86435.03567,0,,
17,1396.73355,2295.33513,3430,748.413,81916.50532,25628.43913,0,0,0,258851,151306.0555,143435.5739,0,,
18,23673.45,2295.33513,3430,748.413,9845.989923,25102.35049,0,0,0,261378,226429.6596,196282.4615,0,,
19,23673.45,2295.33513,3430,748.413,0,28674.03325,0,0,0,262257,233582.9667,203435.7686,0,,
20,23673.45,2295.33513,3430,748.413,0,35391.49059,0,0,0,260974,225582.5094,195435.3113,0,,
21,10553.38291,2295.33513,3430,748.413,0,39316.53288,0,0,0,256522,217205.4671,200178.3361,0,,
22,1396.73355,2295.33513,3430,748.413,0,39706.43419,0,0,0,248741,209034.5658,201164.0841,0,,
23,1396.73355,2295.33513,3430,748.413,0,38285.83008,0,0,0,240388,202102.1699,194231.6882,0,,
24,1396.73355,2295.33513,3430,748.413,0,35532.31042,0,0,0,233841,198308.6896,190438.2079,0,,
25,1361.223375,2280.89906,3430,748.413,0,32433.83382,0,0,0,229061,196627.1662,188806.6307,0,,
26,1361.223375,2280.89906,3430,748.413,0,30116.35735,0,0,0,225498,195381.6426,187561.1072,0,,
27,1361.223375,2280.89906,3430,748.413,0,27977.84439,0,0,0,224343,196365.1556,188544.6202,0,,
28,1361.223375,2280.89906,3430,748.413,0,25314.98649,0,0,0,226650,201335.0135,193514.4781,0,,
29,1361.223375,2280.89906,3430,748.413,0,23211.27451,0,0,0,232470,209258.7255,201438.1901,0,,
30,1361.223375,2280.89906,3430,748.413,0,22222.73719,0,0,0,240934,218711.2628,210890.7274,0,,
31,13191.03527,2280.89906,3430,748.413,0,21559.03441,0,0,0,250901,229341.9656,209691.6183,0,,
32,14655.51172,2280.89906,3430,748.413,9773.457906,20636.10006,0,0,0,261216,230806.442,209691.6183,0,,
33,1361.223375,2280.89906,3430,748.413,63682.43466,17977.82716,0,0,0,270246,188585.7382,180765.2027,0,,
34,1361.223375,2280.89906,3430,748.413,116509.3015,14990.06881,0,0,0,275394,143894.6297,136074.0943,0,,
35,1361.223375,2280.89906,3430,748.413,159189.5829,14818.84929,0,0,0,274388,100379.5678,92559.03234,0,,
36,1361.223375,2280.89906,3430,748.413,186685.2764,11971.95348,0,0,0,270714,72056.77016,64236.23473,0,,
37,1361.223375,2280.89906,3430,748.413,194817.0615,8069.095175,0,0,0,266412,63525.84335,55705.30792,0,,
38,1361.223375,2280.89906,3430,748.413,192263.7274,5705.792925,0,0,0,263196,65226.47965,57405.94421,0,,
39,1361.223375,2280.89906,3430,748.413,179589.2955,4501.532911,0,0,0,261746,77655.17159,69834.63615,0,,
40,1361.223375,2280.89906,3430,748.413,144490.6924,5199.492771,0,0,0,263225,113534.8149,105714.2794,0,,
41,1361.223375,2280.89906,3430,748.413,86482.73597,6843.069072,0,0,0,267936,174610.195,166789.6595,0,,
42,23673.45,2280.89906,3430,748.413,10625.26616,9124.622562,0,0,0,272374,252624.1113,222491.3492,0,,
43,23673.45,2280.89906,3430,748.413,0,14808.2084,0,0,0,273529,258720.7916,228588.0295,0,,
44,23673.45,2280.89906,3430,748.413,0,22762.10463,0,0,0,272414,249651.8954,219519.1333,0,,
45,23673.45,2280.89906,3430,748.413,0,28899.92724,0,0,0,267721,238821.0728,208688.3107,0,,
46,12900.8797,2280.89906,3430,748.413,0,30036.18999,0,0,0,259088,229051.81,209691.6183,0,,
47,5619.864713,2280.89906,3430,748.413,0,28631.20497,0,0,0,250402,221770.795,209691.6183,0,,
48,1361.223375,2280.89906,3430,748.413,0,27042.43655,0,0,0,243987,216944.5635,209124.028,0,,
49,1427.509035,2295.33513,3430,748.413,0,25148.58047,0,0,0,238528,213379.4195,205478.1624,0,,
50,1427.509035,2295.33513,3430,748.413,0,23714.86777,0,0,0,234583,210868.1322,202966.8751,0,,
51,1427.509035,2295.33513,3430,748.413,0,22641.40879,0,0,0,233756,211114.5912,203213.334,0,,
52,1427.509035,2295.33513,3430,748.413,0,21629.75948,0,0,0,236064,214434.2405,206532.9834,0,,
53,1427.509035,2295.33513,3430,748.413,0,20212.29027,0,0,0,241974,221761.7097,213860.4526,0,,
54,1427.509035,2295.33513,3430,748.413,0,19257.27073,0,0,0,251047,231789.7293,223888.4721,0,,
55,7274.042488,2295.33513,3430,748.413,0,18575.99736,0,0,0,261747,243171.0026,229423.212,0,,
56,9669.106176,2295.33513,3430,748.413,9722.490716,17556.44296,0,0,0,272845,245566.0663,229423.212,0,,
57,1427.509035,2295.33513,3430,748.413,63760.31433,14534.27693,0,0,0,281548,203253.4087,195352.1516,0,,
58,1427.509035,2295.33513,3430,748.413,116865.9988,11043.69353,0,0,0,285750,157840.3076,149939.0505,0,,
59,1427.509035,2295.33513,3430,748.413,163647.8579,10562.94886,0,0,0,284413,110202.1932,102300.9361,0,,
60,1427.509035,2295.33513,3430,748.413,192747.503,8868.048087,0,0,0,280653,79037.44891,71136.19175,0,,
61,1427.509035,2295.33513,3430,748.413,206625.3111,6441.956167,0,0,0,276117,63049.73277,55148.4756,0,,
62,1427.509035,2295.33513,3430,748.413,205130.8686,4720.147504,0,0,0,272198,62346.98386,54445.7267,0,,
63,1427.509035,2295.33513,3430,748.413,185625.3434,3871.290917,0,0,0,269438,79941.36568,72040.10851,0,,
64,1427.509035,2295.33513,3430,748.413,146852.8275,3809.221047,0,0,0,269896,119233.9515,111332.6943,0,,
65,1427.509035,2295.33513,3430,748.413,86856.24282,4100.161506,0,0,0,273750,182793.5957,174892.3385,0,,
66,23673.45,2295.33513,3430,748.413,11392.5917,4611.810357,0,0,0,277624,261619.5979,231472.3998,0,,
67,23673.45,2295.33513,3430,748.413,0,6371.776501,0,0,0,279691,273319.2235,243172.0254,0,,
68,23673.45,2295.33513,3430,748.413,0,9384.138336,0,0,0,278966,269581.8617,239434.6635,0,,
69,23673.45,2295.33513,3430,748.413,0,11900.23211,0,0,0,274332,262431.7679,232284.5698,0,,
70,18444.42331,2295.33513,3430,748.413,0,11430.61654,0,0,0,265772,254341.3835,229423.212,0,,
71,9919.148863,2295.33513,3430,748.413,0,9887.890991,0,0,0,255704,245816.109,229423.212,0,,
72,1427.509035,2295.33513,3430,748.413,0,8423.171503,0,0,0,247386,238962.8285,231061.5713,0,,
73,1581.38646,2295.33513,3430,748.413,0,7529.434638,0,0,0,241037,233507.5654,225452.4308,0,,
74,1581.38646,2295.33513,3430,748.413,0,6565.509507,0,0,0,236236,229670.4905,221615.3559,0,,
75,1581.38646,2295.33513,3430,748.413,0,5599.882576,0,0,0,234038,228438.1174,220382.9828,0,,
76,1581.38646,2295.33513,3430,748.413,0,4632.770347,0,0,0,235738,231105.2297,223050.0951,0,,
77,7917.439128,2295.33513,3430,748.413,0,4428.099746,0,0,0,239903,235474.9003,221083.713,0,,
78,14014.18381,2295.33513,3430,748.413,0,4793.355069,0,0,0,246365,241571.6449,221083.713,0,,
79,23673.45,2295.33513,3430,748.413,0,5381.556482,0,0,0,253788,248406.4435,218259.2454,0,,
80,17941.84193,2295.33513,3430,748.413,9446.473005,6292.22394,0,0,0,261238,245499.3031,221083.713,0,,
81,1581.38646,2295.33513,3430,748.413,65131.8106,5398.407774,0,0,0,266503,195972.7816,187917.647,0,,
82,1581.38646,2295.33513,3430,748.413,120994.4447,4569.664477,0,0,0,269530,143965.8908,135910.7562,0,,
83,1581.38646,2295.33513,3430,748.413,165080.0589,6090.638438,0,0,0,269369,98198.30264,90143.16805,0,,
84,1581.38646,2295.33513,3430,748.413,191021.8012,6010.973376,0,0,0,266336,69303.2254,61248.09081,0,,
85,1581.38646,2295.33513,3430,748.413,204432.0262,5592.12728,0,0,0,261953,51928.84649,43873.7119,0,,
86,1581.38646,2295.33513,3430,748.413,198063.56,5583.725484,0,0,0,258242,54594.71447,46539.57988,0,,
87,1581.38646,2295.33513,3430,748.413,177437.843,5900.05313,0,0,0,255343,72005.10388,63949.96929,0,,
88,1581.38646,2295.33513,3430,748.413,138313.2953,6305.014333,0,0,0,255270,110651.6904,102596.5558,0,,
89,1581.38646,2295.33513,3430,748.413,81755.8674,8114.971853,0,0,0,258208,168337.1607,160282.0262,0,,
90,13255.76996,2295.33513,3430,748.413,11346.56917,9788.199739,0,0,0,261948,240813.2311,221083.713,0,,
91,23673.45,2295.33513,3430,748.413,0,13024.34797,0,0,0,263986,250961.652,220814.4539,0,,
92,23673.45,2295.33513,3430,748.413,0,16951.81145,0,0,0,264326,247374.1885,217226.9904,0,,
93,13388.89721,2295.33513,3430,748.413,0,20230.64166,0,0,0,261177,240946.3583,221083.713,0,,
94,1581.38646,2295.33513,3430,748.413,0,22325.56114,0,0,0,253857,231531.4389,223476.3043,0,,
95,1581.38646,2295.33513,3430,748.413,0,22620.9084,0,0,0,247071,224450.0916,216394.957,0,,
96,1581.38646,2295.33513,3430,748.413,0,20737.31261,0,0,0,241950,221212.6874,213157.5528,0,,
97,1676.08026,2295.33513,3430,753.12,0,18227.16363,0,0,0,237684,219456.8364,211302.301,0,,
98,1676.08026,2295.33513,3430,753.12,0,15251.47228,0,0,0,234388,219136.5277,210981.9923,0,,
99,1676.08026,2295.33513,3430,753.12,0,12492.20682,0,0,0,234037,221544.7932,213390.2578,0,,
100,1676.08026,2295.33513,3430,753.12,0,10309.99469,0,0,0,235737,225427.0053,217272.4699,0,,
101,1676.08026,2295.33513,3430,753.12,0,9161.901944,0,0,0,239902,230740.0981,222585.5627,0,,
102,11405.27098,2295.33513,3430,753.12,0,8774.473232,0,0,0,246363,237588.5268,219704.8007,0,,
103,18696.72034,2295.33513,3430,753.12,0,8906.023868,0,0,0,253786,244879.9761,219704.8007,0,,
104,16906.88543,2295.33513,3430,753.12,9234.672413,8910.186366,0,0,0,261235,243090.1412,219704.8007,0,,
105,1676.08026,2295.33513,3430,753.12,64766.38573,8425.822402,0,0,0,266499,193306.7919,185152.2565,0,,
106,1676.08026,2295.33513,3430,753.12,120180.9987,7542.253432,0,0,0,269524,141800.7479,133646.2125,0,,
107,1676.08026,2295.33513,3430,753.12,166713.4483,6581.645099,0,0,0,269364,96068.9066,87914.37121,0,,
108,1676.08026,2295.33513,3430,753.12,197117.2439,5763.723397,0,0,0,266331,63450.03267,55295.49728,0,,
109,1676.08026,2295.33513,3430,753.12,212139.3086,4584.56907,0,0,0,261948,45224.12238,37069.58699,0,,
110,1676.08026,2295.33513,3430,753.12,209501.8672,3557.41697,0,0,0,258237,45177.71582,37023.18043,0,,
111,1676.08026,2295.33513,3430,753.12,188802.729,2855.892911,0,0,0,255340,63681.37811,55526.84272,0,,
112,1676.08026,2295.33513,3430,753.12,149132.5574,2967.488457,0,0,0,255268,103167.9541,95013.41872,0,,
113,1676.08026,2295.33513,3430,753.12,88993.85267,3649.812525,0,0,0,258206,165562.3348,157407.7994,0,,
114,19088.07575,2295.33513,3430,753.12,12055.6105,4619.057953,0,0,0,261946,245271.3315,219704.8007,0,,
115,23673.45,2295.33513,3430,753.12,0,6725.780929,0,0,0,263983,257257.2191,227105.3139,0,,
116,23673.45,2295.33513,3430,753.12,0,9855.308806,0,0,0,264323,254467.6912,224315.7861,0,,
117,23673.45,2295.33513,3430,753.12,0,12177.22738,0,0,0,261173,248995.7726,218843.8675,0,,
118,14671.23313,2295.33513,3430,753.12,0,13000.51108,0,0,0,253855,240854.4889,219704.8007,0,,
119,6152.26457,2295.33513,3430,753.12,0,13286.47964,0,0,0,245622,232335.5204,219704.8007,0,,
120,1676.08026,2295.33513,3430,753.12,0,13183.65299,0,0,0,239244,226060.347,217905.8116,0,,
121,1784.97813,2280.89906,3430,753.12,0,12734.29651,0,0,0,233728,220993.7035,212744.7063,0,,
122,1784.97813,2280.89906,3430,753.12,0,12211.24186,0,0,0,229019,216807.7581,208558.7609,0,,
123,1784.97813,2280.89906,3430,753.12,0,12304.18192,0,0,0,227240,214935.8181,206686.8209,0,,
124,1784.97813,2280.89906,3430,753.12,0,11572.63607,0,0,0,229344,217771.3639,209522.3667,0,,
125,1784.97813,2280.89906,3430,753.12,0,10795.85335,0,0,0,234369,223573.1467,215324.1495,0,,
126,7334.563302,2280.89906,3430,753.12,0,10315.95828,0,0,0,242272,231956.0417,218157.4594,0,,
127,16978.37944,2280.89906,3430,753.12,0,9572.142144,0,0,0,251172,241599.8579,218157.4594,0,,
128,18443.15186,2280.89906,3430,753.12,9074.212826,8642.156897,0,0,0,260781,243064.6303,218157.4594,0,,
129,1784.97813,2280.89906,3430,753.12,65171.8576,6799.961393,0,0,0,268512,196540.181,188291.1838,0,,
130,1784.97813,2280.89906,3430,753.12,120684.0138,5765.020096,0,0,0,273266,146816.9662,138567.969,0,,
131,1784.97813,2280.89906,3430,753.12,165572.8399,5674.18274,0,0,0,273506,102258.9773,94009.98015,0,,
132,1784.97813,2280.89906,3430,753.12,195336.861,6376.263699,0,0,0,271531,69817.87532,61568.87813,0,,
133,1784.97813,2280.89906,3430,753.12,210214.9295,6417.687379,0,0,0,268507,51874.3831,43625.38591,0,,
134,1784.97813,2280.89906,3430,753.12,208773.0028,6565.764406,0,0,0,265573,50234.23281,41985.23562,0,,
135,1784.97813,2280.89906,3430,753.12,191766.4567,6811.825887,0,0,0,263865,65286.71743,57037.72024,0,,
136,1784.97813,2280.89906,3430,753.12,154659.1815,7094.525249,0,0,0,264789,103035.2933,94786.29611,0,,
137,1784.97813,2280.89906,3430,753.12,93645.08754,7171.173112,0,0,0,269326,168509.7393,160260.7422,0,,
138,23673.45,2280.89906,3430,753.12,13421.21669,7884.583665,0,0,0,274546,253240.1996,223102.7306,0,,
139,23673.45,2280.89906,3430,753.12,0,11606.19805,0,0,0,277917,266310.8019,236173.3329,0,,
140,23673.45,2280.89906,3430,753.12,0,17046.36801,0,0,0,278031,260984.632,230847.1629,0,,
141,23673.45,2280.89906,3430,753.12,0,21187.68109,0,0,0,274163,252975.3189,222837.8498,0,,
142,17072.45942,2280.89906,3430,753.12,0,23301.06217,0,0,0,264995,241693.9378,218157.4594,0,,
143,1784.97813,2280.89906,3430,753.12,0,24561.86675,0,0,0,254894,230332.1332,222083.1361,0,,
144,1784.97813,2280.89906,3430,753.12,0,24904.02989,0,0,0,246793,221888.9701,213639.9729,0,,
145,1825.222995,2266.46299,3430,757.827,0,25113.62049,0,0,0,240866,215752.3795,207472.8665,0,,
146,1825.222995,2266.46299,3430,757.827,0,24601.92333,0,0,0,236390,211788.0767,203508.5637,0,,
147,1825.222995,2266.46299,3430,757.827,0,24296.20988,0,0,0,234893,210596.7901,202317.2771,0,,
148,1825.222995,2266.46299,3430,757.827,0,23136.24285,0,0,0,236956,213819.7572,205540.2442,0,,
149,1825.222995,2266.46299,3430,757.827,0,21695.96725,0,0,0,242280,220584.0328,212304.5198,0,,
150,1825.222995,2266.46299,3430,757.827,0,20284.42763,0,0,0,250823,230538.5724,222259.0594,0,,
151,15130.62511,2266.46299,3430,757.827,0,19050.71423,0,0,0,260776,241725.2858,220140.3707,0,,
152,17363.73614,2266.46299,3430,757.827,9189.283514,17495.31969,0,0,0,270643,243958.3968,220140.3707,0,,
153,1825.222995,2266.46299,3430,757.827,65677.16972,14438.49498,0,0,0,277978,197862.3353,189582.8223,0,,
154,1825.222995,2266.46299,3430,757.827,124095.6394,11093.2678,0,0,0,281494,146305.0928,138025.5798,0,,
155,1825.222995,2266.46299,3430,757.827,171672.5509,10504.52799,0,0,0,279885,97707.92106,89428.40808,0,,
156,1825.222995,2266.46299,3430,757.827,202831.7631,10938.64708,0,0,0,276426,62655.58979,54376.07681,0,,
157,1825.222995,2266.46299,3430,757.827,216901.568,10669.38351,0,0,0,272959,45388.04845,37108.53546,0,,
158,1825.222995,2266.46299,3430,757.827,214032.9723,10048.83671,0,0,0,269577,45495.19098,37215.67799,0,,
159,1825.222995,2266.46299,3430,757.827,194960.8711,9872.151498,0,0,0,268414,63580.97741,55301.46442,0,,
160,1825.222995,2266.46299,3430,757.827,156014.1812,10270.0124,0,0,0,268976,102691.8064,94412.29346,0,,
161,1825.222995,2266.46299,3430,757.827,94569.17086,10761.36817,0,0,0,272937,167606.461,159326.948,0,,
162,23673.45,2266.46299,3430,757.827,14395.47786,10721.50069,0,0,0,277421,252304.0215,222176.2815,0,,
163,23673.45,2266.46299,3430,757.827,0,13624.29497,0,0,0,280365,266740.705,236612.965,0,,
164,23673.45,2266.46299,3430,757.827,0,18792.52806,0,0,0,279588,260795.4719,230667.732,0,,
165,23673.45,2266.46299,3430,757.827,0,22224.31909,0,0,0,276002,253777.6809,223649.9409,0,,
166,17888.1434,2266.46299,3430,757.827,0,23361.19594,0,0,0,267844,244482.8041,220140.3707,0,,
167,8802.131536,2266.46299,3430,757.827,0,23636.2078,0,0,0,259033,235396.7922,220140.3707,0,,
168,1825.222995,2266.46299,3430,757.827,0,22938.15634,0,0,0,252560,229621.8437,221342.3307,0,,
169,1879.67193,2237.59085,3430,757.827,0,21908.16404,0,0,0,247482,225573.836,217268.7462,0,,
170,1879.67193,2237.59085,3430,757.827,0,21072.50085,0,0,0,242894,221821.4991,213516.4094,0,,
171,1879.67193,2237.59085,3430,757.827,0,20123.06761,0,0,0,241716,221592.9324,213287.8426,0,,
172,1879.67193,2237.59085,3430,757.827,0,18715.4876,0,0,0,244214,225498.5124,217193.4226,0,,
173,1879.67193,2237.59085,3430,757.827,0,17959.96856,0,0,0,249841,231881.0314,223575.9417,0,,
174,11198.72512,2237.59085,3430,757.827,0,17891.602,0,0,0,258930,241038.398,223414.255,0,,
175,17328.5211,2237.59085,3430,757.827,0,22787.80602,0,0,0,269956,247168.194,223414.255,0,,
176,16947.32967,2237.59085,3430,757.827,8966.711022,24825.28643,0,0,0,280579,246787.0026,223414.255,0,,
177,1879.67193,2237.59085,3430,757.827,64823.93291,24984.44645,0,0,0,288213,198404.6206,190099.5309,0,,
178,1879.67193,2237.59085,3430,757.827,122444.4693,25329.25998,0,0,0,291239,143465.2707,135160.1809,0,,
179,1879.67193,2237.59085,3430,757.827,170483.7242,29792.04311,0,0,0,288954,88678.23274,80373.14296,0,,
180,1879.67193,2237.59085,3430,757.827,200984.2888,31608.67663,0,0,0,284653,52060.03453,43754.94475,0,,
181,1879.67193,2237.59085,3430,757.827,216365.5071,29727.26534,0,0,0,279994,33901.22753,25596.13775,0,,
182,1879.67193,2237.59085,3430,757.827,212343.9142,27563.58079,0,0,0,275722,35814.50499,27509.41521,0,,
