Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,36323.9299324,0.0,0.0,0.0,234669,198345.070068,190474.588388,120000.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,35313.7167238,0.0,0.0,0.0,230127,194813.283276,186942.801596,120000.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,33936.7743935,0.0,0.0,0.0,230589,196652.225607,188781.743927,120000.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,31687.2438876,0.0,0.0,0.0,232488,200800.756112,192930.274432,120000.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,29396.3785019,0.0,0.0,0.0,237568,208171.621498,200301.139818,120000.0
6,8165.92911172,2295.33513,3430.0,748.413,0.0,28283.3536433,0.0,0.0,0.0,245111,216827.646357,202187.969115,120000.0
7,17645.0507119,2295.33513,3430.0,748.413,0.0,28078.2320431,0.0,0.0,0.0,254385,226306.767957,202187.969115,120000.0
8,23496.1525225,2295.33513,3430.0,748.413,3714.45790638,28318.6723261,0.0,0.0,0.0,264191,232157.869767,202187.969115,120000.0
9,15709.1251763,2295.33513,3430.0,748.413,21210.3386689,26501.8189098,0.0,0.0,0.0,272083,224370.842421,202187.969115,120000.0
10,4087.88136855,2295.33513,3430.0,748.413,39355.4741335,24973.927253,0.0,0.0,0.0,277079,212749.598614,202187.969115,120000.0
11,1396.73355,2295.33513,3430.0,748.413,54110.7983455,26714.1944065,0.0,0.0,0.0,276365,195540.007248,187669.525568,120000.0
12,1396.73355,2295.33513,3430.0,748.413,62899.5152318,28148.9232087,0.0,0.0,0.0,272813,181764.561559,173894.079879,120000.0
13,1396.73355,2295.33513,3430.0,748.413,65995.0193725,27615.4487681,0.0,0.0,0.0,267932,174321.531859,166451.050179,120000.0
14,1396.73355,2295.33513,3430.0,748.413,63411.1307742,23993.7246297,0.0,0.0,0.0,262833,175428.144596,167557.662916,120000.0
15,1396.73355,2295.33513,3430.0,748.413,59051.2717565,22324.7925415,0.0,0.0,0.0,258380,177003.935702,169133.454022,120000.0
16,1396.73355,2295.33513,3430.0,748.413,47818.4124675,23460.512689,0.0,0.0,0.0,257096,185817.074843,177946.593163,120000.0
17,1396.73355,2295.33513,3430.0,748.413,28810.2378973,25628.4391346,0.0,0.0,0.0,258851,204412.322968,196541.841288,120000.0
18,23647.5312119,2295.33513,3430.0,748.413,3966.40105263,25102.3504905,0.0,0.0,0.0,261378,232309.248457,202187.969115,120000.0
19,23673.45,2295.33513,3430.0,748.413,0.0,28674.0332532,0.0,0.0,0.0,262257,233582.966747,203435.768617,120000.0
20,16920.7921691,2295.33513,3430.0,748.413,0.0,35391.490586,0.0,0.0,0.0,260974,225582.509414,202187.969115,120000.0
21,8543.74987811,2295.33513,3430.0,748.413,0.0,39316.5328769,0.0,0.0,0.0,256522,217205.467123,202187.969115,120000.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,39706.4341872,0.0,0.0,0.0,248741,209034.565813,201164.084133,120000.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,38285.8300782,0.0,0.0,0.0,240388,202102.169922,194231.688242,120000.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,35532.3104175,0.0,0.0,0.0,233841,198308.689583,190438.207903,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,32433.8338245,0.0,0.0,0.0,229061,196627.166175,188806.63074,120000.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,30116.3573517,0.0,0.0,0.0,225498,195381.642648,187561.107213,120000.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,27977.8443918,0.0,0.0,0.0,224343,196365.155608,188544.620173,120000.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,25314.986487,0.0,0.0,0.0,226650,201335.013513,193514.478078,120000.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,23211.2745102,0.0,0.0,0.0,232470,209258.72549,201438.190055,120000.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,22222.7371911,0.0,0.0,0.0,240934,218711.262809,210890.727374,120000.0
