Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,99476.6458242,0.0,0.0,0.0,234669,135192.354176,127321.872496,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,96145.1478967,0.0,0.0,0.0,230127,133981.852103,126111.370423,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,92267.2718607,0.0,0.0,0.0,230589,138321.728139,130451.246459,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,85667.9183559,0.0,0.0,0.0,232488,146820.081644,138949.599964,0.0
5,7914.93620117,2295.33513,3430.0,748.413,0.0,79973.0529136,0.0,0.0,0.0,237568,157594.947086,143206.262755,0.0
6,18155.3983268,2295.33513,3430.0,748.413,0.0,77275.5907879,0.0,0.0,0.0,245111,167835.409212,143206.262755,0.0
7,23673.45,2295.33513,3430.0,748.413,0.0,76035.0004198,0.0,0.0,0.0,254385,178349.99958,148202.80145,0.0
8,23673.45,2295.33513,3430.0,748.413,9775.30977135,75427.9852543,0.0,0.0,0.0,264191,178987.704974,148840.506844,0.0
9,1396.73355,2295.33513,3430.0,748.413,63092.775029,69148.1535943,0.0,0.0,0.0,272083,139842.071377,131971.589697,0.0
10,1396.73355,2295.33513,3430.0,748.413,116477.487303,65048.928681,0.0,0.0,0.0,277079,95552.5840158,87682.1023358,0.0
11,1396.73355,2295.33513,3430.0,748.413,159348.673134,68768.0580924,0.0,0.0,0.0,276365,48248.2687736,40377.7870936,0.0
12,1396.73355,2295.33513,3430.0,748.413,185724.110269,69203.7392629,0.0,0.0,0.0,272813,17885.1504684,10014.6687884,0.0
13,1396.73355,2295.33513,3430.0,748.413,193817.332163,66244.1861566,0.0,0.0,2083.0,267932,7870.48168,0.0,0.0
14,1396.73355,2295.33513,3430.0,748.413,188281.003327,58073.2091657,0.0,0.0,0.0,262833,16478.7875075,8608.30582747,0.0
15,1396.73355,2295.33513,3430.0,748.413,173364.743914,54446.927935,0.0,0.0,0.0,258380,30568.3281509,22697.8464709,0.0
16,1396.73355,2295.33513,3430.0,748.413,140879.097429,57732.4100711,0.0,0.0,0.0,257096,58484.4924998,50614.0108198,0.0
17,1396.73355,2295.33513,3430.0,748.413,83530.9975599,64415.3820784,0.0,0.0,0.0,258851,110904.620362,103034.138682,0.0
18,23673.45,2295.33513,3430.0,748.413,11016.2574316,64953.3955068,0.0,0.0,0.0,261378,185408.347062,155261.148932,0.0
19,23673.45,2295.33513,3430.0,748.413,929.785164449,75117.5068879,0.0,0.0,0.0,262257,186209.707948,156062.509818,0.0
20,17192.2296705,2295.33513,3430.0,748.413,494.334850568,93607.4245937,0.0,0.0,0.0,260974,166872.240556,143206.262755,0.0
21,2536.56440157,2295.33513,3430.0,748.413,0.0,104305.424713,0.0,0.0,0.0,256522,152216.575287,143206.262755,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,104641.18162,0.0,0.0,0.0,248741,144099.81838,136229.3367,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,100046.789877,0.0,0.0,0.0,240388,140341.210123,132470.728443,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,91701.9009968,0.0,0.0,0.0,233841,142139.099003,134268.617323,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,83757.1527712,0.0,0.0,0.0,229061,145303.847229,137483.311794,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,77189.5376915,0.0,0.0,0.0,225498,148308.462309,140487.926874,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,72543.1237714,0.0,0.0,0.0,224343,151799.876229,143979.340794,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,64973.4615596,0.0,0.0,0.0,226650,161676.53844,153856.003005,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,58874.6665719,0.0,0.0,0.0,232470,173595.333428,165774.797993,0.0
30,9098.17040423,2280.89906,3430.0,748.413,0.0,55521.376496,0.0,0.0,0.0,240934,185412.623504,169855.14104,0.0
31,21514.3166165,2280.89906,3430.0,748.413,0.0,53072.2302836,0.0,0.0,0.0,250901,197828.769716,169855.14104,0.0
32,23673.45,2280.89906,3430.0,748.413,9319.28273098,50396.6213063,0.0,0.0,0.0,261216,201500.095963,171367.333903,0.0
33,1361.223375,2280.89906,3430.0,748.413,63431.7995061,42989.4706105,0.0,0.0,0.0,270246,163824.729883,156004.194448,0.0
34,1361.223375,2280.89906,3430.0,748.413,116196.810332,36342.3955184,0.0,0.0,0.0,275394,122854.794149,115034.258714,0.0
35,1361.223375,2280.89906,3430.0,748.413,158795.233922,35070.3859242,0.0,0.0,0.0,274388,80522.3801537,72701.8447187,0.0
36,1361.223375,2280.89906,3430.0,748.413,186981.344201,27342.3581865,0.0,0.0,0.0,270714,56390.2976127,48569.7621777,0.0
37,1361.223375,2280.89906,3430.0,748.413,195497.956344,19048.6479856,0.0,0.0,0.0,266412,51865.3956705,44044.8602355,0.0
38,1361.223375,2280.89906,3430.0,748.413,193123.807431,14230.5401714,0.0,0.0,0.0,263196,55841.6523973,48021.1169623,0.0
39,1361.223375,2280.89906,3430.0,748.413,180631.195847,12561.6815152,0.0,0.0,0.0,261746,68553.122638,60732.587203,0.0
40,1361.223375,2280.89906,3430.0,748.413,145811.562019,15360.9783001,0.0,0.0,0.0,263225,102052.459681,94231.9242461,0.0
41,1361.223375,2280.89906,3430.0,748.413,87861.4715245,20736.9571959,0.0,0.0,0.0,267936,159337.57128,151517.035845,0.0
42,23673.45,2280.89906,3430.0,748.413,11764.8319758,27667.7868175,0.0,0.0,0.0,272374,232941.381207,202808.619147,0.0
43,23673.45,2280.89906,3430.0,748.413,902.550286162,42870.4516916,0.0,0.0,0.0,273529,229755.998022,199623.235962,0.0
44,23673.45,2280.89906,3430.0,748.413,482.713220979,63501.8236372,0.0,0.0,0.0,272414,208429.463142,178296.701082,0.0
45,13291.7161953,2280.89906,3430.0,748.413,0.0,78114.8307049,0.0,0.0,0.0,267721,189606.169295,169855.14104,0.0
46,2463.0881839,2280.89906,3430.0,748.413,0.0,80310.4587163,0.0,0.0,0.0,259088,178777.541284,169855.14104,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,76944.4230707,0.0,0.0,0.0,250402,173457.576929,165637.041494,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,72041.5602566,0.0,0.0,0.0,243987,171945.439743,164124.904308,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,65432.398875,0.0,0.0,0.0,238528,173095.601125,165194.34396,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,60707.5335405,0.0,0.0,0.0,234583,173875.46646,165974.209295,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,57508.0192013,0.0,0.0,0.0,233756,176247.980799,168346.723634,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,54023.7918349,0.0,0.0,0.0,236064,182040.208165,174138.951,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,49250.3013152,0.0,0.0,0.0,241974,192723.698685,184822.44152,0.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,45994.5009092,0.0,0.0,0.0,251047,205052.499091,197151.241926,0.0
55,1429.78672025,2295.33513,3430.0,748.413,0.0,43661.261723,0.0,0.0,0.0,261747,218085.738277,210182.203427,0.0
56,6122.52705505,2295.33513,3430.0,748.413,9301.06342218,40765.457966,0.0,0.0,0.0,272845,222778.478612,210182.203427,0.0
57,1427.509035,2295.33513,3430.0,748.413,63575.8562618,32969.2051895,0.0,0.0,0.0,281548,185002.938549,177101.681384,0.0
58,1427.509035,2295.33513,3430.0,748.413,116608.306845,24795.6608047,0.0,0.0,0.0,285750,144346.03235,136444.775185,0.0
59,1427.509035,2295.33513,3430.0,748.413,163322.974592,23647.7268174,0.0,0.0,0.0,284413,97442.2985906,89541.0414256,0.0
60,1427.509035,2295.33513,3430.0,748.413,193179.169128,19076.0562209,0.0,0.0,0.0,280653,68397.7746513,60496.5174863,0.0
61,1427.509035,2295.33513,3430.0,748.413,207256.769796,13892.9271693,0.0,0.0,0.0,276117,54967.3030345,47066.0458695,0.0
62,1427.509035,2295.33513,3430.0,748.413,206081.926629,10358.4894216,0.0,0.0,0.0,272198,55757.5839494,47856.3267844,0.0
63,1427.509035,2295.33513,3430.0,748.413,186962.426776,8745.83163248,0.0,0.0,0.0,269438,73729.7415915,65828.4844265,0.0
64,1427.509035,2295.33513,3430.0,748.413,148204.062506,9548.53663561,0.0,0.0,0.0,269896,112143.400859,104242.143694,0.0
65,1427.509035,2295.33513,3430.0,748.413,88196.2335166,11222.3795801,0.0,0.0,0.0,273750,174331.386903,166430.129738,0.0
66,23673.45,2295.33513,3430.0,748.413,12524.68235,13280.290517,0.0,0.0,0.0,277624,251819.027133,221671.829003,0.0
67,23673.45,2295.33513,3430.0,748.413,908.402421479,18212.2230622,0.0,0.0,0.0,279691,260570.374516,230423.176386,0.0
68,23673.45,2295.33513,3430.0,748.413,492.498131094,26064.1581071,0.0,0.0,0.0,278966,252409.343762,222262.145632,0.0
69,23673.45,2295.33513,3430.0,748.413,0.0,31969.7930512,0.0,0.0,0.0,274332,242362.206949,212215.008819,0.0
70,18539.1175003,2295.33513,3430.0,748.413,0.0,30576.930943,0.0,0.0,0.0,265772,235195.069057,210182.203427,0.0
71,12736.8643199,2295.33513,3430.0,748.413,0.0,26311.1841233,0.0,0.0,0.0,255704,229392.815877,210182.203427,0.0
72,7905.93427952,2295.33513,3430.0,748.413,0.0,22824.1141637,0.0,0.0,0.0,247386,224561.885836,210182.203427,0.0
73,9077.28071091,2295.33513,3430.0,748.413,0.0,20274.3623891,0.0,0.0,0.0,241037,220762.637611,205211.60877,0.0
74,7026.38091209,2295.33513,3430.0,748.413,0.0,17524.262188,0.0,0.0,0.0,236236,218711.737812,205211.60877,0.0
