Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,68268.2448635,0.0,-3691.47666639,0.0,234669,166400.755137,162221.750123,123137.755166
2,1396.73355,2295.33513,3430.0,748.413,0.0,65987.3464424,0.0,-5952.57824536,0.0,230127,164139.653558,162221.750123,128197.446675
3,1396.73355,2295.33513,3430.0,748.413,0.0,63339.4334462,0.0,-2842.66524919,0.0,230589,167249.566554,162221.750123,130613.712137
4,1396.73355,2295.33513,3430.0,748.413,0.0,58987.8894604,0.0,0.0,0.0,232488,173500.11054,165629.62886,130613.712137
5,1396.73355,2295.33513,3430.0,748.413,0.0,54828.5738801,0.0,0.0,0.0,237568,182739.42612,174868.94444,130613.712137
6,1396.73355,2295.33513,3430.0,748.413,0.0,52798.2377229,0.0,0.0,0.0,245111,192312.762277,184442.280597,130613.712137
7,1396.73355,2295.33513,3430.0,748.413,0.0,52388.4534786,0.0,0.0,0.0,254385,201996.546521,194126.064841,130613.712137
8,5871.61437439,2295.33513,3430.0,748.413,0.0,52172.9902921,0.0,0.0,0.0,264191,212018.009708,199672.647203,130613.712137
9,17525.8682284,2295.33513,3430.0,748.413,0.0,48410.7364382,0.0,0.0,0.0,272083,223672.263562,199672.647203,130613.712137
10,23673.45,2295.33513,3430.0,748.413,0.0,45934.1125241,1325.04214244,0.0,0.0,277079,231144.887476,199672.647203,129288.669994
11,21257.358066,2295.33513,3430.0,748.413,0.0,48961.2466006,0.0,0.0,0.0,276365,227403.753399,199672.647203,129288.669994
12,16483.6429239,2295.33513,3430.0,748.413,0.0,50182.9617427,0.0,0.0,0.0,272813,222630.038257,199672.647203,129288.669994
13,13545.2808886,2295.33513,3430.0,748.413,0.0,48240.3237779,0.0,0.0,0.0,267932,219691.676222,199672.647203,129288.669994
14,14703.3865123,2295.33513,3430.0,748.413,0.0,41983.2181542,0.0,0.0,0.0,262833,220849.781846,199672.647203,129288.669994
15,2898.90452627,2295.33513,3430.0,748.413,0.0,39126.1631296,10208.5370106,0.0,0.0,258380,219253.83687,199672.647203,119080.132984
16,9679.75334605,2295.33513,3430.0,748.413,0.0,41269.8513205,0.0,0.0,0.0,257096,215826.14868,199672.647203,119080.132984
17,7223.32766304,2295.33513,3430.0,748.413,0.0,45481.2770035,0.0,0.0,0.0,258851,213369.722997,199672.647203,119080.132984
18,9644.64902114,2295.33513,3430.0,748.413,0.0,45586.9556454,0.0,0.0,0.0,261378,215791.044355,199672.647203,119080.132984
19,3572.62724994,2295.33513,3430.0,748.413,0.0,52537.9774166,0.0,0.0,0.0,262257,209719.022583,199672.647203,119080.132984
20,1396.73355,2295.33513,3430.0,748.413,0.0,65035.2926417,0.0,0.0,0.0,260974,195938.707358,188068.225678,119080.132984
21,1396.73355,2295.33513,3430.0,748.413,0.0,72539.255436,0.0,0.0,0.0,256522,183982.744564,176112.262884,119080.132984
22,1396.73355,2295.33513,3430.0,748.413,0.0,73260.8550756,0.0,0.0,0.0,248741,175480.144924,167609.663244,119080.132984
23,1396.73355,2295.33513,3430.0,748.413,0.0,70354.1220091,0.0,-58.3538120186,0.0,240388,170033.877991,162221.750123,119129.733724
24,1396.73355,2295.33513,3430.0,748.413,0.0,64772.6108748,0.0,-1023.84267773,0.0,233841,169068.389125,162221.750123,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,58906.2388192,0.0,-21315.0720224,0.0,229061,170154.761181,183649.297768,138117.811219
26,1361.223375,2280.89906,3430.0,748.413,0.0,54514.3796254,0.0,-20486.2128286,0.0,225498,170983.620375,183649.297768,155531.092123
27,1361.223375,2280.89906,3430.0,748.413,0.0,50855.2617498,0.0,-17982.094953,0.0,224343,173487.73825,183649.297768,170815.872833
28,1361.223375,2280.89906,3430.0,748.413,0.0,45995.0824483,0.0,-10814.9156515,0.0,226650,180654.917552,183649.297768,180008.551137
29,1361.223375,2280.89906,3430.0,748.413,0.0,41830.9319472,0.0,-830.765150377,0.0,232470,190639.068053,183649.297768,180714.701515
30,1361.223375,2280.89906,3430.0,748.413,0.0,39533.228106,0.0,0.0,0.0,240934,201400.771894,193580.236459,180714.701515
31,1361.223375,2280.89906,3430.0,748.413,0.0,37972.2162817,0.0,0.0,0.0,250901,212928.783718,205108.248283,180714.701515
32,1361.223375,2280.89906,3430.0,748.413,0.0,36360.3213853,0.0,0.0,0.0,261216,224855.678615,217035.14318,180714.701515
33,7865.2789762,2280.89906,3430.0,748.413,0.0,31039.8821777,0.0,0.0,0.0,270246,239206.117822,224881.526786,180714.701515
34,10040.3225015,2280.89906,3430.0,748.413,0.0,26365.8405295,7646.99812278,0.0,0.0,275394,249028.15947,224881.526786,173067.703392
35,17315.9450895,2280.89906,3430.0,748.413,0.0,25731.2160643,0.0,0.0,0.0,274388,248656.783936,224881.526786,173067.703392
36,19254.9544113,2280.89906,3430.0,748.413,0.0,20118.2067426,0.0,0.0,0.0,270714,250595.793257,224881.526786,173067.703392
37,21150.0963359,2280.89906,3430.0,748.413,0.0,13921.0648179,0.0,0.0,0.0,266412,252490.935182,224881.526786,173067.703392
38,1361.223375,2280.89906,3430.0,748.413,0.0,10281.2372245,20212.7005544,0.0,0.0,263196,252914.762775,224881.526786,152855.002838
39,21642.9935051,2280.89906,3430.0,748.413,0.0,8762.16764871,0.0,0.0,0.0,261746,252983.832351,224881.526786,152855.002838
40,21363.4921437,2280.89906,3430.0,748.413,0.0,10520.6690102,0.0,0.0,0.0,263225,252704.33099,224881.526786,152855.002838
41,1361.223375,2280.89906,3430.0,748.413,0.0,14030.9663654,21202.9714135,0.0,0.0,267936,253905.033635,224881.526786,131652.031424
42,22428.0084367,2280.89906,3430.0,748.413,0.0,18605.1527172,0.0,0.0,0.0,272374,253768.847283,224881.526786,131652.031424
43,1361.223375,2280.89906,3430.0,748.413,0.0,29174.9063544,11652.0314244,0.0,0.0,273529,244354.093646,224881.526786,120000.0
44,1361.223375,2280.89906,3430.0,748.413,0.0,43403.1728522,0.0,0.0,0.0,272414,229010.827148,221190.291713,120000.0
45,1361.223375,2280.89906,3430.0,748.413,0.0,54078.1679204,0.0,0.0,0.0,267721,213642.83208,205822.296645,120000.0
46,1361.223375,2280.89906,3430.0,748.413,0.0,55985.9414135,0.0,0.0,0.0,259088,203102.058586,195281.523151,120000.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,53392.1035692,0.0,0.0,0.0,250402,197009.896431,189189.360996,120000.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,50096.613384,0.0,0.0,0.0,243987,193890.386616,186069.851181,120000.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,46108.8780931,0.0,-13877.3999861,0.0,238528,192419.121907,198395.264728,131795.789988
50,1427.509035,2295.33513,3430.0,748.413,0.0,42961.2540045,0.0,-14674.7758975,0.0,234583,191621.745996,198395.264728,144269.349501
51,1427.509035,2295.33513,3430.0,748.413,0.0,40927.7487681,0.0,-13468.2706611,0.0,233756,192828.251232,198395.264728,155717.379563
52,1427.509035,2295.33513,3430.0,748.413,0.0,38844.1164786,0.0,-9076.63837161,0.0,236064,197219.883521,198395.264728,163432.522179
53,1427.509035,2295.33513,3430.0,748.413,0.0,35582.4857399,0.0,0.0,0.0,241974,206391.51426,198490.257095,163432.522179
54,1427.509035,2295.33513,3430.0,748.413,0.0,33573.5035166,0.0,0.0,0.0,251047,217473.496483,209572.239318,163432.522179
55,1427.509035,2295.33513,3430.0,748.413,0.0,32041.6188204,0.0,0.0,0.0,261747,229705.38118,221804.124015,163432.522179
56,1427.509035,2295.33513,3430.0,748.413,0.0,30082.0350321,0.0,0.0,0.0,272845,242762.964968,234861.707803,163432.522179
57,8003.6590544,2295.33513,3430.0,748.413,0.0,24840.8696062,0.0,0.0,0.0,281548,256707.130394,242229.723209,163432.522179
58,11888.9092372,2295.33513,3430.0,748.413,0.0,18830.0417393,6327.57768417,0.0,0.0,285750,266919.958261,242229.723209,157104.944495
59,17619.5448223,2295.33513,3430.0,748.413,0.0,18089.9838383,0.0,0.0,0.0,284413,266323.016162,242229.723209,157104.944495
60,17186.3057893,2295.33513,3430.0,748.413,0.0,14763.2228713,0.0,0.0,0.0,280653,265889.777129,242229.723209,157104.944495
61,16607.2869113,2295.33513,3430.0,748.413,0.0,10806.2417493,0.0,0.0,0.0,276117,265310.758251,242229.723209,157104.944495
62,1427.509035,2295.33513,3430.0,748.413,0.0,8040.95881894,14026.0608067,0.0,0.0,272198,264157.041181,242229.723209,143078.883688
63,1427.509035,2295.33513,3430.0,748.413,0.0,6710.19455067,12596.8250749,0.0,0.0,269438,262727.805449,242229.723209,130482.058613
64,14064.7860715,2295.33513,3430.0,748.413,0.0,7127.74258911,0.0,0.0,0.0,269896,262768.257411,242229.723209,130482.058613
65,16946.5599665,2295.33513,3430.0,748.413,0.0,8099.96869415,0.0,0.0,0.0,273750,265650.031306,242229.723209,130482.058613
66,19551.7784477,2295.33513,3430.0,748.413,0.0,9368.7502129,0.0,0.0,0.0,277624,268255.249787,242229.723209,130482.058613
67,18177.2268111,2295.33513,3430.0,748.413,0.0,12810.3018495,0.0,0.0,0.0,279691,266880.69815,242229.723209,130482.058613
68,1427.509035,2295.33513,3430.0,748.413,0.0,18352.9610126,10482.0586131,0.0,0.0,278966,260613.038987,242229.723209,120000.0
69,2809.48179871,2295.33513,3430.0,748.413,0.0,22819.0468619,0.0,0.0,0.0,274332,251512.953138,242229.723209,120000.0
70,1427.509035,2295.33513,3430.0,748.413,0.0,21786.5246495,0.0,0.0,0.0,265772,243985.47535,236084.218186,120000.0
71,1427.509035,2295.33513,3430.0,748.413,0.0,18907.4068734,0.0,0.0,0.0,255704,236796.593127,228895.335962,120000.0
72,1427.509035,2295.33513,3430.0,748.413,0.0,16552.4722015,0.0,0.0,0.0,247386,230833.527799,222932.270634,120000.0
73,1581.38646,2295.33513,3430.0,748.413,0.0,14834.0410418,0.0,0.0,0.0,241037,226202.958958,218147.824368,120000.0
74,1581.38646,2295.33513,3430.0,748.413,0.0,12851.4238776,0.0,0.0,0.0,236236,223384.576122,215329.441532,120000.0
75,1581.38646,2295.33513,3430.0,748.413,0.0,11242.322851,0.0,0.0,0.0,234038,222795.677149,214740.542559,120000.0
76,1581.38646,2295.33513,3430.0,748.413,0.0,9415.85999061,0.0,0.0,0.0,235738,226322.140009,218267.005419,120000.0
77,1581.38646,2295.33513,3430.0,748.413,0.0,9145.80343937,0.0,0.0,0.0,239903,230757.196561,222702.061971,120000.0
78,1581.38646,2295.33513,3430.0,748.413,0.0,9644.5131068,0.0,0.0,0.0,246365,236720.486893,228665.352303,120000.0
79,6233.43908598,2295.33513,3430.0,748.413,0.0,10752.4016033,0.0,0.0,0.0,253788,243035.598397,230328.411181,120000.0
80,12215.0615775,2295.33513,3430.0,748.413,0.0,12220.7791118,0.0,0.0,0.0,261238,249017.220888,230328.411181,120000.0
81,19097.1504037,2295.33513,3430.0,748.413,0.0,10603.6902856,0.0,0.0,0.0,266503,255899.309714,230328.411181,120000.0
82,23673.45,2295.33513,3430.0,748.413,0.0,8963.42568004,0.0,0.0,0.0,269530,260566.57432,230419.37619,120000.0
83,20111.2931084,2295.33513,3430.0,748.413,0.0,12455.5475809,0.0,0.0,0.0,269369,256913.452419,230328.411181,120000.0
84,17186.0330018,2295.33513,3430.0,748.413,0.0,12347.8076875,0.0,0.0,0.0,266336,253988.192313,230328.411181,120000.0
85,13636.6854426,2295.33513,3430.0,748.413,0.0,11514.1552467,0.0,0.0,0.0,261953,250438.844753,230328.411181,120000.0
86,9921.63974147,2295.33513,3430.0,748.413,0.0,11518.2009478,0.0,0.0,0.0,258242,246723.799052,230328.411181,120000.0
87,6739.9376741,2295.33513,3430.0,748.413,0.0,11800.9030152,0.0,0.0,0.0,255343,243542.096985,230328.411181,120000.0
88,5433.75804538,2295.33513,3430.0,748.413,0.0,13034.0826439,0.0,0.0,0.0,255270,242235.917356,230328.411181,120000.0
89,4689.10218128,2295.33513,3430.0,748.413,0.0,16716.738508,0.0,0.0,0.0,258208,241491.261492,230328.411181,120000.0
90,4926.47761786,2295.33513,3430.0,748.413,0.0,20219.3630714,0.0,0.0,0.0,261948,241728.636929,230328.411181,120000.0
91,1581.38646,2295.33513,3430.0,748.413,0.0,26174.9469573,0.0,0.0,0.0,263986,237811.053043,229755.918453,120000.0
92,1581.38646,2295.33513,3430.0,748.413,0.0,34220.334887,0.0,0.0,0.0,264326,230105.665113,222050.530523,120000.0
93,1581.38646,2295.33513,3430.0,748.413,0.0,40054.8621465,0.0,0.0,0.0,261177,221122.137853,213067.003263,120000.0
94,1581.38646,2295.33513,3430.0,748.413,0.0,43436.0350737,0.0,0.0,0.0,253857,210420.964926,202365.830336,120000.0
95,1581.38646,2295.33513,3430.0,748.413,0.0,43709.0340985,0.0,0.0,0.0,247071,203361.965901,195306.831311,120000.0
96,1581.38646,2295.33513,3430.0,748.413,0.0,40851.1108522,0.0,0.0,0.0,241950,201098.889148,193043.754558,120000.0
97,1676.08026,2295.33513,3430.0,753.12,0.0,35698.3026353,0.0,0.0,0.0,237684,201985.697365,193831.161975,120000.0
98,1676.08026,2295.33513,3430.0,753.12,0.0,30221.4627177,0.0,0.0,0.0,234388,204166.537282,196012.001892,120000.0
99,1676.08026,2295.33513,3430.0,753.12,0.0,25350.551948,0.0,0.0,0.0,234037,208686.448052,200531.912662,120000.0
100,1676.08026,2295.33513,3430.0,753.12,0.0,21518.7307548,0.0,0.0,0.0,235737,214218.269245,206063.733855,120000.0
101,1676.08026,2295.33513,3430.0,753.12,0.0,20053.0555139,0.0,0.0,0.0,239902,219848.944486,211694.409096,120000.0
102,1676.08026,2295.33513,3430.0,753.12,0.0,19433.6140282,0.0,0.0,0.0,246363,226929.385972,218774.850582,120000.0
103,1676.08026,2295.33513,3430.0,753.12,0.0,19612.8595092,0.0,0.0,0.0,253786,234173.140491,226018.605101,120000.0
104,3390.9394275,2295.33513,3430.0,753.12,0.0,19595.4786747,0.0,0.0,0.0,261235,241639.521325,231770.126768,120000.0
105,10412.242959,2295.33513,3430.0,753.12,0.0,17838.1751432,0.0,0.0,0.0,266499,248660.824857,231770.126768,120000.0
106,15910.7327947,2295.33513,3430.0,753.12,0.0,15364.6853075,0.0,0.0,0.0,269524,254159.314692,231770.126768,120000.0
107,18304.2212303,2295.33513,3430.0,753.12,0.0,12811.1968719,0.0,0.0,0.0,269364,256552.803128,231770.126768,120000.0
108,17043.0841258,2295.33513,3430.0,753.12,0.0,11039.3339764,0.0,0.0,0.0,266331,255291.666024,231770.126768,120000.0
109,15131.1773016,2295.33513,3430.0,753.12,0.0,8568.24080066,0.0,0.0,0.0,261948,253379.759199,231770.126768,120000.0
110,13315.4306817,2295.33513,3430.0,753.12,0.0,6672.98742051,0.0,0.0,0.0,258237,251564.012579,231770.126768,120000.0
111,11592.7598392,2295.33513,3430.0,753.12,0.0,5498.65826302,0.0,0.0,0.0,255340,249841.341737,231770.126768,120000.0
112,11149.3701547,2295.33513,3430.0,753.12,0.0,5870.04794753,0.0,0.0,0.0,255268,249397.952052,231770.126768,120000.0
113,12789.4621078,2295.33513,3430.0,753.12,0.0,7167.95599442,0.0,0.0,0.0,258206,251038.044006,231770.126768,120000.0
114,14699.90397,2295.33513,3430.0,753.12,0.0,8997.51413223,0.0,0.0,0.0,261946,252948.485868,231770.126768,120000.0
115,13014.5481134,2295.33513,3430.0,753.12,0.0,12719.8699888,0.0,0.0,0.0,263983,251263.130011,231770.126768,120000.0
116,7891.24853435,2295.33513,3430.0,753.12,0.0,18183.1695679,0.0,0.0,0.0,264323,246139.830432,231770.126768,120000.0
117,1676.08026,2295.33513,3430.0,753.12,0.0,22423.2609675,0.0,0.0,0.0,261173,238749.739032,230595.203642,120000.0
118,1676.08026,2295.33513,3430.0,753.12,0.0,23473.8456315,0.0,0.0,0.0,253855,230381.154369,222226.618979,120000.0
119,1676.08026,2295.33513,3430.0,753.12,0.0,23816.5005976,0.0,0.0,0.0,245622,221805.499402,213650.964012,120000.0
120,1676.08026,2295.33513,3430.0,753.12,0.0,23353.3076181,0.0,0.0,0.0,239244,215890.692382,207736.156992,120000.0
