,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,234669,234669.0,223229.73387,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,230127,230127.0,218687.73387,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,230589,230589.0,219149.73387,0.0
4,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,232488,232488.0,221048.73387,0.0
5,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,237568,237568.0,226128.73387,0.0
6,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,245111,245111.0,233671.73387,0.0
7,5699.89293333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,254385,254385.0,239410.255937,0.0
8,15505.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,264191,264191.0,239410.255937,0.0
9,23397.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,272083,272083.0,239410.255937,0.0
10,28393.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,277079,277079.0,239410.255937,0.0
11,27679.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,276365,276365.0,239410.255937,0.0
12,24127.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,272813,272813.0,239410.255937,0.0
13,19246.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,267932,267932.0,239410.255937,0.0
14,14147.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,262833,262833.0,239410.255937,0.0
15,9694.89293333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,258380,258380.0,239410.255937,0.0
16,8410.89293333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,257096,257096.0,239410.255937,0.0
17,10165.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,258851,258851.0,239410.255937,0.0
18,12692.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,261378,261378.0,239410.255937,0.0
19,13571.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,262257,262257.0,239410.255937,0.0
20,12288.8929333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,260974,260974.0,239410.255937,0.0
21,7836.89293333,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,256522,256522.0,239410.255937,0.0
22,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,248741,248741.0,237301.73387,0.0
23,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,240388,240388.0,228948.73387,0.0
24,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,233841,233841.0,222401.73387,0.0
25,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,229061,229061.0,217691.19744,0.0
26,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,225498,225498.0,214128.19744,0.0
27,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,224343,224343.0,212973.19744,0.0
28,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,226650,226650.0,215280.19744,0.0
29,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,232470,232470.0,221100.19744,0.0
30,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,240934,240934.0,229564.19744,0.0
31,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,250901,250901.0,239531.19744,0.0
32,8799.90943333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,261216,261216.0,243155.675507,0.0
33,17829.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,270246,270246.0,243155.675507,0.0
34,22977.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,275394,275394.0,243155.675507,0.0
35,21971.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,274388,274388.0,243155.675507,0.0
36,18297.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,270714,270714.0,243155.675507,0.0
37,13995.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,266412,266412.0,243155.675507,0.0
38,10779.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,263196,263196.0,243155.675507,0.0
39,9329.90943333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,261746,261746.0,243155.675507,0.0
40,10808.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,263225,263225.0,243155.675507,0.0
41,15519.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,267936,267936.0,243155.675507,0.0
42,19957.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,272374,272374.0,243155.675507,0.0
43,21112.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,273529,273529.0,243155.675507,0.0
44,19997.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,272414,272414.0,243155.675507,0.0
45,15304.9094333,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,267721,267721.0,243155.675507,0.0
