Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,6727.35644463,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,234669,234669.0,218666.792425,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,230127,230127.0,218687.73387,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,230589,230589.0,219149.73387,0.0
4,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,232488,232488.0,221048.73387,0.0
5,9626.35644463,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,237568,237568.0,218666.792425,0.0
6,17169.3564446,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,245111,245111.0,218666.792425,0.0
7,26443.3564446,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,254385,254385.0,218666.792425,0.0
8,12915.6748503,2295.33513,3430.0,3549.516,23333.6815944,0.0,0.0,0.0,0.0,264191,240857.318406,218666.792425,0.0
9,2164.415,2295.33513,3430.0,3549.516,130174.00665,0.0,0.0,0.0,0.0,272083,141908.99335,130469.72722,0.0
10,2164.415,2295.33513,3430.0,3549.516,234340.650862,0.0,0.0,0.0,0.0,277079,42738.3491376,31299.0830076,0.0
11,2164.415,2295.33513,3430.0,3549.516,264925.73387,0.0,0.0,0.0,53319.0,276365,11439.26613,0.0,0.0
12,2164.415,2295.33513,3430.0,3549.516,261373.73387,0.0,0.0,0.0,107389.0,272813,11439.26613,0.0,0.0
13,2164.415,2295.33513,3430.0,3549.516,256492.73387,0.0,0.0,0.0,131460.0,267932,11439.26613,0.0,0.0
14,2164.415,2295.33513,3430.0,3549.516,251393.73387,0.0,0.0,0.0,120493.0,262833,11439.26613,0.0,0.0
15,2164.415,2295.33513,3430.0,3549.516,246940.73387,0.0,0.0,0.0,90618.0,258380,11439.26613,0.0,0.0
16,2164.415,2295.33513,3430.0,3549.516,245656.73387,0.0,0.0,0.0,19102.0,257096,11439.26613,0.0,0.0
17,2164.415,2295.33513,3430.0,3549.516,147728.169827,0.0,0.0,0.0,0.0,258851,111122.830173,99683.5640428,0.0
18,16126.5640373,2295.33513,3430.0,3549.516,17309.7924073,0.0,0.0,0.0,0.0,261378,244068.207593,218666.792425,0.0
19,36685.0,2295.33513,3430.0,3549.516,929.785625061,0.0,0.0,0.0,0.0,262257,261327.214375,215367.363245,0.0
20,36685.0,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,260974,260974.0,215014.14887,0.0
21,28580.3564446,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,256522,256522.0,218666.792425,0.0
22,20799.3564446,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,248741,248741.0,218666.792425,0.0
23,12446.3564446,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,240388,240388.0,218666.792425,0.0
24,2164.415,2295.33513,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,233841,233841.0,222401.73387,0.0
25,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,229061,229061.0,217691.19744,0.0
26,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,225498,225498.0,214128.19744,0.0
27,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,224343,224343.0,212973.19744,0.0
28,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,226650,226650.0,215280.19744,0.0
29,2109.3875,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,232470,232470.0,221100.19744,0.0
30,8597.14504557,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,240934,240934.0,223076.439894,0.0
31,18564.1450456,2280.89906,3430.0,3549.516,0.0,0.0,0.0,0.0,0.0,250901,250901.0,223076.439894,0.0
32,6998.5691547,2280.89906,3430.0,3549.516,21880.5758909,0.0,0.0,0.0,0.0,261216,239335.424109,223076.439894,0.0
33,2109.3875,2280.89906,3430.0,3549.516,129160.176682,0.0,0.0,0.0,0.0,270246,141085.823318,129716.020758,0.0
34,2109.3875,2280.89906,3430.0,3549.516,231090.612633,0.0,0.0,0.0,0.0,275394,44303.3873674,32933.5848074,0.0
35,2109.3875,2280.89906,3430.0,3549.516,263018.19744,0.0,0.0,0.0,49119.0,274388,11369.80256,0.0,0.0
