,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,11444.64,3549.516,0.0,52872.9078343,0.0,0.0,0.0,234669,181796.092166,162342.186036,0.0
2,2164.415,2295.33513,11444.64,3549.516,0.0,51219.012105,0.0,0.0,0.0,230127,178907.987895,159454.081765,0.0
3,2164.415,2295.33513,11444.64,3549.516,0.0,49278.6900157,0.0,0.0,0.0,230589,181310.309984,161856.403854,0.0
4,2164.415,2295.33513,11444.64,3549.516,0.0,45838.732914,0.0,0.0,0.0,232488,186649.267086,167195.360956,0.0
5,2164.415,2295.33513,11444.64,3549.516,0.0,42557.8091016,0.0,0.0,0.0,237568,195010.190898,175556.284768,0.0
6,10052.8819056,2295.33513,11444.64,3549.516,0.0,41028.104261,0.0,0.0,0.0,245111,204082.895739,176740.522703,0.0
7,19550.9772223,2295.33513,11444.64,3549.516,0.0,40804.0089443,0.0,0.0,0.0,254385,213580.991056,176740.522703,0.0
8,27435.4522594,2295.33513,11444.64,3549.516,1977.11944452,40748.4144627,0.0,0.0,0.0,264191,221465.466093,176740.522703,0.0
9,29134.7331196,2295.33513,11444.64,3549.516,10782.9082211,38135.3448258,0.0,0.0,0.0,272083,223164.746953,176740.522703,0.0
10,27267.6364625,2295.33513,11444.64,3549.516,19814.299362,35967.0503421,0.0,0.0,0.0,277079,221297.650296,176740.522703,0.0
11,17053.1553029,2295.33513,11444.64,3549.516,26951.0285571,38330.8023067,0.0,0.0,0.0,276365,211083.169136,176740.522703,0.0
12,7886.05757834,2295.33513,11444.64,3549.516,31195.3292312,39701.5993571,0.0,0.0,0.0,272813,201916.071412,176740.522703,0.0
13,2164.415,2295.33513,11444.64,3549.516,32204.2984691,38648.9812846,0.0,0.0,0.0,267932,197078.720246,177624.814116,0.0
14,2164.415,2295.33513,11444.64,3549.516,31206.3071757,33643.2976486,0.0,0.0,0.0,262833,197983.395176,178529.489046,0.0
15,2164.415,2295.33513,11444.64,3549.516,29054.0933141,31333.4464755,0.0,0.0,0.0,258380,197992.46021,178538.55408,0.0
16,2164.415,2295.33513,11444.64,3549.516,23471.0157517,33186.5070644,0.0,0.0,0.0,257096,200438.477184,180984.571054,0.0
17,13976.6395297,2295.33513,11444.64,3549.516,14479.7678711,36364.5787658,0.0,0.0,0.0,258851,208006.653363,176740.522703,0.0
18,29108.8986898,2295.33513,11444.64,3549.516,2059.87944953,36179.2080273,0.0,0.0,0.0,261378,223138.912523,176740.522703,0.0
19,26809.6420345,2295.33513,11444.64,3549.516,0.0,41417.3441321,0.0,0.0,0.0,262257,220839.655868,176740.522703,0.0
20,15928.6598953,2295.33513,11444.64,3549.516,0.0,51015.3262713,0.0,0.0,0.0,260974,209958.673729,176740.522703,0.0
21,2164.415,2295.33513,11444.64,3549.516,0.0,56784.6390345,0.0,0.0,0.0,256522,199737.360966,180283.454836,0.0
22,2164.415,2295.33513,11444.64,3549.516,0.0,57407.6240671,0.0,0.0,0.0,248741,191333.375933,171879.469803,0.0
23,2164.415,2295.33513,11444.64,3549.516,0.0,55194.4416405,0.0,0.0,0.0,240388,185193.55836,165739.65223,0.0
24,2164.415,2295.33513,11444.64,3549.516,0.0,51060.7014114,0.0,0.0,0.0,233841,182780.298589,163326.392459,0.0
25,2109.3875,2280.89906,11444.64,3549.516,0.0,46460.7077524,0.0,0.0,0.0,229061,182600.292248,163215.849688,0.0
26,2109.3875,2280.89906,11444.64,3549.516,0.0,43023.7658334,0.0,0.0,0.0,225498,182474.234167,163089.791607,0.0
27,2109.3875,2280.89906,11444.64,3549.516,0.0,40170.2611733,0.0,0.0,0.0,224343,184172.738827,164788.296267,0.0
28,2109.3875,2280.89906,11444.64,3549.516,0.0,36129.4142124,0.0,0.0,0.0,226650,190520.585788,171136.143228,0.0
29,2109.3875,2280.89906,11444.64,3549.516,0.0,33042.863387,0.0,0.0,0.0,232470,199427.136613,180042.694053,0.0
30,2109.3875,2280.89906,11444.64,3549.516,0.0,31352.1538684,0.0,0.0,0.0,240934,209581.846132,190197.403572,0.0
31,5053.41429764,2280.89906,11444.64,3549.516,0.0,30129.3924703,0.0,0.0,0.0,250901,220771.60753,198443.138172,0.0
32,14531.3287732,2280.89906,11444.64,3549.516,1986.63294178,28979.8450529,0.0,0.0,0.0,261216,230249.522005,198443.138172,0.0
