Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,52872.9078343,0.0,0.0,0.0,201660,148787.092166,140916.610486,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,51219.012105,0.0,0.0,0.0,187385,136165.987895,128295.506215,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,49278.6900157,0.0,0.0,0.0,182201,132922.309984,125051.828304,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,45838.732914,0.0,0.0,0.0,180948,135109.267086,127238.785406,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,42557.8091016,0.0,0.0,0.0,188605,146047.190898,138176.709218,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,41028.104261,0.0,0.0,0.0,204763,163734.895739,155864.414059,0.0
7,1396.73355,2295.33513,3430.0,748.413,0.0,40804.0089443,0.0,0.0,0.0,232038,191233.991056,183363.509376,0.0
8,18668.8850725,2295.33513,3430.0,748.413,1977.11944452,40748.4144627,0.0,0.0,0.0,260951,218225.466093,193082.83289,0.0
9,23673.45,2295.33513,3430.0,748.413,10782.9082211,38135.3448258,0.0,0.0,0.0,284519,235600.746953,205453.548823,0.0
10,23673.45,2295.33513,3430.0,748.413,19814.299362,35967.0503421,0.0,0.0,0.0,297285,241503.650296,211356.452166,0.0
11,23673.45,2295.33513,3430.0,748.413,26951.0285571,38330.8023067,0.0,0.0,0.0,304241,238959.169136,208811.971006,0.0
12,23673.45,2295.33513,3430.0,748.413,31195.3292312,39701.5993571,0.0,0.0,0.0,297721,226824.071412,196676.873282,0.0
13,2245.13922598,2295.33513,3430.0,748.413,32204.2984691,38648.9812846,0.0,0.0,0.0,272655,201801.720246,193082.83289,0.0
14,1396.73355,2295.33513,3430.0,748.413,31206.3071757,33643.2976486,0.0,0.0,0.0,262893,198043.395176,190172.913496,0.0
15,1396.73355,2295.33513,3430.0,748.413,29054.0933141,31333.4464755,0.0,0.0,0.0,258600,198212.46021,190341.97853,0.0
16,1396.73355,2295.33513,3430.0,748.413,23471.0157517,33186.5070644,0.0,0.0,0.0,253927,197269.477184,189398.995504,0.0
17,2097.07234273,2295.33513,3430.0,748.413,14479.7678711,36364.5787658,0.0,0.0,0.0,252498,201653.653363,193082.83289,0.0
18,11656.3315028,2295.33513,3430.0,748.413,2059.87944953,36179.2080273,0.0,0.0,0.0,249452,211212.912523,193082.83289,0.0
19,12023.0748476,2295.33513,3430.0,748.413,0.0,41417.3441321,0.0,0.0,0.0,252997,211579.655868,193082.83289,0.0
20,1902.09270841,2295.33513,3430.0,748.413,0.0,51015.3262713,0.0,0.0,0.0,252474,201458.673729,193082.83289,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,56784.6390345,0.0,0.0,0.0,245648,188863.360966,180992.879286,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,57407.6240671,0.0,0.0,0.0,234992,177584.375933,169713.894253,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,55194.4416405,0.0,0.0,0.0,216211,161016.55836,153146.07668,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,51060.7014114,0.0,0.0,0.0,200678,149617.298589,141746.816909,0.0
