Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,19002.7462453,0.0,0.0,0.0,199468.65,180465.903755,172595.422075,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,18582.1408525,0.0,0.0,0.0,195607.95,177025.809147,169155.327467,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,17737.2159078,0.0,0.0,0.0,196000.65,178263.434092,170392.952412,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,16529.1196412,0.0,0.0,0.0,197614.8,181085.680359,173215.198679,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,15274.6435826,0.0,0.0,0.0,201932.8,186658.156417,178787.674737,0.0
6,8977.04713448,2295.33513,3430.0,748.413,0.0,14782.8483697,0.0,0.0,0.0,208344.35,193561.50163,178110.706366,0.0
7,17033.0036399,2295.33513,3430.0,748.413,0.0,14609.8918643,0.0,0.0,0.0,216227.25,201617.358136,178110.606366,0.0
8,23673.45,2295.33513,3430.0,748.413,5251.38181767,14859.3013323,0.0,0.0,0.0,224562.35,204451.66685,174304.46872,0.0
9,1396.73355,2295.33513,3430.0,748.413,31647.1330068,13745.0921372,0.0,0.0,0.0,231270.55,185878.324856,178007.843176,0.0
10,1396.73355,2295.33513,3430.0,748.413,58872.0949769,12922.210751,0.0,0.0,0.0,235517.15,163722.844272,155852.362592,0.0
11,1396.73355,2295.33513,3430.0,748.413,81000.4942534,14007.1057671,0.0,0.0,0.0,234910.25,139902.649979,132032.168299,0.0
12,1396.73355,2295.33513,3430.0,748.413,94356.7096518,14909.1756859,0.0,0.0,0.0,231891.05,122625.164662,114754.682982,0.0
13,1396.73355,2295.33513,3430.0,748.413,99603.6050245,14464.5316565,0.0,0.0,0.0,227742.2,113674.063319,105803.581639,0.0
14,1396.73355,2295.33513,3430.0,748.413,95853.1798316,12411.2461481,0.0,0.0,0.0,223408.05,115143.62402,107273.14234,0.0
15,1396.73355,2295.33513,3430.0,748.413,88476.1509124,11500.8553204,0.0,0.0,0.0,219623.0,119645.993767,111775.512087,0.0
16,1396.73355,2295.33513,3430.0,748.413,71946.5956152,11902.7836177,0.0,0.0,0.0,218531.6,134682.220767,126811.739087,0.0
17,1396.73355,2295.33513,3430.0,748.413,43278.8086509,12846.8992759,0.0,0.0,0.0,220023.35,163897.642073,156027.160393,0.0
18,23673.45,2295.33513,3430.0,748.413,5651.22676754,12632.9367197,0.0,0.0,0.0,222171.3,203887.136513,173739.938383,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,14474.6131461,0.0,0.0,0.0,222918.45,208443.836854,178296.638724,0.0
20,23673.45,2295.33513,3430.0,748.413,0.0,18048.132402,0.0,0.0,0.0,221827.9,203779.767598,173632.569468,0.0
21,13311.8100049,2295.33513,3430.0,748.413,0.0,20148.0854993,0.0,0.0,0.0,218043.7,197895.614501,178110.056366,0.0
22,6477.2678207,2295.33513,3430.0,748.413,0.0,20368.6276835,0.0,0.0,0.0,211429.85,191061.222317,178110.206366,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,19904.9683624,0.0,0.0,0.0,204329.8,184424.831638,176554.349958,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,18634.1484828,0.0,0.0,0.0,198764.85,180130.701517,172260.219837,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,17212.7396528,0.0,0.0,0.0,194701.85,177489.110347,169668.574912,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,16016.3417581,0.0,0.0,0.0,191673.3,175656.958242,167836.422807,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,15134.6903157,0.0,0.0,0.0,190691.55,175556.859684,167736.324249,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,13684.7372984,0.0,0.0,0.0,192652.5,178967.762702,171147.227267,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,12577.585226,0.0,0.0,0.0,197599.5,185021.914774,177201.379339,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,12149.6590135,0.0,0.0,0.0,204793.9,192644.240986,184823.705551,0.0
31,10522.2215535,2280.89906,3430.0,748.413,0.0,11861.0622748,0.0,0.0,0.0,213265.85,201404.787725,184423.254112,0.0
32,14609.7661462,2280.89906,3430.0,748.413,5112.60667358,11428.9110085,0.0,0.0,0.0,222033.6,205492.082318,184423.004112,0.0
33,1361.223375,2280.89906,3430.0,748.413,32290.2247175,10041.8464023,0.0,0.0,0.0,229709.1,187377.02888,179556.493445,0.0
34,1361.223375,2280.89906,3430.0,748.413,60215.1207037,8323.62132362,0.0,0.0,0.0,234084.9,165546.157973,157725.622538,0.0
35,1361.223375,2280.89906,3430.0,748.413,81452.763591,8479.93081143,0.0,0.0,0.0,233229.8,143297.105598,135476.570163,0.0
36,1361.223375,2280.89906,3430.0,748.413,96531.7501311,6977.16137264,0.0,0.0,0.0,230106.9,126597.988496,118777.453061,0.0
37,1361.223375,2280.89906,3430.0,748.413,99944.9062251,4686.80286109,0.0,0.0,0.0,226450.2,121818.490914,113997.955479,0.0
38,1361.223375,2280.89906,3430.0,748.413,98089.2843356,3193.89331431,0.0,0.0,0.0,223716.6,122433.42235,114612.886915,0.0
39,1361.223375,2280.89906,3430.0,748.413,92503.0455888,2400.71260276,0.0,0.0,0.0,222484.1,127580.341808,119759.806373,0.0
40,1361.223375,2280.89906,3430.0,748.413,75373.2857682,2656.35030252,0.0,0.0,0.0,223741.25,145711.613929,137891.078494,0.0
41,1361.223375,2280.89906,3430.0,748.413,46876.9699566,3483.40474303,0.0,0.0,0.0,227745.6,177385.2253,169564.689865,0.0
42,23673.45,2280.89906,3430.0,748.413,6553.1130962,4543.14743468,0.0,0.0,0.0,231517.9,220421.639469,190288.877409,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,7485.15250816,0.0,0.0,0.0,232499.65,225014.497492,194881.735432,0.0
44,23673.45,2280.89906,3430.0,748.413,0.0,11653.2413512,0.0,0.0,0.0,231551.9,219898.658649,189765.896589,0.0
45,23673.45,2280.89906,3430.0,748.413,0.0,14866.1765569,0.0,0.0,0.0,227562.85,212696.673443,182563.911383,0.0
46,13992.3755701,2280.89906,3430.0,748.413,0.0,15349.9082582,0.0,0.0,0.0,220224.8,204874.891742,184423.204112,0.0
47,7242.92813023,2280.89906,3430.0,748.413,0.0,14716.355698,0.0,0.0,0.0,212841.7,198125.344302,184423.104112,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,13892.823019,0.0,0.0,0.0,207388.95,193496.126981,185675.591546,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,13004.4320503,0.0,0.0,0.0,202748.8,189744.36795,181843.110785,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,12395.0457255,0.0,0.0,0.0,199395.55,187000.504274,179099.247109,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,11945.5318495,0.0,0.0,0.0,198692.6,186747.068151,178845.810986,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,11519.3533178,0.0,0.0,0.0,200654.4,189135.046682,181233.789517,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,10871.5609137,0.0,0.0,0.0,205677.9,194806.339086,186905.081921,0.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,10614.3855307,0.0,0.0,0.0,213389.95,202775.564469,194874.307304,0.0
55,8275.98030751,2295.33513,3430.0,748.413,0.0,10212.6158317,0.0,0.0,0.0,222484.95,212272.334168,197522.605731,0.0
56,13019.8641189,2295.33513,3430.0,748.413,5155.40218089,9746.32983939,0.0,0.0,0.0,231918.25,217016.51798,197522.905731,0.0
57,1427.509035,2295.33513,3430.0,748.413,32358.1619918,8121.87733354,0.0,0.0,0.0,239315.8,198835.760675,190934.50351,0.0
58,1427.509035,2295.33513,3430.0,748.413,60317.9922664,6175.73755142,0.0,0.0,0.0,242887.5,176393.770182,168492.513017,0.0
59,1427.509035,2295.33513,3430.0,748.413,84006.2438818,5958.28263337,0.0,0.0,0.0,241751.05,151786.523485,143885.26632,0.0
60,1427.509035,2295.33513,3430.0,748.413,98089.6409785,5070.03216323,0.0,0.0,0.0,238555.05,135395.376858,127494.119693,0.0
61,1427.509035,2295.33513,3430.0,748.413,104281.163649,3751.68190434,0.0,0.0,0.0,234699.45,126666.604447,118765.347282,0.0
62,1427.509035,2295.33513,3430.0,748.413,103599.118012,2773.0140246,0.0,0.0,0.0,231368.3,124996.167964,117094.910799,0.0
63,1427.509035,2295.33513,3430.0,748.413,93995.3095112,2303.69936544,0.0,0.0,0.0,229022.3,132723.291123,124822.033958,0.0
64,1427.509035,2295.33513,3430.0,748.413,75007.9498344,2272.31780919,0.0,0.0,0.0,229411.6,152131.332356,144230.075191,0.0
65,1427.509035,2295.33513,3430.0,748.413,46269.0046134,2380.3969253,0.0,0.0,0.0,232687.5,184038.098461,176136.841296,0.0
66,23673.45,2295.33513,3430.0,748.413,6618.78332898,2673.65371298,0.0,0.0,0.0,235980.4,226687.962958,196540.764828,0.0
67,23673.45,2295.33513,3430.0,748.413,0.0,3572.17517064,0.0,0.0,0.0,237737.35,234165.174829,204017.976699,0.0
68,23673.45,2295.33513,3430.0,748.413,0.0,5078.83106684,0.0,0.0,0.0,237121.1,232042.268933,201895.070803,0.0
69,23673.45,2295.33513,3430.0,748.413,0.0,6352.34901679,0.0,0.0,0.0,233182.2,226829.850983,196682.652853,0.0
70,15867.2522266,2295.33513,3430.0,748.413,0.0,6042.3439126,0.0,0.0,0.0,225906.2,219863.856087,197522.855731,0.0
71,8143.62418697,2295.33513,3430.0,748.413,0.0,5207.97195224,0.0,0.0,0.0,217348.4,212140.428048,197523.055731,0.0
72,1427.509035,2295.33513,3430.0,748.413,0.0,4380.65301463,0.0,0.0,0.0,210278.1,205897.446985,197996.18982,0.0
73,1581.38646,2295.33513,3430.0,748.413,0.0,3919.08717059,0.0,0.0,0.0,204881.45,200962.362829,192907.228239,0.0
