,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,11444.64,748.413,0.0,52872.9078343,0.0,0.0,0.0,234669,181796.092166,165910.970486,0.0
2,1396.73355,2295.33513,11444.64,748.413,0.0,51219.012105,0.0,0.0,0.0,230127,178907.987895,163022.866215,0.0
3,1396.73355,2295.33513,11444.64,748.413,0.0,49278.6900157,0.0,0.0,0.0,230589,181310.309984,165425.188304,0.0
4,1396.73355,2295.33513,11444.64,748.413,0.0,45838.732914,0.0,0.0,0.0,232488,186649.267086,170764.145406,0.0
5,1396.73355,2295.33513,11444.64,748.413,0.0,42557.8091016,0.0,0.0,0.0,237568,195010.190898,179125.069218,0.0
6,1396.73355,2295.33513,11444.64,748.413,0.0,41028.104261,0.0,0.0,0.0,245111,204082.895739,188197.774059,0.0
7,11165.1507586,2295.33513,11444.64,748.413,0.0,40804.0089443,0.0,0.0,0.0,254385,213580.991056,187927.452167,0.0
8,23673.45,2295.33513,11444.64,748.413,1977.11944452,40748.4144627,0.0,0.0,0.0,264191,221465.466093,183303.627963,0.0
9,23673.45,2295.33513,11444.64,748.413,10782.9082211,38135.3448258,0.0,0.0,0.0,272083,223164.746953,185002.908823,0.0
10,23673.45,2295.33513,11444.64,748.413,19814.299362,35967.0503421,0.0,0.0,0.0,277079,221297.650296,183135.812166,0.0
11,8667.32883912,2295.33513,11444.64,748.413,26951.0285571,38330.8023067,0.0,0.0,0.0,276365,211083.169136,187927.452167,0.0
12,1396.73355,2295.33513,11444.64,748.413,31195.3292312,39701.5993571,0.0,0.0,0.0,272813,201916.071412,186030.949732,0.0
13,1396.73355,2295.33513,11444.64,748.413,32204.2984691,38648.9812846,0.0,0.0,0.0,267932,197078.720246,181193.598566,0.0
14,1396.73355,2295.33513,11444.64,748.413,31206.3071757,33643.2976486,0.0,0.0,0.0,262833,197983.395176,182098.273496,0.0
15,1396.73355,2295.33513,11444.64,748.413,29054.0933141,31333.4464755,0.0,0.0,0.0,258380,197992.46021,182107.33853,0.0
16,1396.73355,2295.33513,11444.64,748.413,23471.0157517,33186.5070644,0.0,0.0,0.0,257096,200438.477184,184553.355504,0.0
17,1396.73355,2295.33513,11444.64,748.413,14479.7678711,36364.5787658,0.0,0.0,0.0,258851,208006.653363,192121.531683,0.0
18,23673.45,2295.33513,11444.64,748.413,2059.87944953,36179.2080273,0.0,0.0,0.0,261378,223138.912523,184977.074393,0.0
19,18423.8155707,2295.33513,11444.64,748.413,0.0,41417.3441321,0.0,0.0,0.0,262257,220839.655868,187927.452167,0.0
20,7542.83343157,2295.33513,11444.64,748.413,0.0,51015.3262713,0.0,0.0,0.0,260974,209958.673729,187927.452167,0.0
21,1396.73355,2295.33513,11444.64,748.413,0.0,56784.6390345,0.0,0.0,0.0,256522,199737.360966,183852.239286,0.0
22,1396.73355,2295.33513,11444.64,748.413,0.0,57407.6240671,0.0,0.0,0.0,248741,191333.375933,175448.254253,0.0
23,1396.73355,2295.33513,11444.64,748.413,0.0,55194.4416405,0.0,0.0,0.0,240388,185193.55836,169308.43668,0.0
24,1396.73355,2295.33513,11444.64,748.413,0.0,51060.7014114,0.0,0.0,0.0,233841,182780.298589,166895.176909,0.0
25,1361.223375,2280.89906,11444.64,748.413,0.0,46460.7077524,0.0,0.0,0.0,229061,182600.292248,166765.116813,0.0
26,1361.223375,2280.89906,11444.64,748.413,0.0,43023.7658334,0.0,0.0,0.0,225498,182474.234167,166639.058732,0.0
27,1361.223375,2280.89906,11444.64,748.413,0.0,40170.2611733,0.0,0.0,0.0,224343,184172.738827,168337.563392,0.0
28,1361.223375,2280.89906,11444.64,748.413,0.0,36129.4142124,0.0,0.0,0.0,226650,190520.585788,174685.410353,0.0
29,1361.223375,2280.89906,11444.64,748.413,0.0,33042.863387,0.0,0.0,0.0,232470,199427.136613,183591.961178,0.0
30,1361.223375,2280.89906,11444.64,748.413,0.0,31352.1538684,0.0,0.0,0.0,240934,209581.846132,193746.670697,0.0
31,1361.223375,2280.89906,11444.64,748.413,0.0,30129.3924703,0.0,0.0,0.0,250901,220771.60753,204936.432095,0.0
32,9543.01112917,2280.89906,11444.64,748.413,1986.63294178,28979.8450529,0.0,0.0,0.0,261216,230249.522005,206232.558816,0.0
33,13672.3450622,2280.89906,11444.64,748.413,10984.5459467,24882.598115,0.0,0.0,0.0,270246,234378.855938,206232.558816,0.0
34,13370.5801265,2280.89906,11444.64,748.413,20144.6739358,21172.2350616,0.0,0.0,0.0,275394,234077.091003,206232.558816,0.0
35,6240.03417788,2280.89906,11444.64,748.413,26645.5274296,20795.9275164,0.0,0.0,0.0,274388,226946.545054,206232.558816,0.0
36,1361.223375,2280.89906,11444.64,748.413,30950.1396186,16430.8887119,0.0,0.0,0.0,270714,223332.971669,207497.796234,0.0
37,1361.223375,2280.89906,11444.64,748.413,32407.4810795,11402.4600062,0.0,0.0,0.0,266412,222602.058914,206766.883479,0.0
38,1361.223375,2280.89906,11444.64,748.413,33155.9341331,8376.57633328,0.0,0.0,0.0,263196,221663.489534,205828.314099,0.0
39,2913.01015321,2280.89906,11444.64,748.413,31177.9323601,6948.54661059,0.0,0.0,0.0,261746,223619.521029,206232.558816,0.0
40,8769.94051418,2280.89906,11444.64,748.413,25566.0769649,8182.47164477,0.0,0.0,0.0,263225,229476.45139,206232.558816,0.0
41,23673.45,2280.89906,11444.64,748.413,16160.825364,10745.1890699,0.0,0.0,0.0,267936,241029.985566,202882.583506,0.0
42,23673.45,2280.89906,11444.64,748.413,2572.1917749,14232.7374992,0.0,0.0,0.0,272374,255569.070726,217421.668666,0.0
43,23673.45,2280.89906,11444.64,748.413,0.0,22318.5007978,0.0,0.0,0.0,273529,251210.499202,213063.097142,0.0
44,18254.2669868,2280.89906,11444.64,748.413,0.0,33453.222137,0.0,0.0,0.0,272414,238960.777863,206232.558816,0.0
45,1361.223375,2280.89906,11444.64,748.413,0.0,41895.336995,0.0,0.0,0.0,267721,225825.663005,209990.48757,0.0
46,1361.223375,2280.89906,11444.64,748.413,0.0,43563.5570423,0.0,0.0,0.0,259088,215524.442958,199689.267523,0.0
47,1361.223375,2280.89906,11444.64,748.413,0.0,41576.6458199,0.0,0.0,0.0,250402,208825.35418,192990.178745,0.0
48,1361.223375,2280.89906,11444.64,748.413,0.0,39228.333467,0.0,0.0,0.0,243987,204758.666533,188923.491098,0.0
49,1427.509035,2295.33513,11444.64,748.413,0.0,36273.2430888,0.0,0.0,0.0,238528,202254.756911,186338.859746,0.0
50,1427.509035,2295.33513,11444.64,748.413,0.0,34145.0437756,0.0,0.0,0.0,234583,200437.956224,184522.059059,0.0
51,1427.509035,2295.33513,11444.64,748.413,0.0,32403.3955487,0.0,0.0,0.0,233756,201352.604451,185436.707286,0.0
52,1427.509035,2295.33513,11444.64,748.413,0.0,30850.8971388,0.0,0.0,0.0,236064,205213.102861,189297.205696,0.0
53,1427.509035,2295.33513,11444.64,748.413,0.0,28421.5241501,0.0,0.0,0.0,241974,213552.47585,197636.578685,0.0
54,1427.509035,2295.33513,11444.64,748.413,0.0,26899.7533641,0.0,0.0,0.0,251047,224147.246636,208231.349471,0.0
55,1427.509035,2295.33513,11444.64,748.413,0.0,25761.5038821,0.0,0.0,0.0,261747,235985.496118,220069.598953,0.0
56,7648.52181359,2295.33513,11444.64,748.413,1934.51578659,24324.0256135,0.0,0.0,0.0,272845,246586.4586,224449.548656,0.0
57,11482.544561,2295.33513,11444.64,748.413,10917.1347831,20210.3838695,0.0,0.0,0.0,281548,250420.481347,224449.548656,0.0
58,10899.3720968,2295.33513,11444.64,748.413,20492.4149179,15420.2761989,0.0,0.0,0.0,285750,249837.308883,224449.548656,0.0
59,1427.509035,2295.33513,11444.64,748.413,28321.9645878,14737.7693072,0.0,0.0,0.0,284413,241353.266105,225437.36894,0.0
60,1427.509035,2295.33513,11444.64,748.413,33192.740757,12149.0670309,0.0,0.0,0.0,280653,235311.192212,219395.295047,0.0
61,1427.509035,2295.33513,11444.64,748.413,34683.3671646,8883.49653051,0.0,0.0,0.0,276117,232550.136305,216634.23914,0.0
62,1427.509035,2295.33513,11444.64,748.413,35101.6348194,6555.21516292,0.0,0.0,0.0,272198,230541.150018,214625.252853,0.0
63,1427.509035,2295.33513,11444.64,748.413,31862.6739719,5473.35035799,0.0,0.0,0.0,269438,232101.97567,216186.078505,0.0
64,1427.509035,2295.33513,11444.64,748.413,24874.0855523,5611.2393684,0.0,0.0,0.0,269896,239410.675079,223494.777914,0.0
65,12798.5718635,2295.33513,11444.64,748.413,15674.8347472,6338.65660301,0.0,0.0,0.0,273750,251736.50865,224449.548656,0.0
66,23673.45,2295.33513,11444.64,748.413,2370.19478582,7198.04958186,0.0,0.0,0.0,277624,268055.755632,229893.917502,0.0
67,23673.45,2295.33513,11444.64,748.413,0.0,9770.4060518,0.0,0.0,0.0,279691,269920.593948,231758.755818,0.0
