,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,66871.7792726,0.0,0.0,0.0,234669,167797.220727,159926.739047,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,65296.9939903,0.0,0.0,0.0,230127,164830.00601,156959.52433,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,62693.2434002,0.0,0.0,0.0,230589,167895.7566,160025.27492,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,58741.9582264,0.0,0.0,0.0,232488,173746.041774,165875.560094,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,55376.6317972,0.0,0.0,0.0,237568,182191.368203,174320.886523,0.0
6,14968.3856307,2295.33513,3430.0,748.413,0.0,53485.5404261,0.0,0.0,0.0,245111,191625.459574,170183.325813,0.0
7,23673.45,2295.33513,3430.0,748.413,0.0,53432.4332303,0.0,0.0,0.0,254385,200952.56677,170805.36864,0.0
8,23673.45,2295.33513,3430.0,748.413,12001.7791612,53169.1198381,0.0,0.0,0.0,264191,199020.101001,168872.902871,0.0
9,1396.73355,2295.33513,3430.0,748.413,61004.2120234,49923.7033223,0.0,0.0,0.0,272083,161155.084654,153284.602974,0.0
10,1396.73355,2295.33513,3430.0,748.413,84617.080049,47496.6269205,0.0,0.0,0.0,277079,144965.293031,137094.811351,0.0
11,1396.73355,2295.33513,3430.0,748.413,96273.4272178,50263.3670772,0.0,0.0,0.0,276365,129828.205705,121957.724025,0.0
12,1396.73355,2295.33513,3430.0,748.413,100229.15884,51656.7535984,0.0,0.0,0.0,272813,120927.087562,113056.605882,0.0
13,1396.73355,2295.33513,3430.0,748.413,100108.610329,50247.6029675,0.0,0.0,0.0,267932,117575.786703,109705.305023,0.0
14,1396.73355,2295.33513,3430.0,748.413,95698.9121093,44096.3783913,0.0,0.0,0.0,262833,123037.709499,115167.227819,0.0
15,1396.73355,2295.33513,3430.0,748.413,92166.9588018,41251.2139836,0.0,0.0,0.0,258380,124961.827215,117091.345535,0.0
16,1396.73355,2295.33513,3430.0,748.413,82943.2445208,42913.8469628,0.0,0.0,0.0,257096,131238.908516,123368.426836,0.0
17,1396.73355,2295.33513,3430.0,748.413,58774.626484,47202.1240068,0.0,0.0,0.0,258851,152874.249509,145003.767829,0.0
18,23673.45,2295.33513,3430.0,748.413,6817.09497534,47196.4963391,0.0,0.0,0.0,261378,207364.408686,177217.210556,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,53449.8779304,0.0,0.0,0.0,262257,208807.12207,178659.92394,0.0
20,19845.6084385,2295.33513,3430.0,748.413,0.0,64471.3176184,0.0,0.0,0.0,260974,196502.682382,170183.325813,0.0
21,9588.40098079,2295.33513,3430.0,748.413,0.0,70276.5250761,0.0,0.0,0.0,256522,186245.474924,170183.325813,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,70770.1796492,0.0,0.0,0.0,248741,177970.820351,170100.338671,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,68322.4759655,0.0,0.0,0.0,240388,172065.524034,164195.042354,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,63942.1289486,0.0,0.0,0.0,233841,169898.871051,162028.389371,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,59110.7366147,0.0,0.0,0.0,229061,169950.263385,162129.72795,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,55035.8862485,0.0,0.0,0.0,225498,170462.113752,162641.578317,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,52450.5319529,0.0,0.0,0.0,224343,171892.468047,164071.932612,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,47582.092431,0.0,0.0,0.0,226650,179067.907569,171247.372134,0.0
