Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1902.5447852,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,234669,234669.0,226292.707085,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,230127,230127.0,222256.51832,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,230589,230589.0,222718.51832,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,232488,232488.0,224617.51832,0.0
5,4801.5447852,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,237568,237568.0,226292.707085,0.0
6,12344.5447852,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,245111,245111.0,226292.707085,0.0
7,21618.5447852,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,254385,254385.0,226292.707085,0.0
8,1396.73355,2295.33513,3430.0,748.413,54726.3655457,0.0,0.0,0.0,0.0,264191,209464.634454,201594.152774,0.0
9,1396.73355,2295.33513,3430.0,748.413,242023.330035,0.0,0.0,0.0,0.0,272083,30059.6699654,22189.1882854,0.0
10,1396.73355,2295.33513,3430.0,748.413,269208.51832,0.0,0.0,0.0,60900.0,277079,7870.48168,0.0,0.0
11,1396.73355,2295.33513,3430.0,748.413,268494.51832,0.0,0.0,0.0,105002.0,276365,7870.48168,5.82076609135e-11,0.0
12,1396.73355,2295.33513,3430.0,748.413,264942.51832,0.0,0.0,0.0,124683.0,272813,7870.48168,0.0,0.0
13,1396.73355,2295.33513,3430.0,748.413,260061.51832,0.0,0.0,0.0,129247.0,267932,7870.48168,0.0,0.0
14,1396.73355,2295.33513,3430.0,748.413,254962.51832,0.0,0.0,0.0,117097.0,262833,7870.48168,0.0,0.0
15,1396.73355,2295.33513,3430.0,748.413,250509.51832,0.0,0.0,0.0,102854.0,258380,7870.48168,0.0,0.0
16,1396.73355,2295.33513,3430.0,748.413,249225.51832,0.0,0.0,0.0,57898.0,257096,7870.48168,0.0,0.0
17,1396.73355,2295.33513,3430.0,748.413,197680.244593,0.0,0.0,0.0,0.0,258851,61170.7554073,53300.2737273,0.0
18,8002.77698882,2295.33513,3430.0,748.413,20608.7677964,0.0,0.0,0.0,0.0,261378,240769.232204,226292.707085,0.0
19,23673.45,2295.33513,3430.0,748.413,1357.00993604,0.0,0.0,0.0,0.0,262257,260899.990064,230752.791934,0.0
20,23673.45,2295.33513,3430.0,748.413,1055.65112272,0.0,0.0,0.0,0.0,260974,259918.348877,229771.150747,0.0
21,23673.45,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,256522,256522.0,226374.80187,0.0
22,15974.5447852,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,248741,248741.0,226292.707085,0.0
23,7621.5447852,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,240388,240388.0,226292.707085,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,233841,233841.0,225970.51832,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,229061,229061.0,221240.464565,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,225498,225498.0,217677.464565,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,224343,224343.0,216522.464565,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,226650,226650.0,218829.464565,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,232470,232470.0,224649.464565,0.0
30,3417.18106455,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,240934,240934.0,231057.506875,0.0
31,13384.1810646,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,250901,250901.0,231057.506875,0.0
32,1361.223375,2280.89906,3430.0,748.413,50900.161946,0.0,0.0,0.0,0.0,261216,210315.838054,202495.302619,0.0
33,1361.223375,2280.89906,3430.0,748.413,241485.086088,0.0,0.0,0.0,0.0,270246,28760.9139123,20940.3784773,0.0
34,1361.223375,2280.89906,3430.0,748.413,267573.464565,0.0,0.0,0.0,58004.0,275394,7820.535435,0.0,0.0
35,1361.223375,2280.89906,3430.0,748.413,266567.464565,0.0,0.0,0.0,99411.0,274388,7820.535435,5.82076609135e-11,0.0
36,1361.223375,2280.89906,3430.0,748.413,262893.464565,0.0,0.0,0.0,119807.0,270714,7820.535435,0.0,0.0
37,1361.223375,2280.89906,3430.0,748.413,258591.464565,0.0,0.0,0.0,126234.0,266412,7820.535435,0.0,0.0
38,1361.223375,2280.89906,3430.0,748.413,255375.464565,0.0,0.0,0.0,121308.0,263196,7820.535435,0.0,0.0
39,1361.223375,2280.89906,3430.0,748.413,253925.464565,0.0,0.0,0.0,112813.0,261746,7820.535435,0.0,0.0
40,1361.223375,2280.89906,3430.0,748.413,255404.464565,0.0,0.0,0.0,69956.0,263225,7820.535435,0.0,0.0
41,1361.223375,2280.89906,3430.0,748.413,214601.336563,0.0,0.0,0.0,0.0,267936,53334.6634368,45514.1280018,0.0
42,13674.0594522,2280.89906,3430.0,748.413,21183.1216123,0.0,0.0,0.0,0.0,272374,251190.878388,231057.506875,0.0
43,23673.45,2280.89906,3430.0,748.413,1310.71540134,0.0,0.0,0.0,0.0,273529,272218.284599,242085.522539,0.0
44,23673.45,2280.89906,3430.0,748.413,1021.00957844,0.0,0.0,0.0,0.0,272414,271392.990422,241260.228362,0.0
45,23673.45,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,267721,267721.0,237588.23794,0.0
46,21571.1810646,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,259088,259088.0,231057.506875,0.0
47,12885.1810646,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,250402,250402.0,231057.506875,0.0
48,6470.18106455,2280.89906,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,243987,243987.0,231057.506875,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,238528,238528.0,230626.742835,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,234583,234583.0,226681.742835,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,233756,233756.0,225854.742835,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,236064,236064.0,228162.742835,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,241974,241974.0,234072.742835,0.0
54,6934.90271296,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,251047,251047.0,237638.349157,0.0
55,17634.902713,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,261747,261747.0,237638.349157,0.0
56,1427.509035,2295.33513,3430.0,748.413,49034.7491994,0.0,0.0,0.0,0.0,272845,223810.250801,215908.993636,0.0
57,1427.509035,2295.33513,3430.0,748.413,241458.482227,0.0,0.0,0.0,0.0,281548,40089.5177734,32188.2606084,0.0
58,1427.509035,2295.33513,3430.0,748.413,277848.742835,0.0,0.0,0.0,52606.0,285750,7901.257165,0.0,0.0
59,1427.509035,2295.33513,3430.0,748.413,276511.742835,0.0,0.0,0.0,105629.0,284413,7901.257165,0.0,0.0
60,1427.509035,2295.33513,3430.0,748.413,272751.742835,0.0,0.0,0.0,133472.0,280653,7901.257165,0.0,0.0
61,1427.509035,2295.33513,3430.0,748.413,268215.742835,0.0,0.0,0.0,147094.0,276117,7901.257165,0.0,0.0
62,1427.509035,2295.33513,3430.0,748.413,264296.742835,0.0,0.0,0.0,146453.0,272198,7901.257165,0.0,0.0
63,1427.509035,2295.33513,3430.0,748.413,261536.742835,0.0,0.0,0.0,126017.0,269438,7901.257165,0.0,0.0
64,1427.509035,2295.33513,3430.0,748.413,261994.742835,0.0,0.0,0.0,72100.0,269896,7901.257165,0.0,0.0
65,1427.509035,2295.33513,3430.0,748.413,214242.044026,0.0,0.0,0.0,0.0,273750,59507.955974,51606.698809,0.0
66,9312.16631019,2295.33513,3430.0,748.413,24199.7364028,0.0,0.0,0.0,0.0,277624,253424.263597,237638.349157,0.0
67,23673.45,2295.33513,3430.0,748.413,1316.25867248,0.0,0.0,0.0,0.0,279691,278374.741328,248227.543198,0.0
68,23673.45,2295.33513,3430.0,748.413,1036.54129852,0.0,0.0,0.0,0.0,278966,277929.458701,247782.260571,0.0
69,23673.45,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,274332,274332.0,244184.80187,0.0
70,21659.902713,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,265772,265772.0,237638.349157,0.0
71,11591.902713,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,255704,255704.0,237638.349157,0.0
72,3273.90271296,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,247386,247386.0,237638.349157,0.0
73,4544.60815621,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,241037,241037.0,230018.643714,0.0
74,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,236236,236236.0,228180.86541,0.0
75,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,234038,234038.0,225982.86541,0.0
76,1581.38646,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,235738,235738.0,227682.86541,0.0
77,3410.60815621,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,239903,239903.0,230018.643714,0.0
78,9872.60815621,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,246365,246365.0,230018.643714,0.0
79,17295.6081562,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,253788,253788.0,230018.643714,0.0
80,1581.38646,2295.33513,3430.0,748.413,51296.59464,0.0,0.0,0.0,0.0,261238,209941.40536,201886.27077,0.0
81,1581.38646,2295.33513,3430.0,748.413,250019.141021,0.0,0.0,0.0,0.0,266503,16483.8589792,8428.72438925,0.0
82,1581.38646,2295.33513,3430.0,748.413,261474.86541,0.0,0.0,0.0,79369.0,269530,8055.13459,0.0,0.0
83,1581.38646,2295.33513,3430.0,748.413,261313.86541,0.0,0.0,0.0,120385.0,269369,8055.13459,5.82076609135e-11,0.0
84,1581.38646,2295.33513,3430.0,748.413,258280.86541,0.0,0.0,0.0,136538.0,266336,8055.13459,5.82076609135e-11,0.0
85,1581.38646,2295.33513,3430.0,748.413,253897.86541,0.0,0.0,0.0,143653.0,261953,8055.13459,0.0,0.0
86,1581.38646,2295.33513,3430.0,748.413,250186.86541,0.0,0.0,0.0,131599.0,258242,8055.13459,0.0,0.0
87,1581.38646,2295.33513,3430.0,748.413,247287.86541,0.0,0.0,0.0,105755.0,255343,8055.13459,0.0,0.0
88,1581.38646,2295.33513,3430.0,748.413,247214.86541,0.0,0.0,0.0,48903.0,255270,8055.13459,0.0,0.0
89,1581.38646,2295.33513,3430.0,748.413,189827.78219,0.0,0.0,0.0,0.0,258208,68380.2178099,60325.0832199,0.0
90,2738.03432655,2295.33513,3430.0,748.413,22717.5738297,0.0,0.0,0.0,0.0,261948,239230.42617,230018.643714,0.0
91,23673.45,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,263986,263986.0,233838.80187,0.0
92,23673.45,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,264326,264326.0,234178.80187,0.0
93,23673.45,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,261177,261177.0,231029.80187,0.0
94,17364.6081562,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,253857,253857.0,230018.643714,0.0
95,10578.6081562,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,247071,247071.0,230018.643714,0.0
96,5457.60815621,2295.33513,3430.0,748.413,0.0,0.0,0.0,0.0,0.0,241950,241950.0,230018.643714,0.0
97,4585.45295469,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,237684,237684.0,226620.091915,0.0
98,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,234388,234388.0,226233.46461,0.0
99,1676.08026,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,234037,234037.0,225882.46461,0.0
100,2638.45295469,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,235737,235737.0,226620.091915,0.0
101,6803.45295469,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,239902,239902.0,226620.091915,0.0
102,13264.4529547,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,246363,246363.0,226620.091915,0.0
103,20687.4529547,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,253786,253786.0,226620.091915,0.0
104,1676.08026,2295.33513,3430.0,753.12,46947.7046157,0.0,0.0,0.0,0.0,261235,214287.295384,206132.759994,0.0
105,1676.08026,2295.33513,3430.0,753.12,240302.043538,0.0,0.0,0.0,0.0,266499,26196.9564623,18042.4210723,0.0
106,1676.08026,2295.33513,3430.0,753.12,261369.46461,0.0,0.0,0.0,69914.0,269524,8154.53539,0.0,0.0
107,1676.08026,2295.33513,3430.0,753.12,261209.46461,0.0,0.0,0.0,112022.0,269364,8154.53539,0.0,0.0
108,1676.08026,2295.33513,3430.0,753.12,258176.46461,0.0,0.0,0.0,135410.0,266331,8154.53539,0.0,0.0
109,1676.08026,2295.33513,3430.0,753.12,253793.46461,0.0,0.0,0.0,145415.0,261948,8154.53539,-2.91038304567e-11,0.0
110,1676.08026,2295.33513,3430.0,753.12,250082.46461,0.0,0.0,0.0,140396.0,258237,8154.53539,-2.91038304567e-11,0.0
111,1676.08026,2295.33513,3430.0,753.12,247185.46461,0.0,0.0,0.0,120594.0,255340,8154.53539,-2.91038304567e-11,0.0
112,1676.08026,2295.33513,3430.0,753.12,247113.46461,0.0,0.0,0.0,74732.0,255268,8154.53539,-2.91038304567e-11,0.0
113,1676.08026,2295.33513,3430.0,753.12,214853.866226,0.0,0.0,0.0,0.0,258206,43352.1337736,35197.5983836,0.0
114,4544.06734249,2295.33513,3430.0,753.12,24303.3856122,0.0,0.0,0.0,0.0,261946,237642.614388,226620.091915,0.0
115,23673.45,2295.33513,3430.0,753.12,0.0,0.0,0.0,0.0,0.0,263983,263983.0,233831.09487,0.0
