scenario,scenario_main,dispatch_cost,ann_gen_total_MWh,ann_gen_vre_nocurt_MWh,ann_gen_vre_MWh,ann_curt_vre_MWh,ann_gen_solarPV_MWh,ann_gen_wind_MWh,ann_gen_coal_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_diesel_MWh,ann_gen_other_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_discharge_bat_storage_MWh,ann_charge_bat_storage_MWh,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,capacity_vre_MW,capacity_solarPV_MW,capacity_wind_MW,capacity_bat_storage_MW,energy_bat_storage_MWh,scenario_build,scenario_split,rank,date_time
S0W0_ClcC70m,base,4.60764471747e+12,2424553182.0,0.0,0.0,0.0,0.0,0.0,2226209346.9,37431382.02,1890048.44,187717.24,0.0,128787887.33,30046800.0,0.0,0.0,151140.0,0.0,13400.0,0.0,0.0,0.0,0.0,0.0,0 GW,0-0,1.0,2018-01-17 00:22:52
S0W200_ClcC70m,base,3.53212325992e+12,2424553182.0,477166828.0,477093308.08,73516.0,0.0,477093308.08,1763116977.13,23986377.7,1291599.33,229093.08,1139.25,128787887.33,30046800.0,0.0,0.0,126720.0,0.0,28800.0,200005.0,0.0,200005.0,0.0,0.0,200 GW,0-100,2.0,2018-01-17 14:02:44
S50W150_ClcC70m,base,3.58386271408e+12,2424553182.0,454821772.0,454776174.16,45593.0,87798652.91,366977521.2,1783235770.94,25922219.0,1358091.26,426239.21,0.0,128787887.33,30046800.0,0.0,0.0,118800.0,0.0,25000.0,200025.0,50015.0,150010.0,0.0,0.0,200 GW,25-75,3.0,2018-01-17 16:51:26
S100W100_ClcC70m,base,3.66952091896e+12,2424553182.0,427217839.0,426206259.72,1011581.0,174521298.28,251684961.31,1807136232.63,30079657.89,1711103.81,585240.61,0.0,128787887.33,30046800.0,0.0,0.0,119460.0,0.0,27400.0,200102.0,100079.0,100023.0,0.0,0.0,200 GW,50-50,4.0,2018-01-17 18:07:51
S150W50_ClcC70m,base,3.81777695536e+12,2424553182.0,392945562.0,375118489.13,17827089.0,246842981.49,128275507.47,1849931247.21,37249321.8,2553020.61,866416.04,0.0,128787887.33,30046800.0,0.0,0.0,126720.0,0.0,24200.0,200039.0,150010.0,50029.0,0.0,0.0,200 GW,75-25,5.0,2018-01-17 19:30:53
S200W0_ClcC70m,base,4.03705107541e+12,2424553182.0,348007539.0,278446346.85,69561203.0,278446346.85,0.0,1945090909.13,38237835.62,2808020.62,1135382.27,0.0,128787887.33,30046800.0,0.0,0.0,144540.0,0.0,11000.0,200004.0,200004.0,0.0,0.0,0.0,200 GW,100-0,6.0,2018-01-17 20:59:34
S0W300_ClcC70m,base,3.11488395917e+12,2424553182.0,687477610.0,681932644.13,5544966.0,0.0,681932644.13,1559361150.55,22579295.48,1477765.66,366499.76,1139.25,128787887.33,30046800.0,0.0,0.0,119460.0,0.0,33000.0,300007.0,0.0,300007.0,0.0,0.0,300 GW,0-100,7.0,2018-01-17 22:17:23
S75W225_ClcC70m,base,3.16163174343e+12,2424553182.0,662279339.0,656065595.63,6213742.0,128867976.45,527197619.18,1583444785.07,23963424.42,1574651.78,670037.57,0.0,128787887.33,30046800.0,0.0,0.0,109560.0,0.0,31400.0,300060.0,75025.0,225035.0,0.0,0.0,300 GW,25-75,8.0,2018-01-17 23:35:14
S150W150_ClcC70m,base,3.31770804543e+12,2424553182.0,628643078.0,598136798.9,30506301.0,238494192.52,359642606.43,1633822536.85,30167129.67,2689828.3,902200.88,0.0,128787887.33,30046800.0,0.0,0.0,112860.0,0.0,31000.0,300020.0,150010.0,150010.0,0.0,0.0,300 GW,50-50,9.0,2018-01-18 01:01:18
S225W75_ClcC70m,base,3.62386259095e+12,2424553182.0,583353677.0,469369489.9,113984181.0,287636914.67,181732575.2,1754955851.24,36988651.58,3269001.93,1135500.19,0.0,128787887.33,30046800.0,0.0,0.0,121440.0,0.0,27200.0,300020.0,225017.0,75003.0,0.0,0.0,300 GW,75-25,10.0,2018-01-18 02:30:55
