Generator,Node,Max Capacity,Min Stable Level,Status
GEN_111000_UBDCPH-1_132_1,111000_UBDCPH-1_132,15,0,1
GEN_111000_UBDCPH-1_132_2,111000_UBDCPH-1_132,16.5,0,1
GEN_111009_MUKERIAN-4_132_1,111009_MUKERIAN-4_132,19.5,0,1
GEN_111009_MUKERIAN-4_132_2,111009_MUKERIAN-4_132,19.5,0,1
GEN_111009_MUKERIAN-4_132_3,111009_MUKERIAN-4_132,19.5,0,1
GEN_111017_MUKERI-3_132_1,111017_MUKERI-3_132,19.5,0,1
GEN_111017_MUKERI-3_132_2,111017_MUKERI-3_132,19.5,0,1
GEN_111017_MUKERI-3_132_3,111017_MUKERI-3_132,19.5,0,1
GEN_111046_ANANDGARH-2_132_1,111046_ANANDGARH-2_132,33.5,0,1
GEN_111046_ANANDGARH-2_132_2,111046_ANANDGARH-2_132,33.5,0,1
GEN_111046_ANANDGARH-2_132_3,111046_ANANDGARH-2_132,33.5,0,1
GEN_111046_ANANDGARH-2_132_4,111046_ANANDGARH-2_132,33.5,0,1
GEN_111067_UBDCPH-3_132_1,111067_UBDCPH-3_132,15,0,1
GEN_111067_UBDCPH-3_132_2,111067_UBDCPH-3_132,16.5,0,1
GEN_111068_UBDCPH-2_132_1,111068_UBDCPH-2_132,15,0,1
GEN_111068_UBDCPH-2_132_2,111068_UBDCPH-2_132,16.5,0,0
GEN_111086_MUKERI-1_132_1,111086_MUKERI-1_132,15,0,0
GEN_111086_MUKERI-1_132_2,111086_MUKERI-1_132,15,0,0
GEN_111086_MUKERI-1_132_3,111086_MUKERI-1_132,15,0,0
GEN_111087_MUKERI-2_132_1,111087_MUKERI-2_132,15,0,0
GEN_111087_MUKERI-2_132_2,111087_MUKERI-2_132,15,0,0
GEN_111087_MUKERI-2_132_3,111087_MUKERI-2_132,15,0,0
GEN_111089_JOGINDERNAGA_132_1,111089_JOGINDERNAGA_132,15,0,1
GEN_111089_JOGINDERNAGA_132_2,111089_JOGINDERNAGA_132,15,0,1
GEN_111089_JOGINDERNAGA_132_3,111089_JOGINDERNAGA_132,15,0,1
GEN_111089_JOGINDERNAGA_132_4,111089_JOGINDERNAGA_132,15,0,1
GEN_111089_JOGINDERNAGA_132_5,111089_JOGINDERNAGA_132,50,0,1
GEN_111092_ANANDGARH-1_132_1,111092_ANANDGARH-1_132,33.5,0,1
GEN_111092_ANANDGARH-1_132_2,111092_ANANDGARH-1_132,33.5,0,1
GEN_111113_GANGUWAL_132_1,111113_GANGUWAL_132,28,0,1
GEN_111113_GANGUWAL_132_2,111113_GANGUWAL_132,24,0,1
GEN_111113_GANGUWAL_132_3,111113_GANGUWAL_132,24,0,1
GEN_111114_KOTLA_132_1,111114_KOTLA_132,29,0,1
GEN_111114_KOTLA_132_2,111114_KOTLA_132,24,0,1
GEN_111114_KOTLA_132_3,111114_KOTLA_132,24,0,1
GEN_112004_LEHRAMOHABBA_220_1,112004_LEHRAMOHABBA_220,210,0,1
GEN_112004_LEHRAMOHABBA_220_2,112004_LEHRAMOHABBA_220,210,0,1
GEN_112004_LEHRAMOHABBA_220_3,112004_LEHRAMOHABBA_220,250,0,1
GEN_112004_LEHRAMOHABBA_220_4,112004_LEHRAMOHABBA_220,250,0,1
GEN_112019_RSD_220_1,112019_RSD_220,150,0,1
GEN_112019_RSD_220_2,112019_RSD_220,150,0,1
GEN_112019_RSD_220_3,112019_RSD_220,150,0,1
GEN_112019_RSD_220_4,112019_RSD_220,150,0,1
GEN_112029_ROPAR_220_1,112029_ROPAR_220,210,0,0
GEN_112029_ROPAR_220_2,112029_ROPAR_220,210,0,1
GEN_112029_ROPAR_220_3,112029_ROPAR_220,210,0,1
GEN_112029_ROPAR_220_4,112029_ROPAR_220,210,0,1
GEN_112029_ROPAR_220_5,112029_ROPAR_220,210,0,1
GEN_112029_ROPAR_220_6,112029_ROPAR_220,210,0,1
GEN_112044_BATHINDA_220_1,112044_BATHINDA_220,110,0,1
GEN_112044_BATHINDA_220_2,112044_BATHINDA_220,110,0,1
GEN_112044_BATHINDA_220_3,112044_BATHINDA_220,110,0,1
GEN_112044_BATHINDA_220_4,112044_BATHINDA_220,110,0,1
GEN_112066_GOINDWAL_220_1,112066_GOINDWAL_220,270,-9999,0
GEN_112066_GOINDWAL_220_2,112066_GOINDWAL_220,270,-9999,0
GEN_114000_TALWANDISABO_400_1,114000_TALWANDISABO_400,660,0,1
GEN_114000_TALWANDISABO_400_2,114000_TALWANDISABO_400,660,0,0
GEN_114000_TALWANDISABO_400_3,114000_TALWANDISABO_400,660,0,0
GEN_114005_RAJPURA_TH_400_1,114005_RAJPURA_TH_400,700,0,1
GEN_114005_RAJPURA_TH_400_2,114005_RAJPURA_TH_400,700,0,1
GEN_122010_PANIPAT_OLD_220_1,122010_PANIPAT_OLD_220,110,0,0
GEN_122010_PANIPAT_OLD_220_2,122010_PANIPAT_OLD_220,110,0,0
GEN_122010_PANIPAT_OLD_220_3,122010_PANIPAT_OLD_220,110,0,0
GEN_122010_PANIPAT_OLD_220_4,122010_PANIPAT_OLD_220,110,0,1
GEN_122023_PANIPAT_NEW_220_5,122023_PANIPAT_NEW_220,210,0,1
GEN_122023_PANIPAT_NEW_220_6,122023_PANIPAT_NEW_220,210,0,1
GEN_122023_PANIPAT_NEW_220_7,122023_PANIPAT_NEW_220,250,0,1
GEN_122023_PANIPAT_NEW_220_8,122023_PANIPAT_NEW_220,250,0,1
GEN_122029_YAMUNA2_220_1,122029_YAMUNA2_220,300,0,1
GEN_122029_YAMUNA2_220_2,122029_YAMUNA2_220,300,0,1
GEN_122073_FARIDAB2_220_G1,122073_FARIDAB2_220,137,0,1
GEN_122073_FARIDAB2_220_G2,122073_FARIDAB2_220,137,0,1
GEN_122073_FARIDAB2_220_S1,122073_FARIDAB2_220,156,0,0
GEN_122080_BALLABGARH_220_1,122080_BALLABGARH_220,55,30,0
GEN_122080_BALLABGARH_220_2,122080_BALLABGARH_220,55,30,0
GEN_122080_BALLABGARH_220_3,122080_BALLABGARH_220,55,30,0
GEN_124001_KHEDAR_400_1,124001_KHEDAR_400,600,0,1
GEN_124001_KHEDAR_400_2,124001_KHEDAR_400,600,0,1
GEN_124004_JHAJAR_N_400_1,124004_JHAJAR_N_400,660,0,1
GEN_124004_JHAJAR_N_400_2,124004_JHAJAR_N_400,660,0,1
GEN_124023_JHAJJAR4_400_1,124023_JHAJJAR4_400,500,0,1
GEN_124023_JHAJJAR4_400_2,124023_JHAJJAR4_400,500,0,1
GEN_124023_JHAJJAR4_400_3,124023_JHAJJAR4_400,500,0,0
GEN_131116_RAMGARH21_132_1,131116_RAMGARH21_132,35.5,0,1
GEN_131116_RAMGARH21_132_2,131116_RAMGARH21_132,37.5,0,1
GEN_131116_RAMGARH21_132_3,131116_RAMGARH21_132,37.5,0,0
GEN_131121_RPS1_132_1,131121_RPS1_132,88,0,1
GEN_131121_RPS1_132_2,131121_RPS1_132,88,0,1
GEN_131121_RPS1_132_3,131121_RPS1_132,43,0,1
GEN_131121_RPS1_132_4,131121_RPS1_132,43,0,1
GEN_131159_MAHI-I_132_1,131159_MAHI-I_132,50,0,1
GEN_131222_JS1_132_1,131222_JS1_132,49.5,0,1
GEN_131222_JS1_132_2,131222_JS1_132,49.5,0,1
GEN_131222_JS1_132_3,131222_JS1_132,49.5,0,1
GEN_131278_MAHI-II_132_1,131278_MAHI-II_132,90,0,1
GEN_131456_TEMDRIA_132_W1,131456_TEMDRIA_132,150,-9999,0
GEN_132005_RAPS_A2_220_1,132005_RAPS_A2_220,9999,-9999,0
GEN_132005_RAPS_A2_220_2,132005_RAPS_A2_220,300,0,1
GEN_132019_GIRALTPS_220_1,132019_GIRALTPS_220,125,0,1
GEN_132019_GIRALTPS_220_2,132019_GIRALTPS_220,125,0,1
GEN_132021_DHOLPU-4_220_1,132021_DHOLPU-4_220,110,0,1
GEN_132021_DHOLPU-4_220_2,132021_DHOLPU-4_220,110,0,1
GEN_132021_DHOLPU-4_220_3,132021_DHOLPU-4_220,110,0,1
GEN_132027_MADA-SUZ_220_W1,132027_MADA-SUZ_220,200,-9999,0
GEN_132037_AMARSAGA_220_W1,132037_AMARSAGA_220,100,-9999,0
GEN_132042_BARSINGS_220_1,132042_BARSINGS_220,125,0,1
GEN_132042_BARSINGS_220_2,132042_BARSINGS_220,125,0,1
GEN_132057_SURATH-2_220_1,132057_SURATH-2_220,250,0,1
GEN_132057_SURATH-2_220_2,132057_SURATH-2_220,250,0,1
GEN_132061_KTPS_220_1,132061_KTPS_220,110,0,1
GEN_132061_KTPS_220_2,132061_KTPS_220,110,0,0
GEN_132061_KTPS_220_3,132061_KTPS_220,210,0,1
GEN_132061_KTPS_220_4,132061_KTPS_220,210,0,1
GEN_132061_KTPS_220_5,132061_KTPS_220,210,0,1
GEN_132061_KTPS_220_6,132061_KTPS_220,195,0,1
GEN_132061_KTPS_220_7,132061_KTPS_220,195,0,0
GEN_132077_RAJWEST_220_7,132077_RAJWEST_220,135,0,0
GEN_132077_RAJWEST_220_8,132077_RAJWEST_220,135,0,1
GEN_132079_AKAL-2_220_W1,132079_AKAL-2_220,400,-9999,0
GEN_132082_BHU-ENER_220_W1,132082_BHU-ENER_220,200,-9999,0
GEN_132101_KETUKALA_220_W1,132101_KETUKALA_220,140,-9999,0
GEN_132113_RAMGARH_220_4,132113_RAMGARH_220,50,0,1
GEN_132113_RAMGARH_220_5,132113_RAMGARH_220,110,0,1
GEN_132120_VSLP_220_1,132120_VSLP_220,135,0,0
GEN_132146_RAPS_B2_220_3,132146_RAPS_B2_220,220,0,1
GEN_132146_RAPS_B2_220_4,132146_RAPS_B2_220,220,0,1
GEN_134007_CHABRA-4_400_1,134007_CHABRA-4_400,250,0,1
GEN_134007_CHABRA-4_400_2,134007_CHABRA-4_400,250,0,1
GEN_134007_CHABRA-4_400_3,134007_CHABRA-4_400,250,0,1
GEN_134007_CHABRA-4_400_4,134007_CHABRA-4_400,250,0,1
GEN_134008_KALISI-4_400_1,134008_KALISI-4_400,600,0,1
GEN_134008_KALISI-4_400_2,134008_KALISI-4_400,600,0,0
GEN_134009_RAJWEST_400_1,134009_RAJWEST_400,135,0,1
GEN_134009_RAJWEST_400_2,134009_RAJWEST_400,135,0,1
GEN_134009_RAJWEST_400_3,134009_RAJWEST_400,135,0,1
GEN_134009_RAJWEST_400_4,134009_RAJWEST_400,135,0,1
GEN_134009_RAJWEST_400_5,134009_RAJWEST_400,135,0,1
GEN_134009_RAJWEST_400_6,134009_RAJWEST_400,135,0,1
GEN_134010_KAWAI_400_1,134010_KAWAI_400,660,0,0
GEN_134010_KAWAI_400_2,134010_KAWAI_400,660,0,1
GEN_134018_SURATG-4_400_3,134018_SURATG-4_400,250,0,1
GEN_134018_SURATG-4_400_4,134018_SURATG-4_400,250,0,1
GEN_134018_SURATG-4_400_5,134018_SURATG-4_400,250,0,1
