Line,Node From,Node To,Type,Voltage.From,Voltage.To,Max Flow,Min Flow,ratingA,ratingB,ratingC,Resistance,Reactance,Status,Length,Units
110048_190000_1_CKT,110048_MOHALI-II_66,190000_CHANDIGA_S39_66,AC,66,66,34,-34,34,44,0,0.0331,0.04819,1,NA,1
110048_190000_2_CKT,110048_MOHALI-II_66,190000_CHANDIGA_S39_66,AC,66,66,34,-34,34,44,0,0.0331,0.04819,1,NA,1
110048_190010_1_CKT,110048_MOHALI-II_66,190010_CHANDIGA_S56_66,AC,66,66,34,-34,34,44,0,0.02806,0.04084,1,NA,1
110048_190010_2_CKT,110048_MOHALI-II_66,190010_CHANDIGA_S56_66,AC,66,66,34,-34,34,44,0,0.02806,0.04084,1,NA,1
111000_111068_1_CKT,111000_UBDCPH-1_132,111068_UBDCPH-2_132,AC,132,132,47,-47,47,84,92,0.0043,0.011,1,NA,1
111000_111068_2_CKT,111000_UBDCPH-1_132,111068_UBDCPH-2_132,AC,132,132,47,-47,47,84,92,0.0043,0.011,1,NA,1
111001_111002_1_CKT,111001_GURDASPUR_132,111002_DHARIWAL_132,AC,132,132,47,-47,47,84,92,0.0198,0.0384,1,NA,1
111001_111002_2_CKT,111001_GURDASPUR_132,111002_DHARIWAL_132,AC,132,132,47,-47,47,84,92,0.0198,0.0384,1,NA,1
111001_111090_1_CKT,111001_GURDASPUR_132,111090_SARNA_132,AC,132,132,47,-47,47,84,92,0.0372,0.072,1,NA,1
111001_111090_2_CKT,111001_GURDASPUR_132,111090_SARNA_132,AC,132,132,47,-47,47,84,92,0.0372,0.072,1,NA,1
111003_111009_1_CKT,111003_SHRIHARGOBIN_132,111009_MUKERIAN-4_132,AC,132,132,47,-47,47,84,92,0.0283,0.0722,1,NA,1
111003_111009_2_CKT,111003_SHRIHARGOBIN_132,111009_MUKERIAN-4_132,AC,132,132,47,-47,47,84,92,0.0283,0.0722,1,NA,1
111003_111020_1_CKT,111003_SHRIHARGOBIN_132,111020_WADALAGRAN21_132,AC,132,132,47,-47,47,84,92,0.0255,0.0652,1,NA,1
111003_111020_2_CKT,111003_SHRIHARGOBIN_132,111020_WADALAGRAN21_132,AC,132,132,47,-47,47,84,92,0.0255,0.0652,1,NA,1
111004_111097_1_CKT,111004_PIMS_132,111097_CHILDERNPARK_132,AC,132,132,47,-47,47,84,92,0.00228,0.00582,1,NA,1
111004_111109_1_CKT,111004_PIMS_132,111109_SCIENCE_132,AC,132,132,47,-47,47,84,92,0.00228,0.00582,1,NA,1
111005_111031_1_CKT,111005_ASRON_132,111031_ROPAR21_132,AC,132,132,47,-47,47,84,92,0.0137,0.035,1,NA,1
111005_111110_1_CKT,111005_ASRON_132,111110_ROPAR_132,AC,132,132,47,-47,47,84,92,0.0055,0.014,1,NA,1
111006_111045_1_CKT,111006_JADLA_132,111045_NAWANSHAHAR_132,AC,132,132,47,-47,47,84,92,0.0274,0.0699,1,NA,1
111006_111046_1_CKT,111006_JADLA_132,111046_ANANDGARH-2_132,AC,132,132,47,-47,47,84,92,0.0182,0.0466,1,NA,1
111007_111008_1_CKT,111007_BANGA_132,111008_PHAGWARA_132,AC,132,132,47,-47,47,84,92,0.0182,0.0466,1,NA,1
111007_111012_1_CKT,111007_BANGA_132,111012_MAHILPUR21_132,AC,132,132,47,-47,47,84,92,0.0254,0.0648,1,NA,1
111007_111045_1_CKT,111007_BANGA_132,111045_NAWANSHAHAR_132,AC,132,132,47,-47,47,84,92,0.0128,0.0326,1,NA,1
111008_111032_1_CKT,111008_PHAGWARA_132,111032_GORAYA21_132,AC,132,132,47,-47,47,84,92,0.0149,0.0288,1,NA,1
111008_111032_2_CKT,111008_PHAGWARA_132,111032_GORAYA21_132,AC,132,132,47,-47,47,84,92,0.0149,0.0288,1,NA,1
111009_111017_1_CKT,111009_MUKERIAN-4_132,111017_MUKERI-3_132,AC,132,132,47,-47,47,84,92,0.0091,0.0233,1,NA,1
111009_111017_2_CKT,111009_MUKERIAN-4_132,111017_MUKERI-3_132,AC,132,132,47,-47,47,84,92,0.0091,0.0233,1,NA,1
111010_111048_1_CKT,111010_FEROZPUR21_132,111048_SADIQ_132,AC,132,132,47,-47,47,84,92,0.0219,0.0559,1,NA,1
111010_111057_1_CKT,111010_FEROZPUR21_132,111057_MANASING_132,AC,132,132,47,-47,47,84,92,0.0186,0.036,1,NA,1
111011_111013_1_CKT,111011_CHAMKAUR_132,111013_GHULAL_132,AC,132,132,47,-47,47,84,92,0.0347,0.0672,1,NA,1
111011_111110_1_CKT,111011_CHAMKAUR_132,111110_ROPAR_132,AC,132,132,47,-47,47,84,92,0.0186,0.036,1,NA,1
111013_111022_1_CKT,111013_GHULAL_132,111022_MEHMUDAN_132,AC,132,132,47,-47,47,84,92,0.0149,0.0288,1,NA,1
111013_111034_1_CKT,111013_GHULAL_132,111034_SHAMSPUR_132,AC,132,132,47,-47,47,84,92,0.0186,0.036,1,NA,1
111013_111041_1_CKT,111013_GHULAL_132,111041_JAMALPUR21_132,AC,132,132,47,-47,47,84,92,0.026,0.0504,1,NA,1
111013_111041_2_CKT,111013_GHULAL_132,111041_JAMALPUR21_132,AC,132,132,47,-47,47,84,92,0.026,0.0504,1,NA,1
111013_111110_1_CKT,111013_GHULAL_132,111110_ROPAR_132,AC,132,132,47,-47,47,84,92,0.0533,0.1032,1,NA,1
111014_111025_1_CKT,111014_GHOLIA_132,111025_MOGA21_132,AC,132,132,47,-47,47,84,92,0.0096,0.02445,1,NA,1
111014_111054_1_CKT,111014_GHOLIA_132,111054_SAMADHBH_132,AC,132,132,47,-47,47,84,92,0.0096,0.02445,1,NA,1
111015_111073_1_CKT,111015_CHOHAL_132,111073_HOSHIARPUR_132,AC,132,132,47,-47,47,84,92,0.01,0.0256,1,NA,1
111015_171006_1_CKT,111015_CHOHAL_132,171006_HAMIRP-2_132,AC,132,132,47,-47,47,84,92,0.0602,0.1538,1,NA,1
111016_111071_1_CKT,111016_BHOGPUR_132,111071_ALAWALPUR_132,AC,132,132,47,-47,47,84,92,0.0119,0.0303,1,NA,1
111016_111073_1_CKT,111016_BHOGPUR_132,111073_HOSHIARPUR_132,AC,132,132,47,-47,47,84,92,0.0246,0.0629,1,NA,1
111016_111074_1_CKT,111016_BHOGPUR_132,111074_TANDA_132,AC,132,132,47,-47,47,84,92,0.0137,0.035,1,NA,1
111016_111087_1_CKT,111016_BHOGPUR_132,111087_MUKERI-2_132,AC,132,132,47,-47,47,84,92,0.0638,0.1631,1,NA,1
111016_111094_1_CKT,111016_BHOGPUR_132,111094_KAHANPUR_132,AC,132,132,47,-47,47,84,92,0.0073,0.0186,1,NA,1
111017_111087_1_CKT,111017_MUKERI-3_132,111087_MUKERI-2_132,AC,132,132,47,-47,47,84,92,0.00274,0.00699,1,NA,1
111017_111087_2_CKT,111017_MUKERI-3_132,111087_MUKERI-2_132,AC,132,132,47,-47,47,84,92,0.00274,0.00699,1,NA,1
111018_111088_1_CKT,111018_PATHANKOT_132,111088_MAMUN_132,AC,132,132,47,-47,47,84,92,0.0087,0.0168,1,NA,1
111018_111090_1_CKT,111018_PATHANKOT_132,111090_SARNA_132,AC,132,132,47,-47,47,84,92,0.0087,0.0168,1,NA,1
111018_111090_2_CKT,111018_PATHANKOT_132,111090_SARNA_132,AC,132,132,47,-47,47,84,92,0.0087,0.0168,1,NA,1
111018_111112_1_CKT,111018_PATHANKOT_132,111112_KANGR-PS_132,AC,132,132,47,-47,47,84,92,0.0856,0.1656,1,NA,1
111019_111090_1_CKT,111019_SARNA21_132,111090_SARNA_132,AC,132,132,47,-47,47,84,92,0.0046,0.0117,1,NA,1
111020_111095_1_CKT,111020_WADALAGRAN21_132,111095_BATALA_132,AC,132,132,47,-47,47,84,92,0.0073,0.0186,1,NA,1
111020_111095_2_CKT,111020_WADALAGRAN21_132,111095_BATALA_132,AC,132,132,47,-47,47,84,92,0.0073,0.0186,1,NA,1
111020_111095_3_CKT,111020_WADALAGRAN21_132,111095_BATALA_132,AC,132,132,47,-47,47,84,92,0.0073,0.0186,1,NA,1
111020_111104_1_CKT,111020_WADALAGRAN21_132,111104_KOTLIS21_132,AC,132,132,47,-47,47,84,92,0.0219,0.0559,1,NA,1
111021_111110_1_CKT,111021_KHARAR_132,111110_ROPAR_132,AC,132,132,47,-47,47,84,92,0.021,0.0536,1,NA,1
111022_111024_1_CKT,111022_MEHMUDAN_132,111024_DORAHA_132,AC,132,132,47,-47,47,84,92,0.0074,0.0144,1,NA,1
111023_111077_1_CKT,111023_VERPAL21_132,111077_TARANTAR_132,AC,132,132,47,-47,47,84,92,0.0109,0.028,1,NA,1
111023_111079_1_CKT,111023_VERPAL21_132,111079_NARAINANGAL_132,AC,132,132,47,-47,47,84,92,0.0146,0.0373,1,NA,1
111023_111079_2_CKT,111023_VERPAL21_132,111079_NARAINANGAL_132,AC,132,132,47,-47,47,84,92,0.0146,0.0373,1,NA,1
111023_111080_1_CKT,111023_VERPAL21_132,111080_HAKIMAGARH_132,AC,132,132,47,-47,47,84,92,0.0091,0.0233,1,NA,1
111024_111030_1_CKT,111024_DORAHA_132,111030_SIHORA_132,AC,132,132,47,-47,47,84,92,0.0192,0.0489,1,NA,1
111025_111050_1_CKT,111025_MOGA21_132,111050_PANJGARY_132,AC,132,132,47,-47,47,84,92,0.0434,0.084,1,NA,1
