Generator,Fuel
GEN_111000_UBDCPH-1_132_1,HYDRO-ROR
GEN_111000_UBDCPH-1_132_2,HYDRO-ROR
GEN_111009_MUKERIAN-4_132_1,HYDRO-ROR
GEN_111009_MUKERIAN-4_132_2,HYDRO-ROR
GEN_111009_MUKERIAN-4_132_3,HYDRO-ROR
GEN_111017_MUKERI-3_132_1,HYDRO-ROR
GEN_111017_MUKERI-3_132_2,HYDRO-ROR
GEN_111017_MUKERI-3_132_3,HYDRO-ROR
GEN_111046_ANANDGARH-2_132_1,HYDRO-ROR
GEN_111046_ANANDGARH-2_132_2,HYDRO-ROR
GEN_111046_ANANDGARH-2_132_3,HYDRO-ROR
GEN_111046_ANANDGARH-2_132_4,HYDRO-ROR
GEN_111067_UBDCPH-3_132_1,HYDRO-ROR
GEN_111067_UBDCPH-3_132_2,HYDRO-ROR
GEN_111068_UBDCPH-2_132_1,HYDRO-ROR
GEN_111068_UBDCPH-2_132_2,HYDRO-ROR
GEN_111086_MUKERI-1_132_1,HYDRO-ROR
GEN_111086_MUKERI-1_132_2,HYDRO-ROR
GEN_111086_MUKERI-1_132_3,HYDRO-ROR
GEN_111087_MUKERI-2_132_1,HYDRO-ROR
GEN_111087_MUKERI-2_132_2,HYDRO-ROR
GEN_111087_MUKERI-2_132_3,HYDRO-ROR
GEN_111089_JOGINDERNAGA_132_1,HYDRO-ROR
GEN_111089_JOGINDERNAGA_132_2,HYDRO-ROR
GEN_111089_JOGINDERNAGA_132_3,HYDRO-ROR
GEN_111089_JOGINDERNAGA_132_4,HYDRO-ROR
GEN_111089_JOGINDERNAGA_132_5,HYDRO-ROR
GEN_111092_ANANDGARH-1_132_1,HYDRO-ROR
GEN_111092_ANANDGARH-1_132_2,HYDRO-ROR
GEN_111113_GANGUWAL_132_1,HYDRO-ROR
GEN_111113_GANGUWAL_132_2,HYDRO-ROR
GEN_111113_GANGUWAL_132_3,HYDRO-ROR
GEN_111114_KOTLA_132_1,HYDRO-ROR
GEN_111114_KOTLA_132_2,HYDRO-ROR
GEN_111114_KOTLA_132_3,HYDRO-ROR
GEN_112004_LEHRAMOHABBA_220_1,SUBCRITICAL-COAL
GEN_112004_LEHRAMOHABBA_220_2,SUBCRITICAL-COAL
GEN_112004_LEHRAMOHABBA_220_3,SUBCRITICAL-COAL
GEN_112004_LEHRAMOHABBA_220_4,SUBCRITICAL-COAL
GEN_112019_RSD_220_1,HYDRO-STORAGE
GEN_112019_RSD_220_2,HYDRO-STORAGE
GEN_112019_RSD_220_3,HYDRO-STORAGE
GEN_112019_RSD_220_4,HYDRO-STORAGE
GEN_112029_ROPAR_220_1,SUBCRITICAL-COAL
GEN_112029_ROPAR_220_2,SUBCRITICAL-COAL
GEN_112029_ROPAR_220_3,SUBCRITICAL-COAL
GEN_112029_ROPAR_220_4,SUBCRITICAL-COAL
GEN_112029_ROPAR_220_5,SUBCRITICAL-COAL
GEN_112029_ROPAR_220_6,SUBCRITICAL-COAL
GEN_112044_BATHINDA_220_1,SUBCRITICAL-COAL
GEN_112044_BATHINDA_220_2,SUBCRITICAL-COAL
GEN_112044_BATHINDA_220_3,SUBCRITICAL-COAL
GEN_112044_BATHINDA_220_4,SUBCRITICAL-COAL
GEN_112066_GOINDWAL_220_1,SUBCRITICAL-COAL
GEN_112066_GOINDWAL_220_2,SUBCRITICAL-COAL
GEN_114000_TALWANDISABO_400_1,SUPERCRITICAL-COAL
GEN_114000_TALWANDISABO_400_2,SUPERCRITICAL-COAL
GEN_114000_TALWANDISABO_400_3,SUPERCRITICAL-COAL
GEN_114005_RAJPURA_TH_400_1,SUPERCRITICAL-COAL
GEN_114005_RAJPURA_TH_400_2,SUPERCRITICAL-COAL
GEN_122010_PANIPAT_OLD_220_1,SUBCRITICAL-COAL
GEN_122010_PANIPAT_OLD_220_2,SUBCRITICAL-COAL
GEN_122010_PANIPAT_OLD_220_3,SUBCRITICAL-COAL
GEN_122010_PANIPAT_OLD_220_4,SUBCRITICAL-COAL
GEN_122023_PANIPAT_NEW_220_5,SUBCRITICAL-COAL
GEN_122023_PANIPAT_NEW_220_6,SUBCRITICAL-COAL
GEN_122023_PANIPAT_NEW_220_7,SUBCRITICAL-COAL
GEN_122023_PANIPAT_NEW_220_8,SUBCRITICAL-COAL
GEN_122029_YAMUNA2_220_1,SUBCRITICAL-COAL
GEN_122029_YAMUNA2_220_2,SUBCRITICAL-COAL
GEN_122073_FARIDAB2_220_G1,CCGT-GAS
GEN_122073_FARIDAB2_220_G2,CCGT-GAS
GEN_122073_FARIDAB2_220_S1,CCGT-GAS
GEN_122080_BALLABGARH_220_1,SUBCRITICAL-COAL
GEN_122080_BALLABGARH_220_2,SUBCRITICAL-COAL
GEN_122080_BALLABGARH_220_3,SUBCRITICAL-COAL
GEN_124001_KHEDAR_400_1,SUBCRITICAL-COAL
GEN_124001_KHEDAR_400_2,SUBCRITICAL-COAL
GEN_124004_JHAJAR_N_400_1,SUPERCRITICAL-COAL
GEN_124004_JHAJAR_N_400_2,SUPERCRITICAL-COAL
GEN_124023_JHAJJAR4_400_1,SUBCRITICAL-COAL
GEN_124023_JHAJJAR4_400_2,SUBCRITICAL-COAL
GEN_124023_JHAJJAR4_400_3,SUBCRITICAL-COAL
GEN_131116_RAMGARH21_132_1,CCGT-GAS
GEN_131116_RAMGARH21_132_2,CCGT-GAS
GEN_131116_RAMGARH21_132_3,CCGT-GAS
GEN_131121_RPS1_132_1,HYDRO-STORAGE
GEN_131121_RPS1_132_2,HYDRO-STORAGE
GEN_131121_RPS1_132_3,HYDRO-STORAGE
GEN_131121_RPS1_132_4,HYDRO-STORAGE
GEN_131159_MAHI-I_132_1,HYDRO-STORAGE
GEN_131222_JS1_132_1,HYDRO-STORAGE
GEN_131222_JS1_132_2,HYDRO-STORAGE
GEN_131222_JS1_132_3,HYDRO-STORAGE
GEN_131278_MAHI-II_132_1,HYDRO-STORAGE
GEN_131456_TEMDRIA_132_W1,WIND
GEN_132005_RAPS_A2_220_1,NUCLEAR
GEN_132005_RAPS_A2_220_2,NUCLEAR
GEN_132019_GIRALTPS_220_1,SUBCRITICAL-COAL
GEN_132019_GIRALTPS_220_2,SUBCRITICAL-COAL
GEN_132021_DHOLPU-4_220_1,CCGT-GAS
GEN_132021_DHOLPU-4_220_2,CCGT-GAS
GEN_132021_DHOLPU-4_220_3,CCGT-GAS
GEN_132027_MADA-SUZ_220_W1,WIND
GEN_132037_AMARSAGA_220_W1,WIND
GEN_132042_BARSINGS_220_1,SUBCRITICAL-COAL
GEN_132042_BARSINGS_220_2,SUBCRITICAL-COAL
GEN_132057_SURATH-2_220_1,SUBCRITICAL-COAL
GEN_132057_SURATH-2_220_2,SUBCRITICAL-COAL
GEN_132061_KTPS_220_1,SUBCRITICAL-COAL
GEN_132061_KTPS_220_2,SUBCRITICAL-COAL
GEN_132061_KTPS_220_3,SUBCRITICAL-COAL
GEN_132061_KTPS_220_4,SUBCRITICAL-COAL
GEN_132061_KTPS_220_5,SUBCRITICAL-COAL
GEN_132061_KTPS_220_6,SUBCRITICAL-COAL
GEN_132061_KTPS_220_7,SUBCRITICAL-COAL
GEN_132077_RAJWEST_220_7,SUBCRITICAL-COAL
GEN_132077_RAJWEST_220_8,SUBCRITICAL-COAL
GEN_132079_AKAL-2_220_W1,WIND
GEN_132082_BHU-ENER_220_W1,WIND
GEN_132101_KETUKALA_220_W1,WIND
GEN_132113_RAMGARH_220_4,CCGT-GAS
GEN_132113_RAMGARH_220_5,CCGT-GAS
GEN_132120_VSLP_220_1,SUBCRITICAL-COAL
GEN_132146_RAPS_B2_220_3,NUCLEAR
GEN_132146_RAPS_B2_220_4,NUCLEAR
GEN_134007_CHABRA-4_400_1,SUBCRITICAL-COAL
GEN_134007_CHABRA-4_400_2,SUBCRITICAL-COAL
GEN_134007_CHABRA-4_400_3,SUBCRITICAL-COAL
GEN_134007_CHABRA-4_400_4,SUBCRITICAL-COAL
GEN_134008_KALISI-4_400_1,SUBCRITICAL-COAL
GEN_134008_KALISI-4_400_2,SUBCRITICAL-COAL
GEN_134009_RAJWEST_400_1,SUBCRITICAL-COAL
GEN_134009_RAJWEST_400_2,SUBCRITICAL-COAL
GEN_134009_RAJWEST_400_3,SUBCRITICAL-COAL
GEN_134009_RAJWEST_400_4,SUBCRITICAL-COAL
GEN_134009_RAJWEST_400_5,SUBCRITICAL-COAL
GEN_134009_RAJWEST_400_6,SUBCRITICAL-COAL
GEN_134010_KAWAI_400_1,SUPERCRITICAL-COAL
GEN_134010_KAWAI_400_2,SUPERCRITICAL-COAL
GEN_134018_SURATG-4_400_3,SUBCRITICAL-COAL
GEN_134018_SURATG-4_400_4,SUBCRITICAL-COAL
GEN_134018_SURATG-4_400_5,SUBCRITICAL-COAL
GEN_134018_SURATG-4_400_6,SUBCRITICAL-COAL
GEN_134029_ANTA2_220_G1,CCGT-GAS
GEN_134029_ANTA2_220_G2,CCGT-GAS
GEN_134029_ANTA2_220_G3,CCGT-GAS
GEN_134029_ANTA2_220_S1,CCGT-GAS
GEN_134030_RAPS_C4_400_5,NUCLEAR
GEN_134030_RAPS_C4_400_6,NUCLEAR
GEN_134031_SHRECEM_400_1,SUBCRITICAL-COAL
GEN_134031_SHRECEM_400_2,SUBCRITICAL-COAL
GEN_140001_DEL_GAS6_66_G1,CCGT-GAS
GEN_140001_DEL_GAS6_66_G2,CCGT-GAS
GEN_140001_DEL_GAS6_66_G3,CCGT-GAS
