Node,Voltage,Region,Zone,Owner
110000_JALANDHAR_66,66,PUNJAB,NR,PUNJ_STU
110001_SANGRUR_66,66,PUNJAB,NR,PUNJ_STU
110002_JAMALPUR_66,66,PUNJAB,NR,PUNJ_STU
110003_BUTARI_66,66,PUNJAB,NR,PUNJ_STU
110004_DANDHARIKAL1_66,66,PUNJAB,NR,PUNJ_STU
110005_SAHNEWAL_66,66,PUNJAB,NR,PUNJ_STU
110006_GOBINDGARH1_66,66,PUNJAB,NR,PUNJ_STU
110007_AMLOHROAD_66,66,PUNJAB,NR,PUNJ_STU
110008_VERPAL_66,66,PUNJAB,NR,PUNJ_STU
110009_BAHADR_66,66,PUNJAB,NR,PUNJ_STU
110010_KOTLAJUNGAN_66,66,PUNJAB,NR,PUNJ_STU
110011_KARTARPUR_66,66,PUNJAB,NR,PUNJ_STU
110012_DERABASSI_66,66,PUNJAB,NR,PUNJ_STU
110013_HUMBRAN1_66,66,PUNJAB,NR,PUNJ_STU
110014_CIVILINE_66,66,PUNJAB,NR,PUNJ_STU
110015_JAGRAON_66,66,PUNJAB,NR,PUNJ_STU
110016_GHUBAYA_66,66,PUNJAB,NR,PUNJ_STU
110017_MANSA_66,66,PUNJAB,NR,PUNJ_STU
110018_SUNAM_66,66,PUNJAB,NR,PUNJ_STU
110019_DHURI_66,66,PUNJAB,NR,PUNJ_STU
110020_FATEHGARH_66,66,PUNJAB,NR,PUNJ_STU
110021_KHARAR_66,66,PUNJAB,NR,PUNJ_STU
110022_FEROZPUR_RD_66,66,PUNJAB,NR,PUNJ_STU
110023_BATLA_66,66,PUNJAB,NR,PUNJ_STU
110024_BOTIANWALA_66,66,PUNJAB,NR,PUNJ_STU
110025_KOHARA_66,66,PUNJAB,NR,PUNJ_STU
110026_PATTI_66,66,PUNJAB,NR,PUNJ_STU
110027_DASUYA_66,66,PUNJAB,NR,PUNJ_STU
110028_RAJPURA_66,66,PUNJAB,NR,PUNJ_STU
110029_JAMSHER_66,66,PUNJAB,NR,PUNJ_STU
110030_HIMMATPURA_66,66,PUNJAB,NR,PUNJ_STU
110031_GOBINDGARH2_66,66,PUNJAB,NR,PUNJ_STU
110032_LALTONKA_66,66,PUNJAB,NR,PUNJ_STU
110033_BAZAKHANA_66,66,PUNJAB,NR,PUNJ_STU
110034_PATRAN_66,66,PUNJAB,NR,PUNJ_STU
110035_ABLOWAL_66,66,PUNJAB,NR,PUNJ_STU
110036_MALERKOTLA_66,66,PUNJAB,NR,PUNJ_STU
110037_AMLOH_66,66,PUNJAB,NR,PUNJ_STU
110038_RAJLA_66,66,PUNJAB,NR,PUNJ_STU
110039_BARNALA_66,66,PUNJAB,NR,PUNJ_STU
110040_BHATINDA_66,66,PUNJAB,NR,PUNJ_STU
110041_BRAHPURANA_66,66,PUNJAB,NR,PUNJ_STU
110042_KHASA_66,66,PUNJAB,NR,PUNJ_STU
110043_MOHLI_66,66,PUNJAB,NR,PUNJ_STU
110044_MAJITHA6_66,66,PUNJAB,NR,PUNJ_STU
110045_K.S.MAL_66,66,PUNJAB,NR,PUNJ_STU
110046_TIBBER_66,66,PUNJAB,NR,PUNJ_STU
110047_AJITWAL_66,66,PUNJAB,NR,PUNJ_STU
110048_MOHALI-II_66,66,PUNJAB,NR,PUNJ_STU
110049_DHANDARIKAL2_66,66,PUNJAB,NR,PUNJ_STU
110050_SADIQ_66,66,PUNJAB,NR,PUNJ_STU
110051_RASHIANA_66,66,PUNJAB,NR,PUNJ_STU
110052_MALOUT_66,66,PUNJAB,NR,PUNJ_STU
110053_PAKHOWAL_66,66,PUNJAB,NR,PUNJ_STU
110054_NABHA_66,66,PUNJAB,NR,PUNJ_STU
110055_JHUNIR_66,66,PUNJAB,NR,PUNJ_STU
110056_LALRU_66,66,PUNJAB,NR,PUNJ_STU
110057_ALGAON_66,66,PUNJAB,NR,PUNJ_STU
110058_KAPURTHALA_66,66,PUNJAB,NR,PUNJ_STU
