Generator,Mean Time to Repair,Maintenance Rate,Forced Outage Rate
GEN_111000_UBDCPH-1_132_1,0,0,0
GEN_111000_UBDCPH-1_132_2,0,0,0
GEN_111009_MUKERIAN-4_132_1,0,0,0
GEN_111009_MUKERIAN-4_132_2,0,0,0
GEN_111009_MUKERIAN-4_132_3,0,0,0
GEN_111017_MUKERI-3_132_1,0,0,0
GEN_111017_MUKERI-3_132_2,0,0,0
GEN_111017_MUKERI-3_132_3,0,0,0
GEN_111046_ANANDGARH-2_132_1,0,0,0
GEN_111046_ANANDGARH-2_132_2,0,0,0
GEN_111046_ANANDGARH-2_132_3,0,0,0
GEN_111046_ANANDGARH-2_132_4,0,0,0
GEN_111067_UBDCPH-3_132_1,0,0,0
GEN_111067_UBDCPH-3_132_2,0,0,0
GEN_111068_UBDCPH-2_132_1,0,0,0
GEN_111068_UBDCPH-2_132_2,0,0,0
GEN_111086_MUKERI-1_132_1,0,0,0
GEN_111086_MUKERI-1_132_2,0,0,0
GEN_111086_MUKERI-1_132_3,0,0,0
GEN_111087_MUKERI-2_132_1,0,0,0
GEN_111087_MUKERI-2_132_2,0,0,0
GEN_111087_MUKERI-2_132_3,0,0,0
GEN_111089_JOGINDERNAGA_132_1,0,0,0
GEN_111089_JOGINDERNAGA_132_2,0,0,0
GEN_111089_JOGINDERNAGA_132_3,0,0,0
GEN_111089_JOGINDERNAGA_132_4,0,0,0
GEN_111089_JOGINDERNAGA_132_5,0,0,0
GEN_111092_ANANDGARH-1_132_1,0,0,0
GEN_111092_ANANDGARH-1_132_2,0,0,0
GEN_111113_GANGUWAL_132_1,0,0,0
GEN_111113_GANGUWAL_132_2,0,0,0
GEN_111113_GANGUWAL_132_3,0,0,0
GEN_111114_KOTLA_132_1,0,0,0
GEN_111114_KOTLA_132_2,0,0,0
GEN_111114_KOTLA_132_3,0,0,0
GEN_112004_LEHRAMOHABBA_220_1,404,5.091602,2.14
GEN_112004_LEHRAMOHABBA_220_2,404,5.091602,2.14
GEN_112004_LEHRAMOHABBA_220_3,404,5.091602,2.14
GEN_112004_LEHRAMOHABBA_220_4,404,5.091602,2.14
GEN_112019_RSD_220_1,0,0,0
GEN_112019_RSD_220_2,0,0,0
GEN_112019_RSD_220_3,0,0,0
GEN_112019_RSD_220_4,0,0,0
GEN_112029_ROPAR_220_1,404,5.091602,10.11
GEN_112029_ROPAR_220_2,404,6.44,6.54
GEN_112029_ROPAR_220_3,404,10.57,11.32
GEN_112029_ROPAR_220_4,404,8.98,6.43
GEN_112029_ROPAR_220_5,404,5.091602,4.62
GEN_112029_ROPAR_220_6,404,5.66,5.18
GEN_112044_BATHINDA_220_1,404,5.091602,14.76
GEN_112044_BATHINDA_220_2,404,5.091602,11.4
GEN_112044_BATHINDA_220_3,404,100,8.536258
GEN_112044_BATHINDA_220_4,404,40.24,13.46
GEN_112066_GOINDWAL_220_1,404,5.309834254,10.32762431
GEN_112066_GOINDWAL_220_2,404,5.309834254,10.32762431
GEN_114000_TALWANDISABO_400_1,404,3.26,22.39
GEN_114000_TALWANDISABO_400_2,404,3.26,22.39
GEN_114000_TALWANDISABO_400_3,404,3.26,22.39
GEN_114005_RAJPURA_TH_400_1,404,2.95,19.55769231
GEN_114005_RAJPURA_TH_400_2,404,2.95,19.55769231
GEN_122010_PANIPAT_OLD_220_1,404,5.091602,6.1
GEN_122010_PANIPAT_OLD_220_2,404,5.091602,32.98
GEN_122010_PANIPAT_OLD_220_3,404,5.091602,14.04
GEN_122010_PANIPAT_OLD_220_4,404,3.1,16.93
GEN_122023_PANIPAT_NEW_220_5,404,5.091602,13.03
GEN_122023_PANIPAT_NEW_220_6,404,10.5,4.96
GEN_122023_PANIPAT_NEW_220_7,404,3.96,2.92
GEN_122023_PANIPAT_NEW_220_8,404,5.091602,7.33
GEN_122029_YAMUNA2_220_1,404,5.091602,5.52
GEN_122029_YAMUNA2_220_2,404,5.091602,61.64
GEN_122073_FARIDAB2_220_G1,389,2.4,8.48
GEN_122073_FARIDAB2_220_G2,389,2.4,8.48
GEN_122073_FARIDAB2_220_S1,389,2.4,8.48
GEN_122080_BALLABGARH_220_1,404,5.091602,8.536258
GEN_122080_BALLABGARH_220_2,404,5.091602,8.536258
GEN_122080_BALLABGARH_220_3,404,5.091602,8.536258
GEN_124001_KHEDAR_400_1,404,5.091602,12.01
GEN_124001_KHEDAR_400_2,404,32.6,3.68
GEN_124004_JHAJAR_N_400_1,404,3.26,22.39
GEN_124004_JHAJAR_N_400_2,404,3.26,22.39
GEN_124023_JHAJJAR4_400_1,404,5.091602,31.6
GEN_124023_JHAJJAR4_400_2,404,5.091602,31.6
GEN_124023_JHAJJAR4_400_3,404,5.091602,31.6
GEN_131116_RAMGARH21_132_1,389,2.4,8.48
GEN_131116_RAMGARH21_132_2,389,2.4,8.48
