"","scenario","scenario_main","dispatch_cost","ann_gen_total_MWh","ann_gen_vre_nocurt_MWh","ann_gen_vre_MWh","ann_curt_vre_MWh","ann_gen_solarPV_MWh","ann_gen_wind_MWh","ann_gen_coal_MWh","ann_gen_gas_ccgt_MWh","ann_gen_gas_ct_MWh","ann_gen_diesel_MWh","ann_gen_other_MWh","ann_gen_hydro_MWh","ann_gen_nuclear_MWh","ann_discharge_bat_storage_MWh","ann_charge_bat_storage_MWh","new_capacity_coal_MW","new_capacity_gas_ccgt_MW","new_capacity_gas_ct_MW","capacity_vre_MW","capacity_solarPV_MW","capacity_wind_MW","capacity_bat_storage_MW","energy_bat_storage_MWh","scenario_build","scenario_split","rank","date_time","scenario_econ_dispatch","scenario_sensitivity","ann_cap_cost_coal_mil","ann_cap_cost_ccgt_mil","ann_cap_cost_ct_mil","ann_cap_cost_solar_mil","ann_cap_cost_wind_mil","ann_cap_cost_battery_mil","total_cost_new_conv","total_cost_vre","total_cost_capacity","total_cost_energy","total_cost","system_cost_vre","cost_vre_pMWh","cost_vre_nocurt_pMWh","cost_battery_pMWh","cost_battery_nocurt_pMWh","cost_vre_battery_pMWh","cost_vre_battery_nocurt_pMWh","capacity_value_pMWh","energy_value_pMWh","total_value_pMWh","system_cost_vre_pMWh","system_cost_add_pMWh_load","system_cost_add_perc","vre_share_after_curt","vre_curt","vre_share_nocurt","total_emissions_co2_milTonnes","grid_emissions_factor_kg_kWh","total_emissions_reduced_milTonnes","emissions_reduction","cost_emissions_reduction_pTonneCO2_avg","avoided_conv_cap_mw_perVREmw"
"1","S0W0","base",4607644717470,2424553182,0,0,0,0,0,2226209346.9,37431382.02,1890048.44,187717.24,0,128787887.33,30046800,0,0,151140,0,13400,0,0,0,0,0,"0 GW","0-0",1,"2018-01-17 00:22:52","ClcC70m","ClcC70m",19006.0159349858,0,873.405711053191,0,0,0,19879.421646039,0,19879.421646039,70886.8418072308,90766.2634532698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.1784382504,0.851776918560659,NA,NA,NA,NA
"2","S0W200","base",3532123259920,2424553182,477166828,477093308.08,73516,0,477093308.08,1763116977.13,23986377.7,1291599.33,229093.08,1139.25,128787887.33,30046800,0,0,126720,0,28800,200005,0,200005,0,0,"200 GW","0-100",2,"2018-01-17 14:02:44","ClcC70m","ClcC70m",15935.1749323899,0,1877.1704834576,0,21878.8607463911,0,17812.3454158475,21878.8607463911,39691.2061622386,54340.3578449231,94031.5640071617,3265.3005538919,45.8586619762909,45.8515962605664,0,0,45.8586619762909,45.8515962605664,4.33264561708114,34.6818613509732,39.0145069680543,6.84415500823661,1.34676384008965,0.0359748262147313,0.196775765374818,0.000154075924154595,0.196806088454776,1633.1434614971,0.673585332597213,432.0349767533,0.209199829298681,7.5579541694293,0.0450988725281868
"3","S50W150","base",3583862714080,2424553182,454821772,454776174.16,45593,87798652.91,366977521.2,1783235770.94,25922219,1358091.26,426239.21,0,128787887.33,30046800,0,0,118800,0,25000,200025,50015,150010,0,0,"200 GW","25-75",3,"2018-01-17 16:51:26","ClcC70m","ClcC70m",14939.2264991155,0,1629.48826689028,3933.60041503327,16409.8292570993,0,16568.7147660058,20343.4296721325,36912.1444381383,55136.3494473846,92048.4938855229,1282.23043225313,44.7328396429477,44.7283549832626,0,0,44.7328396429477,44.7283549832626,7.27986000178731,34.6335038086335,41.9133638104209,2.81947583252681,0.528852261015542,0.0141267292876199,0.187571127553019,0.000100254303569209,0.187589934251234,1652.6693548908,0.681638731276467,412.5090833596,0.199745007849818,3.10836896441225,0.10368703912011
"4","S100W100","base",3669520918960,2424553182,427217839,426206259.72,1011581,174521298.28,251684961.31,1807136232.63,30079657.89,1711103.81,585240.61,0,128787887.33,30046800,0,0,119460,0,27400,200102,100079,100023,0,0,"200 GW","50-50",4,"2018-01-17 18:07:51","ClcC70m","ClcC70m",15022.2222018884,0,1785.91914051175,7871.05460234159,10941.6729003589,0,16808.1413424001,18812.7275027005,35620.8688451006,56454.167984,92075.0368291006,1308.7733758308,44.1399605793206,44.0354446498207,0,0,44.1399605793206,44.0354446498207,7.20608914955078,33.8631202477233,41.0692093972741,3.07075118204651,0.539799821900051,0.014419161107195,0.175787548354961,0.00236783015046329,0.17620477132516,1676.7566830339,0.691573480624068,388.4217552165,0.188081450020158,3.36946465601885,0.0883549389811196
"5","S150W50","base",3817776955360,2424553182,392945562,375118489.13,17827089,246842981.49,128275507.47,1849931247.21,37249321.8,2553020.61,866416.04,0,128787887.33,30046800,0,0,126720,0,24200,200039,150010,50029,0,0,"200 GW","75-25",5,"2018-01-17 19:30:53","ClcC70m","ClcC70m",15935.1749323899,0,1577.34464234979,11798.0485506176,5472.75080263595,0,17512.5195747397,17270.7993532536,34783.3189279933,58735.0300824615,93518.3490104548,2752.08555718498,46.0409173467007,43.9521425445023,0,0,46.0409173467007,43.9521425445023,6.30974516022616,32.3945955128805,38.7043406731067,7.33657667359401,1.13508978793148,0.0303205778499615,0.154716544027534,0.0453677928801751,0.162069269058417,1719.9003267263,0.70936795261697,345.2781115241,0.167190449565519,7.97063429545805,0.0680867230889976
"6","S200W0","base",4037051075410,2424553182,348007539,278446346.85,69561203,278446346.85,0,1945090909.13,38237835.62,2808020.62,1135382.27,0,128787887.33,30046800,0,0,144540,0,11000,200004,200004,0,0,0,"200 GW","100-0",6,"2018-01-17 20:59:34","ClcC70m","ClcC70m",18176.0589072572,0,716.974837431724,15729.9973489616,0,0,18893.0337446889,15729.9973489616,34623.0310936505,62108.4780832308,96731.5091768813,5965.24572361149,56.4920227071085,45.2001626003901,0,0,56.4920227071085,45.2001626003901,3.54247025507387,31.5262305406683,35.0687007957422,21.4233219113663,2.46034847488509,0.0657209572880858,0.114844396450942,0.199884152940721,0.143534710471036,1808.243593812,0.74580487952852,256.9348444384,0.124412902865707,23.2169589011959,0.0449991000179996
"7","S0W400","base",2809867508840,2424553182,888594843,843674515.67,44920318,0,843674515.67,1397834863.22,21975644.36,1734949.73,497382.38,1139.25,128787887.33,30046800,0,0,113520,0,40200,400031,0,400031,0,0,"400 GW","0-100",12,"2018-01-18 05:22:36","ClcC70m","ClcC70m",14275.2608769326,0,2620.21713315957,0,43760.0187157301,0,16895.4780100922,43760.0187157301,60655.4967258223,43228.7309052308,103884.227631053,13117.9641777832,51.868366180266,49.2463118151701,0,0,51.868366180266,49.2463118151701,3.53684220694657,32.7829161463239,36.3197583532704,15.5486078269955,5.4104666687337,0.144524668954087,0.347971132138276,0.0505520909600868,0.366498392197363,1296.7387166751,0.534836161277942,768.4397215753,0.372093620261848,17.0709085039116,0.0270479037874565
"8","S100W300","base",2801857500170,2424553182,862515820,835906570.57,26609277,165365152.73,670541417.8,1404227663.24,22495412.42,2177774.99,909104.08,1969.28,128787887.33,30046800,0,0,101640,750,36400,400086,100079,300007,0,0,"400 GW","25-75",13,"2018-01-18 06:42:15","ClcC70m","ClcC70m",12781.338227021,58.1273631345119,2372.53491659225,7871.05460234159,32818.2364238022,0,15212.0005067478,40689.2910261438,55901.2915328917,43105.5000026154,99006.791535507,8240.52808223723,48.6768407603233,47.1751243080316,0,0,48.6768407603233,47.1751243080316,5.58366365766037,33.2349843663407,38.818648024001,9.85819273632227,3.3987821522808,0.0907884468162534,0.344767265480424,0.0308507378218291,0.355742174023387,1303.4549869865,0.537606267688171,761.7234512639,0.368841470139125,10.8182675333994,0.0643611623500947
"9","S200W200","base",3053020986540,2424553182,825174368,726237461.9,98936903,275207288.6,451030173.17,1505591312.7,29050032.98,3719724.15,1119963.01,0,128787887.33,30046800,0,0,107580,0,34200,400009,200004,200005,0,0,"400 GW","50-50",14,"2018-01-18 08:13:01","ClcC70m","ClcC70m",13528.2995519768,0,2229.13994910591,15729.9973489616,21878.8607463911,0,15757.4395010827,37608.8580953527,53366.2975964355,46969.5536390769,100335.851235512,9569.58778224258,51.7858965812085,45.5768617565115,0,0,51.7858965812085,45.5768617565115,5.67580490019377,32.9331512389637,38.6089561391575,13.176940442051,3.94694901035278,0.105431108631781,0.299534556425333,0.119898181447148,0.340340799338259,1400.6068174183,0.577676261265982,664.5716208321,0.321798643895933,14.3996335116758,0.056898719778805
"10","S300W100","base",3467762670630,2424553182,771532271,541920287.76,229611992,317629377.66,224290910.18,1683430448.83,35497543.16,3665695.59,1204519.26,0,128787887.33,30046800,0,0,117480,0,29600,400037,300014,100023,0,0,"400 GW","75-25",15,"2018-01-18 09:46:20","ClcC70m","ClcC70m",14773.2350935698,0,1929.31410799809,23595.6252107526,10941.6729003589,0,16702.5492015679,34537.2981111115,51239.8473126794,53350.1949327692,104590.042245449,13823.7787921788,63.7313252358012,44.764554133746,0,0,63.7313252358012,44.764554133746,5.86225043834879,32.3601962697288,38.2224467080776,25.5088785277235,5.70157788033161,0.152300846881241,0.223513467051679,0.297605157775701,0.31821627041547,1566.9620750657,0.646289009743693,498.2163631847,0.24124615769608,27.7465370744036,0.0436459627484458
