"","scenario_main","scenario_build","scenario_split","system_cost_add_pMWh_load","add.sys.cost.over.min.cost.mix.milUSD"
"1","base","200 GW","25-75",1.37428412577745,335.270870361943
"2","base","200 GW","50-50",1.23600261772433,0
"3","base","200 GW","75-25",1.66530686866433,1040.8709876627
"4","battery30","200 GW","25-75",3.71621886612963,1485.08098118524
"5","battery30","200 GW","50-50",3.33955489378993,572.020708919625
"6","battery30","200 GW","75-25",3.10426945429889,0
"7","battery60","200 GW","25-75",6.0581536064818,1901.43823336049
"8","battery60","200 GW","50-50",5.59993475645097,791.311863457646
"9","battery60","200 GW","75-25",5.27468014997871,0
"10","battery60B50LC","200 GW","25-75",3.71621886612963,1901.4382333605
"11","battery60B50LC","200 GW","50-50",3.2580000160988,791.311863457661
"12","battery60B50LC","200 GW","75-25",2.93274540962654,0
"13","base","400 GW","25-75",5.14184264831612,0
"14","base","400 GW","50-50",5.32856043543549,452.707204896272
"15","base","400 GW","75-25",6.76274535043185,3929.9648041271
"16","battery30","400 GW","25-75",7.03249365486355,2042.90368787663
"17","battery30","400 GW","50-50",6.19197130501629,0
"18","battery30","400 GW","75-25",7.54800635741226,3298.48712690388
"19","battery60","400 GW","25-75",9.29825013958919,4164.81831660871
"20","battery60","400 GW","50-50",7.58594930716023,0
"21","battery60","400 GW","75-25",8.40443634581983,1997.37569383322
"22","battery60B50LC","400 GW","25-75",6.95631539923702,4164.81831660871
"23","battery60B50LC","400 GW","50-50",5.24401456680806,0
"24","battery60B50LC","400 GW","75-25",6.06250160546766,1997.37569383324
"25","base","600 GW","25-75",10.9311047074306,484.47223298406
"26","base","600 GW","50-50",10.7312855256611,0
"27","base","600 GW","75-25",12.4516092454998,4171.01634900512
"28","battery30","600 GW","25-75",12.0011071860086,1650.16827187445
"29","battery30","600 GW","50-50",11.3223270101494,0
"30","battery30","600 GW","75-25",13.0605077846003,4228.15783402821
"31","battery60","600 GW","25-75",14.1036982169719,4181.8326235319
"32","battery60","600 GW","50-50",12.3860191132946,0
"33","battery60","600 GW","75-25",13.9864665119823,3905.5105875096
"34","battery60B50LC","600 GW","25-75",11.7617634766197,4181.83262353189
"35","battery60B50LC","600 GW","50-50",10.0440843729424,0
"36","battery60B50LC","600 GW","75-25",11.6445317716302,3905.5105875096
