"","scenario_main","scenario_build","scenario_split","system_cost_add_pMWh_load","add.sys.cost.over.min.cost.mix.base.milUSD"
"1","base","200 GW","25-75",1.37428412577745,335.270870361943
"2","base","200 GW","50-50",1.23600261772433,0
"3","base","200 GW","75-25",1.66530686866433,1040.8709876627
"4","battery30","200 GW","25-75",3.71621886612963,6018.99749966922
"5","battery30","200 GW","50-50",3.33955489378993,5114.10934228389
"6","battery30","200 GW","75-25",3.10426945429889,4544.07644125437
"7","battery60","200 GW","25-75",6.0581536064818,11703.0413486948
"8","battery60","200 GW","50-50",5.59993475645097,10617.0095795184
"9","battery60","200 GW","75-25",5.27468014997871,9850.70838981832
"10","battery60B50LC","200 GW","25-75",3.71621886612963,6019.32070904963
"11","battery60B50LC","200 GW","50-50",3.2580000160988,4919.3170438638
"12","battery60B50LC","200 GW","75-25",2.93274540962654,4138.51274880691
"13","base","400 GW","25-75",5.14184264831612,0
"14","base","400 GW","50-50",5.32856043543549,452.707204896272
"15","base","400 GW","75-25",6.76274535043185,3929.9648041271
"16","battery30","400 GW","25-75",7.03249365486355,4595.25902489718
"17","battery30","400 GW","50-50",6.19197130501629,2554.36095883966
"18","battery30","400 GW","75-25",7.54800635741226,5852.8723174623
"19","battery60","400 GW","25-75",9.29825013958919,10109.6032444182
"20","battery60","400 GW","50-50",7.58594930716023,5963.17876614974
"21","battery60","400 GW","75-25",8.40443634581983,7961.79419153585
"22","battery60B50LC","400 GW","25-75",6.95631539923702,4413.33041770642
"23","battery60B50LC","400 GW","50-50",5.24401456680806,249.281025704521
"24","battery60B50LC","400 GW","75-25",6.06250160546766,2246.70854450649
"25","base","600 GW","25-75",10.9311047074306,484.47223298406
"26","base","600 GW","50-50",10.7312855256611,0
"27","base","600 GW","75-25",12.4516092454998,4171.01634900512
"28","battery30","600 GW","25-75",12.0011071860086,3087.03684840536
"29","battery30","600 GW","50-50",11.3223270101494,1437.74767331265
"30","battery30","600 GW","75-25",13.0605077846003,5665.87750024907
"31","battery60","600 GW","25-75",14.1036982169719,8210.41915358034
"32","battery60","600 GW","50-50",12.3860191132946,4037.57445215657
"33","battery60","600 GW","75-25",13.9864665119823,7943.49368605404
"34","battery60B50LC","600 GW","25-75",11.7617634766197,2508.78426821608
"35","battery60B50LC","600 GW","50-50",10.0440843729424,-1676.78098664657
"36","battery60B50LC","600 GW","75-25",11.6445317716302,2228.55989241516
