,scenario_main,scenario_build,scenario_split,system_cost_add_pMWh_load,add.sys.cost.over.min.cost.mix.base.pMWh.load,add.sys.cost.over.min.cost.mix.base.milUSD,cost_emissions_reduction_pTonneCO2_avg,emissions.cost.over.min.cost.mix.base.pTonneCO2,total_emissions_reduced_milTonnes,emissions_reduction
1,base,200 GW,25-75,1.374284126,0.138281508,335.2708704,8.077458374,0.362251794,412.5090834,0.199745008
2,base,200 GW,50-50,1.236002618,0,0,7.71520658,0,388.421755,0.18808145
3,base,200 GW,75-25,1.665306869,0.429304251,1040.870988,11.69383442,3.978627837,345.2781118,0.16719045
4,battery30,200 GW,25-75,3.716218866,2.480216248,6018.9975,21.9857051,14.27049852,409.819482,0.19844265
5,battery30,200 GW,50-50,3.339554894,2.103552276,5114.109342,21.25225061,13.53704403,380.9915756,0.184483611
6,battery30,200 GW,75-25,3.104269454,1.868266837,4544.076441,21.35540162,13.64019504,352.4385314,0.170657666
7,battery60,200 GW,25-75,6.058153606,4.822150989,11703.04135,35.85355768,28.1383511,409.6752611,0.198372815
8,battery60,200 GW,50-50,5.599934756,4.363932139,10617.00958,35.82965901,28.11445243,378.9413578,0.183490855
9,battery60,200 GW,75-25,5.27468015,4.038677532,9850.70839,37.13554971,29.42034313,344.380052,0.166755591
10,battery60B50LC,200 GW,25-75,3.716218866,2.480216248,6019.320709,21.99344489,14.27823831,409.6752611,0.198372815
11,battery60B50LC,200 GW,50-50,3.258000016,2.021997398,4919.317044,20.84542672,13.13022014,378.9413578,0.183490855
12,battery60B50LC,200 GW,75-25,2.93274541,1.696742792,4138.512749,20.6475293,12.93232272,344.380052,0.166755591
13,base,400 GW,25-75,5.141842648,0,0,16.36640034,0,761.7234516,0.36884147
14,base,400 GW,50-50,5.328560435,0.186717787,452.7072049,19.44015928,3.073758945,664.5716206,0.321798644
15,base,400 GW,75-25,6.76274535,1.620902702,3929.964804,32.9106729,16.54427256,498.2163631,0.241246158
16,battery30,400 GW,25-75,7.032493655,1.890651007,4595.259025,22.16714608,5.800745743,769.1858396,0.372454905
17,battery30,400 GW,50-50,6.191971305,1.050128657,2554.360959,21.02714274,4.660742405,713.9706956,0.345718647
18,battery30,400 GW,75-25,7.548006357,2.406163709,5852.872317,32.86603437,16.49963403,556.8223603,0.269624334
19,battery60,400 GW,25-75,9.29825014,4.156407491,10109.60324,29.16778177,12.80138143,772.9110887,0.374258744
20,battery60,400 GW,50-50,7.585949307,2.444106659,5963.178766,25.12534467,8.758944335,732.0312526,0.354463924
21,battery60,400 GW,75-25,8.404436346,3.262593698,7961.794192,33.22022208,16.85382174,613.3915311,0.297016238
22,battery60B50LC,400 GW,25-75,6.956315399,1.814472751,4413.330418,21.82134127,5.454940931,772.9110887,0.374258744
23,battery60B50LC,400 GW,50-50,5.244014567,0.102171918,249.2810257,17.36864671,1.00224637,732.0312526,0.354463924
24,battery60B50LC,400 GW,75-25,6.062501605,0.920658957,2246.708545,23.96325481,7.596854473,613.3915311,0.297016238
25,base,600 GW,25-75,10.93110471,0.199819182,484.472233,26.30928656,0,1007.364629,0.487785758
26,base,600 GW,50-50,10.73128553,0,0,30.15952853,3.85024197,862.6982495,0.417735453
27,base,600 GW,75-25,12.45160925,1.72032372,4171.016349,49.3058609,22.99657433,612.2920941,0.296483869
28,battery30,600 GW,25-75,12.00110719,1.26982166,3087.036848,28.38601522,2.076728656,1025.058374,0.496353417
29,battery30,600 GW,50-50,11.32232701,0.591041484,1437.747673,29.82297945,3.513692889,920.4842872,0.445716588
30,battery30,600 GW,75-25,13.06050778,2.329222259,5665.8775,47.0683131,20.75902654,672.7646186,0.325765854
31,battery60,600 GW,25-75,14.10369822,3.372412691,8210.419154,33.16804464,6.858758083,1030.967208,0.49921459
32,battery60,600 GW,50-50,12.38601911,1.654733588,4037.574452,30.78590142,4.476614857,975.4647638,0.472339216
33,battery60,600 GW,75-25,13.98646651,3.255180986,7943.493686,46.35651234,20.04722578,731.5246592,0.354218621
34,battery60B50LC,600 GW,25-75,11.76176348,1.030477951,2508.784268,27.66045402,1.351167462,1030.967208,0.49921459
35,battery60B50LC,600 GW,50-50,10.04408437,-0.687201153,-1676.780987,24.96493736,-1.344349198,975.4647638,0.472339216
36,battery60B50LC,600 GW,75-25,11.64453177,0.913246246,2228.559892,38.59444273,12.28515616,731.5246592,0.354218621
