"","scenario","scenario_main","dispatch_cost","ann_gen_total_MWh","ann_gen_vre_nocurt_MWh","ann_gen_vre_MWh","ann_curt_vre_MWh","ann_gen_solarPV_MWh","ann_gen_wind_MWh","ann_gen_coal_MWh","ann_gen_gas_ccgt_MWh","ann_gen_gas_ct_MWh","ann_gen_diesel_MWh","ann_gen_other_MWh","ann_gen_hydro_MWh","ann_gen_nuclear_MWh","ann_discharge_bat_storage_MWh","ann_charge_bat_storage_MWh","new_capacity_coal_MW","new_capacity_gas_ccgt_MW","new_capacity_gas_ct_MW","capacity_vre_MW","capacity_solarPV_MW","capacity_wind_MW","capacity_bat_storage_MW","energy_bat_storage_MWh","scenario_build","scenario_split","rank","date_time","scenario_econ_dispatch","ann_load_total_MWh","scenario_sensitivity","capacity_solarPV_GW","capacity_wind_GW","capacity_bat_storage_GW","capital_solar_cost_USDpkW","capital_wind_cost_USDpkW","capital_battery_cost_USDpkW","ann_fc_solar_cost_USDpkWpy","ann_fc_wind_cost_USDpkWpy","ann_fc_battery_cost_USDpkWpy","ann_cap_cost_coal_mil","ann_cap_cost_ccgt_mil","ann_cap_cost_ct_mil","ann_cap_cost_solar_mil","ann_cap_cost_wind_mil","ann_cap_cost_battery_mil","total_cost_new_conv","total_cost_vre","total_cost_capacity","total_cost_energy","total_cost","system_cost_vre","cost_vre_pMWh","cost_vre_nocurt_pMWh","cost_battery_pMWh","cost_battery_nocurt_pMWh","cost_vre_battery_pMWh","cost_vre_battery_nocurt_pMWh","capacity_value_pMWh","energy_value_pMWh","total_value_pMWh","system_cost_vre_pMWh","capacity_value_nocurt_pMWh","energy_value_nocurt_pMWh","total_value_nocurt_pMWh","system_cost_vre_nocurt_pMWh","system_cost_add_pMWh_load","system_cost_add_perc","vre_share_after_curt","vre_curt","vre_share_nocurt","total_emissions_co2_milTonnes","grid_emissions_factor_kg_kWh","total_emissions_reduced_milTonnes","emissions_reduction","cost_emissions_reduction_pTonneCO2_avg","new_conventional_capacity_MW","avoided_conv_cap_mw","avoided_conv_cap_mw_perVREmw","avoided_conv_cap_mw_per_new_conv_noRE_mw","coal_share_new_conv_cap","existing_capacity_coal_MW","existing_capacity_ccgt_MW","existing_capacity_ct_MW","plf_coal","plf_gas"
"1","S0W0","base",4.61e+12,2424553182,0,0,0,0,0,2226209347,37431382.02,1890048.44,187717.24,0,128787887.3,30046800,0,0,151140,0,13400,0,0,0,0,0,"0 GW","0-0",1,"1/17/18 0:22","ClcC70m",2424553182,"ClcC70m",0,0,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,19006.0159349858,0,873.405711053191,0,0,0,19879.421646039,0,19879.421646039,70923.0769230769,90802.498569116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.1784383424,0.851776918598604,NA,NA,NA,164540,NA,NA,NA,0.918560836270816,189749,21944,1579,0.745502163755523,0.121570505359976
"2","S0W200","base",3.53e+12,2424553182,477166828,477093308.1,73516,0,477093308.1,1763116977,23986377.7,1291599.33,229093.08,1139.25,128787887.3,30046800,0,0,126720,0,28800,200005,0,200005,0,0,"200 GW","0-100",2,"1/17/18 14:02","ClcC70m",2424553182,"ClcC70m",0,200,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,15935.1749323899,0,1877.1704834576,0,24453.240620899,0,17812.3454158475,24453.240620899,42265.5860367465,54307.6923076923,96573.2783444388,5770.77977532285,51.2546292428264,51.2467321406069,0,0,51.2546292428264,51.2467321406069,4.33264561689951,34.8262789129333,39.1589245298328,12.0957047129936,4.33197806070365,34.8209130232846,39.1528910839883,12.0938410566186,2.38014155274687,0.0635530945321986,0.196775765383067,0.000154075882240448,0.196806088454776,1633.1434613775,0.673585332547884,432.0349769649,0.209199829391822,13.3572050482193,155520,9020,0.0450988725281868,0.0548194967788987,0.814814814814815,189749,21944,1579,0.635983496966116,0.0551500069990262
"3","S50W150","base",3.58e+12,2424553182,454821772,454776174.2,45593,87798652.91,366977521.2,1783235771,25922219,1358091.26,426239.21,0,128787887.3,30046800,0,0,118800,0,25000,200025,50015,150010,0,0,"200 GW","25-75",3,"1/17/18 16:51","ClcC70m",2424553182,"ClcC70m",50,150,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,14939.2264991155,0,1629.48826689028,4148.19106597285,18340.6946103401,0,16568.7147660058,22488.8856763129,39057.6004423187,55076.9230769231,94134.5235192418,3332.02495012581,49.4504482691365,49.4454906532331,0,0,49.4504482691365,49.4454906532331,7.27986000114701,34.8438523060909,42.1237123072379,7.32673596189864,7.27913016449275,34.8403590630086,42.1194892275014,7.32600142573171,1.37428412577745,0.0366953002685226,0.187571127569517,0.000100254215622756,0.187589934251234,1652.669354946,0.681638731299234,412.5090833964,0.199745007858738,8.07745837422907,143800,20740,0.10368703912011,0.126048377294275,0.826147426981919,189749,21944,1579,0.659751699999368,0.0641796811604759
"4","S100W100","base",3.67e+12,2424553182,427217839,426206259.7,1011581,174521298.3,251684961.3,1807136233,30079657.89,1711103.81,585240.61,0,128787887.3,30046800,0,0,119460,0,27400,200102,100079,100023,0,0,"200 GW","50-50",4,"1/17/18 18:07","ClcC70m",2424553182,"ClcC70m",100,100,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,15022.2222018884,0,1785.91914051175,8300.44613998794,12229.1267049533,0,16808.1413424001,20529.5728449412,37337.7141873414,56461.5384615385,93799.2526488798,2996.75407976386,48.1681636008624,48.0541095685408,0,0,48.1681636008624,48.0541095685408,7.20608914988893,33.9308448255024,41.1369339753913,7.03122962547109,7.18902635439554,33.8505023465054,41.0395287009009,7.01458086763991,1.23600261772433,0.033002991404282,0.175787548346712,0.00236783019727791,0.17620477132516,1676.7566833743,0.691573480764465,388.4217549681,0.188081449891499,7.71520658004849,146860,17680,0.0883549389811196,0.107451075726267,0.813427754323846,189749,21944,1579,0.667167160480821,0.0712660759547699
"5","S150W50","base",3.82e+12,2424553182,392945562,375118489.1,17827089,246842981.5,128275507.5,1849931247,37249321.8,2553020.61,866416.04,0,128787887.3,30046800,0,0,126720,0,24200,200039,150010,50029,0,0,"200 GW","75-25",5,"1/17/18 19:30","ClcC70m",2424553182,"ClcC70m",150,50,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,15935.1749323899,0,1577.34464234979,12441.6703350312,6116.70295754085,0,17512.5195747397,18558.3732925721,36070.8928673118,58769.2307692308,94840.1236365425,4037.62506742656,49.4733633020812,47.2288659989296,0,0,49.4733633020812,47.2288659989296,6.30974516073078,32.40001894603,38.7097641067608,10.7635991953204,6.02348594867033,30.9301015946992,36.9535875433695,10.2752784555601,1.66530686866433,0.0444660128416318,0.15471654401516,0.0453677929565215,0.162069269058417,1719.9003265331,0.709367952537285,345.2781118093,0.16719044969617,11.6938344173307,150920,13620,0.0680867230889976,0.0827762246262307,0.839650145772595,189749,21944,1579,0.667298743623832,0.095208733605088
"6","S200W0","base",4.04e+12,2424553182,348007539,278446346.9,69561203,278446346.9,0,1945090909,38237835.62,2808020.62,1135382.27,0,128787887.3,30046800,0,0,144540,0,11000,200004,200004,0,0,0,"200 GW","100-0",6,"1/17/18 20:59","ClcC70m",2424553182,"ClcC70m",200,0,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,18176.0589072572,0,716.974837431724,16588.1196832717,0,0,18893.0337446889,16588.1196832717,35481.1534279606,62153.8461538462,97634.9995818068,6832.50101269083,59.5738456185568,47.6659779582295,0,0,59.5738456185568,47.6659779582295,3.54247025443776,31.4934308417417,35.0359010961795,24.5379445223773,2.83438658882073,25.1983930992678,28.0327796880885,19.633198270141,2.81804542932514,0.0752457379516947,0.114844396471564,0.199884152797046,0.143534710471036,1808.2435936924,0.745804879479191,256.93484465,0.124412902962626,26.5923488190096,155540,9000,0.0449991000179996,0.0546979457882582,0.929278642149929,189749,21944,1579,0.664222697157387,0.135724010873831
"7","S0W300","base",3.11e+12,2424553182,687477610,681932644.1,5544966,0,681932644.1,1559361151,22579295.48,1477765.66,366499.76,1139.25,128787887.3,30046800,0,0,119460,0,33000,300007,0,300007,0,0,"300 GW","0-100",7,"1/17/18 22:17","ClcC70m",2424553182,"ClcC70m",0,300,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,15022.2222018884,0,2150.92451229517,0,36679.7997997753,0,17173.1467141835,36679.7997997753,53852.9465139588,47846.1538461538,101699.100360113,10896.6017909967,53.7880098820969,53.3541736723255,0,0,53.7880098820969,53.3541736723255,3.9685370032801,33.8404727748141,37.8090097780942,15.9790001040027,3.93652810286504,33.5675267692326,37.5040548720977,15.8501188002279,4.49427212894054,0.120003325488919,0.281261161505015,0.00806566762225169,0.283548166773106,1445.3270851906,0.596121007334786,619.8513531518,0.300144211097477,17.5793788875188,152460,12080,0.0402657271330336,0.0734167983469065,0.783549783549784,189749,21944,1579,0.575692375748395,0.0485862366853207
"8","S75W225","base",3.16e+12,2424553182,662279339,656065595.6,6213742,128867976.5,527197619.2,1583444785,23963424.42,1574651.78,670037.57,0,128787887.3,30046800,0,0,109560,0,31400,300060,75025,225035,0,0,"300 GW","25-75",8,"1/17/18 23:35","ClcC70m",2424553182,"ClcC70m",75,225,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,13777.2866602954,0,2046.63726321419,6222.49394630837,27513.4871784406,0,15823.9239235096,33735.981124749,49559.9050482586,48615.3846153846,98175.2896636432,7372.79109452723,51.4216586740781,50.9392021434463,0,0,51.4216586740781,50.9392021434463,6.18154304954903,34.0022285230351,40.1837715725841,11.237887101494,6.12354558524047,33.6832073628864,39.8067529481268,11.1324491953194,3.0408865226233,0.0811959055170194,0.27059237160507,0.00938236033360536,0.273155212233245,1468.3753018852,0.605627178148324,596.8031364572,0.288983811460001,12.353807552511,140960,23580,0.0785842831433713,0.143308617965236,0.777241770715096,189749,21944,1579,0.6039194848817,0.0530798663999255
"9","S150W150","base",3.32e+12,2424553182,628643078,598136798.9,30506301,238494192.5,359642606.4,1633822537,30167129.67,2689828.3,902200.88,0,128787887.3,30046800,0,0,112860,0,31000,300020,150010,150010,0,0,"300 GW","50-50",9,"1/18/18 1:01","ClcC70m",2424553182,"ClcC70m",150,150,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,14192.2651741597,0,2020.56545094395,12441.6703350312,18340.6946103401,0,16212.8306251037,30782.3649453713,46995.195570475,51076.9230769231,98072.1186473981,7269.6200782821,51.4637537800407,48.9663626668793,0,0,51.4637537800407,48.9663626668793,6.13002080406752,33.1799579672272,39.3099787712947,12.1537750087459,5.83254814894399,31.5698280004824,37.4023761494264,11.5639865174529,2.99833393313544,0.0800596921102198,0.246699805696405,0.0485271852464429,0.259282032939956,1518.221325052,0.62618602731561,546.9571132904,0.264847387100076,13.2910239242512,143860,20680,0.0689287380841277,0.125683724322353,0.784512720700681,189749,21944,1579,0.616337987409375,0.0687928816978667
"10","S225W75","base",3.62e+12,2424553182,583353677,469369489.9,113984181,287636914.7,181732575.2,1754955851,36988651.58,3269001.93,1135500.19,0,128787887.3,30046800,0,0,121440,0,27200,300020,225017,75003,0,0,"300 GW","75-25",10,"1/18/18 2:30","ClcC70m",2424553182,"ClcC70m",225,75,0,850,1250,1200,82.9389396375658,122.263146525832,189.271510891907,15271.209310207,0,1772.88323437663,18662.6713804261,9170.10277887698,0,17044.0925445836,27832.7741593031,44876.8667038867,55692.3076923077,100569.174396194,9766.67582707843,59.2982176264438,47.711663192796,0,0,59.2982176264438,47.711663192796,6.04071879929715,32.4494232337389,38.490142033036,20.8080755934078,4.8603946683539,26.1089795629577,30.9693742313116,16.7422889614844,4.02823740868491,0.107559549362448,0.193590098738449,0.195394649239521,0.24060254950514,1633.0851979553,0.673561301966648,432.0932403871,0.209228041686275,22.6031673588061,148640,15900,0.0529964669022065,0.0966330375592561,0.817007534983854,189749,21944,1579,0.643780551090309,0.0906023410839984
